GCCSA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
1GSYD,89579,162965,122933,783384,8772,1167625,1506,6105,3177,74353,1053,86188,512111,8795,15514,12996,3268,552680,27022,4257,2586,9892,275,44031,22663,7421,4629,13808,205,48718,322630,127891,91901,692564,9714,1244708,114213,3514,9972,2465,458,130629,20929,3001,2332,7930,142,34332,45143,11310,8223,57436,797,122915,67418,12742,6818,36841,665,124482,11998,2427,1350,3900,92,19767,227307,4081,3194,2150,485,237222,83418,32526,22192,260885,2069,401092,105141,27257,12812,77238,1187,223635,65622,687,2054,590,275,69231,105913,24586,10914,28628,739,170786,20085,2609,1568,4492,165,28916,26746,7972,4383,24001,333,63428,19577,4056,2483,2027,235,28378,19106,7260,5175,3766,193,35505,26355,4017,3264,8184,204,42014,21846,1839,2014,3481,169,29352,24515,3341,1399,943,304,30501,68775,29516,21577,194323,1490,315681,22801,2336,1576,2942,146,29790,23811,3513,2599,1134,107,31159,32544,2003,1866,3354,232,40003,16230,1048,799,695,57,18836,110131,2103,3647,2089,677,118645,10725,2895,1920,9435,80,25055,871371,61108,49533,63970,5676,1051653,46123,3096,2286,12941,245886,310332,2741512,341632,248281,1620768,278959,5231147
1RNSW,14508,89870,67018,953745,11896,1137040,467,5392,2811,161555,2513,172737,19689,1202,1745,5842,210,28697,5502,1328,605,3130,131,10692,15444,5852,3745,12987,230,38255,135916,83359,60925,864352,13016,1157567,16192,704,3934,1077,190,22085,5268,1197,975,6691,92,14217,22808,8361,6113,81019,1014,119314,6741,2135,937,7102,139,17062,3328,1000,418,1860,48,6648,20736,1040,758,1168,87,23792,28642,18061,12229,271799,2699,333425,24304,9110,3518,40441,581,77961,2634,124,310,155,16,3241,3012,1103,537,2724,51,7435,9635,1365,683,3054,97,14834,5321,2034,1150,6854,116,15475,5560,2253,1374,2001,89,11279,6802,4206,2988,2899,137,17031,8094,2072,1344,6062,128,17700,2992,625,601,1877,73,6170,2103,823,284,281,50,3536,35876,22021,15725,228163,2134,303925,4246,613,320,1018,52,6244,5479,1245,929,662,36,8347,5876,852,603,2967,84,10380,1475,278,248,275,10,2283,4487,186,429,194,33,5326,6025,2336,1467,9835,96,19758,107601,19801,15554,37597,1591,182142,5493,1170,923,20293,169253,197131,438138,167640,120847,1904053,198959,2829637
19499,84,252,196,2300,52,2888,3,23,14,608,19,666,227,5,10,18,5,262,15,11,0,12,0,39,75,10,8,26,4,121,551,245,174,1690,53,2715,60,3,20,0,0,83,64,7,0,12,0,90,90,24,16,177,0,314,38,13,3,21,5,79,21,4,4,5,0,27,78,3,0,0,0,92,145,56,27,583,8,821,89,34,9,97,3,231,22,0,0,0,0,22,50,10,6,6,0,73,12,3,0,9,0,20,7,8,6,19,4,39,40,6,5,7,0,58,37,3,18,12,0,67,33,4,0,17,0,47,14,4,3,10,0,36,25,0,3,4,0,30,136,70,52,480,9,752,15,0,0,0,0,16,24,3,0,5,0,40,34,3,0,9,0,44,8,0,0,0,0,11,50,0,0,0,0,61,21,10,4,22,0,60,660,74,47,134,18,933,44,5,4,47,3748,3846,2238,520,360,4349,3900,11371
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,76764,152538,116050,797068,8891,1151312,1214,2397,1352,26680,429,32069,380784,5769,11209,9503,2025,409285,26868,4206,2271,8672,278,42294,31283,10975,6925,23696,318,73201,287537,126245,94061,739625,9927,1257388,71982,1767,6988,1481,252,82470,16118,2502,1859,7792,147,28426,44185,13714,9683,72033,938,140552,100359,16339,8637,45101,1049,171480,11942,2466,1433,4552,148,20532,249671,4662,3319,2526,516,260693,68156,31844,21953,284276,2263,408482,149579,36607,17419,118166,1890,323654,18300,220,780,231,51,19579,30578,6956,3264,6474,238,47513,31082,4287,2411,8184,268,46233,34335,8499,5059,22824,402,71113,16268,2322,1767,1172,156,21688,18291,6244,4658,2563,152,31908,30803,5425,4140,11922,266,52559,17993,1630,1729,2968,144,24463,18898,1567,722,298,217,21701,67803,30797,23550,225791,1800,349731,20697,2185,1349,2489,214,26936,16423,2736,2199,1003,77,22444,18616,1539,1311,3185,129,24776,41092,2893,2025,2245,156,48413,109584,1910,3682,1792,535,117501,8871,2553,1839,9653,71,22989,755825,51479,42750,60021,5180,915267,41148,2593,2036,14052,205599,265424,2424246,320726,235559,1699727,237495,4917750
2RVIC,8638,47505,34252,519374,7764,617538,199,1122,623,27762,520,30223,12784,539,892,3637,131,17980,4995,980,463,2402,88,8932,14165,5331,3317,12875,255,35936,72623,44239,32319,483374,8192,640747,9973,289,1842,411,140,12661,2221,520,438,3456,42,6673,12894,4882,3470,50154,701,72104,4313,1217,457,3552,82,9622,2247,582,268,1118,35,4249,14428,632,309,555,45,15978,15735,10726,6998,167304,1918,202673,18525,6316,2487,32956,531,60811,766,30,82,42,4,927,597,237,91,613,13,1553,1813,353,163,822,20,3173,4165,1328,682,4110,86,10373,2286,688,506,605,44,4134,3587,1959,1446,1200,62,8251,4725,1172,673,3315,80,9961,1570,304,236,788,23,2917,968,209,91,76,19,1359,19510,12073,8770,142241,1557,184153,2108,321,179,543,27,3179,2381,520,363,324,24,3615,2063,356,266,1342,34,4059,1600,296,177,258,16,2347,3107,106,252,82,25,3580,2735,997,641,4578,59,9003,63013,8940,6846,18504,985,98286,3452,725,548,12888,91981,109586,258465,89701,63160,1054623,110663,1576613
29499,61,230,123,1415,47,1874,7,9,6,208,5,242,179,7,4,13,0,206,18,0,0,0,0,24,53,31,5,42,0,126,370,173,124,1249,35,1952,54,0,8,0,0,55,25,5,0,14,0,47,74,23,13,136,4,250,34,18,4,18,0,77,11,0,0,6,0,21,95,0,4,3,0,99,106,48,23,445,7,626,72,22,20,106,3,222,4,0,0,0,0,7,27,6,0,8,0,38,10,0,0,8,0,19,12,8,6,27,0,53,44,0,9,5,0,58,43,12,5,0,3,65,23,6,3,19,0,52,18,0,0,0,0,18,23,0,0,0,0,23,103,60,48,350,7,572,22,0,0,0,0,23,14,0,0,0,0,21,20,3,0,3,0,29,19,5,0,0,0,26,48,0,3,0,0,48,14,5,5,15,4,37,595,69,42,93,19,810,32,9,4,45,3572,3671,1800,426,258,2909,3693,9089
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,3,0,0,7,28,38
3GBRI,26450,99605,79896,584727,6430,797104,839,4804,2863,61193,934,70633,102917,2596,4887,6511,585,117497,4896,1140,610,2174,45,8870,18393,6426,4005,12144,201,41171,217088,87789,66099,542965,6913,920851,32614,1113,5660,1357,196,40929,8813,1641,1186,5030,95,16774,26924,10128,7282,98676,853,143858,7217,2872,1356,8458,95,20004,4488,1012,567,1609,39,7714,63474,1989,1401,1530,177,68579,48134,20585,14389,196535,1461,281095,22095,8615,4168,34049,373,69301,16217,129,727,163,36,17278,2436,899,430,2116,18,5899,1238,243,164,333,15,1990,2422,1234,724,3945,39,8365,28966,4126,3021,1729,269,38109,20123,7179,5313,2676,233,35523,9107,2014,1549,5738,92,18499,6118,817,828,2379,81,10221,25134,2413,1195,484,274,29503,55823,21792,16259,159951,1275,255099,4760,589,373,727,46,6490,15167,2017,1555,617,69,19419,9716,1004,774,2243,81,13813,5424,469,368,448,22,6742,25768,737,1219,685,126,28536,7250,1888,1256,7518,72,17993,233854,23927,22896,39309,2371,322355,13822,1425,1283,11627,114503,142659,857050,184733,144393,1207103,132967,2526238
3RQLD,18288,86610,73142,735945,9366,923348,656,5277,3073,123586,1913,134505,31038,1310,2162,7614,278,42399,4187,1000,447,2178,65,7882,18694,5503,3704,11344,216,39449,209851,78572,62830,673136,10092,1034482,25330,809,4975,1407,249,32769,8480,1286,1060,5319,84,16233,28211,9514,7333,118981,1207,165241,4262,1812,852,5646,91,12668,4034,849,366,1404,50,6705,22109,1012,647,1145,75,24991,41494,16584,12077,213347,2033,285532,24228,9209,4132,44754,609,82928,7441,79,440,112,14,8085,1305,432,227,1516,20,3502,784,167,92,294,5,1339,4016,1815,983,6807,92,13711,18992,3397,2349,1853,185,26774,17380,6428,4661,2847,211,31531,7139,1374,1079,4549,89,14231,4196,588,592,1902,61,7336,4176,783,332,352,60,5701,52863,19175,14618,182309,1711,270677,2493,379,193,520,37,3613,12424,1442,1242,568,70,15753,7400,812,593,2920,64,11788,1985,271,182,364,12,2818,4562,145,411,155,19,5293,6926,1681,1136,6749,96,16595,135295,19821,19450,64508,2415,241486,8277,1503,1331,17850,178811,207775,577754,162209,130510,1541172,203400,2615036
