GCCSA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
1GSYD,317,859,3274,7012,14220,26747,35219,26497,10484,124627,33259,24823,25179,23975,19115,15821,12386,6663,2210,163423,454,597,1316,2410,4533,10843,17781,14605,5219,57755,27,41,59,85,253,715,2297,5614,5371,14475,630,1426,3105,9454,17865,31490,36681,22713,6353,129719,775,726,1170,2986,8792,21364,33250,27381,11236,107685,561,436,713,1301,2130,3659,5588,5254,2620,22265,445,337,543,1021,2307,5521,8837,8077,3179,30259,7738,18443,23740,22364,22473,19315,12090,5932,2501,134598,128,128,254,618,1566,3709,6177,6125,2942,21644,20405,13363,15064,19575,24294,29905,26229,14713,6627,170174,400963,249964,306007,282736,213912,149118,78523,30802,7582,1719621,36400,26067,32774,28905,24702,20063,13479,8798,4967,196143,495250,328726,401126,385497,326780,282673,208867,115498,40821,2585238,422,1387,4468,10166,24627,47134,62859,50188,25381,226626,21422,23156,29976,28874,26426,23675,20214,11803,4684,190230,372,519,1561,4191,9689,15220,18183,13122,5523,68385,21,18,44,68,230,660,2238,7032,10868,21189,625,1494,3480,7349,13661,24266,29610,20165,7765,108413,595,626,1012,1749,4029,9782,17756,18918,13196,67662
1RNSW,246,753,2379,5294,12336,28378,40465,27672,9535,127061,24676,14789,14128,14124,12922,13750,12999,6778,2025,116197,240,334,696,1341,3148,9027,17686,13653,4392,50515,21,19,43,56,182,638,2056,4799,3767,11594,496,949,1717,3579,8874,17927,26436,17331,4385,81687,496,498,761,1632,5313,15440,28054,23340,8985,84517,327,298,427,687,1352,2708,4807,4800,2182,17588,377,270,452,890,2488,6993,11650,9098,3134,35341,7746,15352,17093,17591,19515,19740,13995,6225,2134,119393,87,89,194,401,1138,3015,5527,5532,2371,18352,13574,7917,7898,9901,13931,19716,18651,10040,4227,105861,191737,109427,107236,98291,95609,83533,56522,22733,5136,770223,26243,17920,18196,17257,17528,16931,13497,7993,3451,139004,259695,161573,161894,157579,169368,185056,171497,95647,30234,1392556,286,1085,3364,7948,19712,42543,58973,44772,21557,200233,17624,16286,20016,20091,20532,22619,21532,12239,4277,155205,254,313,897,2277,5738,11051,15219,10963,4352,51063,9,23,35,64,138,473,1776,5232,7670,15422,444,1060,2146,3745,7918,14476,19257,14227,5297,68566,408,433,703,1178,3136,8246,15193,16299,11001,56598
19499,0,0,15,23,53,134,131,35,5,389,27,41,61,52,47,55,40,12,3,333,0,0,3,6,9,47,43,28,0,140,0,0,0,0,3,0,4,3,0,16,0,0,3,21,36,79,75,20,4,240,5,3,4,5,30,69,108,39,3,265,0,0,0,5,12,10,16,6,0,48,0,3,8,14,16,58,55,16,0,164,10,94,132,145,167,137,58,5,0,755,0,0,0,0,4,23,17,4,0,54,25,31,39,72,77,111,75,19,7,461,314,289,527,365,281,261,189,44,0,2264,262,241,426,496,450,318,137,35,3,2375,639,658,1164,1108,1010,949,648,166,19,6375,3,3,17,29,70,136,107,42,6,422,32,67,79,60,68,72,56,13,0,448,0,0,7,10,14,44,38,5,0,122,0,0,0,0,0,0,0,0,6,13,0,6,4,9,13,33,38,10,4,122,3,5,8,8,12,30,37,15,6,120
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,268,887,3414,6833,13533,24472,31775,25032,10539,116753,32150,24964,29992,27874,21437,16646,12987,7512,2537,176099,467,572,1363,2292,4588,10509,17527,14546,5466,57340,44,39,66,82,208,569,1893,4997,4928,12825,690,1449,3272,9394,17114,27655,32601,21144,6337,119661,869,656,1160,2795,8154,19381,30209,25217,10989,99428,585,395,745,1251,1994,3345,5032,4985,2551,20881,428,331,592,994,2228,5022,8019,7471,3158,28247,7928,19724,29416,26704,24661,19972,12611,6676,3222,150928,193,134,273,649,1699,3565,6036,6255,3109,21912,19963,13702,16067,19856,23619,27530,23245,13809,6668,164458,368919,232264,288600,258940,194864,132963,70745,27869,6999,1582157,32514,23522,30580,25804,22595,17831,11986,7603,3561,176004,457860,309316,390596,363898,306343,256625,190191,107396,38491,2420718,308,1431,4749,10253,24518,45899,61630,50049,26100,224937,20259,24674,36521,33410,29512,25048,22196,13313,5327,210255,355,489,1552,3908,9049,14094,17592,12615,5574,65231,24,22,47,62,178,531,2049,6682,10669,20274,607,1364,3550,7232,12832,21101,26227,19060,8267,100251,661,588,1078,1613,3865,8781,16102,18335,13397,64412
2RVIC,143,361,1422,2974,6633,14401,20990,14479,4895,66288,13017,8484,8743,8726,7748,8099,7600,4026,1166,67609,151,189,353,786,1780,4937,9825,7589,2349,27951,8,24,25,34,93,314,1013,2110,1782,5401,244,572,1051,2056,4980,9811,14860,9268,2423,45258,329,271,421,879,3040,8821,16356,12688,4795,47603,201,150,217,336,674,1354,2389,2263,1019,8597,188,127,239,491,1279,3646,6150,4823,1623,18559,4209,8142,9827,9992,11155,10995,8094,3449,1201,67070,66,75,111,241,720,1763,3262,3043,1279,10562,7326,4608,4585,5577,7822,10884,10304,5509,2243,58858,106129,59387,60606,54502,53884,48128,33416,12639,2949,431635,13624,8800,9339,9048,9541,9488,8086,4734,1993,74649,142208,87154,91461,87790,95064,103961,98445,52439,16515,775038,136,606,2010,4519,11314,23884,33205,23498,10996,110165,8948,9123,12072,11999,12046,12958,12318,6634,2303,88405,124,176,479,1289,3166,6369,8648,5979,2428,28659,12,25,31,27,78,255,897,2435,3663,7426,241,551,1156,2218,4392,8141,10839,7515,2922,37968,233,244,417,664,1771,4615,8746,8835,5931,31451
29499,0,4,15,27,53,54,56,17,0,224,41,34,52,48,52,31,22,12,0,296,0,0,4,6,14,14,28,11,0,79,0,0,0,0,8,0,0,3,0,18,0,0,4,13,31,38,45,9,0,145,0,3,4,9,30,40,59,18,0,165,0,0,0,3,15,9,4,6,0,38,0,4,8,3,33,17,25,4,0,88,23,100,125,162,164,82,35,9,0,700,0,0,0,5,6,8,9,4,0,39,47,32,52,64,78,61,38,3,0,379,240,225,360,256,202,157,101,22,0,1568,263,221,392,530,468,284,133,19,8,2314,594,575,939,1008,912,644,392,90,15,5170,0,3,23,28,54,69,50,20,6,263,31,57,78,74,59,52,23,7,5,389,0,0,4,9,9,24,12,0,0,65,0,0,0,0,0,0,0,0,0,11,0,0,7,13,31,17,7,4,0,91,0,6,3,11,12,15,14,11,6,69
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,11,3,7,0,0,0,25,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,182,708,2509,4982,9798,16626,20801,14048,4457,74117,17607,13912,15261,14814,12179,9431,7698,3815,1024,95739,248,386,778,1474,3077,6571,10840,8407,2510,34302,18,24,45,67,142,381,1328,2798,2193,6989,371,913,1732,4266,9316,14550,17215,10266,2286,60910,510,507,797,1752,5234,11898,18562,14312,5055,58623,253,243,388,649,1135,1830,2811,2593,1163,11058,528,295,429,835,1938,4385,6580,5494,1681,22161,7071,14521,18293,17119,16382,12842,8802,3996,1346,100368,81,87,178,384,1008,2116,3414,3209,1228,11699,14172,8750,9634,11877,14318,15544,13273,7180,2698,97446,194332,120655,127001,116805,94985,62939,34013,12507,2640,765883,19187,14147,16909,14746,13121,9653,6313,3525,1659,99245,248831,168219,183841,176133,160551,132656,102051,53955,16110,1242349,243,1128,3372,7174,16641,27748,35763,25025,11097,128194,12593,15373,20700,20570,19081,16307,13936,7528,2397,128489,214,350,1060,2650,5899,8597,10311,7135,2756,38968,17,17,35,33,120,302,1207,3277,4509,9515,386,909,2046,3992,7540,11587,13398,8494,2807,51147,395,499,803,1216,2929,6069,10512,10477,6400,39308
3RQLD,217,676,2185,4864,10892,22398,30554,20507,6150,98434,17384,11128,11541,12068,11250,10711,9297,5093,1249,89719,234,322,663,1309,3017,8061,14637,11071,3303,42616,30,23,30,72,151,584,1771,3764,2878,9309,397,871,1424,3307,8244,15385,20559,12712,2930,65828,495,523,740,1544,5228,13664,23255,18539,6338,70323,238,197,352,556,1143,2120,3555,3523,1532,13209,490,246,397,891,2283,5971,9541,7554,2147,29518,6786,11643,13103,14567,16383,15722,11340,5076,1643,96259,86,103,172,404,1044,2601,4530,4375,1650,14971,12660,7295,7018,9354,13299,17146,15323,8566,3207,93868,187714,108576,107771,100349,96303,77095,48780,19012,3874,749474,24871,18273,20779,19380,20208,17343,12164,6755,2535,142310,246452,154460,158891,157012,167212,165201,142094,76828,21880,1290035,228,945,2753,7077,17518,34557,45265,32237,13468,154051,12349,13042,16640,17634,17903,18031,16311,8622,2628,123150,207,297,810,2335,5756,9888,12822,8490,3014,43616,17,25,33,55,136,466,1505,4146,5436,11819,441,862,1789,3410,7092,12039,14398,9944,3205,53176,461,491,740,1308,3019,7503,12726,12943,7643,46830
