GCCSA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
1GSYD,2089990,2177951,4267941,825818,595468,1421283,283025,426181,709200,150421,149794,300220,71199,58338,129539,1330459,1229785,2560242,644658,832495,1477147,5.4,4.7,5.1,63.7,56.5,60,60.3,53.8,57,199182,201329,400516,33474,57329,90797,427347,504699,932044,178521,234209,412740,334527,171786,506312,13792,25483,39276,32608,51326,83932,380926,248599,629524,2029330,2090095,4119424,392938,398472,791407,1290585,1344906,2635497,998261,1018000,2016262
1RNSW,1132855,1191247,2324100,444092,270003,714094,148567,292979,441543,42525,52779,95299,33535,26138,59669,668717,641894,1310611,387942,472692,860627,5,4.1,4.6,59,53.9,56.4,56.1,51.7,53.8,39498,45509,85002,14093,30609,44700,111242,172791,284036,78839,124131,202976,311647,169565,481216,11590,22082,33668,18170,32916,51090,341408,224563,565977,1087303,1127276,2214580,187507,200256,387757,720025,739260,1459282,487654,524949,1012599
19499,5734,4381,10112,762,470,1229,410,506,910,216,155,370,392,252,647,1775,1382,3161,1917,1722,3630,22.1,18.4,0,31,31.6,0,24.1,25.8,0,146,181,327,33,76,109,425,540,969,274,339,614,858,463,1326,55,72,127,74,104,176,985,636,1621,1117,690,1808,2858,2673,5527,761,424,1186,3046,2835,5882
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1962857,2063309,4026163,907232,562704,1469932,295310,519954,815265,69660,90135,159793,72223,64529,136749,1344420,1237324,2581742,520210,728373,1248587,5.4,5.2,5.3,68.5,60,64.1,64.8,56.8,60.7,173213,181691,354900,40653,79053,119704,384334,460950,845280,178603,222002,400602,330957,171472,502428,13256,20056,33315,24328,36706,61038,368539,228242,596777,1925590,1997651,3923241,353811,363352,717165,1223581,1285807,2509392,931590,957450,1889045
2RVIC,632831,667057,1299885,258855,141562,400417,82548,178279,260831,23987,30867,54852,17085,13343,30433,382476,364053,746527,208150,260462,468616,4.5,3.7,4.1,60.4,54.6,57.4,57.7,52.6,55.1,19767,24708,44470,10175,23466,33641,61061,97339,158407,47254,73056,120310,167466,88994,256457,5708,10148,15856,7944,11268,19215,181124,110407,291524,613342,636687,1250028,97247,104336,201582,404091,415291,819380,270040,290470,560515
29499,4576,3373,7946,621,302,919,281,367,646,125,103,231,298,191,485,1324,961,2281,1218,1228,2447,22.6,19.6,0,28.9,28.4,0,22.4,22.9,0,114,129,239,35,69,98,337,365,701,161,208,372,614,336,949,54,54,112,50,41,90,715,435,1148,847,576,1426,2008,1884,3889,538,340,876,2171,2008,4180
29799,36,6,38,7,0,8,0,0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,28.6,25,28.2,28.6,25,28.2,0,0,0,0,0,0,3,0,3,4,0,4,4,0,4,0,0,0,0,0,0,4,0,4,7,0,7,0,0,0,5,0,5,7,0,9
3GBRI,993517,1048582,2042096,451929,294634,746555,136556,247393,383943,46590,67692,114282,38964,33171,72132,674032,642881,1316910,268519,356436,624953,5.8,5.2,5.5,67.8,61.3,64.5,63.9,58.1,61,63361,65404,128765,18419,34900,53320,159408,209318,368727,84875,115575,200443,220186,127919,348099,11707,15782,27488,14388,21383,35771,246277,165078,411354,955457,992390,1947844,207313,219840,427147,566250,586051,1152309,530775,564027,1094799
3RQLD,1043585,1092718,2136302,427292,266968,694264,133013,268864,401875,44572,55349,99920,35903,29830,65734,640774,621013,1261790,314690,394782,709475,5.6,4.8,5.2,61.4,56.8,59.1,58,54.1,56,31161,36640,67801,12009,26740,38744,97720,161536,259251,76694,117511,194202,287099,155545,442648,13086,19253,32336,15763,23150,38910,315950,197943,513891,962838,995946,1958785,207264,225565,432831,591906,602209,1194121,515115,560101,1075215
39499,7108,6127,13234,1003,602,1610,462,658,1119,244,247,492,466,384,851,2172,1892,4069,2898,2883,5780,21.5,20.1,0,30.6,30.9,0,24,24.7,0,171,197,369,66,101,168,494,831,1322,384,577,959,1449,778,2225,71,114,183,96,112,208,1616,1003,2617,1455,1091,2545,4166,4209,8378,948,648,1590,4429,4444,8873
39799,149,28,183,25,0,26,0,0,0,6,0,8,0,0,3,31,3,35,6,0,11,3.1,33.3,5.7,21.2,9.7,19.2,20.5,6.5,18.1,0,0,0,0,0,0,3,0,4,0,5,4,18,0,14,7,0,7,4,0,4,25,0,25,39,5,47,3,0,4,17,3,20,26,3,30
4GADE,558325,591428,1149752,240391,145030,385420,87209,161644,248849,16158,20529,36687,21703,17304,39010,365455,344509,709968,170220,225253,395473,5.9,5,5.5,65.5,58.3,61.7,61.6,55.3,58.4,34537,36927,71463,10043,18429,28468,86156,112088,198243,45804,58050,103858,120767,70568,191331,6347,8655,15003,8187,11902,20088,135294,91125,226421,557887,582791,1140682,87106,90443,177553,369758,386568,756331,242538,256044,498588
4RSAU,163013,162625,325639,62279,32044,94320,19379,42170,61546,5768,6083,11857,4941,3572,8513,92369,83869,176233,59317,68399,127714,5.3,4.3,4.8,56.7,51.6,54.1,53.6,49.4,51.5,2261,2972,5241,1274,3253,4527,9325,17605,26928,8818,14869,23685,43293,24494,67788,2195,3297,5491,2589,3268,5855,48077,31055,79133,156037,156058,312096,22111,23214,45321,110420,108442,218865,59256,62723,121976
49499,1668,1306,2975,233,117,351,124,141,264,64,48,106,150,113,266,562,423,989,651,613,1266,26.3,27,0,34,32.3,0,25,23.6,0,36,44,76,6,22,29,108,125,234,65,96,154,308,166,472,33,30,60,23,21,45,363,214,577,369,226,596,947,917,1865,262,144,404,1008,965,1975
49799,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,6,0,6,0,0,0,6,0,6,0,0,0
5GPER,838947,876467,1715415,402013,232837,634850,118616,244784,363404,29205,31426,60631,30595,28323,58919,580432,537374,1117807,210306,299590,509895,5.3,5.3,5.3,69.2,61.3,65.2,65.5,58.1,61.7,51024,50178,101204,14697,28381,43076,134759,175500,310258,74022,93317,167344,189247,101736,290986,10750,15297,26049,10680,19727,30407,210677,136758,347434,834509,866205,1700716,139628,147947,287575,539591,558499,1098092,378265,402509,780775
5RWAU,219201,211827,431032,97240,53094,150334,23093,52988,76083,10210,8845,19053,5900,4790,10691,136444,119717,256160,57261,72708,129971,4.3,4,4.2,62.2,56.5,59.4,59.6,54.3,57,3857,4693,8556,1950,5039,6988,15144,27599,42739,13115,19832,32946,60554,29943,90496,3367,5442,8807,2820,4551,7373,66745,39939,106680,198024,195198,393223,39032,40019,79052,130448,126130,256575,92816,96191,189007
59499,4247,3030,7285,572,341,915,210,274,484,116,96,212,227,160,392,1125,875,2000,990,967,1955,20.3,18.4,0,26.5,28.8,0,21.1,23.5,0,64,90,148,29,49,77,227,340,563,143,190,335,662,286,946,39,49,85,26,42,66,726,376,1105,650,443,1089,1743,1662,3403,365,234,595,1901,1766,3664
59799,455,61,516,221,27,243,14,4,18,17,4,14,3,0,3,252,29,277,12,9,18,1.2,0,1.1,54.6,50.8,54.2,53.9,50.8,53.6,5,0,3,3,0,3,36,9,39,24,7,35,100,3,100,3,3,4,8,0,7,110,7,117,200,24,229,55,10,71,123,16,139,137,24,163
6GHOB,99180,106333,205506,40042,25104,65150,16710,29853,46560,2976,4035,7007,4199,3620,7818,63929,62618,126541,30854,39154,70007,6.6,5.8,6.2,64.5,58.9,61.6,60.2,55.5,57.8,8427,9669,18092,2059,3892,5943,15893,19986,35878,7252,9511,16764,21215,12319,33534,1079,1799,2874,1228,1999,3223,23522,16113,39634,95678,101400,197079,17404,18059,35467,63178,67239,130420,44273,46934,91209
6RTAS,126364,131795,258158,48194,26344,74535,17091,34815,51911,4425,4812,9229,4542,3554,8099,74250,69527,143777,44391,54972,99363,6.1,5.1,5.6,58.8,52.8,55.7,55.2,50.1,52.6,4380,4701,9083,1443,2896,4337,10974,17389,28363,8053,11814,19863,33414,19051,52470,1624,3126,4751,1665,2886,4545,36697,25064,61763,122399,125749,248149,18843,20139,38978,83330,84263,167590,51119,55077,106199
69499,689,561,1248,101,53,149,53,69,126,22,12,33,81,60,139,249,194,445,242,244,485,31.2,31.3,0,36.3,35,0,25,24.1,0,12,19,31,3,10,20,24,61,84,27,28,52,109,69,180,9,26,34,10,4,7,135,94,221,178,106,280,362,374,736,102,76,176,416,383,801
69799,13,0,19,10,0,12,0,0,0,0,0,0,0,0,0,10,0,12,0,0,4,0,0,0,73.3,50,70.6,73.3,50,70.6,0,0,0,0,0,0,0,0,3,6,0,6,5,0,5,0,0,0,0,0,0,5,0,5,8,0,9,3,0,3,3,0,8,6,0,5
7GDAR,56309,55301,111611,28961,22136,51101,6841,11686,18528,2358,2645,5004,1655,1477,3131,39816,37943,77762,11155,12770,23923,4.2,3.9,4,70.7,68.6,69.7,67.8,65.9,66.9,3547,4197,7745,937,2150,3085,7221,10956,18186,4566,5332,9898,13543,6746,20299,740,998,1741,747,876,1624,15036,8622,23662,49380,49197,98576,12981,13295,26284,27925,27202,55125,30389,31553,61951
7RNTE,34338,34608,68943,12122,10010,22130,2752,4436,7199,1184,1333,2518,1664,1432,3095,17732,17207,34941,12767,14099,26866,9.4,8.3,8.9,51.7,49.7,50.7,46.8,45.6,46.2,1013,1423,2434,305,850,1156,2379,4037,6420,1679,2029,3708,5885,3060,8945,555,724,1281,479,577,1055,6911,4369,11276,32754,32828,65580,6585,7159,13744,22789,23023,45822,13320,14044,27360
79499,1567,1486,3052,132,121,252,60,73,132,50,63,115,70,58,127,312,320,633,645,605,1251,22.5,18.6,0,19.8,21.5,0,15.4,17.5,0,32,50,84,20,34,60,91,166,259,63,85,157,231,92,324,16,14,30,19,23,39,261,125,389,541,431,972,721,747,1469,289,235,525,779,786,1563
79799,83,11,94,40,6,46,0,0,6,12,0,12,4,0,4,58,3,63,6,4,8,3.6,0,3.3,65.9,45.5,63.5,63.5,45.5,61.5,0,0,0,0,0,0,6,0,7,6,0,6,16,6,23,6,0,3,6,0,6,25,4,32,42,10,53,15,0,18,21,3,29,35,5,37
8ACTE,181261,189730,370996,92981,70490,163473,26891,44406,71301,5678,7944,13620,5404,4502,9905,130954,127343,258296,42349,55007,97350,4.1,3.5,3.8,72.2,67.1,69.6,69.3,64.7,67,27454,25288,52739,6467,10337,16812,40549,49327,89879,15251,19121,34370,25164,14593,39764,1471,2031,3499,2008,3617,5621,28645,20247,48890,171875,178295,350169,40239,40760,81001,103478,108677,212157,97304,99696,196993
89499,315,249,560,61,49,108,25,54,83,9,6,19,29,21,48,135,129,264,89,88,169,22.6,14.7,0,42.5,51.8,0,32.9,44.2,0,10,21,36,0,7,10,21,50,69,16,22,36,46,18,68,8,3,10,0,4,6,57,26,78,78,45,120,153,189,348,46,23,68,182,207,383
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,2068,1887,3953,810,534,1347,246,473,719,87,92,178,24,28,53,1163,1129,2297,599,482,1086,2.1,2.5,2.3,56.4,59.9,58.1,55.2,58.5,56.7,37,71,101,13,52,71,132,214,348,117,180,299,502,184,685,35,53,84,17,44,59,556,276,834,1593,1593,3184,322,331,650,1131,1132,2265,670,701,1369
99499,6,4,11,3,6,5,4,0,4,0,0,0,0,0,4,5,4,8,0,0,0,16.7,33.3,0,66.7,100,0,55.6,66.7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,6,4,0,0,0,5,6,4
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
