GCCSA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1GSYD,57272,118986,304665,287652,247142,167752,41769,4208,333,1229785,79413,38971,81950,85594,79364,117231,178165,119095,52715,832495,5851,8611,23576,18997,13879,11518,10659,10711,11868,115676,142533,166569,410190,392253,340388,296496,230601,134013,64908,2177951,13884,90477,374931,380465,320068,198845,39501,2947,178,1421283,57965,89561,142772,142455,122463,103194,43001,7250,553,709200,24837,36776,61335,48944,38412,34872,11601,1517,139,258428,1606,5097,13219,9516,6265,4218,1330,410,125,41783,98284,221909,592249,581378,487206,341136,95433,12129,989,2430704,3307,9914,19855,15833,13797,10356,1452,73,15,74598,11941,10768,10502,7282,5981,6279,1953,220,20,54944,15247,20685,30361,23114,19777,16631,3407,290,36,129539,113531,242589,622605,604491,506987,357764,98835,12415,1018,2560242,168796,81732,139743,133794,131059,197109,319965,217987,86963,1477147,12438,18740,48963,39464,29121,24301,20664,19111,17746,230551,294764,343064,811314,777748,667167,579166,439467,249517,105729,4267941
1RNSW,45961,56628,126617,128696,137317,113542,29196,3580,364,641894,28169,12998,29487,27298,31790,72192,137397,93115,40244,472692,4807,4762,10526,9993,9630,10165,10119,9392,7275,76661,78934,74384,166628,165984,178733,195902,176704,106086,47884,1191247,19702,56536,153251,156543,171086,126156,27114,3409,295,714094,52438,42252,72610,76821,76122,81007,33965,5750,569,441543,7014,7017,17039,12000,11037,13358,4651,668,117,72896,1932,2542,5087,3915,3630,3091,1293,719,201,22405,81082,108351,247988,249276,261879,223613,67024,10539,1190,1250938,3312,5061,7183,5474,5932,5142,677,31,9,32827,7100,3783,4105,3247,3225,4025,1223,107,22,26842,10415,8841,11286,8726,9157,9172,1902,139,30,59669,91498,117188,259280,258005,271037,232781,68923,10679,1222,1310611,60985,24909,47609,45201,56620,126796,258773,174108,65626,860627,10116,10195,21643,20356,20452,21383,20508,16942,11274,152864,162601,152295,328523,323565,348104,380961,348204,201734,78115,2324100
19499,95,154,428,259,226,183,41,0,0,1382,105,130,265,203,242,371,298,88,19,1722,87,134,331,282,204,147,61,21,7,1273,279,418,1022,749,666,698,404,104,32,4381,31,112,408,278,214,148,25,4,0,1229,66,97,287,141,133,136,50,0,0,910,17,24,91,51,49,39,5,0,0,284,6,10,23,15,18,9,6,5,0,87,123,245,809,492,412,338,86,6,0,2511,22,50,98,111,85,47,8,0,0,419,26,41,48,35,32,36,7,0,0,224,46,86,148,147,116,80,18,4,0,647,169,336,963,640,530,423,103,8,0,3161,186,224,484,446,514,772,759,216,33,3630,175,266,745,770,637,460,190,58,18,3319,532,829,2187,1859,1678,1648,1055,277,49,10112
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,66113,123059,310814,284853,246605,163264,38704,3656,260,1237324,62571,29531,66482,70033,63706,100091,166648,115427,53886,728373,5150,7503,20801,16321,12449,9998,9480,8526,7381,97610,133838,160090,398093,371203,322760,273358,214827,127601,61530,2063309,12937,92307,404371,388034,328618,202997,37822,2693,150,1469932,78137,116253,163897,157651,135085,111254,45410,7108,465,815265,11506,15108,31563,23802,15243,15503,5841,904,103,119571,1627,5156,12734,8941,6080,3826,1278,430,150,40224,104206,228826,612555,578433,485019,333593,90351,11140,861,2444991,3027,10036,19471,14271,12612,8916,1211,66,18,69628,20341,12835,10886,8183,6641,6227,1783,200,20,67122,23372,22874,30363,22460,19253,15141,2996,262,34,136749,127580,251692,642920,600896,504273,348731,93346,11399,895,2581742,136422,60554,102142,100295,98761,160688,293685,208234,87798,1248587,10699,16291,43630,33910,26075,20560,17990,15356,11329,195836,274698,328543,788689,735102,629107,529975,405027,234998,100021,4026163
2RVIC,24360,30435,71464,72337,77995,67261,17847,2119,237,364053,15787,6552,16392,16115,17814,38415,77587,49882,21913,260462,2474,2403,5664,5641,5507,5848,6040,5208,3754,42540,42621,39392,93516,94090,101314,111524,101472,57215,25907,667057,9222,30974,88208,85751,94893,72526,16454,2196,198,400417,29128,23551,41393,46135,45996,49462,21392,3436,334,260831,3972,3309,9013,6465,5902,8498,3177,443,78,40862,1153,1401,2944,2363,2437,1981,1054,514,133,13985,43470,59238,141550,140714,149227,132460,42077,6593,751,716097,1300,2396,3707,2680,3053,2664,365,14,5,16186,3942,1798,2187,1694,1713,2181,632,79,15,14245,5242,4195,5892,4369,4765,4846,997,98,20,30433,48713,63432,147445,145086,154000,137307,43073,6692,769,746527,34197,12503,25928,25556,30812,66007,144470,93401,35735,468616,5135,5187,11602,11244,11574,12162,12370,9562,5919,84747,88042,81124,184984,181883,196379,215485,199919,109653,42424,1299885
29499,62,133,338,166,112,121,15,6,0,961,83,102,233,223,191,200,141,48,8,1228,79,92,300,346,179,113,61,14,6,1186,229,321,878,730,479,429,224,58,19,3373,25,91,327,204,150,102,13,0,0,919,44,99,215,96,90,88,22,3,0,646,9,21,42,30,28,24,7,0,0,164,6,7,16,14,15,7,0,4,0,69,82,217,600,341,277,227,47,11,0,1797,18,41,89,84,57,35,3,0,0,329,29,31,37,24,13,11,6,0,0,163,45,68,132,110,69,51,11,0,0,485,130,282,733,454,352,279,60,11,0,2281,165,173,401,418,406,397,362,104,16,2447,172,214,688,867,639,405,190,34,13,3220,459,671,1819,1736,1393,1074,613,152,29,7946
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,27,0,0,6,16,3,14,4,0,0,38
3GBRI,44269,67599,148083,144724,131990,86066,18411,1612,123,642881,29403,14774,32075,31479,30237,50137,89153,56272,22899,356436,3108,4388,10070,8003,6275,4942,4554,4182,3743,49270,76779,86761,190232,184205,168506,141143,112118,62066,26771,1048582,10917,57105,183567,190612,177833,107006,18180,1268,62,746555,47549,51617,75384,74098,62504,50446,19374,2805,163,383943,11774,13291,22583,16580,13789,12704,3996,399,48,95168,1208,2662,5624,3961,2983,1835,558,211,72,19110,71448,124682,287158,285251,257102,171993,42110,4690,347,1244782,3239,6669,9876,7093,6621,4992,653,25,5,39187,10889,5611,5385,3955,3085,3034,898,70,13,32940,14128,12283,15260,11049,9712,8035,1551,94,26,72132,85572,136968,302422,296304,266814,180022,43659,4781,364,1316910,65129,28445,50614,47121,48404,83063,161401,103804,36974,624953,6416,9227,21035,16916,13837,10718,9105,7436,5542,100237,157117,174643,374070,360339,329053,273801,214163,116022,42879,2042096
3RQLD,45893,55445,123663,129283,134832,103072,25698,2883,239,621013,25317,12363,29230,27819,30153,60647,110690,71443,27122,394782,4704,5789,13169,11227,10903,10098,8683,7376,4973,76921,75915,73598,166061,168330,175891,173823,145075,81697,32328,1092718,16536,55963,148312,156975,169201,119127,25187,2801,160,694264,52777,38247,67965,73326,70740,66688,27391,4384,351,401875,7340,7484,17172,12794,12839,13740,4305,561,69,76302,1829,2799,5825,4427,3992,2889,1145,554,162,23623,78477,104482,239275,247528,256777,202448,58029,8303,739,1196051,3542,5254,7865,6061,6829,6117,822,38,11,36550,8268,3636,4549,3674,3491,4200,1238,114,15,29187,11809,8898,12416,9730,10318,10320,2056,153,29,65734,90285,113381,251691,257262,267091,212769,60091,8457,769,1261790,55593,22040,44198,42856,50792,103474,208637,136307,45573,709475,9950,12728,29066,25220,25217,22774,18443,13768,7871,165039,155824,148151,324954,325336,343100,339019,287170,158531,54209,2136302
