GCCSA_CODE_2021,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
1GSYD,25507,955,274,1228,26740,11701,150,38585,161,45,17,276,502,3,0,10,511,103,531,1140,95806,18835,8667,2045,125350,2908,675,3579,128929,18687,943,148565,26100,3446,1599,157,31299,583,97,682,31981,2356,56,34392,19099,4532,1393,156,25183,376,75,447,25628,1907,29,27567,2671,684,1109,43,4504,60,10,75,4583,355,11,4945,210,48,32,302,591,6,8,19,610,69,82,751,48084,8706,4129,657,61577,1021,196,1216,62795,4696,176,67664,592,120,43,10,769,155,17,174,938,100,0,1041,670,137,50,17,878,104,56,159,1039,122,0,1164,1257,256,94,32,1647,254,78,332,1980,221,0,2205,49344,8970,4227,688,63223,1280,272,1552,64781,4918,177,69868,10478,2817,1505,404,15202,572,197,766,15967,7759,85,23809,75,29,17,138,256,3,0,6,262,47,298,610,59888,11814,5751,1229,78686,1852,467,2326,81005,12721,559,94284,33693,4733,2140,199,40761,818,137,954,41719,3304,57,45078,23228,5704,1709,189,30824,500,84,592,31415,2543,45,33998
1RNSW,8357,262,94,356,8711,2586,31,11328,68,24,3,57,150,4,0,3,156,20,182,358,52701,8295,1936,1007,63938,848,281,1121,65060,5302,373,70742,14925,1863,390,107,17286,155,52,205,17492,870,28,18392,13846,2362,399,132,16744,150,54,205,16949,883,31,17859,872,200,190,18,1285,16,8,17,1305,85,3,1391,140,27,11,189,367,11,3,13,381,29,34,445,29787,4450,995,446,35682,330,111,437,36118,1873,97,38086,161,38,8,0,208,48,0,48,258,31,0,292,295,49,8,9,361,33,18,52,416,42,0,455,455,88,18,8,570,74,25,99,673,73,6,744,30244,4538,1011,454,36247,410,134,545,36792,1944,100,38836,3832,830,204,139,4999,148,50,192,5194,1847,22,7069,42,11,0,31,83,0,5,4,84,17,155,257,34118,5376,1214,619,41329,553,190,741,42073,3805,282,46158,18797,2276,487,126,21683,194,62,258,21943,1199,23,23163,15570,2754,478,148,18952,164,54,220,19171,1041,34,20243
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,23325,767,239,1007,24333,5442,120,29895,186,64,0,240,489,14,0,15,506,48,476,1024,101428,16075,2305,1902,121713,2557,652,3207,124921,9979,834,135728,24761,3026,429,107,28331,504,118,622,28956,1503,37,30491,25229,4180,497,176,30077,421,80,501,30576,1374,42,31992,1232,220,201,11,1666,32,7,39,1706,144,7,1853,243,30,12,275,564,19,9,20,583,48,60,689,51469,7461,1140,570,60642,971,213,1180,61824,3064,138,65024,544,117,23,11,696,119,11,132,825,90,0,920,918,181,15,20,1139,103,67,174,1317,122,9,1439,1467,298,39,31,1833,224,83,308,2141,214,8,2362,52928,7758,1179,608,62473,1195,297,1493,63961,3272,146,67384,10556,2521,303,346,13733,474,155,630,14361,3835,82,18274,88,28,3,107,225,0,0,0,233,28,270,528,63578,10309,1486,1059,76433,1675,451,2124,78554,7134,498,86190,33320,4041,618,138,38118,694,128,819,38940,2192,61,41193,31866,5428,617,226,38140,519,130,648,38790,1908,30,40721
2RVIC,5042,118,39,161,5198,1294,22,6520,42,13,0,13,69,0,0,0,70,11,143,223,30238,4423,883,619,36169,412,150,566,36732,2648,228,39609,7660,910,150,49,8767,81,30,108,8876,413,14,9302,9186,1318,204,100,10802,93,28,121,10922,477,13,11419,475,80,91,3,647,12,5,13,661,43,0,712,89,18,0,155,273,0,0,3,272,20,17,316,17408,2324,444,312,20491,189,65,251,20734,957,43,21738,85,17,4,4,107,20,6,24,128,23,0,155,178,18,3,3,208,18,3,25,232,24,0,252,261,37,9,3,320,42,7,43,361,48,0,407,17668,2366,458,315,20804,230,66,295,21100,1005,43,22146,2316,486,102,85,2982,76,21,98,3078,932,15,4024,32,3,4,16,58,0,0,0,58,4,98,157,20012,2854,563,419,23843,300,88,387,24230,1940,156,26332,9888,1138,198,66,11293,98,26,125,11423,565,10,11998,10816,1708,268,118,12916,105,29,132,13050,558,16,13624
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,10884,364,82,446,11332,2309,57,13697,71,14,3,101,182,0,0,0,186,17,211,410,53879,8006,2017,868,64763,1236,272,1512,66270,4957,394,71620,14780,1695,405,74,16954,277,52,328,17284,913,23,18224,12074,1839,363,79,14350,180,39,220,14573,632,27,15231,1511,256,239,18,2024,24,5,28,2052,128,0,2180,101,19,4,148,270,4,3,4,276,36,29,340,28469,3807,1006,312,33600,483,102,588,34188,1717,81,35974,301,76,9,12,393,70,9,78,466,53,0,520,411,76,12,11,515,45,21,66,579,43,10,623,708,148,26,30,912,110,26,139,1044,90,10,1144,29180,3959,1036,337,34509,594,131,729,35234,1809,80,37123,5138,1006,217,140,6509,186,46,233,6745,1604,33,8382,48,4,0,50,102,0,0,4,107,14,131,252,34367,4974,1252,530,41118,786,177,964,42083,3425,246,45754,19420,2158,570,91,22239,380,79,456,22698,1289,24,24007,14838,2392,482,79,17793,188,47,239,18031,907,28,18964
3RQLD,8598,343,117,458,9057,2608,34,11700,76,32,5,74,176,0,0,0,182,24,234,439,48819,7634,1869,1067,59390,1088,334,1423,60812,5411,412,66635,13441,1517,389,85,15429,201,70,269,15700,863,25,16582,12595,2138,438,134,15305,197,65,255,15562,804,21,16388,901,198,194,16,1316,19,9,19,1340,107,3,1445,141,29,5,221,386,4,0,8,390,46,31,466,27077,3883,1027,450,32435,414,143,559,32993,1813,82,34884,188,37,7,5,237,66,12,73,306,46,5,360,356,60,23,13,447,32,27,55,508,55,0,564,545,93,26,18,687,93,38,129,818,100,5,915,27624,3972,1055,471,33118,508,175,688,33810,1916,83,35802,3944,827,190,153,5118,197,61,260,5373,1772,16,7165,54,12,0,43,108,0,0,3,109,12,143,267,31619,4815,1245,664,38346,708,239,950,39292,3698,246,43230,17431,1957,529,115,20029,210,84,300,20327,1090,29,21449,14524,2615,515,159,17812,226,70,295,18106,1003,23,19132
