GCCSA_CODE_2021,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
1GSYD,3489,890,1461,39,5880,76,23,93,5975,506,9,6492,214,56,44,371,684,17,0,18,702,85,46,838,60622,11382,5355,796,78150,1413,246,1655,79806,6435,160,86403,689,131,57,14,896,179,26,208,1106,139,0,1248,731,193,59,23,1012,124,75,200,1217,162,0,1378,1418,329,121,46,1918,309,102,405,2323,304,0,2627,62037,11708,5472,842,80064,1721,348,2067,82135,6739,158,89031,12876,3374,1919,417,18589,620,231,850,19444,9799,73,29317,76,15,13,83,194,3,0,3,195,51,214,460,74990,15096,7410,1346,98845,2347,577,2924,101771,16589,457,118812,18512,2713,1219,99,22543,461,106,569,23111,2089,15,25215,12304,3354,1014,80,16752,287,65,355,17111,1602,9,18723,1967,505,982,33,3487,48,14,60,3547,364,0,3913,109,41,19,233,407,8,3,17,421,59,20,501,32892,6611,3234,450,43188,805,191,994,44187,4114,46,48351,387,81,46,3,523,134,12,151,669,94,0,762,389,118,63,10,569,82,56,139
1RNSW,999,193,205,17,1413,18,7,16,1434,101,5,1538,160,27,9,216,406,3,0,3,411,41,22,477,35518,5244,1179,508,42456,381,121,501,42951,2380,82,45423,192,42,10,9,245,61,5,64,313,27,0,341,305,68,9,13,395,30,21,48,443,39,0,485,494,109,21,11,637,90,21,117,759,72,0,829,36014,5355,1195,525,43093,475,146,615,43712,2448,82,46247,3976,881,193,131,5186,147,63,214,5395,1681,18,7101,30,12,4,16,62,0,0,0,60,5,79,145,40025,6251,1391,673,48339,623,210,834,49173,4140,180,53495,5471,624,165,16,6273,56,17,76,6352,380,3,6732,4208,798,112,28,5145,48,18,64,5208,313,4,5529,281,47,69,3,399,4,0,9,401,30,0,428,26,8,0,52,87,0,0,0,88,10,10,106,9980,1475,351,99,11903,114,36,146,12052,726,23,12801,46,6,0,0,54,15,0,15,70,11,0,75,62,15,6,0,84,11,4,13
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1590,289,279,17,2184,43,3,47,2230,161,8,2400,290,44,13,392,737,17,0,17,752,57,58,869,67073,9802,1536,771,79179,1267,257,1527,80706,4323,146,85178,686,153,21,25,882,145,13,159,1035,98,5,1136,1127,265,24,24,1441,121,67,191,1629,149,4,1788,1812,418,49,44,2322,270,82,349,2668,254,7,2923,68882,10219,1583,813,81501,1538,341,1871,83375,4576,155,88108,12940,3083,400,391,16816,550,181,734,17550,4788,63,22403,106,35,7,81,223,3,0,3,225,19,170,412,81922,13343,1991,1288,98543,2087,519,2611,101152,9380,386,110917,19446,2422,387,80,22334,450,107,557,22892,1428,26,24349,17134,3245,340,100,20822,325,109,432,21252,1355,19,22627,931,172,183,8,1305,27,0,33,1333,120,0,1453,147,23,14,230,409,7,0,12,423,44,37,505,37664,5864,931,416,44874,810,218,1031,45898,2956,82,48939,374,97,15,11,493,108,17,125,613,70,4,685,583,138,9,3,729,67,46,119
2RVIC,496,93,105,17,709,3,4,12,718,44,3,766,118,20,8,201,344,0,0,0,342,29,7,376,21325,2961,581,404,25264,209,60,273,25535,1191,34,26764,99,19,3,3,127,29,0,33,155,28,0,184,189,31,5,3,229,21,0,18,253,23,0,276,286,51,8,6,355,49,0,48,403,52,0,455,21607,3011,590,410,25614,257,62,322,25942,1240,34,27217,2510,510,107,92,3214,81,13,96,3307,953,7,4267,24,3,0,6,34,0,0,0,34,4,59,97,24140,3527,697,504,28862,338,84,422,29283,2202,105,31586,3051,352,70,12,3478,35,11,46,3528,190,7,3724,3159,488,91,30,3764,37,8,47,3810,188,0,4000,168,30,50,3,244,3,0,3,250,21,0,273,21,3,3,49,79,0,0,3,80,8,0,90,6400,866,209,94,7565,75,27,98,7671,411,13,8095,33,13,0,0,37,7,0,6,48,3,0,54,57,14,0,0,66,6,6,12
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,1841,351,362,22,2570,48,10,56,2626,169,0,2798,130,21,8,177,338,6,0,6,344,25,22,388,36233,4922,1424,367,42943,617,137,755,43692,2384,76,46162,385,74,20,7,487,74,14,85,572,51,0,622,498,89,15,6,610,42,22,63,673,53,0,729,879,168,38,17,1094,114,35,146,1240,106,0,1351,37112,5085,1462,382,44033,731,169,903,44931,2492,83,47509,5969,1126,276,151,7517,207,56,263,7780,1800,31,9611,54,12,0,34,100,0,0,0,100,17,96,204,43130,6217,1736,567,51646,936,229,1163,52814,4302,209,57324,8133,911,257,33,9336,138,34,169,9511,570,10,10088,5936,1006,184,23,7149,103,29,130,7274,430,10,7713,723,129,186,13,1056,11,4,14,1072,59,0,1133,54,6,0,69,136,3,0,3,140,15,12,168,14848,2056,630,139,17678,252,70,324,17998,1073,32,19100,144,23,6,4,181,19,3,25,203,19,0,228,158,20,4,0,183,25,7,31
3RQLD,1018,252,256,12,1540,23,3,26,1563,128,0,1694,130,29,6,269,436,3,0,5,438,48,16,505,33098,4852,1306,555,39815,464,155,621,40436,2277,71,42779,232,51,10,4,291,64,5,71,362,64,4,429,370,67,23,21,471,39,34,68,541,58,0,596,600,120,25,26,762,103,41,137,904,114,4,1025,33696,4969,1331,582,40579,562,198,762,41339,2391,74,43805,4249,925,244,163,5587,190,53,245,5826,1732,16,7576,52,13,0,23,95,4,0,4,92,12,77,183,38001,5910,1576,765,46258,759,256,1008,47260,4131,163,51562,3978,481,110,24,4591,48,5,53,4647,303,3,4945,3076,672,112,18,3875,53,12,67,3943,238,9,4184,264,82,83,0,430,4,0,4,440,42,0,483,29,5,0,52,86,0,0,0,90,11,4,96,7343,1235,311,93,8983,104,22,127,9111,586,15,9713,49,11,0,0,69,20,0,21,88,21,0,108,69,9,3,0,87,5,4,14
