GCCSA_CODE_2021,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
1GSYD,1039,2271,2014,1652,2395,1255,738,11357,370,724,620,539,723,357,244,3582,188,309,243,206,286,177,114,1520,87,108,60,60,63,49,27,456,1684,3407,2941,2454,3473,1841,1124,16921,113,172,155,105,176,87,51,860,34,54,65,46,49,22,19,285,147,227,219,149,222,113,74,1152,1829,3626,3164,2601,3698,1953,1197,18071,710,1393,1070,863,1160,649,362,6208,70,93,58,46,33,17,9,322,2612,5114,4294,3507,4887,2615,1574,24598,3886,9353,7845,6277,9012,4944,2862,44183,4871,9022,6572,4731,6190,3015,1645,36048,1835,2194,1542,1083,1418,781,533,9390,280,410,295,188,222,140,89,1624,10875,20983,16249,12286,16845,8879,5131,91242,371,700,490,408,544,279,176,2969,660,965,616,445,522,246,155,3608,1031,1663,1103,850,1064,520,329,6579,11908,22646,17353,13140,17918,9400,5459,97818,16315,17729,10395,7111,8448,4145,2502,66638,341,416,283,183,146,66,38,1480,28560,40793,28035,20430,26516,13608,7992,165941,4926,11620,9861,7926,11410,6203,3599,55541
1RNSW,845,1860,1731,1450,1944,527,223,8588,253,672,598,501,522,101,43,2700,70,140,101,60,83,25,13,502,61,103,56,42,51,4,0,326,1231,2770,2490,2060,2604,667,284,12112,85,154,140,105,119,15,12,628,36,104,61,41,50,5,4,292,120,255,204,147,164,23,9,920,1353,3028,2694,2211,2765,687,298,13022,631,1198,929,831,742,155,79,4558,43,71,66,65,42,0,0,282,2024,4301,3691,3097,3547,845,370,17870,2341,6130,5510,4263,5683,1539,603,26071,5677,10398,6937,4837,5142,1083,387,34458,1189,1154,737,506,509,136,52,4277,303,423,277,177,174,37,19,1407,9513,18102,13461,9786,11505,2793,1052,66211,315,648,442,311,289,54,14,2070,716,1014,567,377,337,53,12,3085,1027,1659,1012,684,631,107,32,5153,10541,19761,14468,10475,12132,2902,1081,71367,12750,11634,6424,4240,3761,620,292,39716,326,380,254,179,104,10,4,1257,23613,31773,21149,14891,15997,3539,1377,112335,3184,7988,7241,5713,7630,2064,827,34650
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1141,2556,2136,1757,2819,1638,988,13038,327,670,619,519,725,402,210,3477,54,106,80,82,124,78,42,570,73,98,63,55,57,34,26,408,1596,3424,2891,2416,3727,2155,1268,17486,88,171,124,121,125,82,41,764,27,88,60,57,64,26,22,343,117,259,187,182,185,110,63,1108,1716,3684,3083,2601,3913,2264,1332,18597,525,1001,797,629,925,554,362,4792,71,60,52,52,36,8,14,301,2311,4747,3931,3285,4877,2825,1703,23690,3424,8463,7407,5877,9029,5390,3020,42615,5411,10993,7928,5854,7811,4026,2166,44192,1081,1101,702,511,714,373,227,4702,285,441,281,211,296,142,65,1721,10198,20997,16323,12455,17853,9928,5478,93229,372,768,519,396,550,305,192,3109,731,1406,710,511,637,304,164,4463,1107,2177,1230,910,1185,616,354,7569,11308,23171,17556,13362,19035,10539,5827,100797,12047,13484,7760,5572,6743,3599,2291,51491,349,452,248,190,134,65,45,1480,23709,37103,25557,19127,25908,14209,8156,153770,4563,11022,9548,7636,11852,7031,4011,55658
2RVIC,407,933,834,738,1018,308,111,4343,130,305,277,228,280,56,27,1300,38,56,51,27,40,9,4,234,30,63,26,20,31,9,3,185,598,1360,1188,1017,1370,382,147,6067,30,75,79,51,63,13,6,324,21,46,36,30,18,11,3,159,53,128,116,82,77,25,10,486,655,1487,1305,1104,1446,406,154,6555,269,568,386,355,349,111,47,2082,28,36,46,42,23,5,0,185,950,2092,1741,1497,1816,520,207,8824,943,2734,2587,2104,2992,868,343,12559,2933,5917,4002,2841,3204,806,267,19970,565,573,321,218,265,63,31,2044,116,209,155,85,96,29,16,702,4560,9435,7056,5258,6555,1756,656,35277,142,267,210,151,180,43,9,995,321,506,292,191,183,40,13,1539,463,773,497,340,363,83,22,2534,5013,10206,7557,5592,6923,1838,683,37813,6025,5971,3271,2228,2059,510,202,20266,137,178,129,75,49,11,0,583,11181,16359,10955,7897,9026,2362,882,58664,1345,3667,3419,2844,3999,1170,454,16903
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,881,2087,1838,1423,1988,705,292,9219,249,570,452,320,412,149,62,2214,62,103,93,75,89,45,8,482,59,59,43,37,36,12,10,259,1254,2823,2429,1860,2518,905,369,12168,103,153,138,108,113,26,16,654,32,101,72,41,26,10,9,295,128,260,208,155,138,37,24,950,1385,3077,2634,2008,2655,946,394,13115,425,828,678,544,562,179,97,3312,55,72,54,31,23,12,4,242,1865,3978,3368,2594,3238,1138,492,16670,2644,6260,5230,4077,6014,2242,1051,27510,3704,7139,5023,3530,4208,1309,588,25495,1152,1421,930,620,747,262,120,5253,248,357,214,138,142,49,18,1176,7745,15176,11396,8366,11111,3859,1778,59432,401,824,524,348,389,94,42,2620,705,1077,534,346,382,85,32,3174,1111,1899,1060,694,769,188,73,5791,8852,17080,12454,9065,11884,4046,1851,65224,9902,9874,5502,3849,3736,1073,608,34530,255,270,157,102,62,17,9,872,19005,27222,18105,13012,15677,5134,2469,100627,3525,8339,7063,5500,8001,2956,1339,36723
3RQLD,931,2132,1822,1496,2016,381,147,8922,276,643,572,417,513,107,51,2579,69,136,95,66,77,19,5,470,65,110,88,73,50,13,3,405,1343,3019,2580,2051,2659,520,211,12381,102,185,184,133,128,21,12,767,58,107,99,68,44,4,0,377,155,296,287,197,171,28,8,1148,1505,3310,2865,2247,2828,542,223,13526,541,1069,850,643,652,132,60,3941,47,84,64,56,28,4,0,284,2090,4463,3780,2949,3503,677,281,17744,2421,6061,5363,4387,5835,1238,554,25861,4740,9338,6556,4457,5075,911,340,31420,905,1080,714,474,623,149,57,3998,255,410,245,196,170,40,21,1331,8326,16889,12879,9514,11697,2332,967,62616,416,928,542,420,356,58,20,2738,802,1259,699,434,391,76,16,3682,1222,2187,1239,853,748,131,38,6422,9548,19073,14119,10367,12450,2470,1011,69036,10855,10549,5998,3966,3453,656,275,35745,284,370,205,160,74,22,0,1117,20690,30000,20322,14492,15975,3146,1282,105898,3356,8190,7187,5880,7852,1623,696,34788
