GCCSA_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
1GSYD,1894,48263,61101,37669,26205,16241,6452,1354,199182,448,5695,8046,7309,5796,4463,1452,270,33474,29848,121167,103417,69810,50644,34246,14343,3873,427347,13073,34181,40426,36172,27585,17073,7709,2299,178521,26741,63823,59790,61292,56238,38047,21959,6636,334527,2604,2677,2447,2120,1903,1319,606,124,13792,2004,3714,5110,6041,6468,5569,2907,794,32608,31342,70214,67350,69455,64606,44931,25467,7556,380926,1108,3028,3239,2643,2295,2003,1363,483,16170,19899,31282,26772,20179,17255,14632,11924,7411,149350,97623,313835,310349,243242,194386,133595,68709,23251,1384978,3020,62427,65005,35342,20619,11051,3312,557,201329,1680,11254,13395,11913,9547,7044,2108,390,57329,39617,153248,127484,84505,53192,31463,11717,3471,504699,16458,42897,48153,49602,38141,24570,10914,3472,234209,20053,36904,35896,33899,26872,12454,4257,1447,171786,3635,3522,4179,5083,4798,3044,950,269,25483,2646,4307,6391,10707,11753,9360,4519,1641,51326,26338,44737,46474,49688,43425,24853,9734,3357,248599,1056,2893,3206,2965,3237,3310,1977,640,19281,17298,28445,24176,18997,17888,18129,17440,15255,157619,105460,345908,327892,252997,186047,120416,57204,27135,1423057,4914,110698
1RNSW,293,6824,8417,7402,6944,6410,2659,538,39498,59,1435,2429,2788,3052,3301,909,118,14093,4823,23609,22425,19760,16612,16310,6286,1420,111242,2268,9864,14332,16644,15961,12864,5554,1348,78839,21851,54015,50589,52614,57912,45734,22967,5965,311647,2625,2440,1771,1503,1499,1185,463,94,11590,993,1676,2181,2735,3561,4222,2259,538,18170,25469,58138,54546,56854,62973,51146,25682,6594,341408,377,663,748,815,941,1158,773,270,5734,13964,15811,14774,14800,15286,15209,11650,5758,107266,47255,116347,117675,119060,121769,106394,53520,16050,698080,448,10089,11410,9164,7602,5226,1384,182,45509,689,4770,6090,6134,6240,5165,1319,199,30609,8631,41293,39673,31470,24313,18713,6987,1701,172791,5159,18216,21549,25039,25579,18711,7763,2113,124131,19433,36177,32859,33063,29630,13852,3552,993,169565,3357,3435,3150,3650,4358,3046,881,211,22082,1816,2476,3091,5679,8139,7363,3345,1004,32916,24615,42090,39106,42383,42116,24261,7772,2213,224563,373,725,808,998,1629,2055,1334,476,8398,11997,12650,12427,13049,15802,18056,17007,11123,112113,51911,129838,131062,128243,123294,92191,43572,18006,718120,743,16914
19499,6,38,38,23,22,21,6,0,146,0,4,8,6,5,8,0,0,33,23,151,73,72,52,47,12,0,425,10,61,52,43,56,40,12,0,274,54,176,143,132,186,130,32,6,858,11,21,8,3,6,4,0,0,55,5,13,14,9,13,18,4,0,74,72,203,167,145,204,153,35,6,985,0,0,4,10,3,8,0,0,30,236,431,500,464,326,151,46,5,2149,346,894,838,763,667,419,99,17,4042,0,62,40,31,28,14,0,0,181,0,20,14,13,20,11,0,0,76,25,207,99,86,70,45,11,0,540,27,64,54,64,81,40,8,0,339,63,107,77,86,91,34,9,0,463,17,12,11,9,10,12,0,0,72,6,10,8,11,36,21,9,0,104,87,127,100,109,137,63,15,0,636,3,3,0,0,8,5,0,0,25,229,352,309,221,156,85,31,11,1390,375,843,611,522,498,255,66,20,3187,5,107
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,3248,50513,51908,29418,19583,12356,5235,954,173213,567,6705,9551,8986,7550,5431,1582,278,40653,27990,109489,97637,64021,42494,28240,11397,3068,384334,12698,37644,41458,32881,24767,18022,8757,2392,178603,26785,68784,60622,60909,53968,34643,19356,5894,330957,3349,3057,2379,1844,1427,824,305,71,13256,1610,3411,4456,4718,4474,3413,1735,505,24328,31750,75249,67457,67471,59869,38878,21400,6466,368539,900,2450,2710,1792,1575,1439,978,371,12218,17123,27376,22052,17591,14711,12621,10476,5822,127773,94271,309432,292772,222155,170548,116994,59822,19353,1285337,4080,63221,56988,28912,16605,8800,2592,486,181691,1941,16173,19341,17734,13056,8026,2409,375,79053,37971,140362,118494,77118,45318,28003,10694,2994,460950,14824,44314,48893,45872,34229,21551,9318,2991,222002,18030,38213,35681,34565,27038,12557,4027,1369,171472,3248,3451,3677,3533,3275,2080,647,144,20056,2225,4119,5574,7866,7660,5417,2770,1085,36706,23497,45786,44937,45964,37974,20050,7436,2591,228242,848,2381,2442,1902,1921,2016,1334,610,13449,15422,25200,20834,17025,15730,16677,15635,11861,138380,98577,337434,311927,234528,164834,105132,49416,21908,1323761,7327,113738
2RVIC,335,4243,4082,3570,3252,2936,1174,176,19767,63,1063,1819,2014,2240,2307,612,66,10175,2743,13442,13127,10714,8798,8496,3128,612,61061,1657,6448,8286,8889,8843,8696,3709,733,47254,11782,31128,28420,29424,30630,22806,10552,2710,167466,1375,1270,992,703,646,518,180,32,5708,435,867,1072,1271,1560,1706,829,202,7944,13598,33265,30480,31401,32832,25035,11558,2950,181124,147,346,386,365,396,506,372,135,2659,6866,7194,6930,7691,8532,9112,6959,3280,56560,25410,65995,65120,64649,64885,57090,27512,7944,378598,437,6260,5990,4691,3961,2641,656,74,24708,481,3976,5023,5012,4544,3417,895,120,23466,4845,23330,22639,17238,13514,10870,3994,913,97339,3193,11537,13267,14505,14205,10765,4459,1134,73056,8948,19115,17709,17264,15752,7862,1910,440,88994,1603,1701,1794,1651,1739,1269,316,77,10148,770,1152,1515,2208,2416,2048,872,291,11268,11322,21970,21014,21126,19898,11178,3094,808,110407,157,396,371,409,554,730,579,215,3402,6338,6737,6926,7359,9029,10899,9743,6330,63358,26762,74197,75226,70334,65705,50499,23410,9591,395733,772,10505
29499,0,49,30,15,11,7,0,0,114,0,9,8,8,0,3,0,0,35,20,113,76,60,37,26,0,0,337,7,45,30,26,29,22,7,0,161,61,131,131,111,95,62,19,0,614,23,9,9,4,3,0,0,0,54,6,5,8,14,4,8,0,0,50,82,148,150,141,99,72,17,0,715,4,4,3,0,4,0,0,0,17,219,390,530,471,293,135,31,11,2074,331,753,829,723,477,267,55,9,3447,4,45,46,21,11,0,0,0,129,3,15,18,13,15,7,0,0,69,22,167,75,53,36,11,4,0,365,19,54,32,28,46,19,5,0,208,45,100,72,50,50,24,5,0,336,12,11,11,9,8,5,0,0,54,0,12,4,12,4,4,0,0,41,48,122,95,68,58,32,3,0,435,3,0,4,3,6,0,0,0,15,179,303,350,186,127,69,15,11,1244,278,705,618,379,303,140,29,11,2459,0,88
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,3,7,0,0,0,25,0,6,16,3,9,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,0,0,0,6,0,0
3GBRI,682,12462,18310,13622,9428,6030,2363,456,63361,276,3267,4204,4413,3371,2116,664,111,18419,11855,42195,38934,29383,18183,12547,5156,1149,159408,6369,14702,17960,17747,14108,9213,3938,839,84875,22363,45331,41351,38088,33583,24131,12216,3132,220186,5213,2371,1594,1061,748,476,202,34,11707,1530,1981,2627,2564,2198,2090,1150,258,14388,29101,49679,45573,41713,36531,26697,13568,3419,246277,455,968,1130,980,799,846,546,187,5907,9853,12999,11048,9729,7783,6720,5236,2729,66109,58601,136281,137161,117582,90210,64168,31471,8885,644352,1042,16941,20886,13237,7940,4098,1112,156,65404,941,7559,8503,7990,5420,3393,925,165,34900,17712,58997,54144,37344,21504,13282,5105,1238,209318,9523,22207,24411,24308,18492,10994,4451,1187,115575,20171,28460,25816,24022,18477,8428,2064,480,127919,4824,2970,2358,2029,1811,1336,380,63,15782,1897,2463,3343,4378,4299,3222,1364,416,21383,26896,33897,31518,30428,24581,12995,3807,959,165078,512,870,1019,1013,1002,1054,708,244,6424,9092,12258,10328,8650,7874,8226,7672,5807,69913,65712,152727,150811,122979,86817,54034,23771,9766,666614,1724,29405
3RQLD,336,5720,6958,6246,5495,4297,1829,285,31161,148,1687,2165,2737,2520,2027,617,104,12009,5324,21784,21491,18208,13729,11558,4640,975,97720,3746,10127,13909,16664,15337,11270,4655,981,76694,22632,51694,51756,51836,50083,37670,17520,3912,287099,5475,2567,1559,1348,1030,761,303,38,13086,1460,1792,2392,2795,2768,2791,1410,352,15763,29568,56049,55706,55979,53880,41231,19232,4303,315950,374,695,751,918,905,961,783,227,5615,14395,17854,16280,16910,15688,13110,9504,4245,107991,53895,113923,117266,117659,107553,84459,41270,11122,647149,476,8389,9718,7841,5864,3400,856,92,36640,728,4803,5938,6112,4947,3222,862,120,26740,10365,40426,39249,30427,20958,13793,5211,1101,161536,7057,18634,23046,25758,22481,13853,5430,1251,117511,20668,31974,31099,30336,25830,12045,3010,572,155545,5549,3359,2970,2581,2476,1761,489,68,19253,1966,2489,3452,4557,4764,3877,1622,415,23150,28189,37828,37522,37473,33066,17689,5123,1058,197943,407,724,869,946,1153,1268,832,273,6473,12693,15431,13808,13949,14214,14090,12569,7649,104405,59912,126237,130147,122502,102682,67316,30889,11553,651237,813,14107
