GCCSA_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
1GSYD,3190,9812,8206,8189,7491,5709,2947,699,46247,9889,28261,39562,18342,8427,2814,450,40,107783,11847,54448,54967,52682,54661,39426,21523,6466,296018,10804,26750,23805,22170,16586,10567,5706,1785,118162,1196,4052,4084,4019,3483,1951,913,273,19979,3733,16948,12972,10611,8833,6123,3285,1171,63675,1003,7366,6462,6414,6941,7102,3166,872,39333,16480,72891,78024,57020,39563,25155,10085,2410,301622,7361,27935,24595,22425,17489,12859,5467,1312,119446,5845,16534,13054,7914,4929,2874,1089,280,52517,3900,10983,11065,7520,4744,2632,1326,272,42449,504,451,261,202,241,228,149,117,2154,1274,3976,4611,4153,3276,2106,1072,367,20838,20598,33428,28676,21570,17720,14051,11527,7189,154758,97623,313835,310349,243242,194386,133595,68709,23251,1384978,4447,11749,11414,8838,6704,4018,1584,414,49177,2407,10378,13759,6619,3652,1312,257,16,38398,1620,10316,9251,5664,5442,3019,1898,927,38138,1869,5886,4681,3159,1834,862,309,76,18673,942,2483,2256,1786,1332,709,261,59,9820,13450,47500,36570,29980,26201,17698,8097,2876,182381,6798,30970,28310,26466,23179,20604,8969,2539,147829,21360,94428
1RNSW,657,2359,2409,2611,2611,3037,1405,283,15374,1490,4375,4673,2816,2125,1301,267,22,17067,9272,31578,30410,33221,39378,34663,17778,4507,200792,6588,15125,13773,13696,14382,11254,5428,1556,81813,1757,4756,5622,6492,6066,4477,2085,471,31739,1390,6216,6145,5883,5903,4426,1821,487,32267,613,3922,4597,5040,5990,7762,2948,716,31582,3504,12373,14895,14960,13929,11455,4903,1022,77043,2494,7885,8447,9007,7916,7038,2717,629,46137,1645,3462,3164,2443,1983,1667,643,135,15155,2404,5673,5672,4909,3710,2562,1213,269,26407,217,166,103,74,66,95,45,32,796,582,1391,1693,1956,1853,1501,679,219,9873,14652,17058,16068,15948,15857,15156,11603,5694,112037,47255,116347,117675,119060,121769,106394,53520,16050,698080,768,2764,2826,2698,2377,1715,612,123,13883,200,1132,1168,1168,1264,813,216,18,5986,694,2265,1980,1997,1856,1385,820,480,11470,397,1224,1183,977,752,419,141,19,5111,1370,2849,2770,2597,2089,967,316,59,13019,7129,24201,21136,20675,23711,17542,7331,2215,123940,3725,15438,17327,16680,17078,16260,6468,1655,94645,8232,26475
19499,0,26,15,8,4,7,3,0,69,10,29,20,10,9,9,0,0,90,18,115,82,73,126,100,27,0,541,7,70,28,36,48,32,4,0,230,6,9,13,14,17,8,9,0,72,4,33,14,26,7,11,0,0,91,4,11,10,11,15,20,4,0,63,13,64,54,50,43,34,11,0,263,10,47,43,32,38,29,0,0,201,16,28,19,10,8,9,3,0,95,7,31,23,15,14,10,0,0,104,0,0,0,0,0,0,0,0,4,4,15,13,5,16,5,0,0,64,236,432,507,464,325,150,42,9,2166,346,894,838,763,667,419,99,17,4042,0,23,4,9,12,0,0,0,54,3,8,5,3,4,5,0,0,29,5,15,6,7,9,3,0,0,55,7,12,3,4,0,0,0,0,30,6,17,11,8,7,7,0,0,51,14,69,59,54,62,34,14,0,298,5,35,19,35,31,26,9,0,157,27,102
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,4494,10312,8362,8017,7020,5371,2736,578,46898,7160,28155,36373,16401,7642,2878,385,31,99029,13600,57125,54967,51299,49262,35883,19397,5864,287390,10608,31993,24428,20266,14529,9074,4976,1484,117356,1396,4667,4703,4186,3037,1654,725,206,20572,3708,17349,13270,10242,8214,5454,2430,841,61502,1373,8133,7282,6768,7338,7195,3528,877,42490,14090,59766,64831,47563,31792,19653,7868,1956,247522,7665,25740,22285,18885,14268,10737,4371,1028,104962,6615,18304,13403,7532,4213,2353,1008,267,53696,3825,12998,12614,7020,4574,2230,1104,266,44647,451,431,279,159,150,138,85,20,1722,1344,4678,5682,4601,3258,2070,974,318,22928,17946,29777,24285,19213,15248,12308,10239,5614,134633,94271,309432,292772,222155,170548,116994,59822,19353,1285337,6338,13819,12735,9128,5753,3136,1025,310,52247,1935,11461,13001,5815,3105,1078,181,18,36586,1804,10186,9341,5649,4017,2379,1602,865,35846,1734,6699,4908,3198,1740,670,236,64,19239,1299,3104,2787,2028,1357,538,160,49,11331,14231,55317,41317,31460,24887,16816,7860,2939,194829,6170,31458,29714,27461,24613,20809,9166,2215,151608,15640,75254
2RVIC,474,1213,1342,1471,1398,1550,653,120,8210,765,2477,2760,1575,1127,705,131,8,9551,5083,16069,15217,17200,19291,17311,8168,1947,100288,3631,10901,8608,7478,7290,5336,2498,730,46470,1279,3367,4220,4429,4246,2713,1115,291,21663,778,3666,3404,3185,3304,2475,886,219,17911,399,2570,2933,2809,3553,4838,2319,391,19818,1617,6721,8242,8097,7282,6020,2123,385,40493,1638,4427,4141,4464,4045,3661,1307,257,23934,1061,2185,2005,1466,1052,1046,368,71,9256,1119,3308,3191,2638,2143,1344,573,126,14447,90,129,67,56,46,33,13,3,447,258,939,1239,1342,1197,931,436,125,6460,7227,8019,7747,8438,8906,9115,6917,3261,59635,25410,65995,65120,64649,64885,57090,27512,7944,378598,591,1655,1854,1638,1186,747,205,39,7917,101,595,689,538,559,340,80,3,2908,445,1221,1121,1134,956,579,355,215,6022,253,906,771,637,434,233,80,13,3327,882,1959,2040,1750,1303,505,170,30,8640,4400,15776,13177,12218,13870,10547,4362,1347,75693,2092,9329,9921,9386,9417,10148,4422,923,55641,2877,11618
29499,0,9,0,14,7,5,0,0,34,5,25,24,15,7,0,0,0,66,20,97,68,71,59,49,17,0,378,21,33,38,33,22,21,0,0,165,8,14,8,15,0,6,0,0,52,8,27,19,10,3,0,0,0,69,0,5,3,5,6,11,0,0,37,19,52,51,33,37,20,0,0,214,12,47,19,18,23,14,0,0,141,13,13,25,11,7,4,0,0,80,8,24,21,12,13,0,0,0,86,0,0,3,0,0,0,0,0,4,3,15,8,3,4,0,0,0,38,219,393,534,479,290,135,28,11,2085,331,753,829,723,477,267,55,9,3447,4,18,10,12,0,0,0,0,40,0,13,8,5,3,4,0,0,29,5,11,11,8,3,0,0,0,34,0,5,5,6,4,0,0,0,12,6,9,7,8,6,0,0,0,36,16,70,35,37,41,21,0,0,211,5,22,27,19,27,8,4,0,115,19,78
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,7,0,0,0,25,0,6,16,3,9,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,1705,4082,4026,3668,2805,2276,1019,218,19794,3117,8880,11599,6884,3199,1101,194,12,34983,10010,30581,32000,29892,28131,21362,10792,2742,165507,4974,13642,12562,10983,8919,6641,3393,856,61977,940,2192,2688,2741,2085,1223,616,134,12628,2233,8510,7354,6460,4710,3090,1444,379,34174,641,3191,3748,4049,3849,3494,1836,357,21173,9487,23335,26959,23059,15597,9634,3517,707,112297,6326,12534,11159,10011,7010,5189,2074,442,54746,3713,6753,4645,2831,1683,1028,404,110,21180,3370,5977,5349,3942,2381,1359,614,111,23101,502,260,128,86,69,74,45,18,1176,827,1764,2240,2144,1537,990,437,156,10092,10753,14574,12694,10829,8232,6702,5081,2647,71523,58601,136281,137161,117582,90210,64168,31471,8885,644352,2112,4804,5032,3545,2200,1322,433,107,19547,727,2846,3221,2033,1125,423,82,0,10460,1400,4194,4006,2586,1828,1004,487,249,15751,802,2466,2044,1360,651,283,81,19,7712,711,1566,1624,1147,739,326,79,17,6211,9476,26452,22410,18826,15632,9730,4431,1345,108302,3084,12842,16176,16469,13028,10287,4183,944,77018,12986,36526
3RQLD,770,1952,2051,2187,1961,1954,944,180,12002,1396,3605,4024,2659,1662,960,197,17,14519,11219,31119,31796,32770,34454,28388,13792,3104,186639,4546,13651,13930,14076,13296,10466,4759,1095,75814,1553,3097,4074,4752,3991,2398,1102,225,21190,1753,6874,6668,6442,5544,3449,1406,392,32525,613,2928,4037,4551,4814,4718,2005,377,24049,5912,12423,14761,14863,12249,9180,3690,735,73819,4413,7941,7348,7620,6177,4876,1968,347,40692,1837,3158,2605,1961,1406,1225,456,123,12760,3298,6090,5965,5371,3793,2400,959,177,28063,379,154,84,85,78,89,38,10,916,811,1540,1949,2094,1785,1179,627,155,10136,15401,19392,17968,18225,16352,13181,9320,4184,114020,53895,113923,117266,117659,107553,84459,41270,11122,647149,1128,2708,2846,2369,1749,1095,386,73,12359,282,937,1145,983,756,452,95,9,4663,1022,2612,2243,2018,1613,918,586,207,11221,423,1475,1217,970,611,319,101,18,5132,1205,2058,2243,1761,1292,507,151,23,9237,7949,23602,20574,19494,19102,12509,5290,1487,110007,3324,12357,17092,17593,15027,11698,4648,980,82720,11050,26719
