GCCSA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1GSYD,380433,254013,125906,50387,2808034
1RNSW,245062,198584,97093,34057,1416203
19499,1165,680,173,28,7237
19799,0,0,0,0,0
2GMEL,335381,222124,109242,41262,2609096
2RVIC,130592,107587,50925,17533,774334
29499,779,411,85,18,5907
29799,15,4,0,0,40
3GBRI,177025,118202,55239,18647,1310969
3RQLD,210236,151773,72154,22678,1298385
39499,1684,1277,239,26,9143
39799,5,3,0,0,170
4GADE,103053,77772,37622,13683,701177
4RSAU,31248,26399,12512,3833,172247
49499,345,212,26,9,1909
49799,0,0,0,0,9
5GPER,155788,107495,51659,18647,1104787
5RWAU,42516,29384,12746,3837,256450
59499,876,505,105,20,5668
59799,48,15,0,0,428
6GHOB,19252,15133,7358,2496,131034
6RTAS,26724,21202,10052,2916,147043
69499,137,108,14,3,760
69799,0,0,0,0,14
7GDAR,9816,5524,1900,397,75220
7RNTE,5203,2487,649,119,34698
79499,441,228,30,0,2351
79799,12,0,0,0,71
8ACTE,34056,24589,12068,3939,264899
89499,64,24,8,4,368
89799,0,0,0,0,0
9OTER,471,330,133,34,2605
99499,3,0,0,0,11
99799,0,0,0,0,0
