GCCSA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
1GSYD,9105,2905,18926,9937,9730,6305,4126,5923,849,67804,157,211,191,202,258,184,182,333,56,1764,4902,6964,2400,2581,4240,1872,2131,1675,911,27675,4124,4967,4414,3290,4637,2565,3018,3346,8430,38794,307535,664958,195272,163026,236083,99573,64461,73608,32120,1836645
1RNSW,5806,1446,15631,9143,5565,4443,2703,5614,574,50918,65,87,78,155,107,132,60,202,17,891,1778,1970,1370,1384,1311,574,1080,1135,402,11006,2919,1916,3715,2886,2273,1908,2440,3707,3652,25408,121591,224888,139944,116322,97743,42341,40435,53983,13074,850329
19499,11,3,33,9,9,8,3,25,0,108,0,0,0,0,0,0,0,0,0,3,8,10,5,5,0,0,9,3,0,31,4,10,6,3,10,3,8,19,19,84,186,453,205,217,159,95,124,224,44,1714
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,9469,2757,25150,12375,9945,7535,5861,7984,1052,82138,124,149,190,175,155,155,168,312,40,1464,5741,8102,3230,4096,4955,2152,2392,2202,1086,33957,4054,4251,5739,3760,3978,2698,3281,3897,8547,40195,272902,618041,223405,188961,214931,97107,71243,85750,32159,1804501
2RVIC,3494,742,9176,4534,3132,2778,1382,3641,344,29238,49,37,39,53,34,47,26,159,14,452,1262,1405,862,1052,885,397,648,735,259,7502,2091,1044,2310,1540,1178,1136,1321,2417,2143,15185,71757,126546,78476,67039,48680,23404,20976,34439,7628,478944
29499,4,0,15,7,9,7,6,19,0,67,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,5,5,0,30,0,8,0,4,4,0,5,17,12,54,133,313,192,156,89,64,81,181,28,1239
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6
3GBRI,5455,1705,12548,7567,6094,4602,2740,4956,495,46159,86,112,146,183,161,220,114,236,14,1267,1843,2495,1392,1551,1836,828,1297,1087,426,12756,2055,2020,2941,2238,2253,1528,1942,2488,4225,21697,123442,286455,119330,105995,109792,47576,36779,49554,14376,893296
3RQLD,6786,1618,16324,9672,6216,5716,3082,6458,621,56494,69,88,116,160,86,205,70,254,26,1079,1495,1693,1614,1552,1222,696,1315,1179,478,11233,2669,1822,4167,2977,2206,2010,2541,3895,4364,26649,102986,200568,140223,112482,86972,46491,40330,56712,13984,800745
39499,11,4,29,26,9,16,14,43,0,146,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,10,4,3,34,5,4,15,7,4,3,9,29,22,99,210,448,278,310,181,120,161,430,60,2209
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,11,0,24
4GADE,2700,741,8493,3664,2790,2163,1101,2473,268,24397,47,52,33,79,80,48,34,82,14,470,906,1250,796,1078,943,411,673,721,234,7012,1027,893,1452,1198,1018,696,842,1194,1615,9940,61349,148308,65172,64494,55935,23768,16982,25941,7142,469102
4RSAU,874,142,2133,1052,586,632,378,943,98,6818,9,5,14,12,5,7,3,30,3,87,202,140,164,215,134,58,155,203,38,1309,551,189,562,475,279,264,390,779,449,3945,16121,20292,17232,15218,9795,5218,5476,9286,1674,100304
49499,0,3,12,6,0,0,4,3,0,30,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,9,3,0,4,5,0,0,5,8,11,29,47,114,76,58,42,28,33,71,15,489
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5GPER,4256,1268,13169,7061,4876,3587,2804,3654,402,41079,56,65,104,136,90,120,95,202,30,898,1343,2065,1606,1587,1298,643,1115,874,342,10864,1682,1717,3246,2053,1816,1146,1751,1998,3334,18741,97686,235597,121129,91240,84756,37437,35274,40117,11293,754533
5RWAU,1101,231,2828,1436,1043,805,881,1143,112,9584,11,15,20,40,11,33,20,58,10,224,300,315,423,306,191,83,350,245,77,2294,683,393,1071,593,413,371,740,906,773,5945,21645,33185,33633,18730,15238,7116,11547,12678,2607,156381
59499,5,5,22,8,11,3,8,12,0,81,0,0,0,0,0,0,0,3,0,6,0,3,8,4,0,0,3,0,0,23,3,0,9,5,0,0,8,5,11,38,80,233,220,161,97,42,89,176,23,1126
