GCCSA_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
1GSYD,361,873,56,35,96,38,25,24,22,1528,2620,15536,311,167,412,121,96,109,181,19554,34374,72870,5795,3732,10664,5576,3757,3167,2176,142104,999,1963,135,106,344,167,142,100,101,4059,3813,9068,688,640,1162,440,304,269,167,16552,1543,2285,248,263,429,159,89,92,62,5170,71035,160454,21552,15072,26447,15966,11999,11107,5067,338699,90,101,145,77,49,64,83,99,32,739,11605,10935,8008,4813,4024,3351,3838,3260,750,50592,15745,13763,13205,7509,6683,5654,5907,5172,1190,74838,30786,11247,104011,11098,11915,10024,22012,19295,4034,224411,1200,799,1196,945,828,907,1280,1258,133,8546,3586,2563,2780,1570,1780,1920,2496,2222,331,19250,1760,2752,1340,580,771,623,935,787,261,9807,2511,2785,2333,1031,1213,1100,2094,1827,3437,18341,182027,307994,161799,47634,66819,46108,55060,48783,17958,934189,355,1500,27,96,223,40,6,16,16,2278,1873,12333,240,218,609,94,18,44,129,15560,24106,80310,2600,7078,17391,5146,741,1718,1856,140953,740,2470,60,239,522,148,23,68,59,4332
1RNSW,81,274,8,17,18,8,8,10,6,427,784,4578,113,66,116,22,34,46,53,5807,5847,11849,977,992,1219,637,574,621,261,22984,157,378,28,31,38,22,12,18,12,688,1257,3655,268,404,306,117,112,132,74,6331,668,1058,130,216,181,31,42,54,24,2414,16849,41709,5398,5786,4226,2625,1865,3175,865,82514,47,36,49,48,14,14,19,27,9,270,5406,4229,3239,2873,1199,916,987,1049,260,20157,7484,5618,6395,5221,2299,1698,1900,2197,490,33298,29116,7363,97180,12090,7298,7947,25924,22275,3588,212786,1071,353,1135,892,431,762,1141,1686,94,7554,1945,820,1303,1031,525,856,1477,1669,180,9806,524,599,490,260,124,183,298,418,89,2988,1728,881,1649,760,365,624,1726,1922,1407,11060,72959,83398,118372,30689,18376,16469,36128,35304,7388,419079,103,629,13,38,47,5,0,6,0,858,613,4000,70,94,206,23,4,26,41,5071,4682,19006,469,1755,2100,563,77,415,298,29349,191,769,20,53,94,25,3,16,11,1180
19499,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,12,12,36,5,3,9,4,4,0,0,70,0,3,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,37,105,12,19,10,6,17,21,7,238,0,0,0,0,0,0,0,0,0,0,9,10,7,0,0,3,4,0,4,43,5,9,16,9,7,5,3,11,0,68,26,13,124,35,12,12,55,49,8,332,0,4,0,0,0,0,0,9,0,17,0,4,5,4,0,0,8,4,0,25,5,4,0,4,0,0,0,0,0,10,5,0,7,4,5,4,12,16,16,57,103,214,175,81,38,34,99,120,26,885,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,11,11,55,0,5,7,4,0,5,0,92,0,0,0,0,0,0,0,0,0,3
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,324,892,32,39,99,39,28,13,19,1490,2722,16831,299,204,453,111,134,144,154,21058,26863,60711,5786,3837,9433,4815,5410,3902,2038,122805,973,1979,171,125,315,182,204,120,84,4153,4870,12290,898,1104,1611,577,403,427,216,22393,1561,2469,260,367,488,171,105,96,68,5587,63503,143420,22007,15600,25848,14912,12804,12135,4599,314834,114,75,219,101,55,56,126,75,31,856,10626,10698,9939,4322,4138,3121,4269,3326,772,51217,15179,12328,16992,9235,7146,5237,8069,6489,1334,82014,29053,10195,118567,12821,11032,10012,23219,23335,4808,243047,988,597,1567,1016,779,914,1396,1547,143,8948,2806,1841,2671,1553,1364,1515,2229,1836,316,16133,1351,2018,1345,552,526,476,865,725,254,8108,2251,2445,2825,1131,1048,1124,2192,2067,3386,18469,163176,278782,183598,52012,64352,43275,61465,56242,18208,921112,386,1715,30,99,222,48,4,12,18,2539,2258,14803,245,286,717,83,26,63,141,18614,19261,71697,2754,8338,14758,4268,835,2416,1731,126061,817,3245,85,362,533,145,27,91,84,5393
2RVIC,42,170,11,10,10,3,0,4,0,250,390,2269,69,32,70,14,11,34,24,2906,2925,6186,506,467,637,326,406,457,143,12062,106,301,22,36,31,9,13,10,8,537,1044,2902,233,429,245,80,69,113,47,5162,391,634,79,141,101,27,12,31,14,1421,10154,22279,3107,3140,2554,1519,1151,2180,490,46573,46,12,41,26,8,13,16,27,4,201,3475,2549,2025,1352,771,563,628,842,183,12386,4586,3054,3551,3248,1365,1029,1212,1551,268,19870,18582,3782,53506,6283,3669,4441,12924,13707,2266,119155,538,181,607,376,206,393,559,944,62,3861,973,371,630,544,207,346,686,747,84,4588,279,311,226,138,59,58,120,222,49,1478,1163,499,1004,426,200,419,928,1213,833,6681,44683,45501,65605,16646,10130,9245,18753,22080,4477,237116,57,455,4,25,26,0,0,5,0,575,321,2078,45,56,139,13,6,8,18,2688,2537,10810,277,1000,1058,282,56,270,150,16449,131,747,13,59,58,18,0,12,8,1047
29499,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,18,30,4,3,3,0,3,0,0,61,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,29,68,12,16,11,8,14,22,0,187,0,0,0,0,0,0,0,0,0,0,7,5,4,5,0,6,3,3,0,32,12,13,7,4,0,0,5,8,0,55,16,16,113,15,0,10,37,62,9,272,0,0,6,0,0,0,0,5,0,10,3,0,3,0,0,0,0,3,0,10,0,4,0,0,0,0,0,0,0,6,5,0,9,0,0,0,0,8,5,27,77,146,154,52,21,35,64,123,16,695,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,15,3,39,0,4,10,0,0,4,0,59,0,4,0,0,0,0,0,0,0,4
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,113,355,20,14,38,10,3,8,3,567,1169,7923,160,88,159,64,67,70,82,9788,10049,21364,1626,1272,2627,1327,1241,937,554,41001,284,691,47,59,94,40,40,24,18,1300,1902,5469,381,500,627,189,154,148,98,9476,1043,1791,186,226,375,96,36,59,39,3859,23935,65181,8392,6648,9290,5177,4232,4771,1534,129156,49,48,66,63,17,30,31,40,12,359,4458,4406,3710,1759,1566,944,1334,1085,257,19521,8470,7150,7924,5737,4096,2771,3318,3101,588,43162,18234,7271,72334,9600,8251,7067,17295,16810,2908,159776,653,397,1336,740,565,872,1287,1840,90,7777,1368,942,1481,844,712,845,1510,1400,138,9241,610,955,532,275,257,216,396,393,101,3743,1056,1126,1304,595,493,495,1194,1207,1623,9103,73395,125075,99498,28438,29186,20161,32134,31897,8045,447823,133,661,12,34,76,19,6,3,7,940,860,6773,110,142,264,44,7,23,51,8274,6600,25521,818,2781,4447,1298,159,738,506,42861,270,1108,10,111,180,30,3,29,28,1777
3RQLD,71,240,8,11,12,5,5,3,3,357,506,3955,68,56,53,32,29,40,26,4764,4398,9532,811,871,901,613,488,573,254,18449,123,401,32,30,29,22,16,23,12,685,1038,3361,285,464,306,130,121,142,56,5911,569,927,135,159,139,48,28,47,25,2080,13700,36748,5710,5408,3607,2968,2242,3445,887,74723,55,33,63,53,16,26,25,28,11,298,4395,3945,3166,1916,982,889,1034,1037,271,17628,7634,5457,7079,5558,2474,2186,2370,2613,583,35964,24699,7373,96861,11246,6640,8215,23923,21349,4111,204416,796,404,1496,908,380,1047,1278,2366,113,8787,1619,812,1466,1030,462,893,1535,1702,154,9676,534,615,568,270,149,153,347,422,85,3141,1446,917,1670,814,339,626,1597,1878,1635,10925,61583,74715,119417,28795,16501,17865,35035,35669,8228,397798,85,593,11,22,46,14,0,0,7,782,384,3309,55,80,133,27,5,16,37,4044,3350,15380,408,1528,1815,648,74,438,247,23877,168,860,20,69,87,32,3,18,12,1264
