GCCSA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
1GSYD,19445,23557,10221,13158,18401,7395,4457,5243,1431,103303,27783,28225,17511,30806,30907,13515,7153,8506,2520,166928,40526,20543,114896,41654,42707,20139,24427,24959,5487,335342,2580,1767,1903,2977,6064,2964,1746,2405,293,22700,6256,4917,3870,6001,11699,4671,3056,3657,661,44788,2840,5328,1739,1761,3294,1439,1109,1349,460,19314,4061,6079,2962,3641,5219,2592,2502,3093,6312,36462,307535,664958,195272,163026,236083,99573,64461,73608,32120,1836645
1RNSW,9438,11284,4190,8407,7101,2268,1178,1949,559,46362,13957,13562,8667,22450,14735,5133,2391,4177,1167,86234,38893,15956,109892,48945,37475,19065,28183,30109,4936,333456,2248,958,1761,3229,4340,2793,1450,3225,205,20223,3646,1898,1982,4710,6011,2645,1757,2954,377,25981,918,1366,654,835,1059,518,332,719,166,6563,2957,2519,2138,3150,2683,1847,1914,3294,2743,23252,121591,224888,139944,116322,97743,42341,40435,53983,13074,850329
19499,12,21,7,15,10,3,3,3,0,87,14,23,18,31,23,11,7,23,3,145,40,19,139,75,38,34,58,76,5,502,0,3,5,8,9,9,0,9,0,37,4,9,5,4,3,0,8,12,0,47,5,7,0,3,3,0,0,0,0,16,6,12,4,13,9,9,8,14,16,94,186,453,205,217,159,95,124,224,44,1714
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,17662,21577,12684,13888,16785,7066,4893,5348,1422,101317,26354,25948,22795,38931,29576,13710,9457,10614,2666,180056,38169,17533,132564,47977,38274,20869,26216,30888,6405,358894,2012,1316,2241,3136,4370,2720,1751,2671,266,20472,4710,3456,3667,6383,7404,3887,2668,3367,646,36190,2130,4093,1687,1596,1906,1086,995,1163,439,15102,3722,5368,3594,4227,4410,2748,2535,3437,6269,36311,272902,618041,223405,188961,214931,97107,71243,85750,32159,1804501
2RVIC,6143,6245,2708,4864,4054,1407,751,1474,403,28035,8216,8060,5070,14521,8052,3065,1492,3037,682,52194,23603,7294,60794,26338,17358,10281,13991,18955,2952,181571,1114,461,948,1498,1773,1425,693,1807,96,9808,1611,757,946,2203,1861,1093,781,1338,171,10758,467,727,299,394,357,161,148,376,89,3013,1944,1472,1319,1836,1245,1171,1043,2141,1592,13772,71757,126546,78476,67039,48680,23404,20976,34439,7628,478944
29499,7,6,8,8,6,3,3,3,0,46,13,16,15,20,6,0,13,19,3,110,20,27,132,53,19,21,37,74,5,393,0,0,6,0,0,0,0,4,0,22,3,0,3,6,0,0,0,7,0,22,0,5,0,0,3,0,0,0,0,10,5,0,9,0,4,3,0,13,13,44,133,313,192,156,89,64,81,181,28,1239
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6
3GBRI,7409,9412,4633,5837,6467,2225,1531,1867,511,39908,15541,15017,10613,23556,18953,7372,4055,5438,1344,101896,25276,13169,81489,36771,31089,15785,19253,22971,4043,249844,1343,882,1807,2413,3103,2742,1561,2931,189,16974,2464,1923,1994,3685,4426,2383,1730,2361,298,21264,938,1793,708,813,953,527,463,661,191,7045,1787,2450,1663,2274,2136,1344,1359,2063,3050,18118,123442,286455,119330,105995,109792,47576,36779,49554,14376,893296
3RQLD,7689,9165,4017,6880,5659,2480,1297,1999,532,39729,14365,12890,9668,24337,15882,6609,3061,5178,1288,93282,33532,13503,108555,45330,33102,19292,26641,29761,5472,315181,1812,930,2106,3141,3244,3585,1603,3892,244,20557,2927,1629,2086,4355,3995,2778,1795,2900,324,22782,871,1324,728,889,755,457,385,757,145,6307,2488,2359,2160,3055,2188,1921,1831,3333,3142,22471,102986,200568,140223,112482,86972,46491,40330,56712,13984,800745
39499,16,16,3,12,11,5,6,10,3,96,20,37,16,44,33,26,11,41,4,242,53,34,208,112,56,46,102,146,19,777,9,4,4,11,13,17,3,21,0,65,0,3,7,8,0,0,8,15,0,51,0,0,0,0,0,0,3,4,0,19,3,7,8,8,3,9,3,23,14,90,210,448,278,310,181,120,161,430,60,2209
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,12,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,11,0,24
4GADE,4277,6364,2555,4776,3983,1306,709,1126,282,25372,7128,7403,5192,11065,7314,2670,1728,2330,638,45465,13729,7401,44129,21656,17048,8486,8310,10871,2203,133842,795,563,1100,1393,1752,1277,670,1446,118,9106,1410,992,1087,2241,2383,1179,619,1004,181,11084,453,953,423,575,496,240,196,378,84,3801,945,1257,867,1314,1087,745,655,1048,1215,9132,61349,148308,65172,64494,55935,23768,16982,25941,7142,469102
4RSAU,1312,1276,354,1113,685,236,127,311,55,5471,1842,1340,757,2724,1391,557,301,569,118,9598,6557,1883,14204,7274,4506,2688,3833,5272,783,46997,526,118,317,525,540,445,291,723,45,3524,673,183,284,684,535,287,245,478,51,3422,140,134,78,87,83,47,58,123,22,778,584,270,319,493,297,300,329,706,372,3682,16121,20292,17232,15218,9795,5218,5476,9286,1674,100304
49499,6,3,7,5,3,4,0,0,0,21,0,12,5,8,4,8,0,5,0,47,13,10,55,22,17,13,19,25,9,176,0,0,0,0,4,9,0,3,0,11,0,0,0,0,0,0,0,3,0,15,0,0,0,4,0,0,0,0,0,4,5,0,0,0,0,0,5,7,5,24,47,114,76,58,42,28,33,71,15,489
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5GPER,7083,10645,5994,6277,6652,2430,1918,2064,512,43576,10803,11125,10834,16194,11868,5037,3683,4094,894,74530,19211,11099,80913,31428,22085,11240,17595,16556,3314,213447,1149,746,1947,2912,2993,2735,1524,2886,181,17067,1940,1459,1964,3538,3977,1806,1350,1697,233,17958,1072,2018,1066,1059,1150,534,559,733,155,8352,1565,2331,1941,2443,2138,1274,1313,1774,2413,17198,97686,235597,121129,91240,84756,37437,35274,40117,11293,754533
5RWAU,1867,1957,983,1294,1076,453,442,517,104,8701,2531,2019,1890,3205,2200,762,776,1007,175,14567,7224,2898,26655,8145,6130,3012,7577,6309,1177,69136,529,255,718,900,1034,839,658,1109,73,6124,689,284,436,840,810,422,461,612,57,4608,253,255,185,146,168,88,118,229,32,1477,717,461,580,662,481,410,619,856,608,5394,21645,33185,33633,18730,15238,7116,11547,12678,2607,156381
59499,10,12,4,12,3,0,3,13,0,52,10,17,20,27,17,4,7,21,0,121,13,26,164,51,33,19,49,63,5,421,0,0,4,7,0,5,6,17,0,43,0,0,0,3,4,0,5,5,0,21,0,0,0,0,4,0,0,0,0,13,6,0,3,0,4,0,3,6,3,32,80,233,220,161,97,42,89,176,23,1126
59799,0,4,7,0,0,0,0,0,0,11,0,0,5,0,0,0,0,4,0,17,4,6,50,0,0,0,15,15,3,100,0,0,0,0,0,0,0,6,0,5,0,0,4,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,3,4,33,67,9,3,0,18,60,6,199
6GHOB,653,869,406,660,616,177,62,138,51,3635,1202,1185,864,1655,1336,444,160,334,121,7299,2782,1346,8246,4121,3076,1302,1178,1740,416,24203,138,82,181,366,358,277,103,251,21,1772,186,144,143,402,371,152,78,168,26,1673,75,144,63,126,70,55,26,66,24,652,177,258,183,289,189,146,112,224,202,1774,11494,26934,12348,12254,9801,4347,2559,4937,1368,86043
6RTAS,902,968,384,682,570,160,99,201,40,4019,1422,1260,805,2062,1320,479,217,442,112,8123,4813,1533,11610,5795,3744,2043,3043,3541,576,36693,240,92,266,535,460,433,246,588,25,2889,281,151,209,556,435,231,154,299,32,2341,77,137,70,125,101,48,30,106,17,721,345,249,253,385,258,231,268,509,316,2797,12274,20889,14912,13047,8845,4397,4600,7225,1421,87606
69499,0,5,0,0,0,0,0,0,0,8,0,3,0,0,6,0,0,0,0,12,3,3,30,8,10,5,7,11,0,79,0,0,0,0,0,0,0,3,0,7,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,7,12,45,34,22,20,10,7,28,5,181
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
7GDAR,444,500,272,429,345,82,70,105,22,2280,1025,887,678,1392,1004,287,165,248,98,5772,1831,1048,5832,2442,2315,720,1030,969,295,16476,106,72,127,227,266,159,82,163,11,1210,140,103,149,198,249,107,76,106,18,1146,53,133,50,91,61,31,30,38,8,492,123,166,151,214,160,102,90,131,190,1319,7499,15086,8434,7849,6865,2422,1975,2578,937,53651
7RNTE,167,227,84,203,120,41,16,43,17,914,392,343,205,656,315,81,55,99,21,2167,871,550,2146,1231,798,266,403,646,123,7035,51,123,49,198,117,46,31,111,16,746,68,94,48,187,84,31,28,68,12,629,16,34,16,24,19,7,5,17,4,140,76,152,72,203,74,42,64,134,148,962,3050,6171,2962,3808,2231,734,689,1373,460,21477
79499,0,3,0,0,0,0,3,4,0,18,8,9,3,6,7,0,0,9,0,31,10,11,20,7,13,0,13,20,0,96,0,3,4,3,3,0,0,0,0,11,0,0,0,6,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,3,0,4,5,5,0,0,0,11,8,29,44,104,33,42,35,18,16,73,13,378
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,8,0,18,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,6,6,0,0,0,15,0,40
8ACTE,1815,2102,801,1080,1608,394,180,256,140,8371,3300,3085,1688,3043,3363,781,302,589,332,16487,3838,2821,9814,4270,4712,1372,1164,1734,566,30273,273,261,218,408,506,301,80,192,27,2264,437,403,287,512,792,233,123,210,65,3055,182,422,136,157,186,68,45,70,31,1305,290,523,261,322,405,144,114,184,469,2706,37817,72205,17402,17994,25567,6737,3261,5811,3916,190703
89499,0,3,0,0,0,0,0,0,0,5,0,3,3,6,0,0,0,0,0,11,3,0,10,8,6,0,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,46,19,19,20,11,0,7,0,138
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
