GCCSA_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
1GSYD,360,62,1060,512,1435,138,3561,491,60,888,358,1232,80,3113,6898,870,16432,8849,25019,1685,59746,2031,279,3224,1483,3995,260,11265,6101,860,21565,12577,73873,2817,117791,5620,696,12045,5048,9107,944,33447,8287,1005,20311,9596,16072,1900,57171,3421,432,10938,9277,9858,1340,35266,6544,1004,15788,10703,19868,2318,56220,5738,887,13872,4267,3795,667,29225,19867,3562,40870,8465,4727,1618,79113,2933,531,7058,3791,5056,603,19975,34105,5160,70984,12135,8363,2552,133307,3185,508,9145,4631,7482,950,25897,10056,2606,19303,11385,14196,1332,58879,18522,2935,19497,3828,4429,725,49932,17730,2726,29831,7814,8537,1753,68397,1595,360,5377,2207,3127,326,13002,2806,519,6011,3472,19370,710,32892,6899,712,14502,5764,12658,5454,45988,163187,25782,338699,126168,252209,28143,934189,254,69,800,453,716,118,2408,173,35,344,123,114,23,813,3913,687,11192,5277,6053,1052,28165,906,149,1692,568,665,94,4076,3056,561,8390,5320,6114,820,24257,4239,637,9859,4053,3879,685,23350,7015,1155,24006,12713,15640,2340,62873,2808,494,11251,7897
1RNSW,758,293,4275,3526,13398,1354,23599,605,227,1989,1983,14546,447,19790,1226,317,4303,3692,22309,956,32801,462,156,1307,1659,5697,181,9462,686,214,4232,4652,58881,1690,70355,376,124,1406,1374,7158,315,10744,1192,220,3679,2760,13228,862,21941,854,158,3043,2941,9667,811,17466,639,198,1916,2580,12989,880,19204,287,106,1151,695,1355,105,3711,861,345,2883,1761,1421,187,7453,187,97,1053,1028,2639,197,5190,3802,1304,12169,3864,4608,503,26241,371,146,1447,1471,6592,445,10468,3708,1551,8809,8596,14814,838,38323,5792,2071,11512,2355,4163,397,26294,5731,1465,12378,5206,9516,949,35247,280,119,1158,693,2221,153,4630,618,159,1613,1325,15276,352,19341,794,159,2195,1575,9662,2424,16809,29219,9428,82514,53731,230147,14046,419079,505,448,3431,2565,3960,812,11717,154,75,699,423,1310,78,2738,539,238,2675,2033,4396,498,10389,198,78,600,419,851,64,2211,296,209,1846,2203,4685,409,9654,188,89,923,889,1982,145,4220,1004,460,5206,5241,15840,1597,29341,712,260,3910,4086
19499,6,0,9,4,17,5,43,0,0,3,3,16,0,21,3,0,12,5,33,3,62,0,0,4,0,3,0,9,4,0,12,16,99,5,131,0,0,9,5,6,0,20,4,0,10,10,17,0,38,0,0,13,7,35,0,64,0,0,5,13,25,10,52,4,0,10,3,0,0,23,5,3,12,7,3,0,38,0,0,3,0,0,0,6,15,8,39,10,8,5,79,0,0,8,0,15,0,27,5,0,15,6,20,4,51,10,4,16,8,3,0,40,16,0,21,6,21,5,75,0,0,11,5,9,0,27,3,0,4,4,14,0,23,0,0,10,4,21,26,65,85,21,238,109,369,68,885,0,0,30,5,5,0,42,0,0,0,0,0,0,0,0,0,10,9,8,3,35,0,0,0,0,0,0,4,0,0,7,0,8,0,16,3,0,0,0,0,0,6,9,0,13,9,25,4,60,6,0,26,10
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,571,143,1543,992,1974,221,5449,477,83,904,273,845,71,2649,8215,1452,21450,11966,31422,1998,76501,2298,390,4607,1700,3897,262,13158,5445,1086,20246,15324,89620,3099,134810,4086,806,10732,4920,9392,837,30767,7581,1256,20747,10434,15975,1756,57753,3283,462,11190,9779,10322,1289,36331,7250,1229,16307,12506,17785,2246,57331,4219,894,10155,3246,2950,478,21942,11187,2959,27031,6839,3702,1015,52737,1992,482,5635,2546,4270,514,15436,29766,5367,63246,11532,7333,1950,119193,3320,688,8815,4924,8082,848,26687,9282,3392,18885,10693,11492,1126,54864,19654,5487,20310,4444,4281,704,54885,16522,3952,27949,8350,8933,1552,67263,1706,581,6454,2638,3490,345,15214,2663,607,5711,4754,18442,791,32964,5817,818,12912,6223,13928,5479,45187,145344,32131,314834,134090,268133,26584,921112,364,120,1146,787,867,176,3465,175,38,378,79,92,22,782,4265,1046,12816,6204,6850,1066,32247,1315,367,2730,924,958,157,6454,2512,764,7725,5105,5851,718,22673,2542,669,7804,3594,3385,519,18516,6030,1866,25864,14459,15735,2310,66263,3104,644,12164,8293
2RVIC,464,229,2847,3063,10855,1055,18515,116,27,426,281,2148,76,3071,909,283,3293,2778,15690,738,23683,293,118,988,845,3744,127,6115,450,201,2442,2973,36223,975,43263,186,79,937,946,3945,221,6317,590,190,2421,1931,7287,513,12938,421,116,1605,1712,4585,379,8819,453,137,1261,1648,6896,511,10907,190,90,752,414,877,74,2397,479,266,1868,1160,712,93,4569,95,48,556,467,1285,102,2550,1976,743,6593,2225,2306,241,14081,250,105,872,830,2993,199,5250,1308,825,4160,4462,6541,444,17738,3048,1959,6212,1501,2144,213,15067,3058,1347,6403,2873,4570,453,18699,206,115,923,588,1332,88,3244,335,144,845,848,8031,218,10421,384,103,1195,919,5447,1426,9475,15214,7120,46573,32459,127598,8156,237116,321,362,2369,2104,2850,637,8646,41,20,128,79,143,17,420,397,216,1953,1500,3082,359,7502,157,93,498,337,549,44,1682,169,155,1094,1345,2378,202,5349,79,50,583,581,1098,120,2517,455,355,3461,3473,8126,864,16733,378,214,2052,2252
29499,0,0,8,3,17,0,34,0,0,6,0,0,0,5,5,0,10,0,30,0,56,0,0,0,0,8,0,15,0,0,18,9,97,0,123,3,0,0,0,13,0,13,0,0,3,3,23,0,34,0,0,18,11,13,3,50,3,0,16,6,22,0,45,4,0,6,4,0,0,10,6,0,11,0,4,3,24,0,0,6,0,0,0,12,13,0,21,12,8,0,54,0,0,10,10,9,3,27,7,0,18,5,24,0,48,7,3,3,4,0,0,23,14,3,11,6,6,5,45,0,0,7,0,4,0,13,0,0,0,0,10,0,21,0,0,9,9,13,11,44,77,10,187,85,299,34,695,4,0,3,0,4,0,15,0,0,0,0,0,0,0,0,0,14,3,11,0,23,0,0,7,0,0,0,5,0,0,0,0,4,0,8,0,0,3,0,4,0,7,0,5,13,3,11,3,34,3,0,32,8
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,259,57,849,504,1527,175,3365,1495,318,3080,872,3124,159,9053,2087,480,6266,4412,20335,874,34453,1041,267,2310,1344,3302,146,8411,1719,475,7818,6412,47629,1367,65405,1097,249,3190,2107,6412,368,13412,1801,424,6832,4268,12165,842,26325,1085,198,4150,3856,7655,614,17564,2298,581,6508,5725,13512,1174,29798,735,173,2745,1178,1657,137,6627,2538,974,6971,2833,2106,340,15760,784,225,2836,1229,2711,267,8045,10860,2710,26593,5891,5403,908,52360,940,309,3501,2155,5432,433,12758,4243,2043,10592,7460,10118,748,35203,7734,2340,10192,2306,3553,376,26494,7329,2019,15553,5081,6748,863,37599,513,169,2117,956,2141,141,6041,965,305,2460,1954,11922,347,17948,1844,321,4608,2505,9340,2574,21195,51352,14634,129156,63037,176792,12848,447823,150,65,738,427,680,134,2195,488,183,1257,343,431,56,2762,1087,326,3746,2508,4188,453,12310,446,176,1217,542,637,64,3086,694,361,3116,2614,3798,312,10884,667,225,2281,1357,2051,205,6791,1533,559,8386,6331,12149,1041,29997,1157,266,5410,4217
3RQLD,461,150,2488,2323,9240,1030,15699,552,273,2157,2204,18417,628,24219,802,253,3224,3095,22035,851,30261,308,126,1019,1271,5353,182,8261,722,286,4163,5602,56313,1688,68777,312,102,1341,1343,6545,279,9923,914,223,3827,3189,13353,796,22303,872,188,3652,4020,10587,855,20172,706,259,2704,3534,12154,937,20291,232,85,1027,719,1539,115,3714,698,366,2413,1951,1523,173,7120,372,132,1537,1085,3195,257,6579,3046,981,10787,3627,4521,589,23557,389,148,1656,1632,6248,436,10510,1766,1036,5921,6897,12159,808,28589,4236,2099,9440,2223,3840,380,22215,5627,1533,12251,4703,8328,854,33301,288,103,1257,1045,2748,206,5650,476,176,1463,1501,14274,415,18303,788,156,2405,1930,10499,2589,18364,23562,8677,74723,53885,222874,14069,397798,344,245,2689,1871,3158,599,8905,172,105,943,745,2086,144,4193,385,218,2300,1943,4135,366,9350,117,85,526,434,800,53,2020,350,214,2222,2591,4923,414,10720,179,102,1064,999,2032,182,4560,912,453,5729,6133,15511,1439,30178,906,323,5171,5361
