GCCSA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
1GSYD,13743,75876,18633,18159,2726,181211,52307,14557,116966,42369,45419,7732,279355,3566,871,10897,4343,5518,635,25829,5276,1332,13384,9592,28800,1499,59882,12343,1498,27480,11367,17933,9867,80497,321974,67900,716109,272043,402835,55779,1836645
1RNSW,9429,44150,12430,17936,1581,102282,17451,8876,55025,30498,52340,5017,169216,670,318,2817,1610,3975,307,9703,1121,464,3661,5027,25029,807,36108,1399,372,4572,3438,13440,4529,27751,64497,31255,211588,133515,379655,29815,850329
19499,9,38,16,16,6,117,45,7,74,37,64,11,235,6,3,31,6,14,4,60,8,6,11,8,23,0,57,9,0,22,12,28,35,106,190,56,542,232,586,108,1714
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,23250,76114,20245,17277,2568,192614,52228,22290,114632,46871,46494,7109,289619,3714,1523,12907,5411,6170,636,30355,5522,1711,13329,12088,29330,1629,63608,10108,1761,23638,11175,19054,9773,75510,292557,93257,668318,283402,415557,51408,1804501
2RVIC,7600,23266,6880,8609,760,55932,10070,8076,31566,19184,26310,2735,97939,500,340,2042,1362,2406,189,6840,656,366,1983,3004,12729,461,19199,667,303,2372,2102,7292,2596,15328,34920,24808,119411,80890,202139,16782,478944
29499,10,25,9,9,0,76,35,13,52,24,41,8,167,3,0,16,4,12,0,32,0,0,8,5,14,0,35,4,4,21,8,23,16,68,149,53,385,164,432,59,1239
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,6
3GBRI,9935,39598,11250,15190,1309,98208,21832,10390,63914,27915,34630,3632,162306,1060,499,4622,2149,3802,285,12423,1943,863,6104,6003,19629,798,35337,3203,670,8402,4854,12673,4693,34497,103431,41945,291860,142811,288085,25161,893296
3RQLD,9015,38257,11794,17543,1515,90650,15858,8679,53725,28881,42396,4237,153778,621,274,2987,2400,5020,409,11712,1019,536,3941,5719,23526,885,35628,1399,409,5110,4330,14556,4852,30658,52271,28890,198258,134025,358519,28783,800745
39499,9,46,24,20,4,124,35,12,96,58,81,9,295,5,0,10,3,19,0,38,4,0,8,11,47,7,73,6,4,32,12,41,24,119,166,74,627,337,893,107,2209
