GCCSA_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
1GSYD,271,493,1179,1146,1250,1192,582,226,31,6369,35,138,701,1032,909,782,210,43,0,3849,1827,5252,16504,19673,21047,18162,4489,512,34,87497,139,601,2915,4178,3775,2625,590,59,0,14875,8385,18712,45316,37412,29911,19630,4856,473,33,164734,671,2526,9058,12260,11579,8769,2309,373,35,47578,9585,16833,24185,19899,14658,10871,3383,542,43,100002,14151,11739,15735,11160,7278,5417,1493,213,23,67200,1363,5660,18596,21484,21366,18451,4904,421,9,92254,422,1879,8415,11182,8102,4146,858,101,14,35120,286,5324,22448,29296,19974,9322,2277,408,62,89381,391,1617,5501,6272,5066,3525,1506,369,70,24315,884,9408,39218,42349,28198,17640,7328,1349,92,146473,872,3644,9475,8959,7742,6121,2021,277,12,39128,615,4106,16124,18051,16802,12273,3132,258,12,71364,2342,5251,13178,12649,11269,9690,3682,430,23,58508,1023,5897,19860,17841,15342,12916,5252,835,47,79018,1211,2424,4951,4101,3044,2163,820,139,12,18862,1642,3717,9355,9141,8697,7092,2252,340,15,42250,2031,6341,18488,17005,13399,9625,2853,626,115,70496
1RNSW,1419,2530,6476,6884,7979,9691,6918,2612,415,44924,289,1360,6439,7545,6397,4057,534,39,6,26658,2172,4310,10777,10631,11542,9861,2188,271,15,51777,146,573,2227,2949,3270,2859,431,21,0,12477,7100,12331,24195,20268,18544,15332,4017,338,20,102138,707,1195,3205,3723,4061,3552,981,165,12,17598,7825,6940,9579,7355,7097,6444,2290,356,26,47913,11737,6163,7467,5033,4253,3943,1491,218,16,40321,642,1607,5228,6488,8811,9626,3394,463,29,36297,223,409,1052,1207,1184,910,261,62,11,5319,64,518,1754,2255,2305,1626,518,89,19,9147,167,402,1110,1375,1552,1431,720,192,24,6971,440,1877,6232,6998,6308,5140,2792,446,25,30263,550,1455,3516,3599,4064,3835,1227,132,0,18376,798,2634,8970,11284,13085,10094,2023,125,9,49017,571,1752,5584,6343,7005,6268,2248,210,9,29979,620,2740,9377,8996,9140,8710,2784,317,10,42696,910,841,1383,1333,1383,1256,473,99,9,7685,1724,2820,5371,4743,4967,4384,1446,240,27,25720,1835,2855,6229,5713,5829,4960,1737,605,155,29921
19499,0,12,31,10,8,13,0,0,0,76,0,0,11,13,12,3,0,0,0,35,4,9,31,22,12,18,5,0,0,90,0,0,6,0,4,3,0,0,0,10,5,20,76,49,34,22,11,0,0,210,0,6,19,12,7,10,0,0,0,48,8,10,22,10,13,4,0,3,0,80,18,11,42,15,3,8,3,0,0,100,0,4,33,30,12,27,3,0,0,110,0,0,6,4,3,9,0,0,0,26,0,0,19,16,7,0,0,0,0,42,0,0,0,4,0,5,0,0,0,6,0,0,28,34,17,13,0,0,0,97,3,5,14,13,10,8,0,0,0,56,9,16,17,18,14,14,0,0,0,86,0,0,18,4,12,3,0,0,0,45,0,5,19,17,28,13,3,0,0,87,0,10,12,8,0,6,0,0,0,38,4,3,5,8,7,3,0,0,0,34,8,10,29,21,22,11,8,0,0,112
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,275,724,1820,1801,1923,1676,865,356,47,9484,13,96,572,864,903,689,166,28,5,3340,1998,6654,22235,26633,28362,22632,5348,600,42,114507,136,761,3936,5277,3948,2747,568,48,8,17430,7264,21994,55773,44693,35512,22515,5373,558,32,193715,730,2754,8788,11322,11749,8706,2298,302,34,46684,11050,18205,24768,19397,15189,10578,3451,499,25,103164,16236,13828,17343,11113,6766,4913,1352,173,16,71731,1005,6242,21914,22852,18917,16226,4421,352,11,91933,443,1751,6439,8503,5891,3161,640,88,5,26931,177,3366,15615,20082,13223,6451,1710,301,48,60987,219,1206,4778,5119,4049,2795,1155,297,31,19655,600,7151,35785,38368,25687,15702,6307,1173,55,130843,845,3813,10388,8884,7992,6138,2023,300,10,40401,566,3785,15773,16987,15000,11272,3068,352,21,66827,1854,4775,15077,14613,11885,9760,3472,381,17,61831,826,5060,19795,17798,14824,11899,4474,639,43,75360,2169,3086,6042,4691,3428,2216,877,146,10,22660,1164,3935,10288,9295,8966,7110,2293,370,21,43450,1914,6551,18885,16913,13685,9799,2813,594,124,71280
2RVIC,1198,2095,5468,5526,6391,7357,5264,1994,307,35600,56,231,946,1145,1044,802,161,12,0,4398,1296,2926,7745,7781,8917,7733,1813,164,9,38378,55,255,1451,1795,2077,2021,338,19,0,8007,3728,7481,15860,12792,11234,9202,2284,186,17,62785,398,730,1868,2269,2665,2475,724,111,5,11242,4786,3937,5327,4345,4256,3760,1456,199,13,28080,5924,2923,3649,2459,2030,1808,781,108,4,19686,275,870,3196,3733,4862,5805,2088,223,13,21068,110,287,735,743,761,534,180,33,0,3387,34,269,1050,1538,1524,917,318,67,10,5722,53,215,584,672,747,711,365,84,11,3441,187,875,3231,3717,3541,2767,1600,273,16,16206,277,666,1733,1843,1967,1978,731,92,7,9294,330,1077,4367,5193,5795,4890,1188,103,9,22960,366,838,3301,3878,3654,3464,1246,90,0,16841,260,1264,4671,4509,4792,4636,1558,141,6,21843,526,545,992,887,972,849,354,62,0,5188,762,1444,2944,2601,2659,2590,925,138,9,14077,919,1495,3451,3065,3541,3004,1187,426,93,17181
29499,0,3,22,9,9,8,5,0,0,59,0,0,0,0,0,5,0,0,0,4,3,8,25,21,15,11,3,0,0,82,0,0,0,5,4,4,0,0,0,16,4,18,56,36,36,17,6,0,0,174,0,0,8,8,3,5,0,0,0,28,8,10,17,6,8,9,0,0,0,61,7,16,33,10,11,8,6,0,0,86,0,3,21,12,15,13,8,0,0,84,0,0,7,8,0,0,0,0,0,15,0,0,9,9,0,4,0,0,0,25,0,0,0,3,0,0,0,0,0,12,0,4,22,21,3,9,3,0,0,59,0,0,9,9,10,5,8,0,0,41,11,12,24,7,4,10,0,0,0,68,0,0,4,6,10,3,0,0,0,31,0,5,19,15,8,10,0,0,0,51,0,0,14,0,0,0,0,0,0,19,0,7,10,8,8,5,0,0,0,32,5,3,21,26,22,9,3,0,0,87
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,268,539,1300,1071,1204,1125,625,235,30,6394,52,343,2177,3339,2901,1568,285,21,4,10678,1685,4448,10971,12711,12843,9413,1807,194,12,54084,130,447,1782,3051,2978,2024,338,25,0,10770,4094,9714,23588,21314,17725,11191,2652,238,6,90526,576,1531,4176,5288,5328,3819,893,105,0,21714,6810,9151,12202,8759,7030,4986,1462,188,15,50613,11866,6707,7683,4561,3020,1935,588,77,0,36444,827,3280,10549,11623,11318,9690,2732,266,9,50287,207,838,2136,2274,1904,1074,226,28,0,8683,114,1304,4479,5629,4580,2230,588,105,11,19044,204,745,2267,2610,2307,1770,765,192,19,10885,535,4309,14276,16345,12942,7436,2649,344,10,58853,701,2180,4971,4500,3935,2786,817,99,0,19983,369,2759,9462,10941,11183,7341,1490,112,8,43672,1078,2710,6384,6933,6570,5236,1596,176,4,30690,667,3452,11092,10408,9372,6818,2095,264,14,44182,937,1408,2270,1832,1503,962,309,57,3,9280,1074,2621,5775,4973,4527,3561,1099,145,13,23792,1480,3760,8542,8076,6699,4451,1220,237,60,34511
3RQLD,1306,2433,5985,5414,6369,6861,4208,1516,209,34304,388,1748,7405,9553,8780,5839,920,59,0,34698,2348,4370,9348,9968,10410,8508,1976,225,8,47165,209,624,1970,2612,2825,2370,393,28,0,11038,5025,9719,22302,21454,19994,15113,3757,335,17,97724,673,1197,2932,3606,4100,3373,950,130,9,16972,7760,6593,9256,7498,7085,5569,1988,287,21,46046,11703,5536,8051,5398,4599,3678,1332,229,21,40532,643,1640,5668,6928,8972,9361,3221,354,14,36802,184,507,1151,1197,1178,864,251,46,0,5365,89,552,1712,2124,2301,1518,579,98,19,8992,186,492,1407,1830,2210,1943,1072,272,27,9455,477,1744,5632,6615,6310,4521,2218,346,7,27873,620,1511,3503,3560,4226,3542,1186,132,3,18290,493,2814,7606,7989,9904,8006,1550,99,4,38470,617,1559,4418,5499,6142,5354,1766,195,13,25554,515,2531,8775,8794,8802,7528,2244,264,6,39464,984,1136,1878,1693,1729,1331,486,87,12,9333,1707,2841,5480,5005,4659,3910,1256,198,15,25079,1951,3153,6744,6439,6272,4787,1707,555,108,31724
