GCCSA_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
1GSYD,1505,4693,13664,12229,9331,5732,1715,381,96,49341,50142,110339,291034,276293,237807,160722,40649,4135,315,1171441,435,773,1911,1946,2275,1972,921,322,40,10595,38,186,929,1308,1166,939,241,52,4,4862,3159,7793,25147,30397,32036,25967,6145,648,43,131332,160,852,4124,5742,5120,3308,703,67,3,20080,8864,20851,54023,46614,37358,23967,5980,605,40,198286,1006,4330,16000,20853,19324,13473,3333,487,41,78845,23169,35185,49671,40840,33102,24308,6646,861,64,213851,31746,23668,29541,20296,14506,10642,2591,321,28,133334,1851,7744,25442,29132,28860,23514,5933,507,11,122993,812,3692,15596,17970,12685,6356,1338,163,20,58627,623,10328,44553,55054,37181,17189,3837,548,80,169389,810,3590,11298,12131,9742,6280,2416,581,101,46948,1989,20099,76998,73881,49647,29622,11044,1821,106,265208,1439,6791,19631,18147,15905,11874,3456,417,20,77677,1103,7580,30012,34696,31906,22045,5117,364,18,132839,6580,16703,46522,46436,45309,34015,10083,895,37,206584,5229,28739,80876,71850,66408,54351,16183,1743,69,325449,2628,4847,9566,7758,5908,3991,1425,246,16,36377
1RNSW,1357,1735,3745,3657,3659,2930,1188,465,113,18860,41146,53016,121826,124551,133105,109670,28564,3530,353,615759,1997,3602,8943,9615,11533,13871,10150,3734,562,64009,330,1686,7580,8601,7228,4433,593,44,5,30503,3509,5743,14570,14432,15600,13038,2922,351,27,70189,194,711,2759,3704,4164,3407,510,32,0,15491,7525,13260,27367,23748,21867,18019,4774,412,24,116993,946,1698,4534,5176,5732,4878,1369,213,16,24564,19701,15540,21407,18288,19552,17386,4931,592,43,117441,27210,14517,16182,11924,10999,9732,2939,369,27,93891,847,2187,6812,8405,11372,12110,4143,568,32,46482,446,816,1966,2110,1984,1523,451,86,6,9405,228,1473,5486,6171,5880,3895,920,135,18,24211,433,1194,2983,3133,3516,2842,1253,284,32,15667,991,4210,13601,14614,12948,9861,4336,615,27,61204,1003,2947,7702,8277,9369,8421,2267,220,4,40195,1285,4727,17182,21892,24473,17071,3108,181,9,89922,2349,6825,21606,26484,28848,22830,6117,444,7,115512,3932,15709,43760,41316,45198,42646,10159,685,24,203439,1842,1757,2943,2774,2766,2251,817,155,20,15329
19499,0,8,15,11,16,3,3,0,0,54,66,122,369,195,189,156,34,0,0,1128,5,16,69,13,9,14,0,0,0,130,0,3,11,13,11,3,0,0,0,41,4,15,47,24,16,27,5,0,0,135,0,0,7,4,3,4,0,0,0,23,5,16,81,50,44,26,11,0,0,246,0,6,20,12,7,9,0,0,0,57,22,33,57,17,37,14,5,3,0,196,39,40,86,33,16,21,3,0,0,235,0,11,39,25,17,31,4,0,0,134,0,3,10,13,6,4,0,0,0,40,0,3,26,22,15,6,0,0,0,78,0,0,3,4,0,5,0,0,0,20,0,3,57,54,42,21,9,0,0,187,5,8,33,23,18,21,0,0,0,113,13,18,26,29,33,30,0,0,0,150,3,9,44,18,32,27,6,0,0,137,3,19,80,55,66,42,20,0,0,287,4,18,31,16,4,6,0,0,0,76
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1523,4341,12470,10944,8941,5570,1623,388,100,45889,54717,113085,296540,273220,237118,156611,37678,3576,249,1172787,432,1162,3101,3130,3351,2799,1316,495,61,15845,20,125,765,1168,1207,797,199,30,3,4318,4392,9989,32797,39393,41809,31650,7155,765,52,167996,165,1116,6061,8188,5779,3570,693,58,8,25636,7632,24231,64548,53327,42614,26974,6453,685,35,226505,1058,4404,14646,18405,18599,12880,3225,403,46,73670,27200,42085,52188,40000,35322,24649,6765,796,38,229046,38219,29958,33362,20448,14368,9727,2355,265,18,148723,1365,8377,28687,29878,25584,20535,5246,406,14,120096,1007,3206,11268,13228,9134,4707,987,131,4,43676,353,6278,30605,37679,24792,11821,2822,397,53,114791,482,2787,10300,9708,7984,5187,1937,438,47,38863,1186,14824,69124,67037,45156,26144,9437,1525,74,234512,1376,7225,21121,17835,16309,11646,3483,428,13,79444,949,7182,31376,34856,31077,21753,5198,545,29,132958,4827,14761,51080,51775,47133,34543,9120,807,37,214082,3389,26001,87662,76676,68065,52254,14492,1278,63,329874,4348,6289,11369,9137,6945,4229,1462,228,16,44020
2RVIC,692,877,2007,1986,2106,1813,738,302,83,10596,21950,28806,68974,70223,75778,65164,17509,2072,228,350707,1718,2927,7764,7920,9226,10687,7827,2839,393,51294,62,292,1097,1276,1198,909,188,14,3,5036,2511,4062,10395,10594,12178,10334,2426,202,14,52711,79,402,1974,2405,2683,2393,400,19,0,10355,3898,8089,17636,14754,13237,10753,2683,219,21,71289,557,1055,2720,3148,3726,3346,931,134,5,15628,11669,9102,12052,10440,11567,10223,2929,293,19,68301,13963,7216,8078,5867,5527,4938,1612,166,7,47383,393,1201,4166,4843,6382,7283,2501,271,15,27041,224,529,1305,1314,1313,940,307,51,0,5979,89,656,2843,3718,3463,2109,545,81,13,13519,135,557,1455,1508,1658,1345,592,115,13,7384,410,1958,6909,7791,7086,5341,2462,347,18,32321,519,1387,3768,4055,4491,4213,1280,148,12,19869,548,2114,8527,10636,11673,9266,2062,162,9,45006,1160,3316,12409,14959,15192,12416,3288,181,5,62923,1528,8135,25077,23469,26032,25179,6078,320,11,115823,1078,1182,2062,1940,1981,1597,588,91,0,10524
29499,0,8,10,13,0,0,3,4,0,44,37,109,287,131,99,96,9,6,0,771,0,5,38,9,13,10,5,0,0,76,0,0,0,0,0,5,0,0,0,6,7,15,32,27,22,13,3,0,0,120,0,0,4,7,7,4,0,0,0,22,3,22,63,31,36,19,6,0,0,190,3,4,10,14,10,7,0,0,0,39,12,20,37,24,16,17,6,0,0,126,24,47,80,15,10,16,8,3,0,202,0,4,31,19,22,16,8,0,0,108,0,0,9,9,5,0,0,0,0,25,0,3,20,19,5,0,0,0,0,53,0,3,11,3,0,5,0,0,0,23,0,3,35,26,11,23,6,0,0,99,0,3,26,20,10,13,8,0,0,74,14,22,32,15,11,13,3,0,0,115,0,9,23,20,21,13,4,0,0,97,0,20,71,37,33,44,3,0,0,205,3,3,21,14,4,0,0,0,0,46
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,1091,2290,5384,5010,3975,2538,697,187,49,21215,37766,62434,141089,139011,127229,82594,17887,1591,110,609709,420,845,2321,1842,2036,1811,920,345,41,10574,59,518,3073,4464,3647,1914,328,16,4,14023,2640,6086,15464,17928,18110,12941,2465,257,20,75912,165,617,2584,4367,4103,2514,411,23,0,14786,4442,10912,27478,25674,21363,13423,3227,288,15,106826,851,2322,6508,7952,8005,5523,1286,135,0,32580,16695,19771,25177,18272,16544,11829,2989,317,21,111628,27699,15012,16099,9276,6684,4240,1056,121,5,80190,1050,4466,14111,15789,15256,12417,3280,307,10,66694,441,1539,3568,3624,2956,1607,349,35,7,14129,271,2689,10073,12199,9549,4606,1004,152,17,40564,433,1774,4960,5250,4652,3330,1368,291,27,22081,1169,9113,27971,29108,22106,12273,3955,485,17,106201,1191,4377,10660,9593,8568,5847,1562,155,0,41954,616,4875,17642,21720,21887,13392,2468,167,9,82780,2951,8035,21996,26914,27970,19164,4309,362,12,111714,3585,17517,47179,44399,40819,29994,6836,507,17,190854,1941,2926,4530,3637,2995,1833,558,95,4,18517
3RQLD,1494,1936,4543,4383,4278,3032,1118,368,86,21241,40600,51782,118046,124358,129903,98469,24960,2838,225,591187,1980,3581,9109,8319,9732,10128,6238,2190,273,51549,531,2422,9354,11208,10189,6576,1016,78,0,41370,3494,5746,12523,13643,14355,11461,2702,291,12,64225,281,786,2584,3399,3590,2832,480,37,0,13985,5406,10695,25942,25813,24127,18137,4528,415,24,115085,922,1822,4451,5417,6153,4843,1319,180,15,25111,19365,15199,21076,18419,19594,15846,4588,509,31,114629,27540,13454,18078,12869,11476,8774,2663,347,25,95231,921,2317,7818,9503,12081,11926,3976,442,14,48993,390,1000,2048,2003,1948,1377,390,67,0,9217,268,1515,4713,5464,5396,3412,915,137,22,21829,444,1340,3547,4233,4837,4072,1870,419,35,20801,1113,4321,12714,14162,12725,8706,3509,496,14,57750,1167,3071,7804,8241,9464,7607,2199,211,11,39781,799,4428,13391,15325,17731,13119,2490,160,11,67449,2092,5837,17739,25058,27907,20176,4918,411,20,104157,3179,14142,39970,39884,42103,36057,8397,576,12,184318,2119,2463,3953,3567,3352,2507,873,142,17,18976
