GCCSA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1GSYD,3119,7123,18274,17092,16052,11958,3466,485,20,77583,3543,11037,32150,29237,22730,15359,4570,1010,212,119837,98284,221909,592249,581378,487206,341136,95433,12129,989,2430704
1RNSW,3116,5150,10650,9236,9346,7506,2341,339,37,47724,3195,4592,9969,9381,9490,7889,2926,1076,264,48782,81082,108351,247988,249276,261879,223613,67024,10539,1190,1250938
19499,5,8,19,21,11,13,0,0,0,68,10,13,47,34,29,22,8,0,0,166,123,245,809,492,412,338,86,6,0,2511
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,2375,7928,21150,18694,17163,12365,3585,491,33,83780,3437,10892,31353,27858,22628,15369,4434,978,222,117172,104206,228826,612555,578433,485019,333593,90351,11140,861,2444991
2RVIC,1310,2697,5862,5030,4989,4372,1455,199,11,25934,1608,2379,5451,5046,5647,4818,1931,728,170,27774,43470,59238,141550,140714,149227,132460,42077,6593,751,716097
29499,3,8,12,13,11,3,0,0,0,56,4,13,33,35,23,9,4,4,0,126,82,217,600,341,277,227,47,11,0,1797
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15
3GBRI,2242,5253,11828,10152,9167,6364,1809,219,13,47048,2568,6046,13928,13082,10674,6984,1913,419,106,55723,71448,124682,287158,285251,257102,171993,42110,4690,347,1244782
3RQLD,3030,5257,11168,10192,9471,7087,2112,290,12,48630,3449,5091,11293,10820,10550,7817,2828,924,202,52966,78477,104482,239275,247528,256777,202448,58029,8303,739,1196051
39499,6,7,27,20,14,6,6,0,0,95,6,23,47,49,40,28,3,0,0,194,128,325,1027,644,497,464,118,7,0,3219
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,6,13,15,0,0,0,0,29
4GADE,1020,2786,6401,5463,5418,4145,1313,182,14,26744,850,2282,5082,4732,4259,3158,1005,328,76,21773,34743,64798,151206,146886,136560,105753,27511,3221,277,670956
4RSAU,371,622,1275,1113,1291,1096,416,52,9,6239,386,451,970,984,1201,1130,522,230,38,5916,10244,12616,29673,30900,36034,34708,11392,1977,177,167723
49499,0,0,9,0,3,4,0,0,0,22,0,5,3,9,8,8,0,4,0,42,32,61,211,156,128,106,26,4,0,724
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
5GPER,2132,4503,10187,8919,7754,5771,1851,244,15,41377,2299,4871,11766,11604,9857,6788,2157,474,100,49910,57492,97947,235359,242406,216750,159436,44167,4982,360,1058890
5RWAU,652,965,1964,1868,1800,1383,434,41,3,9113,685,838,1840,1920,1944,1674,685,228,49,9869,14326,17168,46308,51823,53341,45633,14400,2246,219,245471
59499,6,9,16,12,3,10,0,0,0,52,3,7,22,25,10,11,3,0,0,78,53,185,501,355,248,216,45,0,0,1614
59799,0,0,0,0,0,0,0,0,0,4,0,8,6,16,5,4,3,0,0,35,5,17,62,95,59,33,5,0,0,277
