GCCSA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
1GSYD,17190,11840,7691,3971,13750,12965,3311,5995,869,77583,10113,12829,10484,5649,22653,23703,4433,9700,20266,119837,258428,315046,249471,144687,501946,532150,125407,261774,41783,2430704
1RNSW,3310,7330,5598,3529,9784,9574,2651,5411,529,47724,2737,6165,4108,2774,8274,8440,1931,4879,9476,48782,72896,188701,150631,102219,248927,235598,70817,158753,22405,1250938
19499,4,7,14,5,12,11,0,15,3,68,14,29,16,8,19,17,9,11,47,166,284,414,316,184,406,405,111,314,87,2511
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,6719,13829,12263,6405,17191,15380,4026,7113,856,83780,4195,12376,10512,6471,25262,23997,4708,9883,19769,117172,119571,343764,284420,187083,525690,546173,138285,259789,40224,2444991
2RVIC,1669,4422,3290,1959,4973,5193,1304,2776,351,25934,1531,3478,2301,1556,4412,4859,1133,2757,5751,27774,40862,111897,86708,62220,132716,138973,40038,88697,13985,716097
29499,7,4,5,3,11,15,0,0,4,56,20,10,10,8,17,19,0,7,36,126,164,300,218,132,329,340,91,164,69,1797
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
3GBRI,7345,6241,4815,3044,9648,8455,2461,4568,469,47048,2674,5555,4553,3010,11579,11030,2556,5643,9130,55723,95168,160216,132706,91018,274893,252504,71759,147400,19110,1244782
3RQLD,4512,7109,5294,3537,9532,9120,2816,6147,562,48630,2655,6192,4578,3045,8738,8742,2220,6444,10355,52966,76302,165355,137368,99151,231253,211431,68997,182576,23623,1196051
39499,14,12,11,7,23,12,4,5,0,95,14,23,10,14,17,25,0,27,57,194,371,466,404,251,535,500,136,436,124,3219
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,5,0,26,5,29
4GADE,813,4355,3766,2329,6533,4902,1446,2370,230,26744,798,2594,2149,1369,4976,3544,886,1800,3657,21773,27964,100827,87768,60262,159568,120674,38739,66436,8721,670956
4RSAU,233,951,744,541,1266,1264,400,745,93,6239,357,762,517,340,944,780,244,647,1326,5916,8243,25627,21183,14737,29801,28706,10197,25619,3609,167723
49499,0,8,0,0,4,6,6,0,0,22,4,6,0,3,7,3,4,5,16,42,70,122,87,60,133,94,31,93,38,724
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
5GPER,1247,7089,5630,3368,8051,7986,2587,4943,464,41377,1528,5970,4462,2838,8456,10416,2584,6120,7534,49910,44335,156300,126951,80149,199346,213085,67555,154866,16303,1058890
5RWAU,378,1348,943,641,1495,1787,672,1729,109,9113,553,1275,786,505,1121,1468,520,1719,1921,9869,14073,32622,25750,17709,35552,42284,17005,55490,4979,245471
59499,6,12,6,4,9,4,0,10,0,52,9,13,0,3,5,20,0,24,12,78,181,208,163,110,217,250,70,370,33,1614
59799,0,0,0,0,0,0,0,0,0,4,8,5,0,0,0,0,0,29,0,35,13,14,5,3,5,5,11,220,5,277
6GHOB,124,733,678,417,1009,788,235,380,45,4411,125,360,326,183,535,437,103,226,708,3000,5288,18293,16835,11436,27735,20737,6286,10401,1723,118720
6RTAS,175,847,703,452,1108,1063,259,540,75,5215,234,584,376,249,583,623,171,379,920,4123,6696,21365,18277,12261,26845,24064,7693,15934,2540,135680
69499,0,0,0,5,3,6,0,0,0,10,5,0,0,0,0,4,0,4,7,18,26,48,49,24,56,56,18,23,10,309
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12
7GDAR,89,298,298,198,700,682,215,396,33,2915,107,262,237,141,580,619,131,418,617,3114,3611,6837,6548,5143,18343,16415,5016,11325,1401,74631
7RNTE,48,119,104,81,370,278,56,174,20,1246,93,107,75,58,181,186,42,124,438,1301,1623,2751,2441,2000,8071,6520,2097,5449,897,31846
79499,0,0,0,0,0,0,0,0,0,11,5,6,0,4,3,0,0,4,15,39,92,62,38,34,83,59,22,82,27,500
79799,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,7,5,4,0,0,0,0,0,42,3,56
8ACTE,244,1203,996,554,1511,1406,437,701,54,7097,135,506,437,235,960,887,163,366,1131,4827,10985,29491,24845,16967,64028,56912,16339,26195,2632,248388
89499,0,0,6,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,16,45,20,12,45,33,12,25,3,216
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,4,6,4,9,13,10,5,9,0,67,10,21,4,6,25,19,5,14,15,117,131,342,206,171,529,416,116,284,47,2243
99499,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
