GCCSA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
1GSYD,368876,711729,254555,225062,334504,188556,136033,164335,47052,2430704
1RNSW,167707,239901,181749,165378,145868,106151,85905,136208,22065,1250938
19499,234,500,279,334,236,171,253,419,77,2511
19799,0,0,0,0,0,0,0,0,0,0
2GMEL,337829,656333,296021,256199,314570,202049,142288,191239,48452,2444991
2RVIC,104102,134293,103181,91143,77728,61142,45469,85735,13304,716097
29499,174,334,250,227,143,129,177,308,49,1797
29799,0,4,0,0,0,0,0,4,0,15
3GBRI,156642,307246,153068,144697,168351,102284,78764,111300,22425,1244782
3RQLD,148825,215651,180461,155917,140745,108943,87652,134338,23517,1196051
39499,290,488,386,429,275,208,319,732,98,3219
39799,0,10,0,0,0,0,0,17,0,29
4GADE,81303,158286,86638,88320,88271,56970,36958,62688,11530,670956
4RSAU,28042,22041,23719,21129,16620,13976,13657,25255,3280,167723
49499,66,123,106,76,64,57,66,141,27,724
49799,0,0,0,0,0,0,0,0,0,8
5GPER,125556,250973,155805,127252,132123,84068,73685,91834,17595,1058890
5RWAU,35016,35748,43221,26859,25334,17528,26465,30737,4566,245471
59499,107,257,272,223,150,77,213,292,33,1614
59799,9,33,83,9,10,0,31,98,6,277
6GHOB,14582,28533,15703,16578,15319,9933,5313,10631,2126,118720
6RTAS,17804,22328,19727,18066,14429,11881,10880,17987,2578,135680
69499,24,50,48,39,27,21,37,50,11,309
69799,0,0,0,0,0,0,0,5,0,12
7GDAR,9679,16185,10791,10944,10565,5211,4011,5798,1448,74631
7RNTE,4104,7270,3915,5789,3492,1715,1507,3160,888,31846
79499,54,107,49,62,46,19,31,107,22,500
79799,0,18,9,5,0,0,4,26,0,56
8ACTE,44363,78121,23848,27111,36128,15185,6002,12362,5261,248388
89499,28,51,25,30,27,21,5,19,0,216
89799,0,0,0,0,0,0,0,0,0,0
9OTER,364,299,391,333,279,135,135,270,43,2243
99499,0,4,0,0,0,0,0,0,0,3
99799,0,0,0,0,0,0,0,0,0,0
