GCCSA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
1GSYD,50,35,31,38,11,94,15,111,106,14291,178,14958,15,50,12,7,3,29,4,160,78,3750,28,4133,3,39,11,10,0,33,8,371,121,2260,22,2879,0,9,4,9,0,46,7,338,152,1824,28,2426,24,140,50,28,8,77,38,757,276,9889,134,11420,19,145,51,37,9,276,64,1340,513,5353,65,7865,65,405,137,98,29,840,130,2271,898,35039,450,40366,116,848,278,231,49,1890,262,3099,1147,17617,231,25771,291,1674,456,712,183,3645,577,3866,1367,16674,171,29610,900,2819,751,2429,704,4711,1116,4271,1495,16112,202,35503,1028,1669,529,2890,890,4437,892,2729,945,6286,92,22393,2599,2071,650,3919,1284,4313,980,2413,788,6627,90,25747,12882,3941,1332,10497,4121,9333,2003,3972,1234,8648,185,58146,15480,2284,715,9096,3520,4134,1107,2058,553,4229,96,43274,15085,1449,443,6664,2393,3806,600,1234,330,2786,102,34893,14025,777,248,3857,1368,1463,333,598,131,1351,37,24188,42876,2435,435,10557,2886,8065,552,2624
1RNSW,251,68,38,105,18,89,13,100,52,4982,129,5836,73,70,20,39,8,50,9,191,41,2273,28,2808,28,52,10,29,0,57,3,335,64,1207,23,1800,24,14,0,27,4,68,4,274,31,1087,12,1543,167,217,39,144,7,158,29,734,128,7247,146,9017,76,194,18,126,12,305,39,1330,189,4050,74,6407,331,638,82,343,32,718,98,2877,411,36625,572,42722,478,1065,108,614,71,1656,173,3624,507,18663,227,27185,849,1903,143,1440,138,3055,270,3610,566,16969,201,29137,1739,2773,286,4131,338,3253,512,3366,575,15987,223,33193,1664,1406,162,3830,346,2728,353,1722,399,4875,70,17551,3625,1617,197,4554,475,2504,282,1406,351,4929,94,20035,12016,2435,401,9204,1182,4483,697,2077,555,5488,106,38650,9923,1275,275,6648,938,1768,420,1016,224,2495,50,25045,7803,723,209,4096,707,1421,246,537,174,1582,79,17579,5313,376,112,1882,379,484,124,255,58,651,10,9663,10104,976,259,4091,795,2298,234,910
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,98,38,38,44,10,126,10,148,72,12595,184,13353,28,68,18,19,0,40,9,298,59,3419,53,4018,9,54,8,18,0,46,12,575,96,2001,22,2839,7,12,0,11,0,51,7,537,92,1476,23,2218,45,218,26,49,3,123,37,987,162,9034,125,10801,35,262,22,97,13,371,65,1775,267,4636,69,7605,121,745,76,217,37,1128,141,3006,467,33619,482,40050,181,1370,92,504,74,2505,234,3901,580,17591,227,27246,457,2616,165,1427,183,4535,393,4173,683,15964,184,30768,1445,3650,243,4679,484,5313,610,4123,654,14714,225,36138,1731,2072,165,4962,538,4622,416,2379,406,4808,64,22163,3969,2259,205,6092,705,4303,425,1903,357,5227,99,25544,18443,3685,476,14087,1753,7934,809,3046,579,6388,159,57366,20861,2025,323,10852,1493,3102,479,1527,268,3271,103,44302,17804,1201,252,7124,1067,2874,286,908,182,2130,93,33916,14685,569,159,3807,696,1001,135,493,64,978,29,22619,32556,1748,386,8917,1549,5851,353,1910
2RVIC,109,47,21,46,11,48,3,47,25,2804,90,3242,38,39,15,20,8,19,5,121,26,1248,33,1573,17,33,8,19,5,40,11,196,32,670,4,1034,8,9,0,11,3,19,7,175,30,617,10,898,122,140,29,82,9,97,15,509,87,4172,85,5350,40,152,11,71,12,177,28,839,138,2264,30,3750,190,403,68,229,26,521,74,1752,260,19524,385,23419,313,664,87,419,58,1033,115,2272,362,10601,126,16054,524,1222,111,962,99,1860,181,2223,379,9329,126,17013,1145,1706,169,2598,242,1985,311,1940,380,8079,152,18707,924,819,79,2546,252,1579,202,975,222,2106,34,9745,2205,959,176,2935,304,1372,211,817,185,2425,44,11636,7164,1504,267,5937,688,2566,407,1057,325,2393,70,22385,5892,778,191,4040,536,864,258,498,124,1079,42,14294,4302,397,109,2459,356,739,133,268,80,686,34,9572,2775,216,86,1113,167,247,66,119,31,266,8,5074,4853,515,138,2346,366,1152,139,429
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,49,12,14,16,7,60,5,59,49,4179,63,4528,23,28,9,17,0,27,9,100,36,1497,14,1753,4,21,9,18,3,35,12,218,47,932,8,1303,9,5,0,6,3,30,0,223,50,789,13,1127,43,109,20,29,0,84,24,461,98,4352,52,5271,15,107,13,40,5,200,38,804,200,2699,15,4132,75,365,55,136,37,516,92,1586,343,19614,237,23054,125,682,74,282,56,1394,163,2043,509,11234,122,16686,285,1326,159,783,153,2643,333,2204,527,10066,93,18566,968,1844,257,2673,510,3179,517,2017,528,8762,83,21342,1241,997,146,2868,588,2735,349,1156,355,2841,37,13305,2740,1114,227,3524,726,2422,384,945,306,2914,35,15334,11578,1767,455,7845,1718,4670,697,1378,480,3208,61,33859,11264,992,307,5811,1377,1751,404,677,203,1505,42,24317,8986,597,201,3835,887,1480,248,411,156,967,46,17822,6991,291,122,1943,568,533,129,187,43,445,5,11268,14689,798,240,4194,1064,2841,241,727
3RQLD,254,52,33,68,9,99,5,95,50,4827,103,5602,70,55,18,36,5,38,12,191,37,2093,30,2578,30,38,5,26,3,41,6,298,52,1182,13,1701,11,14,0,10,4,42,6,256,40,1109,16,1510,169,177,40,114,10,129,24,676,121,6496,100,8052,73,156,21,111,5,293,38,1167,191,3801,46,5893,296,594,87,304,40,761,98,2471,388,29605,425,35063,393,934,95,585,71,1675,168,3166,514,15047,201,22855,755,1659,212,1287,139,3071,313,3110,563,13131,157,24388,1621,2506,241,3807,422,3357,517,2721,589,11536,187,27497,1685,1128,184,3702,455,2763,369,1351,369,3448,55,15516,3751,1352,249,4367,550,2381,406,1162,317,3806,76,18418,12434,2073,487,8899,1344,4417,697,1509,591,4083,103,36633,10465,1108,341,5973,1006,1505,463,681,198,1820,55,23630,7727,676,244,3806,699,1397,251,443,210,1174,62,16685,5150,311,166,1787,391,429,127,183,50,527,17,9145,9879,913,368,3655,773,2275,243,702
