GCCSA_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
1GSYD,59,87,96,238,269,178,446,682,4900,53,5631,28,117,37,178,56,52,106,285,942,10,1234,29,281,116,432,138,150,283,710,1944,14,2670,53,548,208,809,178,215,393,1205,3149,21,4378,96,916,368,1384,234,275,514,1895,5598,39,7536,292,2086,713,3089,388,480,870,3957,7809,37,11804,870,3180,1178,5233,375,354,726,5962,7996,56,14018,2109,3863,1207,7182,309,275,580,7766,10275,88,18123,4155,4431,1349,9933,265,210,476,10407,9580,61,20046,5094,4100,1285,10472,274,239,518,10987,8118,58,19164,5353,2963,885,9203,190,119,317,9523,5521,46,15081,5288,2365,791,8441,157,107,270,8713,4594,41,13338,11701,3843,1440,16984,226,141,365,17349,6811,32,24190,4960,1866,724,7550,112,80,192,7740,3866,11,11618,4704,1256,434,6391,71,36,112,6500,1853,13,8365,1941,583,215,2739,33,18,52,2796,1054,5,3857,7689,1485,468,9637,114,43,161,9797,2324,32,12156,4039,1963,959,6958,205,139,344,7303,4416,522,12248,190,135
1RNSW,49,55,50,160,97,67,162,319,1332,35,1686,30,89,24,136,43,29,67,204,451,5,662,37,276,56,373,111,97,205,579,986,11,1578,67,516,115,694,213,204,418,1109,1918,25,3053,128,1010,188,1328,254,313,564,1892,3944,40,5878,386,2731,495,3610,358,470,832,4443,5679,42,10163,1030,4012,648,5689,285,353,640,6330,5427,67,11831,2371,4494,608,7473,212,224,437,7912,7647,104,15656,4079,4382,549,9013,171,198,367,9381,6495,75,15951,4282,3348,507,8138,136,135,273,8409,4552,50,13007,3777,2094,394,6267,80,56,133,6404,2635,32,9066,3602,1507,288,5406,43,42,82,5487,1839,34,7361,6203,2040,451,8692,76,49,123,8814,2233,26,11070,2436,770,188,3390,38,23,57,3448,985,16,4450,1752,424,124,2303,19,17,36,2341,403,16,2750,635,150,44,832,4,4,3,836,202,0,1038,1452,394,94,1939,35,15,44,1985,546,21,2557,2950,1858,467,5276,153,114,265,5545,3145,283,8966,143,135
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,124,128,95,348,258,226,483,834,4568,49,5453,42,216,49,308,80,93,171,485,994,8,1486,66,537,107,707,173,219,394,1098,1904,22,3026,81,875,146,1104,239,289,531,1641,2659,32,4330,168,1399,262,1828,305,390,691,2520,4775,43,7339,427,3014,528,3961,350,518,869,4835,6334,42,11211,1226,4467,640,6330,327,426,745,7085,6550,49,13686,2800,5146,606,8546,320,327,646,9198,9049,92,18341,5112,5439,666,11218,262,261,524,11739,8334,81,20150,6074,4762,603,11438,267,219,481,11927,6881,54,18858,5844,3392,465,9704,174,144,315,10015,4489,30,14529,5614,2498,375,8486,123,101,230,8713,3583,23,12321,11231,3759,702,15694,197,150,343,16039,5162,34,21237,4971,1631,310,6913,104,67,173,7093,2685,24,9794,4210,1060,223,5489,57,29,84,5575,1137,10,6719,1613,462,87,2170,22,19,47,2215,660,4,2874,5322,1013,196,6538,71,28,99,6635,1353,18,8001,4580,2483,733,7800,227,182,406,8202,4051,477,12730,233,163
2RVIC,26,26,28,82,45,38,84,165,654,12,832,19,58,11,85,16,19,33,121,209,5,333,14,155,32,206,51,51,101,312,489,8,811,36,321,77,437,76,106,184,616,988,9,1616,69,613,117,799,155,152,304,1113,2081,23,3209,217,1589,304,2110,177,276,449,2558,3039,18,5622,583,2481,321,3386,145,180,319,3700,2813,32,6550,1255,2715,300,4272,118,132,247,4512,3832,41,8389,2052,2511,274,4842,99,103,199,5038,3084,38,8159,2179,1949,258,4387,69,62,131,4518,2221,27,6770,2034,1224,181,3437,40,35,75,3516,1173,23,4703,1789,795,139,2722,20,17,36,2758,820,13,3600,2969,1052,214,4230,29,18,50,4278,1038,10,5329,1168,407,71,1653,20,9,30,1681,432,8,2117,788,196,51,1040,3,6,9,1047,155,0,1207,291,74,22,392,0,0,0,392,83,0,480,699,177,43,916,15,0,17,933,232,8,1176,1628,1112,229,2969,59,55,117,3087,1551,161,4803,101,90
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,48,53,33,132,139,104,242,381,1666,23,2063,24,78,22,122,32,45,71,199,389,4,589,15,188,53,262,112,86,199,461,846,12,1316,45,335,113,493,190,171,363,859,1373,11,2245,99,620,210,924,271,270,547,1470,2794,14,4277,306,1702,481,2493,418,500,926,3407,4325,20,7759,871,2735,721,4332,338,346,681,5008,4187,26,9220,2108,3102,723,5933,238,226,459,6397,5264,49,11708,3815,3138,658,7620,201,170,365,7990,4710,40,12740,4212,2561,639,7414,180,131,318,7732,3672,27,11425,4045,1822,431,6293,98,79,173,6470,2266,19,8754,3653,1298,311,5265,76,45,121,5384,1735,14,7134,7013,1906,548,9465,117,64,179,9645,2317,18,11980,2630,772,228,3631,58,29,88,3719,1123,8,4849,2119,456,136,2714,23,14,32,2746,480,3,3229,771,191,51,1017,4,0,5,1021,231,0,1248,2483,421,132,3039,28,18,47,3080,564,3,3652,2719,1307,451,4477,129,103,232,4712,2098,231,7040,150,69
3RQLD,57,46,49,154,124,98,220,375,1441,30,1846,22,93,31,141,41,32,75,215,372,9,600,45,269,67,383,161,121,278,664,907,10,1587,69,488,83,639,245,204,451,1090,1552,21,2659,142,953,174,1268,325,340,663,1935,3116,28,5077,393,2521,484,3398,447,536,986,4381,4855,32,9259,1136,3768,599,5496,360,405,773,6269,4630,44,10939,2750,4044,592,7386,242,262,504,7894,5887,60,13838,4261,3903,620,8787,228,207,440,9221,5202,45,14477,4366,3002,521,7890,166,139,305,8192,3722,38,11957,4045,1897,372,6313,103,70,175,6491,2141,15,8639,3484,1348,299,5125,63,46,109,5233,1511,20,6763,5607,1795,420,7820,82,76,155,7972,1979,13,9967,2123,679,170,2970,22,25,46,3014,852,11,3874,1499,371,113,1986,22,11,34,2025,298,9,2330,515,134,43,691,4,3,10,702,161,3,864,1438,288,103,1834,30,21,46,1881,421,14,2316,2776,1656,483,4918,181,124,301,5217,2694,255,8168,155,121
