GCCSA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
1GSYD,261,589,21,7,28,615,1046,1352,3020,58655,36063,12736,107447,3615,3127,6739,114192,91803,2487,208478
1RNSW,214,495,13,22,36,534,952,1018,2507,35414,30287,5517,71218,2334,2422,4755,75968,51367,1913,129253
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,293,687,22,23,49,735,975,1170,2872,59730,42434,7103,109273,3566,3718,7291,116561,76158,2248,194963
2RVIC,107,299,13,10,23,318,506,538,1368,17922,17555,2791,38267,1149,1257,2407,40677,25415,981,67072
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,170,382,14,14,31,417,463,642,1527,37120,22756,6128,66008,2669,2415,5086,71092,40502,1160,112757
3RQLD,212,485,28,26,59,550,672,889,2102,34882,27377,5432,67688,2885,2739,5621,73317,42404,1549,117272
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,69,176,12,13,25,205,256,253,709,19682,15157,1925,36769,1299,1423,2721,39486,23847,542,63878
4RSAU,30,79,7,5,11,91,146,120,353,3887,4051,561,8490,403,345,744,9243,6235,231,15706
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,133,279,17,21,34,321,305,466,1089,28952,20850,2679,52483,2023,2207,4231,56718,28542,838,86096
5RWAU,26,79,6,3,12,87,172,234,494,5950,4709,731,11386,431,461,892,12281,7292,368,19947
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,11,22,6,3,13,31,80,47,161,3550,3070,413,7035,249,266,521,7554,4271,123,11945
6RTAS,14,46,5,0,5,43,107,87,246,3508,3542,464,7515,325,386,712,8227,5634,182,14043
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,5,25,4,0,4,23,18,51,90,2535,909,204,3651,132,98,226,3880,1618,118,5609
7RNTE,8,19,0,5,9,28,57,72,156,979,482,139,1597,171,106,275,1875,2473,122,4464
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,9,33,4,0,6,34,34,67,130,7659,3101,565,11321,245,226,470,11790,4745,117,16650
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,0,0,4,47,39,4,92,0,3,4,95,38,0,135
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
