GCCSA_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
1GSYD,854,2203,11190,4505,1828,10233,3318,13174,844,48144,5450,19020,25046,11616,9135,13598,9989,15094,2624,111568,37422,93549,55470,18267,22832,18208,24553,23803,7099,301213,66139,95432,45537,13372,22735,14599,23780,17034,6458,305092,60237,63182,38183,10992,18108,11738,24795,17166,5001,249396,37785,41267,28745,7818,13455,8876,23062,16101,3300,180407,10329,15666,7186,2264,4237,3114,6011,4879,1090,54783,1840,2770,675,220,541,558,460,548,368,7988,186,200,42,12,41,47,12,39,98,667,220241,333295,212076,69070,92915,80969,115972,107848,26885,1259257,761,3010,1661,11640,4329,21541,1038,5427,739,50142,5492,26177,5027,25723,19553,18393,2438,5570,1964,110339,33905,120162,11659,36652,48283,20205,4415,10235,5522,291034,46242,101688,9540,28714,55378,16481,3757,9376,5108,276293,38519,71304,7837,28348,56406,15914,4216,11721,3551,237807,19215,43069,5427,20428,43802,11773,3508,11309,2195,160722,3992,11879,1219,4206,12399,2910,654,2641,752,40649,450,1097,114,273,1383,342,42,201,243,4135,49,48,7,13,66,34,0,7,85,315,148631,378435,42485,155997,241593,107592,20061,56488,20166,1171441
1RNSW,861,472,10912,3248,656,8135,2198,12685,763,39936,2725,3894,19033,6118,2043,5519,4689,10301,1004,55330,13470,19784,38140,10071,4992,6573,13659,17052,2423,126160,22313,22030,30145,8478,5395,5137,15126,13580,2520,124729,25899,20521,26737,8726,6390,5539,17892,14486,2590,128767,22735,16330,22029,6883,6025,5278,18112,14477,2076,113949,10591,6719,5277,1685,1886,1960,5224,4306,816,38463,3180,1026,516,124,271,327,559,607,406,7010,471,64,36,13,16,36,20,41,141,839,102251,90840,152823,45350,27665,38496,77478,87539,12735,635185,595,934,1870,11204,2346,17165,495,5847,687,41146,2326,7427,3457,17467,7509,8861,866,4312,789,53016,10523,37957,7114,24343,20374,10199,1778,7783,1761,121826,15449,37853,5818,20880,24471,8881,1531,7860,1812,124551,17370,33227,5702,22926,29915,10467,1774,9861,1862,133105,12934,24778,3977,19270,25942,9541,1524,10318,1381,109670,4889,6451,919,3716,6891,2350,409,2372,578,28564,1237,416,62,204,714,185,45,293,365,3530,138,16,13,10,45,13,3,18,101,353,65457,149064,28928,120023,118206,67660,8421,48671,9331,615759
19499,0,0,8,9,0,14,0,20,0,57,4,9,25,19,3,18,12,32,4,128,27,94,79,33,11,15,69,97,11,435,38,45,57,24,14,7,55,33,12,295,21,47,30,19,15,11,36,40,5,228,33,29,35,13,11,6,32,22,10,187,7,14,7,0,0,4,9,3,4,52,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,133,236,241,122,63,69,216,254,55,1388,4,0,3,21,3,26,0,5,0,66,4,16,6,30,9,19,11,19,0,122,29,94,15,60,41,25,18,87,3,369,25,56,6,33,24,11,0,24,6,195,26,37,3,41,38,10,4,19,8,189,21,40,4,21,44,7,4,16,3,156,0,12,0,4,7,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,264,47,216,168,104,35,165,22,1128
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,718,1251,9082,6085,1675,11793,2478,15501,913,49493,4878,14823,28896,12519,8869,15044,10279,17636,2806,115736,33869,86686,68459,20452,23848,17933,28516,28678,7574,316019,60726,86615,54325,14115,21586,13839,26899,20393,6713,305215,56261,57009,44610,11469,16877,11704,25200,19641,5125,247898,35945,37149,31927,8322,12739,8442,22495,16606,3351,176983,9906,14085,7714,2199,3933,2919,5682,5114,1133,52681,1768,2353,771,208,488,526,372,745,330,7562,167,144,38,17,34,38,16,54,99,610,204243,300118,245818,75388,90047,82245,121933,124365,28037,1272202,712,1615,1333,12807,3323,26863,651,6633,781,54717,5178,21155,5536,27441,17815,24058,2386,7472,2041,113085,29687,116539,14910,43411,47501,21180,4640,13121,5554,296540,40615,98791,11747,35997,50255,15798,3894,11146,4971,273220,35462,67386,9597,33332,53056,16417,4708,13350,3826,237118,17622,39716,5800,22926,40842,12281,3427,11805,2197,156611,3809,10094,1195,4627,10752,2923,607,2988,691,37678,477,861,80,279,952,273,40,352,259,3576,28,56,3,4,37,11,0,10,89,249,133589,356218,50208,180816,224527,119806,20354,66872,20408,1172787
2RVIC,583,224,5389,1753,316,4732,875,7180,464,21524,1895,1924,10549,2777,1082,2979,2483,6118,617,30436,8425,11149,21441,5305,2880,3740,7099,11015,1521,72577,13844,12082,17056,4312,3090,2993,7167,8543,1397,70493,16166,10876,15293,4628,3466,3296,9364,8777,1586,73449,14706,8951,12722,3875,3369,3110,10479,8672,1412,67302,7448,3857,3208,1039,1246,1245,3108,2843,576,24572,2334,512,306,96,160,204,245,379,281,4520,318,26,20,4,8,17,10,36,76,525,65730,49606,85983,23795,15618,22326,40835,53565,7927,365387,355,229,790,5274,1061,10159,250,3423,410,21950,1301,3849,1990,8793,3755,5229,553,2904,433,28806,5656,22243,4315,13775,10339,5541,846,5283,973,68974,8481,21867,3657,11764,12830,4839,734,5029,1020,70223,10047,18505,3357,13510,15792,6084,1018,6438,1021,75778,8028,14125,2520,11742,14293,5605,1015,7022,822,65164,3550,3634,537,2374,3709,1268,202,1829,409,17509,869,216,29,108,318,82,18,224,211,2072,84,13,6,5,19,3,4,14,77,228,38370,84684,17200,67350,62112,38815,4635,32164,5372,350707
29499,4,0,10,4,0,4,8,7,0,43,5,4,25,13,10,10,15,22,3,104,21,70,68,25,12,19,33,66,8,316,34,44,44,9,9,9,21,38,9,210,22,19,32,11,0,9,34,53,6,182,23,15,26,9,4,5,29,21,0,131,4,3,10,0,3,0,5,8,4,36,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,108,159,207,68,36,56,147,207,33,1022,0,0,5,9,0,16,4,0,0,37,4,16,4,37,11,16,5,13,0,109,19,74,15,52,38,20,15,51,8,287,18,47,8,20,18,5,3,9,5,131,13,24,3,25,14,11,3,9,0,99,8,25,4,19,22,9,6,10,3,96,0,0,0,0,5,4,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,63,176,44,155,109,74,32,104,16,771
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,526,812,5901,3523,1043,7779,2766,10791,545,33679,2599,8184,14548,7109,4533,7058,6431,10445,1334,62251,14637,34496,34058,10572,10082,8151,15304,15616,3161,146078,26059,37875,28865,7729,10043,6244,14599,11780,3041,146238,27175,29954,23511,6951,8964,5611,14348,10891,2468,129871,16751,18231,16446,4447,6579,4414,12284,8689,1558,89402,4333,5831,3674,1120,1737,1487,3163,2412,468,24218,771,782,281,103,211,252,252,297,154,3096,74,41,9,4,20,17,9,11,43,230,92915,136205,127295,41562,43213,41020,69152,70930,12771,635069,616,1107,1224,9800,2737,16020,669,5052,541,37766,3037,11661,3355,16382,11189,10443,1333,4054,979,62434,13425,48580,7353,23134,25810,10542,2175,7626,2447,141089,18790,47950,5653,19632,28152,7845,1705,6931,2363,139011,17447,36360,4810,18836,29761,8309,1932,7966,1811,127229,8429,20745,2786,12903,21868,6355,1476,6965,1062,82594,1725,4296,545,2333,5190,1584,317,1616,281,17887,243,333,43,115,420,154,8,157,112,1591,23,11,0,5,18,5,0,4,50,110,63728,171042,25773,103129,125140,61265,9613,40376,9651,609709
3RQLD,631,503,8814,3454,673,8658,2129,12196,822,37881,2238,3990,16611,5881,1936,5340,4883,10621,1195,52699,11942,17861,36933,10087,4562,6456,13455,17130,2802,121230,20676,20013,33071,7748,5134,5415,15282,13032,2796,123170,23936,19392,29072,8080,5956,6051,18163,13324,2891,126868,19254,14305,21926,5835,5384,5186,17606,12331,2155,103984,7913,5419,5210,1332,1545,2090,5009,3757,789,33068,2213,737,419,137,254,385,445,547,330,5464,238,36,23,6,23,21,22,40,102,513,89043,82264,152072,42547,25476,39610,76992,82979,13887,604869,576,808,1702,10739,2637,17130,557,5689,764,40600,2398,8137,3297,14727,7980,8868,1229,4280,863,51782,10501,33750,7155,22810,20549,10229,2349,8722,1975,118046,14936,35092,6055,21383,24921,9228,2006,8708,2034,124358,16034,30460,5605,22850,28855,11264,2381,10593,1860,129903,10842,20049,3703,17331,23540,9636,1734,10362,1274,98469,3662,4738,794,3332,6119,2707,376,2686,541,24960,763,335,79,197,641,266,24,290,241,2838,69,16,4,8,31,10,0,17,74,225,59779,133388,28388,113371,115269,69336,10661,51356,9632,591187
