GCCSA_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
1GSYD,12277,13628,10248,6823,37210,63531,18730,55716,2076,220241,8999,23525,16516,12636,76374,112059,23669,56662,2850,333295,38570,22366,16043,9039,41082,51585,10631,18667,4091,212076,14721,10611,7406,4139,11898,9453,4776,4871,1202,69070,4994,7670,6380,3627,28022,24630,5796,10905,902,92915,9715,16809,10119,4356,14041,14847,3315,6646,1122,80969,13493,12991,12616,6788,26178,22014,6503,12927,2471,115972,20540,23044,14603,6176,17780,14443,3261,5648,2353,107848,2685,2166,1816,894,4176,4583,827,2375,7360,26885,126004,132799,95744,54480,256769,317133,77507,174415,24424,1259257,12815,11853,11443,8776,30238,36823,11134,24447,1098,148631,21706,42879,42358,29540,83079,94060,21124,40662,3026,378435,9776,6422,5779,3012,8094,5956,1070,1807,562,42485,30801,34857,27375,15735,23975,13210,2881,4738,2428,155997,19014,37395,35238,19387,66655,44561,7546,9655,2138,241593,23735,28991,16585,7179,14731,9983,2097,2951,1342,107592,2376,3244,3076,1656,5415,2640,600,704,344,20061,10182,14522,10128,4077,9354,4868,982,1384,990,56488,2027,2088,1731,841,3644,2925,467,1014,5430,20166,132432,182248,153724,90210,245183,215026,47903,87360,17364,1171441
1RNSW,2974,4864,4636,3922,14256,23907,9660,36741,1286,102251,3020,7098,5799,5321,20817,24861,7288,16004,634,90840,6655,9084,8097,7140,35802,46877,12533,24277,2348,152823,4067,7805,5782,4405,9077,6669,3009,3852,685,45350,1191,2556,1953,1354,8395,6588,2060,3333,234,27665,1995,9841,4653,2565,7004,6240,1960,3687,547,38496,4020,6067,5208,3459,14831,16594,6790,18923,1574,77478,5141,18360,9782,6614,16732,16538,4269,8197,1912,87539,816,1058,662,481,1990,2191,599,1511,3426,12735,29880,66738,46568,35260,128917,150468,48177,116532,12644,635185,3611,5744,6538,5234,13138,13607,4591,12306,686,65457,9732,18537,22239,16546,29448,28836,8201,14486,1029,149064,2401,5345,4982,3154,5981,4047,991,1625,396,28928,10184,29103,25056,16820,19811,10245,2661,4249,1897,120023,6016,18761,21063,13590,32531,17445,3414,4432,954,118206,5677,24169,13182,6249,10114,4677,1161,1519,915,67660,628,1593,1327,635,1428,1084,446,1156,128,8421,3938,17573,8798,4215,6062,4203,959,1965,937,48671,828,1145,879,507,1502,979,205,476,2808,9331,43018,121959,104061,66953,120015,85131,22637,42220,9762,615759
19499,11,12,8,4,27,33,10,28,3,133,19,26,18,17,46,59,13,35,5,236,38,28,18,16,39,52,13,35,13,241,7,16,25,5,13,20,8,20,6,122,5,3,6,0,16,12,0,12,3,63,6,12,13,4,10,6,6,7,3,69,30,16,19,19,35,31,19,57,3,216,24,48,46,21,34,39,17,17,12,254,5,7,0,0,5,3,0,3,21,55,152,170,146,86,224,249,75,208,66,1388,13,6,8,12,21,25,11,14,0,104,34,37,36,21,36,48,9,44,3,264,0,8,11,3,9,12,0,3,0,47,43,56,38,18,20,19,3,12,0,216,13,35,23,12,47,26,3,6,0,168,26,33,17,13,14,7,0,0,0,104,0,10,6,0,3,5,0,3,0,35,10,48,29,16,26,17,4,20,6,165,0,4,0,0,0,3,0,0,8,22,136,241,168,98,172,161,35,102,20,1128
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,4502,7907,8472,7274,37101,60364,20516,56370,1748,204243,6108,18955,15094,14152,71226,100970,23290,47984,2330,300118,8203,16289,17637,13582,59593,78894,18559,28834,4231,245818,8683,15880,9925,6007,11021,13476,3739,5439,1214,75388,2513,7016,6093,4259,28145,25578,5918,9679,857,90047,4415,20131,10172,5026,15559,15033,3912,6993,1002,82245,4361,11254,12805,7725,29352,29074,8973,15807,2576,121933,6246,28088,17495,8800,24866,21809,5608,9034,2409,124365,1137,2253,1848,1169,5278,5358,1112,2770,7117,28037,46170,127770,99540,67995,282143,350550,91628,182912,23490,1272202,6479,9043,12825,11043,30024,31819,10287,21160,910,133589,18708,40923,45552,40173,75024,79202,20335,33791,2516,356218,4385,9188,9511,4843,10725,7384,1480,2043,642,50208,16911,48952,38775,22388,28544,14302,2964,5274,2705,180816,9346,33987,37104,22946,62184,41298,7278,8514,1871,224527,10796,46717,22252,8551,15698,9591,2088,2733,1384,119806,972,3154,3116,2064,5928,3353,684,760,316,20354,4458,21608,13776,5855,11684,5695,1093,1617,1099,66872,1344,2426,1971,1227,3746,2981,448,983,5286,20408,73403,215989,184877,119090,243551,195616,46657,76879,16737,1172787
2RVIC,1894,3012,2886,2558,8509,15513,6091,24257,1016,65730,1615,3553,3065,3146,11632,13912,4111,8198,375,49606,3012,4955,4437,4114,19467,28547,7048,12999,1399,85983,2503,3910,2662,2009,3736,5127,1395,2103,347,23795,576,1391,1179,832,4543,4054,1163,1733,148,15618,1166,5741,2521,1465,4040,3946,1082,2035,321,22326,2086,2903,2755,1959,7471,9722,3815,9269,853,40835,2748,11055,5297,3786,10239,11014,3132,5044,1254,53565,507,650,390,327,1199,1398,352,957,2148,7927,16121,37168,25189,20200,70839,93232,28186,66594,7867,365387,1871,3933,4387,3387,6803,7649,2458,7318,567,38370,5808,11105,13458,12427,15357,14264,4408,7236,616,84684,1393,3425,3170,1937,3370,2345,486,843,237,17200,6206,16918,14699,9399,9989,5642,1264,2178,1052,67350,3081,10790,11468,7697,15464,9292,1705,2083,535,62112,3103,15517,7433,3390,5050,2476,532,733,574,38815,294,862,754,433,943,747,190,345,75,4635,2478,11490,5683,3047,4187,2765,716,1117,679,32164,514,694,483,307,704,559,95,235,1786,5372,24741,74732,61525,42019,61873,45734,11848,22102,6119,350707
29499,6,12,9,4,17,28,11,18,4,108,6,10,14,8,34,63,7,15,3,159,15,20,17,12,48,52,19,26,8,207,10,10,7,11,6,15,5,5,0,68,0,6,3,0,11,9,0,3,0,36,5,14,10,0,13,5,0,5,3,56,11,26,7,11,27,32,7,27,3,147,14,34,29,24,39,39,3,19,8,207,4,0,0,0,4,3,0,0,14,33,74,114,105,63,202,240,60,114,44,1022,10,9,5,0,14,14,8,8,0,63,15,27,25,18,38,36,10,12,3,176,11,11,5,6,5,9,4,4,0,44,21,53,34,18,11,3,7,7,6,155,0,17,18,8,31,19,4,5,0,109,8,25,10,3,7,4,3,4,5,74,4,11,3,0,4,3,0,0,0,32,11,32,17,9,15,14,0,4,0,104,0,5,0,0,6,0,0,0,0,16,85,190,111,71,129,98,29,43,16,771
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,3053,3492,3087,2592,15834,25105,9850,29202,703,92915,4516,8386,6954,6524,33173,42408,10342,23070,839,136205,7007,7536,6520,5552,29865,37531,11069,20365,1855,127295,6505,6867,4812,3103,6756,6969,2305,3570,677,41562,1863,2950,2765,1856,14285,10777,3141,5256,313,43213,3175,9636,4893,2551,7388,6892,2057,3981,451,41020,3733,5924,5914,4092,15093,14520,5253,13265,1367,69152,5259,14596,8727,5156,14540,12002,3287,6035,1331,70930,679,881,668,524,2279,2432,555,1491,3258,12771,35794,60276,44335,31943,139213,158635,47851,106227,10793,635069,4504,4268,4749,4140,15074,14725,5146,10703,412,63728,12240,18425,22178,18730,37937,35017,9141,16382,990,171042,4381,3612,3475,2243,5823,3730,840,1323,336,25773,16272,23878,20242,12448,16216,7393,1762,3409,1508,103129,7509,15603,17416,11304,40129,22182,4594,5470,940,125140,8617,19817,10563,4839,9136,4847,1097,1636,718,61265,783,1555,1401,914,2387,1390,372,650,156,9613,4356,11833,7525,3907,7024,3255,709,1100,671,40376,706,944,833,543,1942,1343,249,499,2595,9651,59372,99941,88376,59076,135677,93871,23912,41174,8314,609709
3RQLD,2697,3647,3377,3053,12041,19870,8256,34914,1193,89043,3329,5751,5409,5354,17512,21925,6470,15797,704,82264,7350,8166,7279,6547,31747,40411,14364,33664,2548,152072,4340,6405,5380,3945,7301,7252,2658,4527,747,42547,1190,2100,1744,1307,7157,6001,1895,3847,231,25476,2140,9673,4667,2838,7105,6343,2037,4270,530,39610,4723,5093,4885,3362,11632,13201,6677,25734,1697,76992,4677,15469,8927,6301,16230,14115,4422,10963,1876,82979,832,1064,715,563,1962,2119,650,2210,3763,13887,31281,57373,42372,33268,112693,131236,47439,135928,13284,604869,3332,4649,5250,4392,12536,12372,4114,12421,711,59779,9071,15230,18985,16881,26787,24914,6984,13537,998,133388,3035,4275,4190,2963,6163,4035,1082,2221,415,28388,11930,25224,23448,16055,18899,8866,2303,4733,1920,113371,5948,16757,18331,12214,32965,18569,3905,5514,1067,115269,6346,22803,13080,6627,11016,5125,1322,2088,933,69336,941,1456,1309,775,1577,1289,630,2487,193,10661,3702,16466,9582,5415,7166,3999,1019,3004,1001,51356,715,1128,817,566,1454,1024,200,636,3092,9632,45016,107984,94995,65884,118566,80195,21563,46647,10331,591187
