GCCSA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
1GSYD,25091,25478,21697,15603,67451,100354,29868,80166,3172,368876,30709,66401,58876,42182,159454,206120,44792,97324,5875,711729,48347,28791,21824,12054,49170,57538,11707,20475,4654,254555,45517,45465,34779,19875,35878,22661,7655,9603,3629,225062,24006,45057,41613,23014,94675,69189,13345,20558,3038,334504,33454,45802,26707,11537,28775,24823,5415,9594,2458,188556,15868,16234,15690,8441,31591,24658,7096,13629,2821,136033,30720,37561,24741,10253,27137,19305,4241,7029,3345,164335,4713,4260,3554,1737,7815,7506,1294,3386,12789,47052,258428,315046,249471,144687,501946,532150,125407,261774,41783,2430704
1RNSW,6583,10602,11175,9158,27393,37516,14257,49046,1974,167707,12756,25634,28038,21869,50265,53694,15488,30490,1668,239901,9055,14433,13079,10296,41782,50927,13528,25902,2749,181749,14250,36907,30836,21225,28890,16910,5668,8104,2583,165378,7205,21315,23018,14942,40934,24035,5475,7767,1180,145868,7674,34013,17835,8810,17117,10924,3120,5207,1465,106151,4646,7656,6537,4091,16257,17677,7240,20083,1708,85905,9078,35930,18576,10834,22800,20742,5232,10165,2850,136208,1641,2201,1541,988,3493,3176,803,1989,6237,22065,72896,188701,150631,102219,248927,235598,70817,158753,22405,1250938
19499,21,17,14,15,45,61,19,42,3,234,55,64,56,33,83,106,19,78,3,500,40,31,24,22,47,57,10,39,13,279,53,74,62,29,38,40,5,31,5,334,19,41,30,15,61,41,9,18,3,236,29,45,26,19,25,9,3,10,4,171,30,20,25,23,38,35,19,62,3,253,37,97,75,31,64,52,23,34,16,419,9,13,0,0,7,4,0,7,29,77,284,414,316,184,406,405,111,314,87,2511
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,10982,16952,21291,18315,67124,92177,30805,77528,2665,337829,24820,59878,60643,54327,146249,180171,43625,81776,4845,656333,12589,25473,27149,18426,70323,86276,20039,30876,4869,296021,25600,64830,48702,28393,39568,27776,6704,10708,3923,256199,11856,40997,43196,27204,90326,66879,13196,18197,2720,314570,15208,66852,32427,13578,31252,24627,5996,9726,2386,202049,5333,14410,15928,9790,35283,32427,9660,16571,2894,142288,10705,49701,31271,14655,36550,27507,6704,10655,3508,191239,2483,4678,3818,2392,9024,8332,1561,3760,12409,48452,119571,343764,284420,187083,525690,546173,138285,259789,40224,2444991
2RVIC,3761,6942,7276,5948,15314,23163,8547,31572,1578,104102,7419,14662,16518,15575,26990,28178,8521,15440,990,134293,4406,8379,7607,6050,22839,30889,7535,13842,1640,103181,8711,20828,17364,11414,13726,10767,2657,4287,1398,91143,3658,12181,12639,8525,20005,13345,2869,3812,684,77728,4271,21260,9957,4851,9086,6430,1616,2768,894,61142,2379,3762,3510,2390,8409,10470,4003,9622,922,45469,5230,22549,10975,6829,14428,13779,3847,6163,1938,85735,1023,1338,866,629,1908,1958,446,1199,3938,13304,40862,111897,86708,62220,132716,138973,40038,88697,13985,716097
29499,19,21,10,3,33,43,14,33,4,174,18,34,45,24,74,99,12,25,6,334,20,28,20,14,53,60,23,25,8,250,35,60,39,31,15,21,9,8,5,227,4,25,21,14,39,26,3,12,4,143,13,40,20,9,15,11,5,4,7,129,17,34,17,11,30,36,8,28,6,177,27,60,46,33,50,54,3,27,11,308,7,8,0,0,10,3,0,0,23,49,164,300,218,132,329,340,91,164,69,1797
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
3GBRI,7562,7760,7839,6732,30911,39828,14993,39904,1118,156642,16757,26813,29126,25259,71104,77424,19480,39451,1825,307246,11390,11152,9998,7794,35687,41262,11912,21685,2187,153068,22778,30749,25048,15547,22971,14360,4068,6980,2187,144697,9374,18555,20177,13155,54418,32955,7738,10727,1251,168351,11794,29452,15454,7387,16529,11739,3149,5617,1165,102284,4520,7473,7313,5009,17480,15912,5616,13917,1526,78764,9613,26434,16247,9070,21563,15255,3992,7130,1998,111300,1383,1826,1498,1065,4228,3776,808,1991,5848,22425,95168,160216,132706,91018,274893,252504,71759,147400,19110,1244782
3RQLD,6033,8299,8629,7441,24579,32238,12375,47329,1902,148825,12403,20982,24394,22236,44300,46837,13452,29335,1700,215651,10387,12447,11464,9510,37907,44444,15452,35891,2963,180461,16268,31625,28826,19990,26201,16116,4963,9255,2673,155917,7138,18856,20069,13518,40121,24573,5796,9368,1301,140745,8482,32482,17749,9457,18126,11466,3361,6357,1462,108943,5663,6542,6188,4131,13216,14492,7306,28220,1891,87652,8380,31933,18501,11719,23397,18119,5441,13968,2874,134338,1550,2193,1531,1135,3421,3145,857,2849,6857,23517,76302,165355,137368,99151,231253,211431,68997,182576,23623,1196051
