GCCSA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
1GSYD,31451,29402,60858,12845,15941,28786,649,299,954,661,578,1243,1674,1693,3367,497236,335033,832277,24153,39806,63954,13971,233,14203,8655,1098,9757,6912,2076,8990,6715,4640,11358,26545,29657,56206,631483,460463,1091947,9992,12057,22047,112,84,197,403,452,858,3768,2136,5906,732,1406,2137,956,529,1488,15974,16665,32637,107,80,195,246,264,508,692,537,1226,474,1079,1549,425,473,894,1933,2432,4373,5524,3023,8550,23434,22124,45559,3145,3255,6398,297,313,611,200,89,293,3640,3661,7299,446093,498402,944501,148782,182415,331200,5829,4367,10202,1259257,1171441,2430704
1RNSW,1010,559,1564,2844,2744,5584,151,84,238,69,52,116,655,751,1400,405781,348598,754378,24773,28257,53028,11796,363,12158,4523,626,5140,4040,1418,5457,3854,1968,5821,18289,17706,35993,477784,403110,880889,145,141,288,6,0,8,18,15,31,330,180,504,65,55,121,86,33,125,651,421,1072,17,4,22,7,16,22,275,203,476,225,363,587,86,103,186,611,693,1303,4410,2294,6707,5674,3411,9082,141,110,260,76,91,171,261,75,336,482,283,762,85317,111137,196453,61749,94271,156021,4178,3550,7725,635185,615759,1250938
19499,27,11,35,21,16,34,0,0,0,0,0,0,0,6,5,580,380,961,75,87,164,23,3,24,10,4,16,9,5,18,29,27,54,89,76,166,872,616,1485,16,9,24,0,0,0,0,3,3,5,0,5,0,0,0,0,0,0,13,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,10,25,16,41,10,0,6,0,0,0,0,0,0,6,5,11,233,279,514,213,213,428,35,6,39,1388,1128,2511
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,26089,24243,50333,6395,8675,15070,303,123,426,8986,11422,20408,2822,2606,5424,670023,466164,1136186,32742,45347,78084,11346,252,11602,5149,593,5747,12590,5512,18099,6512,3946,10457,22615,25708,48326,805572,594593,1400162,4843,5974,10822,7,3,9,2650,3291,5936,4677,2957,7634,656,1345,1999,1190,676,1861,14017,14254,28265,23,0,25,637,817,1454,524,441,956,526,1073,1599,252,327,580,1962,2655,4613,7585,4954,12539,23561,21860,45419,4140,5070,9214,295,387,684,426,249,674,4863,5705,10571,329843,375486,705329,102607,170803,273414,5757,4348,10098,1272202,1172787,2444991
2RVIC,991,570,1562,1337,1527,2866,137,38,175,48,30,78,515,508,1026,239460,201817,441279,15230,16724,31955,4659,132,4788,1624,274,1900,3046,1107,4155,2169,1089,3255,12421,11482,23908,281637,235311,516950,85,103,182,0,4,0,51,46,98,336,172,503,57,46,104,109,23,131,638,387,1025,8,0,8,0,0,4,116,85,200,106,210,322,69,83,154,307,383,683,2484,1284,3762,3424,2049,5470,165,136,300,54,58,115,165,44,205,384,235,618,48219,60222,108447,28899,50439,79344,2822,2446,5264,365387,350707,716097
29499,20,8,28,21,11,29,0,0,0,8,12,24,4,0,12,476,265,736,49,31,82,14,0,12,9,0,9,15,10,18,15,9,22,70,74,144,696,412,1107,12,0,10,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,5,19,0,0,0,3,0,3,0,0,0,0,0,3,0,5,5,5,4,6,7,0,9,24,15,36,0,7,7,0,0,0,0,0,0,0,5,5,162,151,311,131,181,310,18,7,22,1022,771,1797
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15
3GBRI,12293,12908,25205,13195,17634,30831,793,719,1512,42,40,77,1924,2012,3938,374997,310839,685832,20770,30085,50858,8700,231,8933,8040,936,8970,6832,2167,8997,4408,2036,6447,13486,14012,27500,465476,393622,859098,1925,2331,4258,8,5,20,26,18,49,2667,2758,5424,466,718,1182,648,286,937,5748,6122,11874,175,209,388,4,11,15,935,1235,2168,413,1035,1451,405,401,803,1932,2893,4822,4938,2887,7826,12618,11901,24518,1015,1224,2242,307,363,665,250,115,367,1570,1697,3275,100368,116769,217138,52329,83440,135774,2711,2279,4990,635069,609709,1244782
3RQLD,1153,947,2102,6202,4168,10367,368,169,544,654,1018,1669,1124,1356,2483,399386,368516,767909,26436,32455,58894,9436,289,9724,6186,773,6959,5773,2326,8100,6103,2540,8642,17865,17933,35797,480686,432490,913178,218,234,456,0,0,0,52,62,109,502,373,874,66,70,136,89,33,124,931,775,1702,131,39,174,176,299,472,558,199,757,226,424,645,253,155,413,1346,1115,2456,5272,3148,8417,7547,5032,12578,256,284,541,503,261,766,344,138,488,1107,687,1789,54996,72177,127171,56623,77439,134067,3911,3356,7268,604869,591187,1196051
