LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA10050,1000,614,614,578,570,526,397,270,109,4678,10571,6809,7316,6881,6711,6839,6036,3539,1385,56093
LGA10180,664,880,456,329,329,340,237,218,140,3588,5240,4661,3750,3182,3208,3574,2885,1918,713,29124
LGA10250,674,381,400,431,452,494,460,301,177,3767,7539,4306,4262,5248,5901,6505,6722,3968,1834,46296
LGA10300,82,38,48,36,54,55,53,15,7,376,434,220,274,212,289,333,289,117,47,2208
LGA10470,685,629,736,651,591,454,330,185,84,4346,8175,5785,5680,5124,5383,5338,4497,2528,1052,43567
LGA10500,1992,1690,2881,1965,1571,1299,951,734,519,13611,26491,21488,36536,26551,20624,17495,13485,8707,3802,175184
LGA10550,546,320,295,280,409,514,455,271,181,3277,5428,3044,3033,3344,4348,6337,6219,3104,1089,35942
LGA10600,242,134,100,163,181,193,200,99,27,1337,2220,1104,1044,1300,1770,2263,2110,1054,395,13253
LGA10650,193,101,89,86,125,152,198,99,41,1076,1332,730,732,793,968,1277,1595,899,334,8665
LGA10750,7398,4480,5352,5081,3815,2669,1695,927,498,31908,90124,50801,59261,67391,47563,37873,27022,12432,4304,396776
LGA10800,150,57,57,94,76,94,62,43,28,670,1088,542,582,627,642,791,681,411,176,5547
LGA10850,137,70,59,69,103,108,83,57,19,706,1524,776,794,777,1009,1106,877,477,165,7497
LGA10900,918,526,445,584,678,603,522,341,231,4850,13628,8087,7126,9583,10957,11205,10517,5258,1763,78121
LGA10950,36,39,18,28,40,43,33,31,13,277,482,292,320,224,336,321,225,208,71,2467
LGA11150,140,62,59,62,71,57,32,23,0,515,515,260,311,273,303,315,211,106,34,2340
LGA11200,40,34,41,18,34,36,21,3,3,234,277,161,205,127,169,209,132,51,17,1356
