LGA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA10050,151,268,162,101,108,24,7,823,30,26,15,4,10,3,0,85,7,10,9,4,0,0,0,29,266,509,331,246,309,78,18,1759,6,23,5,7,11,0,0,58,21,26,15,13,12,0,0,90,28,47,20,17,25,0,0,146,293,551,356,268,332,76,20,1905,339,258,158,113,118,25,4,1012,8,12,6,9,0,0,0,32,639,822,521,387,456,104,25,2951
LGA10180,66,107,64,61,77,12,4,386,3,5,8,0,0,0,0,20,5,0,4,5,0,0,0,19,107,205,147,118,169,26,10,778,6,11,6,9,0,0,0,36,8,8,4,3,0,0,0,28,14,19,13,13,0,5,0,64,123,224,162,123,176,25,10,841,174,146,94,68,55,14,11,559,4,3,0,4,0,0,0,10,298,376,256,191,226,38,25,1413
LGA10250,83,184,157,127,110,23,4,694,14,19,12,10,9,0,4,70,0,0,5,0,8,0,0,15,148,303,306,232,256,60,21,1327,4,8,3,4,0,0,0,21,4,10,10,5,5,8,0,37,9,15,11,4,3,8,0,60,155,325,316,235,262,63,20,1380,122,137,93,60,66,18,6,507,4,3,0,4,3,0,0,19,282,465,416,299,330,84,24,1907
LGA10300,6,14,5,4,3,0,0,29,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,16,8,10,12,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,8,10,12,3,0,56,6,14,3,5,5,0,0,31,0,0,0,0,0,0,0,0,14,25,18,11,16,3,0,90
LGA10470,100,187,123,94,103,24,4,632,21,6,14,7,8,0,0,56,6,5,3,0,10,0,0,25,205,393,284,209,280,67,14,1455,12,19,6,4,10,0,0,60,18,16,13,9,9,0,0,56,30,33,17,12,20,4,0,124,235,430,300,227,295,67,16,1573,206,204,100,71,54,8,7,660,14,6,4,5,3,0,0,26,453,645,409,301,353,80,23,2262
LGA10500,152,270,215,147,211,118,61,1177,56,53,40,27,40,29,16,258,9,8,3,9,10,8,4,56,388,672,566,406,612,355,202,3200,11,22,19,16,21,9,12,109,17,23,13,5,8,6,10,89,27,47,33,19,31,21,24,200,415,720,593,425,646,373,226,3401,389,436,249,177,246,154,86,1740,15,11,11,9,4,0,3,53,824,1169,853,601,895,526,313,5190
LGA10550,54,153,108,47,82,16,3,464,15,11,8,4,7,0,0,41,0,0,4,3,3,0,0,12,88,242,205,122,161,24,3,846,7,3,0,4,4,0,0,20,6,4,3,3,7,0,0,24,3,14,5,6,8,0,0,41,91,254,206,129,168,28,3,890,109,105,63,58,51,5,0,394,3,6,6,3,0,0,0,22,203,358,279,193,225,34,9,1299
LGA10600,17,61,43,45,47,8,0,235,0,3,5,0,10,3,0,15,0,3,4,0,0,0,0,12,30,108,91,80,95,15,4,418,6,9,0,0,0,0,0,13,0,5,5,0,3,0,0,11,6,12,4,3,4,0,0,28,32,114,96,83,102,15,4,444,43,63,46,16,28,4,0,199,3,0,0,0,0,0,0,7,82,184,140,96,129,16,4,651
LGA10650,12,29,15,17,20,4,0,94,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,26,48,32,36,38,9,3,187,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,11,3,0,3,0,0,0,0,10,30,48,34,36,43,9,3,195,29,14,21,6,9,4,0,89,4,0,0,0,0,0,0,7,60,67,52,48,56,8,0,291
LGA10750,445,778,568,415,488,206,102,2998,194,252,193,120,159,79,41,1031,45,46,31,23,24,17,8,198,1143,2074,1602,1214,1497,748,424,8700,75,86,67,57,66,23,16,389,94,106,64,45,61,20,9,401,170,189,129,101,129,42,24,792,1317,2263,1732,1319,1628,795,447,9502,2228,2262,1313,913,908,290,193,8103,44,57,36,35,14,10,4,194,3589,4580,3082,2261,2546,1094,644,17798
LGA10800,9,21,17,3,17,0,0,61,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,14,36,32,20,28,0,0,132,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,6,3,5,0,0,0,0,0,10,16,37,39,23,28,0,0,142,19,16,11,5,6,0,0,58,0,0,0,0,0,0,0,4,31,56,44,28,33,0,0,202
LGA10850,13,26,17,15,13,4,0,86,6,4,5,0,3,0,0,17,0,0,0,0,0,0,0,0,24,46,50,39,44,9,0,211,0,3,0,0,0,0,0,8,6,3,5,0,0,0,0,14,9,13,6,0,3,0,0,23,28,58,55,42,45,9,0,237,30,38,19,10,9,0,0,100,0,0,0,0,0,0,0,4,56,92,67,49,49,9,0,336
LGA10900,94,245,188,123,168,42,21,887,29,57,44,23,37,9,9,208,0,6,4,0,3,0,0,12,174,497,417,300,434,142,81,2047,4,3,6,4,7,0,0,23,5,17,10,4,0,6,0,45,14,17,18,5,12,4,3,66,187,517,430,312,443,146,83,2118,183,225,115,84,97,33,14,755,0,7,0,3,8,0,0,23,372,750,548,406,542,180,96,2890
LGA10950,11,12,5,0,5,0,0,29,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,11,19,10,5,9,0,0,49,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,9,13,22,7,0,11,0,0,60,19,18,5,3,0,0,0,48,0,4,0,0,0,0,0,7,36,40,18,10,11,4,0,110
LGA11150,0,5,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,10,5,7,0,0,29,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,10,8,11,15,5,7,0,0,38,14,22,11,11,4,0,0,70,0,4,5,0,0,0,0,6,23,37,27,18,11,0,0,117
LGA11200,7,3,7,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5,15,6,4,0,0,52,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,12,11,15,6,4,0,0,50,26,26,7,3,11,0,0,68,0,0,0,0,0,0,0,5,35,39,27,10,12,0,0,121
LGA11250,45,87,60,30,32,0,0,256,11,13,0,3,5,0,0,30,7,4,8,7,0,0,0,28,107,184,129,89,94,10,5,624,3,12,4,0,5,0,0,21,3,4,3,3,0,0,0,26,3,16,4,3,10,0,0,40,113,201,140,96,97,15,5,664,159,129,69,39,33,7,0,427,6,4,0,5,0,0,0,17,277,334,213,136,133,20,3,1105
LGA11300,17,48,41,27,46,40,21,235,0,14,9,3,0,5,9,46,0,0,0,0,0,0,0,8,38,128,103,76,103,97,53,595,4,6,4,3,4,3,3,24,0,12,4,7,4,5,3,37,3,12,8,4,12,4,3,61,40,143,113,78,115,106,62,654,74,88,57,52,86,63,42,466,5,5,0,0,6,0,0,14,115,234,168,129,210,173,100,1127
LGA11350,57,138,111,93,127,20,3,542,10,4,9,0,10,0,0,41,5,3,0,4,0,0,0,17,79,214,186,166,216,30,7,901,4,8,4,0,3,0,0,20,6,10,6,8,4,0,0,39,7,14,18,9,9,0,0,58,89,228,203,175,224,33,7,957,96,121,66,55,59,4,8,409,5,3,3,4,0,0,0,16,194,352,275,235,285,39,14,1386
LGA11400,15,30,23,21,22,4,0,107,10,6,6,3,4,0,0,27,0,0,3,0,0,0,0,9,45,67,57,42,48,7,0,264,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,11,3,4,6,0,0,0,0,13,44,72,55,44,48,7,0,280,42,42,25,20,18,0,3,146,4,4,0,4,0,0,0,16,86,118,81,69,67,14,0,438
LGA11450,224,349,241,154,173,58,35,1224,88,96,48,36,39,13,8,325,8,14,15,11,17,0,8,73,518,836,646,468,552,229,129,3372,18,35,14,23,20,3,5,113,23,27,10,3,11,0,0,85,46,64,23,28,27,7,6,197,554,897,671,493,578,238,132,3571,504,533,260,155,169,55,26,1697,15,14,9,10,3,0,0,61,1084,1446,938,659,752,290,162,5335
LGA11500,293,498,336,223,309,98,41,1795,127,160,119,77,80,31,27,621,28,36,25,16,25,3,5,141,651,1185,861,602,852,306,187,4653,46,72,31,30,36,16,4,235,72,57,32,32,23,8,5,227,117,129,68,62,59,19,12,461,764,1320,925,666,908,330,198,5115,1406,1409,765,567,515,169,75,4908,35,40,39,15,7,4,0,142,2211,2763,1731,1247,1435,501,274,10159
LGA11520,61,113,92,66,80,58,31,502,18,22,12,16,20,10,11,101,0,8,0,0,0,3,0,9,169,330,303,203,302,214,112,1635,9,8,15,8,6,3,4,49,5,7,3,0,5,7,3,28,13,17,15,11,13,3,7,80,184,348,315,217,313,218,120,1719,102,138,76,72,102,68,42,596,0,6,0,4,0,0,0,11,286,491,396,288,417,284,158,2323
LGA11570,334,664,469,340,511,298,173,2793,165,183,141,133,168,113,96,1004,33,45,28,26,32,22,13,198,811,1501,1112,897,1290,777,530,6918,34,50,48,43,53,46,33,295,60,87,70,37,61,33,27,378,92,137,124,75,114,80,56,675,898,1639,1230,970,1408,857,582,7591,1974,2124,1380,888,1141,633,366,8506,43,69,50,22,26,11,8,228,2911,3836,2659,1883,2572,1502,958,16325
