LGA_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
LGA10050,9,25,44,49,35,44,17,0,226,31,118,102,61,49,19,7,0,395,202,687,565,566,628,496,257,71,3473,150,363,256,221,257,184,78,29,1538,26,86,98,108,87,85,53,17,563,41,155,173,138,96,101,34,6,743,16,109,120,117,124,153,51,15,703,74,350,407,388,326,235,90,17,1885,55,181,189,184,119,111,38,5,878,25,53,52,39,31,21,11,0,231,49,184,142,102,76,38,16,4,615,14,5,10,0,0,0,0,0,25,15,37,43,38,28,23,16,0,202,269,292,273,262,246,204,159,87,1793,971,2658,2474,2269,2106,1710,826,260,13276,10,58,50,48,51,17,9,0,232,0,52,36,11,36,16,0,0,155,18,45,31,33,28,17,12,11,194,10,26,21,22,8,4,3,0,97,7,52,47,49,30,8,3,0,198,204,607,532,399,439,390,152,44,2765,87,378,423,329,333,274,132,22,1984,178,606
LGA10180,27,78,65,63,69,67,44,12,424,21,60,67,29,33,9,0,0,222,70,194,169,154,200,175,108,32,1094,57,116,94,98,127,83,42,14,632,41,111,143,109,119,72,48,16,659,19,87,65,46,66,44,27,5,364,12,45,58,56,79,94,23,8,380,49,165,145,156,134,96,52,8,814,45,128,136,168,173,132,65,12,853,13,40,31,31,27,24,3,3,173,28,61,65,41,33,27,10,0,265,6,4,0,0,0,0,0,0,9,8,8,14,19,12,12,0,0,85,376,223,146,147,168,118,128,49,1350,782,1322,1205,1120,1230,953,551,160,7321,27,85,82,47,55,34,12,7,349,3,21,21,10,12,7,0,0,69,8,22,9,15,14,10,3,0,90,0,13,12,10,3,3,7,0,42,49,98,70,47,44,20,15,0,336,102,290,194,184,220,185,104,31,1303,34,165,208,191,237,203,111,26,1175,89,235
LGA10250,9,37,44,70,52,76,41,11,334,20,40,41,30,28,25,5,3,194,89,287,362,415,536,575,330,97,2690,69,246,260,273,337,253,101,46,1585,35,90,107,133,117,89,39,13,620,24,104,159,154,164,118,57,15,797,11,61,113,134,141,247,93,30,825,33,122,299,286,257,308,128,28,1471,25,97,153,184,170,168,60,17,873,43,72,85,72,51,32,10,0,371,36,95,141,112,87,40,28,7,553,5,0,0,0,0,0,0,0,8,7,18,14,23,36,34,10,5,150,175,186,218,182,224,233,179,118,1509,580,1446,2006,2079,2202,2191,1086,392,11980,10,44,45,37,35,33,15,7,236,3,6,8,23,14,18,4,0,69,5,10,23,29,27,23,14,13,162,5,24,30,20,12,9,3,0,97,20,37,39,44,55,27,8,0,240,87,341,405,426,490,415,197,69,2435,60,235,316,367,409,441,178,44,2047,97,328
LGA10300,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,4,6,25,19,18,20,19,8,0,102,5,3,4,3,0,5,6,0,28,0,5,8,9,10,0,0,0,45,0,4,0,0,0,0,0,0,11,0,0,0,3,5,0,0,0,11,0,4,4,0,7,3,0,0,24,3,0,0,5,0,7,0,0,10,0,0,0,0,0,0,0,0,4,6,7,4,3,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,20,22,20,32,8,5,148,37,77,65,73,78,63,16,9,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,3,7,4,3,9,0,0,0,19,6,14,4,19,14,9,3,0,65,0,11,11,14,8,5,0,3,51,0,19
LGA10470,12,32,26,41,40,33,16,3,214,30,72,78,46,40,24,4,0,291,140,495,485,528,591,469,230,38,2974,117,253,211,179,189,134,59,23,1162,17,64,67,85,81,66,46,7,432,40,96,79,83,86,57,21,3,462,10,66,91,103,103,95,46,9,526,61,224,245,257,236,166,58,21,1270,45,151,152,166,123,90,52,22,804,28,54,37,47,26,30,15,6,245,35,113,107,85,54,39,19,4,449,7,6,4,0,3,0,0,0,25,12,15,17,18,26,15,5,4,121,321,515,444,307,226,190,135,58,2197,871,2166,2052,1937,1829,1408,700,198,11172,14,34,44,30,31,19,10,0,177,3,22,22,20,25,14,3,0,104,9,32,32,35,42,15,10,9,192,6,16,11,14,8,6,4,0,56,21,38,32,49,41,23,6,0,208,191,386,318,296,339,266,93,44,1925,80,315,256,318,303,253,111,23,1651,120,452
LGA10500,122,456,294,218,223,125,53,11,1500,605,1540,1287,535,235,69,8,0,4294,489,2761,1778,1559,1624,1047,625,200,10078,322,1044,796,686,449,288,156,58,3806,24,114,104,101,84,42,25,3,501,120,639,417,289,229,143,74,11,1930,31,251,215,190,183,158,78,20,1130,861,3996,3003,1618,1006,571,175,43,11276,264,1132,825,583,434,303,108,31,3678,215,635,449,252,134,68,32,8,1804,216,646,543,314,189,118,60,10,2089,34,29,10,5,7,4,0,3,99,51,190,164,126,117,62,32,3,748,818,1666,1100,728,630,516,478,334,6275,4171,15105,10996,7215,5560,3517,1908,749,49212,182,473,370,238,198,80,33,3,1591,144,493,378,217,103,34,0,0,1372,111,606,308,199,215,134,85,33,1696,74,287,183,90,53,17,3,3,706,12,81,77,39,34,17,8,0,272,432,1843,1071,778,624,405,152,53,5360,219,1147,873,752,520,409,165,67,4160,1079,5293
LGA10550,5,21,32,39,55,86,28,0,262,9,29,28,27,30,39,5,0,170,67,236,268,350,548,562,272,67,2372,72,206,181,188,270,240,100,27,1291,26,59,80,107,136,102,36,8,548,9,74,60,84,87,85,23,13,431,3,20,45,71,117,175,57,10,510,23,69,113,126,196,195,74,16,804,22,60,77,106,145,180,54,12,649,0,28,38,31,53,59,20,0,231,29,86,79,93,78,61,25,11,455,3,0,0,3,3,0,0,0,11,0,11,15,29,31,47,16,8,156,166,141,152,189,242,288,184,110,1468,437,1038,1166,1434,1990,2112,905,283,9369,7,24,33,30,50,43,18,3,201,0,3,12,10,17,20,5,0,63,7,9,18,29,20,24,7,6,116,3,14,22,14,22,10,0,0,86,14,28,40,48,70,34,3,0,239,55,210,225,285,450,320,144,30,1722,26,148,181,205,324,347,133,37,1405,68,216
LGA10600,4,10,13,20,18,26,11,0,108,6,9,20,8,13,8,0,0,68,30,74,84,132,200,172,95,28,808,17,55,57,78,108,91,37,3,454,7,32,33,32,45,35,8,3,192,0,11,18,27,46,34,12,3,159,4,27,24,30,36,66,28,4,216,5,32,36,56,61,75,20,7,283,5,25,31,50,56,74,27,3,271,7,26,34,26,25,28,5,3,155,6,17,36,21,31,17,0,4,132,0,0,0,0,0,3,4,4,11,0,11,8,10,16,8,7,4,60,58,51,74,95,87,91,60,19,537,147,373,465,588,749,732,313,86,3452,0,9,9,23,22,7,11,0,84,3,3,0,7,4,8,3,0,31,4,6,10,5,15,10,5,3,53,0,4,7,12,7,0,0,0,26,3,13,22,25,27,17,0,5,104,11,61,98,138,179,116,51,12,674,14,57,76,114,152,137,48,11,618,9,55
LGA10650,0,4,6,0,5,9,0,0,18,3,10,3,0,0,6,0,0,19,19,72,84,92,105,110,54,14,553,15,26,22,34,34,48,18,7,197,9,36,38,46,40,41,19,5,223,0,3,4,12,18,5,5,0,54,3,4,13,8,10,21,10,3,73,4,23,23,26,31,35,12,0,155,0,17,9,13,9,15,4,0,70,0,6,3,3,3,0,0,0,12,3,16,12,10,18,11,5,4,73,0,0,0,0,0,0,0,0,3,0,3,3,0,8,4,0,0,22,50,45,49,44,78,98,75,51,486,105,260,270,302,361,400,201,87,1981,0,3,8,4,4,0,0,0,18,0,0,0,0,4,0,0,0,6,0,5,3,0,6,4,4,0,26,0,0,0,5,0,0,0,0,7,6,17,12,11,11,5,3,0,62,8,63,53,33,73,82,40,7,356,7,34,43,38,56,39,24,6,254,10,42
LGA10750,161,445,581,505,443,293,79,23,2525,652,2393,5228,1630,464,160,26,0,10553,1013,3983,5868,4633,4238,2640,1035,240,23652,728,1506,1339,1202,774,507,246,57,6353,87,264,267,274,244,98,38,4,1279,307,1060,876,631,403,236,78,14,3599,70,459,385,395,311,307,133,22,2068,1159,4540,6527,3514,2062,1199,384,47,19437,480,1345,1280,1042,764,488,184,29,5620,329,722,505,246,145,96,29,9,2089,317,881,1031,493,304,154,59,10,3249,26,41,17,12,22,13,5,4,143,110,333,470,318,274,158,64,14,1744,2141,2998,2685,1870,1308,996,681,284,12967,7581,20976,27062,16777,11754,7341,3035,757,95283,288,938,1257,653,373,215,49,5,3774,229,1559,2266,578,143,53,13,0,4835,96,932,1241,469,409,205,87,45,3472,109,251,204,101,52,17,0,0,741,70,168,144,100,74,31,6,0,599,985,3771,3186,2141,1509,911,225,77,12809,563,2305,2114,1699,1099,873,310,87,9052,1440,6145
