LGA_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
LGA10050,109,1152,64,387,162,69,9,34,18,1991,120,862,15,288,92,34,0,18,10,1442,365,378,46,181,910,214,14,88,34,2234,117,405,21,749,190,71,13,60,15,1640,27,112,11,27,56,27,0,17,0,284,81,26,210,192,124,68,12,58,8,767,0,0,0,4,6,7,0,0,0,17,13,26,3,22,10,12,0,11,3,95,17,13,14,38,25,20,5,26,23,186,936,3134,470,1954,1688,557,77,361,117,9290,59,137,28,31,43,6,12,9,5,336,68,103,64,37,50,27,34,28,4,418,336,266,1165,73,106,93,297,234,33,2602,205,56,718,27,44,29,69,102,12,1263,92,114,131,28,45,31,36,79,9,558,144,1566,82,469,171,76,27,36,21,2599,180,1185,33,329,101,42,18,33,15,1942,794,717,146,257,1071,363,139,150,53,3682,204,558,53,973,232,87,52,101,24,2283,49,174,31,46,66,46,11,25,3,454
LGA10180,71,502,25,194,56,20,0,32,4,900,77,475,9,113,51,10,0,22,3,763,163,174,13,79,371,72,0,48,8,937,107,318,11,229,122,33,5,46,15,890,17,79,11,30,37,7,3,7,0,188,28,6,67,48,24,27,0,24,4,226,0,0,0,0,0,5,0,0,0,3,0,20,4,13,12,4,0,6,0,60,8,18,5,12,29,6,0,9,10,99,589,1783,204,767,783,218,17,253,53,4667,86,239,37,35,51,12,3,27,7,491,33,81,32,11,9,5,3,24,0,210,115,98,330,36,39,29,92,76,4,818,124,26,239,8,18,12,22,48,7,496,221,159,89,35,56,32,26,134,7,764,100,647,37,248,58,26,9,52,10,1174,117,628,19,134,57,16,5,29,10,1020,355,323,55,113,425,137,27,108,19,1551,207,552,37,355,157,42,20,72,20,1469,38,113,26,44,44,17,11,16,0,297
LGA10250,89,978,56,276,131,43,5,26,4,1602,119,727,9,242,85,23,0,22,4,1232,302,268,31,158,688,190,10,57,18,1726,127,396,14,486,181,66,9,41,12,1334,57,149,25,53,67,34,4,15,4,399,74,14,136,152,77,63,5,39,0,554,0,0,0,0,0,0,0,0,0,4,19,22,8,15,14,15,0,6,0,102,21,24,14,30,37,21,5,21,28,193,870,2744,359,1474,1345,484,39,258,81,7651,66,156,38,27,25,12,5,18,0,348,35,59,32,10,18,7,4,9,0,181,253,225,667,63,54,74,144,151,16,1649,233,68,601,25,36,30,52,104,15,1165,126,104,152,36,32,26,27,95,8,601,136,1366,83,368,142,54,14,48,8,2207,204,1008,28,288,93,23,13,33,6,1694,612,528,100,198,773,315,43,114,26,2706,198,586,38,686,211,82,30,74,22,1923,97,249,71,75,73,50,16,47,10,679
LGA10300,4,13,0,23,3,0,0,3,0,51,10,24,0,0,0,0,0,0,0,43,15,6,0,0,26,4,0,4,0,52,3,5,0,19,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,3,4,0,6,6,3,5,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,5,12,42,54,11,55,48,8,3,23,5,250,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,23,9,26,4,0,0,17,13,0,94,0,0,9,0,0,0,7,8,0,19,24,4,10,0,0,0,5,11,0,57,8,16,0,24,3,0,0,6,0,62,13,31,0,4,0,0,0,0,0,52,28,4,0,3,29,8,5,0,0,76,0,6,0,18,3,5,0,3,0,40,0,0,0,0,0,0,0,0,0,3
LGA10470,80,744,59,313,108,33,4,38,5,1381,121,711,10,211,73,18,6,14,4,1165,259,294,36,136,727,147,15,82,32,1735,112,350,30,539,163,81,14,47,17,1343,42,108,10,42,61,22,0,14,0,315,46,10,148,116,69,33,7,34,3,471,0,0,0,7,3,0,0,0,0,21,9,15,0,14,13,4,0,6,3,64,7,10,4,30,28,16,0,16,22,137,762,2392,373,1455,1328,399,50,300,93,7154,49,111,36,22,22,9,11,15,6,277,47,89,54,18,26,20,15,15,3,293,294,241,1020,89,80,60,251,178,32,2235,162,40,468,35,32,16,71,117,19,963,108,73,88,21,44,37,29,70,9,469,106,940,71,389,121,46,11,51,6,1739,175,939,14,244,77,20,13,35,11,1529,526,484,110,218,839,255,79,143,38,2695,176,514,53,761,185,98,37,75,20,1924,69,165,30,59,80,43,15,30,3,486
LGA10500,177,2538,126,735,288,115,23,95,31,4123,282,1737,25,483,240,75,22,76,18,2966,1886,2961,223,933,3347,1127,147,510,184,11315,575,1565,91,1225,866,267,52,180,71,4889,276,800,122,168,307,211,25,66,19,1990,163,89,326,313,301,170,35,147,23,1577,0,0,0,5,3,10,0,8,0,31,63,112,15,69,83,39,5,33,9,432,57,95,29,83,105,61,6,60,146,650,3980,11526,1349,4296,6128,2354,392,1374,555,31946,346,949,218,153,263,129,59,79,38,2236,641,2132,465,175,333,308,195,287,59,4603,1143,2153,2440,264,520,291,608,587,112,8104,570,556,1359,75,178,75,141,242,53,3255,76,92,144,35,55,30,37,75,10,548,306,3503,192,928,344,154,72,145,48,5691,371,2204,61,542,274,102,70,105,30,3758,3802,5334,854,1333,4618,2031,744,1159,334,20205,942,2556,251,1686,1140,400,221,327,111,7624,470,1338,276,245,396,329,91,141,28,3324
LGA10550,65,609,34,204,75,32,4,27,8,1056,84,437,3,148,45,18,5,25,3,769,198,132,21,101,409,138,5,61,13,1082,97,221,24,398,123,52,7,56,7,981,24,86,20,32,34,24,0,17,4,237,44,12,116,105,62,59,6,55,8,462,0,0,0,4,3,0,0,0,0,3,19,23,0,10,12,0,3,4,0,70,10,18,4,26,12,22,0,15,24,128,595,1637,285,1079,838,375,33,298,68,5218,46,75,33,27,17,18,7,23,4,242,18,39,12,7,15,13,5,5,0,118,169,144,580,58,45,57,167,175,24,1403,159,34,481,17,17,28,48,89,17,895,140,68,95,29,51,21,30,97,9,539,95,782,54,262,81,33,9,42,11,1358,119,592,23,173,51,21,7,37,8,1030,337,226,51,143,460,192,42,99,21,1561,150,308,52,508,153,60,13,87,13,1337,41,126,35,45,41,30,13,27,3,358
LGA10600,28,247,22,80,28,8,6,11,0,424,40,212,0,63,35,8,0,6,7,371,70,45,5,29,127,44,0,15,0,331,37,152,7,142,48,18,4,11,5,419,15,52,6,23,5,11,0,5,0,124,15,0,20,30,17,24,0,16,5,130,0,0,0,0,0,0,0,0,0,0,4,11,0,4,3,0,0,0,0,25,6,4,0,11,12,7,0,6,8,58,238,781,75,404,308,125,10,82,23,2047,12,57,13,13,15,3,0,0,0,118,8,21,4,0,3,0,4,4,0,55,85,44,186,11,20,19,61,60,9,495,59,22,141,3,5,0,15,41,0,297,45,38,38,15,7,6,11,31,0,191,38,305,17,104,34,11,3,10,0,531,54,294,4,77,42,8,0,12,7,488,112,86,17,37,146,61,8,28,6,506,64,215,19,164,60,20,3,19,7,572,31,88,22,31,11,16,5,12,3,215
LGA10650,23,97,9,47,11,3,0,12,0,210,18,100,0,28,18,3,0,0,0,178,44,24,3,14,98,16,0,16,0,222,10,25,0,113,24,8,0,17,0,209,3,4,0,3,5,0,0,0,0,21,19,3,24,22,13,11,0,6,0,99,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,11,9,4,3,3,7,3,0,12,6,43,152,279,56,240,199,59,0,75,7,1069,8,10,3,3,0,0,0,0,0,26,10,6,0,0,4,0,5,0,0,18,70,22,154,4,6,5,61,40,4,369,33,0,48,3,4,5,13,13,4,119,95,24,32,6,14,5,16,36,4,228,28,120,7,59,11,3,0,9,4,250,27,131,4,33,20,3,6,3,0,221,88,38,14,19,111,22,12,30,0,335,15,33,5,133,32,8,3,17,0,251,10,5,4,4,5,0,0,0,0,23
LGA10750,356,5731,321,1973,678,232,120,219,66,9691,512,3697,68,1382,480,139,70,141,31,6519,2462,4078,320,1361,7083,1560,564,796,341,18565,692,2047,184,3293,1597,455,214,438,112,9013,224,660,82,197,427,230,45,71,32,1977,259,123,494,526,554,345,124,304,58,2794,7,5,3,9,15,5,0,15,0,64,99,157,45,193,257,102,72,109,45,1063,79,147,37,187,262,100,78,142,343,1372,5707,20605,2508,9842,13020,3741,1573,2709,1208,60923,593,1616,592,371,640,230,208,244,76,4570,1813,6473,1112,456,1240,506,828,410,226,13069,2657,5107,6238,479,1410,549,2178,1248,273,20137,654,383,2226,90,297,131,395,473,55,4693,160,145,368,80,156,81,154,206,19,1370,560,7401,450,2442,798,291,299,318,84,12649,666,4640,118,1496,525,161,185,195,48,8027,5922,8268,1016,2013,9653,2712,2631,1541,584,34345,1149,3036,390,4526,1991,628,652,656,175,13206,396,1186,272,274,571,384,221,163,55,3518
