LGA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA10050,3,5,0,869,69,10,4,74,9,32,7,4,0,21,220,449,4,5,0,9,0,0,0,0,4,8,16,41,1434,269,33,1957,287,721,79,252,51,339,253,5658
LGA10180,0,13,0,412,50,5,0,30,5,16,0,8,0,14,86,210,0,0,0,3,0,0,0,0,0,3,7,20,734,138,35,682,92,330,49,149,36,209,98,2544
LGA10250,10,14,5,798,44,23,5,58,16,27,8,17,5,38,137,364,3,0,9,6,0,0,0,0,0,4,15,44,997,361,51,1477,211,490,93,288,64,357,176,4563
LGA10300,0,0,0,21,11,0,0,4,0,6,0,0,0,0,7,24,0,0,0,0,0,0,0,0,0,0,7,8,57,5,9,63,5,32,3,5,4,14,12,200
LGA10470,3,12,0,781,65,8,0,67,10,21,3,14,0,19,197,408,0,0,4,9,0,0,3,0,0,0,11,28,1361,163,39,1390,206,532,70,185,39,261,214,4459
LGA10500,53,139,8,4976,91,20,29,78,24,83,14,46,36,129,407,962,18,6,6,7,8,10,0,4,7,24,103,187,4112,1071,363,3894,1300,3084,626,1488,659,2802,557,19947
LGA10550,0,13,0,292,42,12,9,54,3,20,4,20,6,25,136,328,3,0,6,5,0,0,0,0,0,0,12,25,683,241,54,956,117,285,70,203,48,281,156,3088
LGA10600,0,0,0,101,11,3,0,13,6,13,0,3,0,13,59,122,0,0,0,0,0,0,0,0,0,0,0,4,184,114,9,364,45,162,8,87,19,118,52,1170
LGA10650,0,0,0,59,18,0,4,11,0,7,0,0,0,6,28,71,5,0,0,0,0,0,0,0,0,0,8,6,198,25,13,254,17,68,19,34,14,51,28,725
LGA10750,127,287,29,11936,327,49,78,216,99,283,58,108,103,344,1400,3075,37,9,42,20,8,19,8,4,22,50,279,497,15332,2098,1229,10205,3878,10469,1598,3365,1850,6671,1880,58576
LGA10800,0,0,0,65,29,3,0,4,5,3,0,0,0,5,34,87,0,0,0,0,0,0,0,0,0,0,0,3,159,21,9,176,25,67,8,17,5,23,36,551
LGA10850,0,0,0,127,8,0,3,15,3,3,0,0,0,3,50,91,0,0,5,0,0,0,0,0,0,0,5,7,207,27,8,285,40,114,15,36,12,52,54,839
LGA10900,16,33,0,2430,75,21,9,75,23,40,15,17,8,34,204,530,4,0,3,3,4,5,4,3,0,8,15,49,2079,609,140,2565,664,1286,268,492,175,672,225,9183
LGA10950,0,0,0,42,15,0,0,8,0,0,0,0,0,3,18,44,4,0,0,0,0,0,0,0,0,0,0,7,94,5,0,72,15,33,5,8,3,12,18,270
LGA11150,0,0,0,29,19,0,0,0,0,3,0,4,0,0,15,40,0,0,0,0,0,0,0,0,0,3,8,13,78,3,7,50,8,22,0,7,0,16,23,219
LGA11200,0,0,0,8,0,0,0,3,0,0,0,3,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,20,3,3,17,0,4,0,10,0,15,7,77
LGA11250,0,0,0,209,22,4,3,19,4,3,0,0,0,6,96,157,0,0,0,0,0,0,0,0,0,3,0,13,368,44,18,340,80,206,22,56,22,163,106,1417
LGA11300,9,58,0,1213,24,0,4,20,3,23,3,12,6,32,96,236,0,0,6,0,0,0,0,0,0,3,19,36,869,256,85,734,218,637,93,299,154,661,131,4129
LGA11350,3,14,5,597,26,20,0,40,0,20,5,21,4,21,142,313,0,0,3,7,0,5,0,0,0,0,15,36,474,414,32,964,115,388,79,302,58,255,173,3261
LGA11400,0,0,0,326,38,0,0,36,8,8,3,3,3,5,84,188,7,0,0,5,0,0,0,0,0,0,0,13,458,59,14,570,82,175,28,39,11,84,86,1590
LGA11450,37,53,0,4097,131,35,25,82,38,65,21,33,25,62,397,907,7,0,10,24,3,4,5,0,7,9,77,142,4541,989,450,4427,1555,2727,606,921,446,1234,495,18391
LGA11500,43,108,9,3048,138,24,40,94,46,136,31,60,60,185,614,1416,10,0,10,3,4,6,8,4,9,17,122,190,4395,937,600,3904,1457,4363,731,1766,1000,3314,796,23262
LGA11520,28,108,7,4962,66,16,9,51,15,27,8,20,4,51,232,503,9,4,11,3,3,4,4,0,3,4,31,69,2869,630,205,2493,720,1728,237,594,220,960,291,10951
LGA11570,178,468,9,7731,166,56,89,129,76,200,42,124,165,498,1120,2670,22,0,31,11,11,9,9,12,33,114,339,587,6303,1779,1434,5917,2576,7370,1559,4063,2951,11864,1641,47462
LGA11600,0,0,0,26,8,0,0,12,0,0,0,3,0,5,3,33,0,0,0,0,0,0,0,0,0,0,3,0,81,3,6,108,20,46,4,11,0,6,11,285
LGA11650,53,112,9,7396,367,98,41,372,104,198,63,95,45,242,1041,2664,25,7,27,26,14,8,12,8,14,23,105,272,7379,2337,705,10573,2805,5395,1315,2198,816,3176,1213,37902
LGA11700,0,0,0,5,0,0,0,4,0,0,0,0,0,3,7,16,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,3,19,0,8,0,26,10,95
LGA11720,12,16,4,922,55,6,6,69,11,52,5,18,7,52,275,558,0,0,0,6,7,0,5,0,6,4,21,52,1329,323,88,1978,390,1037,146,352,126,653,310,6727
LGA11730,5,10,0,363,59,24,3,80,3,29,5,29,0,42,245,514,6,0,0,0,3,0,0,0,0,7,25,48,941,281,50,1280,152,563,77,295,73,531,292,4532
LGA11750,0,0,0,79,15,0,0,8,0,5,3,0,0,0,32,63,0,0,0,0,0,0,0,0,0,0,0,0,123,4,4,84,25,64,11,9,4,10,32,373
LGA11800,0,14,0,1030,109,27,10,89,8,26,10,29,12,49,266,638,9,0,0,7,0,0,0,0,0,11,23,50,1830,556,76,2346,281,874,126,471,108,722,315,7698
LGA12000,0,0,0,52,16,0,0,10,0,0,0,7,0,8,19,66,0,0,0,0,0,0,0,0,0,0,0,6,135,10,9,159,16,45,4,19,0,30,21,444
LGA12150,0,0,0,26,9,0,0,4,0,0,0,0,0,3,5,29,3,0,0,0,0,0,0,0,0,3,3,8,75,8,0,74,9,30,7,15,10,36,14,279
LGA12160,0,4,0,109,27,0,3,14,3,6,0,7,0,11,44,119,0,0,0,0,0,0,0,0,0,0,3,10,255,50,9,312,42,130,15,40,11,97,60,1021
LGA12350,0,0,0,98,30,0,3,25,0,10,0,4,4,14,41,128,5,0,0,0,0,0,0,0,0,0,0,13,271,49,15,350,51,153,16,39,9,130,46,1129
LGA12380,101,312,8,4530,105,18,46,54,38,119,34,75,98,340,730,1653,5,0,18,5,4,6,4,10,20,61,290,430,4775,949,748,3406,1314,5342,755,2428,1644,7578,1156,30097
LGA12390,4,4,0,826,129,9,9,65,12,27,7,14,6,24,320,609,9,3,9,4,0,4,0,0,0,0,16,39,1712,219,69,1676,268,637,64,181,53,302,346,5527
LGA12700,0,0,0,162,15,5,0,26,8,13,0,4,0,10,47,126,0,0,4,4,0,0,0,0,0,0,4,8,240,58,14,343,63,153,26,58,23,92,55,1119
LGA12730,0,4,0,102,20,0,0,15,0,0,0,4,0,9,28,84,0,0,0,4,0,0,0,0,0,0,5,10,210,29,7,262,30,79,6,30,9,72,34,769
LGA12750,6,8,0,307,33,12,5,40,5,8,4,18,4,36,127,294,4,0,0,0,0,0,0,0,3,9,7,25,621,231,40,892,125,330,70,212,51,356,143,3071
LGA12850,117,429,0,2988,73,16,39,55,42,111,23,77,87,396,550,1477,7,0,8,6,8,6,5,3,16,98,177,344,2599,753,678,2099,1007,3845,604,2230,1563,10358,849,26596
LGA12870,0,0,0,92,27,4,0,26,0,9,0,3,0,12,37,122,8,0,0,0,0,0,0,0,0,0,11,22,303,50,9,396,67,126,17,45,14,63,50,1143
LGA12900,0,0,0,119,12,0,0,19,0,10,0,5,0,4,40,88,6,0,0,0,0,0,0,0,3,0,0,10,249,14,10,305,32,106,11,26,13,52,44,861
LGA12930,64,201,0,5555,107,29,36,87,42,88,23,36,45,131,472,1097,13,4,16,12,6,11,0,0,9,15,80,157,3979,1047,533,3790,1335,3055,709,1292,792,2777,602,19917
LGA12950,0,0,0,28,17,0,0,8,0,3,0,3,0,0,19,50,0,0,0,0,0,0,0,0,0,0,4,5,96,14,4,116,23,41,5,13,6,17,22,364
LGA13010,0,0,0,56,18,0,3,10,0,4,0,4,0,0,30,73,0,0,0,0,3,0,0,0,0,0,8,9,182,28,5,171,29,74,5,40,11,75,46,664
LGA13310,4,5,0,468,47,8,4,34,6,13,0,10,0,14,125,264,4,0,3,3,0,0,0,0,0,0,10,23,869,119,33,930,149,428,69,143,52,218,143,3163
LGA13340,4,0,0,133,29,0,0,30,0,6,0,4,0,3,49,132,0,0,0,0,0,0,0,0,0,0,3,12,291,49,14,436,47,155,16,46,6,72,54,1190
LGA13450,3,5,0,453,56,3,3,50,7,24,5,9,3,9,94,279,0,0,0,3,0,3,4,0,0,0,6,17,843,102,26,1082,126,461,34,124,43,185,124,3150
LGA13550,0,7,0,245,24,4,0,13,0,3,0,8,3,8,62,130,0,0,0,0,0,0,4,0,3,0,4,14,399,42,12,426,78,182,29,34,15,79,70,1371
LGA13660,0,0,0,36,16,3,0,14,3,0,0,0,0,0,26,65,0,0,0,0,0,0,0,0,0,0,6,4,118,11,5,136,14,51,8,16,3,44,28,432
LGA13800,13,38,3,1982,77,17,11,82,21,38,20,13,12,26,249,576,12,0,6,11,0,7,0,0,7,9,21,78,1850,524,213,2295,686,1167,321,473,203,608,284,8635
LGA13850,0,0,0,26,14,0,0,9,0,5,0,0,0,0,31,54,0,0,0,0,0,0,0,0,0,0,0,3,62,7,3,70,11,34,3,7,0,25,34,249
LGA13910,0,0,0,178,50,3,3,30,11,10,3,3,0,13,76,204,0,0,0,4,0,0,0,0,0,3,13,27,439,80,22,573,87,243,32,80,30,158,105,1843
LGA14000,46,140,11,9829,213,38,25,181,40,111,17,39,12,90,438,1202,11,3,11,10,4,11,4,7,9,12,53,127,6978,1134,282,6095,1237,3784,356,1130,311,1601,525,23434
LGA14100,3,40,0,1182,17,10,0,23,0,12,4,8,4,7,41,116,0,0,0,0,0,0,0,0,0,0,3,6,504,91,19,474,98,313,22,98,19,116,43,1800
LGA14170,47,117,6,9865,155,21,14,83,27,70,16,23,14,79,347,849,14,0,13,11,0,0,0,4,8,15,39,96,5795,901,240,4792,1353,2717,348,863,301,1467,411,19189
LGA14220,0,6,0,114,26,5,0,25,0,9,0,3,0,10,82,171,0,0,5,0,0,0,0,0,0,5,4,14,406,62,17,446,58,208,18,85,22,148,91,1574
LGA14300,0,0,0,77,12,0,0,6,0,6,0,6,0,5,23,56,0,0,0,0,0,0,0,0,0,0,0,4,139,16,10,164,31,76,8,36,3,62,21,564
LGA14350,5,0,3,187,30,5,3,23,9,8,0,9,0,29,88,212,0,0,0,7,0,0,0,0,0,9,14,31,486,159,28,601,112,286,34,212,37,350,113,2405
LGA14400,0,18,0,737,32,8,0,29,8,15,5,4,5,15,105,235,0,0,0,0,0,0,0,0,0,3,3,9,563,160,29,903,138,313,63,138,27,188,116,2635
LGA14500,44,284,9,11171,207,41,11,140,40,128,12,26,25,78,553,1253,10,3,9,8,0,11,6,0,4,15,49,114,5725,994,186,4737,854,3538,301,918,250,1496,622,19610
