LGA_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
LGA10050,23,67,65,52,295,514,223,623,11,1866,56,111,133,100,535,562,173,348,11,2031,79,154,140,112,760,1121,316,526,38,3243,68,140,147,104,191,143,67,71,10,953,26,55,73,34,187,181,55,87,3,700,17,249,91,49,158,164,54,117,14,927,53,130,132,100,334,385,141,326,34,1634,61,319,178,122,337,364,80,117,26,1602,7,21,18,12,47,41,12,26,59,242,396,1258,970,688,2845,3468,1124,2247,212,13209,37,91,114,99,255,260,106,232,5,1203,206,369,494,441,683,563,201,290,15,3269,28,93,114,66,155,94,25,33,3,610,151,628,615,410,438,237,71,93,43,2686,109,386,420,319,707,383,81,100,18,2526,82,604,288,163,244,91,20,33,10,1532,8,30,27,11,21,21,5,12,0,139,69,383,176,86,122,87,20,27,18,986,11,39,22,13,34,21,11,9,39,190,695,2609,2267,1609,2667,1750,542,833,166,13142
LGA10180,30,79,54,39,221,253,124,422,18,1244,38,126,77,73,335,279,94,209,5,1230,48,70,65,55,357,330,89,149,20,1192,26,109,80,47,103,51,27,42,5,491,14,45,17,9,115,55,23,34,3,305,12,127,52,28,93,49,25,55,9,454,20,60,39,33,79,77,43,100,9,463,35,200,119,68,251,148,43,80,19,958,5,11,3,7,21,18,6,13,34,119,228,823,507,366,1576,1252,466,1111,118,6453,40,67,73,49,133,135,61,169,19,735,98,227,222,201,438,343,116,213,14,1867,13,62,43,29,60,24,20,13,6,266,78,301,225,137,190,74,26,43,13,1086,52,171,188,122,377,119,26,37,8,1095,40,211,119,47,85,49,14,13,3,585,5,18,7,4,3,15,3,3,0,54,38,210,82,42,90,42,4,20,11,539,11,14,4,6,11,3,0,6,21,88,371,1277,965,635,1378,810,268,506,98,6317
LGA10250,40,121,134,98,262,410,140,512,18,1747,79,167,151,137,372,500,137,287,13,1837,102,148,176,196,596,679,145,310,33,2388,73,147,146,103,148,81,48,42,13,791,18,61,30,24,99,91,22,53,0,400,33,195,107,59,156,123,38,63,17,787,36,103,85,63,133,142,48,153,18,786,82,367,185,144,232,233,34,106,24,1404,10,20,13,4,17,27,7,17,54,189,472,1326,1030,838,2018,2293,621,1542,193,10332,44,139,136,97,264,212,66,174,14,1143,176,394,501,370,500,498,140,248,16,2844,23,100,98,61,101,49,14,26,10,471,159,533,477,309,295,118,28,57,33,2005,84,337,363,248,475,256,41,73,18,1887,76,481,233,126,160,78,15,27,10,1206,4,19,9,6,12,3,5,10,0,75,56,280,118,63,82,49,3,17,17,678,7,21,15,12,16,9,0,9,44,129,626,2292,1949,1293,1910,1271,317,628,163,10440
LGA10300,7,3,9,7,22,26,24,85,4,175,0,5,0,0,12,3,6,9,0,28,0,0,8,4,20,22,7,22,0,86,3,0,0,0,6,0,0,0,0,15,0,0,0,0,0,0,5,0,0,14,0,4,0,0,6,0,0,3,0,21,0,8,5,6,21,16,0,36,3,87,3,10,9,5,19,22,12,18,8,97,0,4,5,0,0,3,0,0,0,10,19,39,32,24,101,100,46,163,14,538,0,9,9,3,13,9,0,20,0,65,4,4,5,3,7,15,7,11,0,58,0,0,0,3,5,3,0,6,0,16,3,23,16,11,10,13,0,11,0,92,0,15,24,13,19,9,4,7,0,83,0,5,5,6,9,0,3,0,0,30,0,0,4,0,0,5,0,4,0,11,0,14,13,12,7,8,6,0,3,67,0,0,0,0,0,0,0,0,3,10,15,73,75,44,67,64,27,51,16,435
LGA10470,40,43,62,57,218,356,166,519,14,1471,37,81,80,65,397,359,100,238,4,1370,67,120,86,85,556,717,258,511,25,2431,54,122,111,81,239,157,66,94,16,951,15,36,30,21,172,116,28,75,3,502,27,186,102,37,126,89,34,75,12,686,55,91,103,52,223,295,98,340,19,1277,78,297,171,96,274,247,93,140,28,1429,12,17,8,8,31,29,14,32,46,199,391,994,758,509,2238,2369,863,2026,168,10307,41,66,94,64,224,228,91,180,9,997,153,279,317,260,551,513,162,285,11,2526,20,66,71,46,117,85,14,49,3,472,135,454,389,316,441,193,59,99,28,2122,75,269,314,224,624,274,60,76,12,1925,61,425,205,79,168,80,22,30,15,1075,8,20,22,8,21,17,8,5,0,96,65,268,131,70,111,74,16,29,15,780,14,22,19,6,26,18,7,4,33,148,560,1859,1569,1075,2288,1476,439,750,128,10143
LGA10500,405,456,328,208,1300,1917,488,1345,77,6526,319,693,494,383,2841,3633,679,1470,96,10606,1138,937,883,429,1501,1779,360,704,186,7918,556,411,297,190,466,349,172,197,44,2679,200,247,268,154,1228,956,211,408,28,3707,357,647,481,182,571,549,104,214,61,3161,431,523,653,276,802,737,196,388,84,4098,575,953,917,270,723,555,160,232,102,4489,82,70,74,31,179,148,30,54,335,1004,4050,4924,4405,2119,9612,10639,2402,5009,1022,44186,428,383,307,265,1070,1249,294,682,19,4693,681,1201,1254,875,3110,3172,659,1157,103,12211,347,261,255,122,313,230,46,69,22,1668,1010,1248,1007,526,926,556,118,171,107,5665,611,1069,1204,626,2648,1707,248,367,86,8569,879,1017,662,266,691,393,66,111,57,4140,77,123,138,50,152,92,14,17,13,680,375,643,640,191,358,181,46,75,54,2556,80,80,49,29,157,104,12,31,220,771,4481,6020,5516,2946,9432,7674,1499,2686,679,40946
LGA10550,43,71,81,70,172,260,98,402,29,1227,29,114,82,98,176,220,53,120,10,903,68,159,107,125,412,559,123,276,39,1869,40,107,74,71,106,59,32,35,10,531,16,44,31,14,78,58,9,23,4,280,20,125,62,28,77,81,23,47,11,463,37,66,70,36,153,165,58,192,27,788,75,279,170,103,209,228,59,109,25,1262,12,18,10,10,19,15,4,13,35,143,344,967,689,543,1401,1651,457,1225,186,7463,41,91,88,63,126,164,43,185,9,822,108,256,329,173,302,298,85,144,11,1704,28,86,78,39,75,54,8,15,3,395,104,427,372,212,196,100,27,45,20,1507,54,259,249,165,299,147,37,53,10,1277,50,298,209,96,130,52,12,28,19,893,3,13,16,8,5,16,0,3,0,71,61,293,128,42,75,62,19,28,20,728,13,17,3,4,11,8,5,10,45,109,461,1742,1483,806,1221,904,241,510,140,7511
LGA10600,14,43,49,31,60,79,23,161,4,457,23,49,64,48,99,94,30,56,6,459,21,60,56,68,138,159,37,62,13,609,19,42,23,22,37,17,4,12,4,191,4,18,5,11,30,18,3,16,4,101,3,37,17,6,23,24,9,21,4,139,15,19,33,21,64,45,15,53,7,264,20,89,55,33,45,60,17,25,8,370,3,6,7,8,8,5,0,3,13,44,113,362,312,247,502,502,148,414,53,2635,17,45,42,23,39,47,22,72,3,317,49,130,153,117,102,143,45,74,5,805,9,22,24,18,17,16,0,7,0,107,32,155,116,79,68,35,10,13,12,524,13,107,110,56,84,57,6,10,0,445,11,94,54,31,48,14,3,4,4,268,0,8,6,0,0,0,0,0,0,19,5,105,36,13,18,9,4,8,3,211,7,12,5,5,0,0,0,0,14,42,146,677,539,335,386,324,90,183,48,2730
LGA10650,8,28,15,18,28,83,32,215,11,435,3,12,9,0,33,26,14,33,3,136,13,22,18,14,71,113,37,86,14,385,4,13,7,10,16,8,4,11,6,78,3,10,5,0,9,8,6,4,0,45,3,26,6,0,3,9,4,11,0,73,9,25,21,10,47,60,23,74,8,282,14,52,24,16,48,78,41,28,5,305,4,3,0,0,5,8,0,6,13,41,66,184,105,64,270,397,166,476,59,1792,5,19,22,21,31,50,14,46,0,217,9,46,57,41,34,51,9,35,3,295,9,13,11,9,20,14,5,4,0,87,20,87,82,41,49,28,10,9,0,332,16,51,54,49,77,45,7,15,6,319,9,64,34,12,36,11,8,8,3,173,0,6,0,3,0,0,0,0,0,11,15,83,26,21,24,11,7,9,6,205,0,0,6,0,6,0,0,0,13,25,98,375,282,196,278,218,52,128,38,1664
LGA10750,810,687,457,317,2834,3871,878,2011,158,12018,504,967,689,583,6258,7662,999,1770,240,19675,3957,1354,847,464,3681,3249,685,928,314,15470,712,555,519,342,1184,761,365,378,120,4938,387,505,483,263,2879,2154,435,766,97,7967,699,1091,699,277,1102,904,168,281,93,5308,1722,1445,1701,968,4043,3228,888,1596,384,15984,2154,1597,1034,468,1769,1236,297,386,233,9168,240,123,114,63,376,347,46,97,615,2027,11168,8319,6536,3751,24117,23415,4756,8211,2257,92549,699,539,471,375,1922,1848,432,828,70,7174,1299,1885,2034,1622,6266,6072,985,1504,230,21907,647,366,422,224,804,472,62,94,35,3110,2032,2269,2177,1478,2482,1247,240,440,217,12579,1504,2006,2243,1381,6429,3783,534,630,151,18658,1712,2107,1359,595,1279,638,123,153,94,8060,327,415,466,320,1049,498,109,98,66,3350,898,1161,1035,444,1300,640,118,142,97,5838,152,112,125,65,376,261,35,66,518,1710,9274,10859,10324,6504,21901,15457,2629,3953,1478,82378
