SA3_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
10102,26103,26046,52153,14171,9893,24065,3337,5978,9312,898,1269,2169,611,516,1120,19018,17648,36668,5670,7112,12784,3.2,2.9,3.1,72.9,67.7,70.3,70.5,65.8,68.2,2332,2093,4432,604,1063,1668,3564,4961,8522,2420,3014,5434,6001,3064,9064,230,380,605,345,581,918,6567,4023,10589,25817,25450,51270,4743,4656,9400,16156,15820,31979,12622,12581,25204
10103,8897,8471,17367,3844,2413,6255,1361,2332,3695,321,303,623,172,132,306,5698,5178,10874,2530,2653,5176,3,2.5,2.8,64,61.1,62.6,62.1,59.6,60.9,302,341,638,105,230,333,944,1343,2282,595,921,1515,2573,1185,3753,85,156,235,143,216,362,2797,1556,4353,7987,7674,15665,1637,1574,3206,5424,5118,10544,3779,3726,7505
10104,31925,33732,65655,9308,5851,15163,4605,8023,12633,1122,1244,2372,710,491,1198,15748,15615,31359,13802,15729,29529,4.5,3.2,3.8,49.3,46.3,47.8,47.1,44.8,45.9,1020,1277,2296,528,1110,1638,3046,4612,7656,2284,3736,6027,9142,4686,13823,319,612,931,593,973,1568,10055,6271,16324,29565,30669,60235,4753,5171,9926,19715,20315,40029,13153,14179,27335
10105,15814,15818,31629,6534,4006,10544,1874,3682,5553,566,659,1226,412,319,738,9395,8668,18056,5336,6102,11444,4.4,3.7,4.1,59.4,54.8,57.1,56.8,52.8,54.8,405,489,896,168,394,566,1146,1886,3032,1092,1758,2854,4378,2408,6790,146,285,436,277,440,720,4807,3136,7941,14754,14958,29711,2540,2627,5164,9994,9889,19884,6371,6813,13182
10106,14991,15773,30759,6806,4155,10968,1778,3884,5658,511,682,1197,350,295,649,9450,9018,18467,4485,5748,10227,3.7,3.3,3.5,63,57.2,60,60.7,55.3,57.9,625,678,1298,222,477,696,1451,2438,3889,1055,1648,2707,3761,2029,5792,138,278,411,215,417,635,4119,2720,6839,15209,15738,30944,2054,2175,4234,10477,10750,21228,5850,6317,12168
10201,70212,77025,147240,25860,16235,42096,10345,18102,28453,4027,5300,9325,1992,1588,3578,42227,41226,83454,24381,31674,56055,4.7,3.8,4.3,60.1,53.5,56.7,57.3,51.5,54.2,3374,3690,7062,1040,2105,3140,9503,13302,22802,6236,9391,15629,18311,9566,27874,663,1263,1919,1447,2393,3840,20419,13219,33635,69925,74569,144494,11278,11827,23104,47091,50241,97327,29979,32205,62186
10202,65572,71437,137009,23065,14126,37196,8814,15659,24469,4051,5243,9293,2203,1685,3883,38130,36711,74843,23489,30303,53791,5.8,4.6,5.2,58.2,51.4,54.6,54.8,49,51.8,1343,1637,2983,556,1321,1877,4798,8082,12877,4511,7643,12158,19866,11926,31797,744,1348,2091,1204,2066,3265,21814,15336,37159,65385,69120,134508,10484,11297,21775,42773,44771,87541,28739,31568,60302
10301,20084,19929,40011,8516,5486,14001,2479,4983,7467,661,779,1439,521,431,953,12179,11670,23853,6688,7087,13775,4.3,3.7,4,60.7,58.6,59.6,58.1,56.4,57.2,712,762,1474,270,563,834,1832,3191,5020,1230,2038,3269,5443,2944,8388,218,374,601,334,588,930,6005,3907,9910,18421,18757,37180,3607,3869,7481,11803,11912,23709,9004,9639,18643
10302,21948,22296,44247,9363,5095,14461,2198,5192,7391,695,756,1452,632,471,1103,12886,11521,24405,7063,8919,15977,4.9,4.1,4.5,58.7,51.7,55.2,55.9,49.5,52.7,275,420,701,140,402,543,1230,2492,3726,1038,1978,3024,5633,3238,8865,244,455,700,343,570,912,6223,4260,10479,21354,21544,42896,2954,3079,6032,15192,15026,30221,7786,8346,16134
10303,19644,19493,39139,7794,4025,11817,2033,4749,6779,754,889,1650,558,419,979,11140,10088,21225,6946,7996,14944,5,4.2,4.6,56.7,51.7,54.2,53.9,49.6,51.7,343,498,841,146,386,541,1291,2213,3503,1124,1857,2985,6142,3041,9185,232,416,651,295,538,838,6674,4003,10681,18740,18619,37362,2900,3029,5927,12707,12407,25111,7831,8171,16000
10304,23224,24976,48201,11137,7127,18268,2847,6271,9117,734,950,1685,555,463,1021,15276,14812,30091,6467,8663,15129,3.6,3.2,3.4,65.8,59.3,62.4,63.4,57.4,60.3,930,1061,1992,312,683,997,2568,4194,6765,1610,2638,4250,6207,3671,9874,256,481,742,347,699,1045,6807,4857,11659,23565,24643,48209,4162,4292,8460,14979,15589,30565,11013,11806,22821
10401,22403,22697,45096,6467,4053,10519,2711,4965,7679,696,725,1422,742,548,1290,10613,10294,20908,10200,10814,21018,7,5.3,6.2,47.4,45.4,46.4,44.1,42.9,43.5,386,431,818,229,463,690,1413,2388,3804,1262,2202,3468,6140,3596,9740,279,517,792,418,692,1111,6833,4801,11640,20448,21088,41533,3233,3467,6692,14080,14071,28150,8405,9326,17733
10402,36422,39775,76197,12429,8259,20683,5817,10468,16288,1189,1418,2606,1248,982,2231,20680,21126,41808,13284,16021,29306,6,4.7,5.3,56.8,53.1,54.9,53.4,50.6,51.9,1113,1435,2549,545,1154,1703,3949,6101,10053,2690,4614,7309,9940,5660,15601,387,715,1098,659,1091,1746,10990,7454,18448,35096,37405,72507,6165,6804,12972,22599,23942,46544,16585,18275,34862
