SA3_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
10102,809,94,18,3,918,4,0,4,927,25,0,955,1056,126,24,10,1215,4,3,6,1223,25,0,1246,501,42,49,6,605,3,0,3,611,6,0,613,21,0,0,11,29,0,0,0,29,0,3,33,2382,257,97,30,2774,12,3,15,2787,53,9,2849,16,0,0,0,22,3,0,3,20,0,0,23,22,8,0,0,31,0,0,0,31,3,0,40,43,10,0,0,49,3,0,3,54,0,0,57,2420,274,97,30,2824,12,3,19,2843,59,12,2910,506,73,15,11,603,3,0,3,604,41,0,645,4,0,0,3,10,0,0,0,10,0,5,14,2930,343,110,47,3434,18,3,22,3456,94,12,3566,1216,115,34,5,1367,7,0,7,1376,44,0,1422,1053,113,22,10,1193,12,0,8,1203,13,0,1224,95,12,11,0,117,0,0,0,117,4,0,118,12,0,0,18,32,0,0,0,32,0,0,30,2372,238,66,31,2707,15,0,19
10103,120,20,5,0,147,0,0,0,147,4,0,153,285,55,5,0,344,4,0,4,345,5,0,356,52,7,3,0,63,0,0,0,63,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,459,79,17,3,560,4,0,4,557,11,0,573,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,5,0,0,5,7,0,0,0,9,0,0,0,11,0,0,11,469,78,17,3,565,3,0,3,564,11,0,582,113,26,4,4,145,3,0,5,154,11,0,160,0,0,0,0,0,0,0,0,0,0,3,6,576,109,17,14,712,6,0,10,719,26,3,751,234,25,0,0,260,0,0,0,260,14,0,277,283,48,5,0,334,0,0,4,337,10,0,345,12,6,3,0,21,0,0,0,21,0,0,21,4,5,0,7,6,0,0,0,6,0,0,7,532,75,10,7,623,0,0,0
10104,282,60,15,3,352,4,0,4,355,24,0,384,736,162,18,12,928,5,0,3,929,42,0,967,193,38,16,0,243,3,0,0,249,13,0,262,12,5,4,8,26,0,0,0,26,0,0,27,1216,259,48,22,1549,5,0,15,1556,80,0,1645,4,0,0,0,4,0,0,0,3,0,0,9,14,3,0,0,18,4,0,5,24,0,0,24,14,3,0,0,21,0,0,4,24,7,0,27,1236,257,48,22,1566,10,3,18,1585,85,0,1672,339,92,18,21,471,10,0,12,476,80,0,560,0,0,0,3,4,0,0,0,4,0,13,21,1578,354,66,50,2047,26,5,28,2071,167,19,2255,569,104,12,3,690,10,0,6,697,31,0,734,823,157,24,13,1023,9,8,14,1036,54,5,1098,61,15,11,0,90,0,0,0,90,6,0,101,9,4,0,21,33,0,0,0,33,0,0,36,1466,283,51,37,1839,15,6,25
10105,250,32,5,0,291,3,3,8,299,11,0,310,539,60,18,4,627,3,0,3,628,23,0,646,148,16,10,0,181,0,0,0,183,4,0,183,9,0,0,8,21,0,0,0,20,0,0,20,952,108,38,14,1112,8,3,15,1124,36,0,1165,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,10,0,0,0,9,0,0,9,9,3,0,0,10,4,0,4,11,0,0,11,959,115,38,14,1125,12,3,10,1138,36,0,1176,282,45,10,16,344,11,8,20,361,38,0,401,3,0,0,0,0,0,0,0,0,0,6,15,1238,161,45,27,1472,21,13,36,1507,81,6,1589,427,43,9,0,484,0,0,0,488,21,0,509,524,63,18,6,610,7,0,7,613,33,0,651,34,5,7,0,48,0,0,0,50,3,0,56,4,0,5,10,20,0,0,0,20,0,0,23,992,118,34,18,1161,5,0,5
10106,272,40,3,0,320,0,4,4,320,8,0,329,559,62,10,3,638,7,0,7,644,9,0,654,165,10,24,3,201,3,3,4,206,7,0,220,5,0,0,11,22,0,0,0,22,0,3,22,1003,120,34,21,1181,4,8,13,1194,24,5,1218,6,0,0,0,6,0,0,0,6,0,0,6,12,0,5,0,17,0,0,0,17,0,0,17,15,0,5,0,22,0,0,0,22,0,0,22,1020,120,37,20,1200,4,8,13,1210,24,5,1240,270,46,16,8,333,14,6,19,356,50,3,411,0,0,0,4,4,0,0,0,4,0,8,14,1290,164,49,34,1538,14,14,31,1571,78,17,1662,564,53,8,4,626,3,0,4,633,19,0,646,652,71,3,3,728,5,0,3,733,25,0,762,54,0,12,0,69,0,0,0,67,0,0,72,9,0,0,11,20,0,0,0,20,0,0,23,1270,133,16,22,1444,7,4,12
10201,931,203,44,12,1188,17,12,26,1213,78,3,1301,2145,477,134,24,2783,21,5,25,2807,98,8,2912,846,172,165,7,1194,5,6,10,1201,40,0,1245,29,4,4,18,49,0,0,0,53,0,4,61,3950,860,345,61,5221,44,18,61,5274,225,14,5515,25,10,6,0,42,4,0,4,46,0,0,46,60,17,11,0,85,0,0,0,83,10,0,91,87,27,10,0,127,4,0,4,135,10,0,140,4036,886,356,61,5343,47,20,63,5409,230,14,5655,1189,281,111,32,1609,31,11,37,1647,175,11,1827,6,3,0,13,23,0,0,0,23,0,17,38,5225,1174,471,101,6968,77,31,105,7080,405,36,7522,1534,296,88,16,1933,23,3,23,1958,110,0,2065,2602,552,133,29,3321,27,7,38,3357,118,3,3485,401,102,113,6,622,5,0,5,624,26,0,656,31,4,5,22,66,0,0,0,65,9,9,76,4567,957,335,77,5936,49,15,67
10202,836,154,62,8,1059,14,7,26,1079,62,4,1148,1869,435,155,22,2471,21,3,24,2501,81,5,2589,785,190,195,8,1176,4,0,4,1185,31,0,1220,50,4,5,26,76,0,0,0,77,5,10,89,3533,778,418,61,4787,46,14,56,4844,177,18,5039,22,6,0,0,26,4,0,5,31,0,0,30,60,10,5,0,77,3,0,3,78,4,0,82,80,20,5,0,102,6,0,8,113,3,0,115,3617,798,422,61,4893,52,17,64,4958,181,18,5152,1149,284,146,47,1626,44,16,58,1685,252,13,1944,12,0,0,15,27,0,0,0,27,0,25,54,4773,1082,576,125,6551,94,28,121,6670,437,55,7158,1243,241,82,5,1572,20,7,24,1595,110,5,1715,2010,465,115,12,2605,11,0,18,2620,104,8,2732,366,109,93,6,563,0,0,4,567,25,0,592,34,3,0,37,73,0,0,0,72,5,7,85,3642,815,284,69,4814,36,14,43
10301,327,31,8,0,362,3,0,8,375,21,0,392,722,71,19,7,823,0,0,0,828,5,0,840,206,22,21,0,247,0,4,4,249,0,0,248,5,3,0,9,23,0,0,0,23,0,4,27,1265,136,44,13,1459,6,3,7,1469,31,9,1502,5,0,0,0,5,0,0,0,10,0,0,10,18,0,5,3,23,4,0,4,28,0,0,28,23,0,5,3,31,5,0,5,35,0,0,35,1288,136,43,17,1489,13,3,15,1504,31,9,1537,298,65,14,13,388,14,4,18,402,58,0,464,0,0,0,3,3,0,0,0,3,0,5,8,1589,204,59,30,1879,22,6,32,1908,91,9,2004,590,74,5,6,671,5,0,5,671,32,0,706,732,61,8,9,810,6,0,5,818,27,0,849,73,6,10,0,85,0,0,0,85,3,0,94,5,0,0,3,12,0,0,0,8,0,0,13,1397,139,23,16,1580,9,0,8
10302,346,28,11,4,388,3,0,3,393,10,0,405,824,67,13,9,907,0,0,3,911,23,0,936,188,20,15,0,231,0,3,3,235,0,0,233,15,0,6,10,33,0,0,0,33,0,0,33,1380,122,43,23,1558,8,0,7,1567,36,4,1607,8,0,0,0,8,0,0,0,10,0,0,10,3,0,0,0,10,0,0,4,12,0,0,17,14,0,0,0,14,3,0,9,25,0,0,26,1389,121,47,23,1580,7,4,15,1596,32,4,1632,374,57,15,23,475,18,9,23,496,74,0,572,5,0,0,0,5,0,0,0,5,0,4,11,1770,178,60,47,2054,29,11,39,2091,109,12,2215,591,57,11,6,660,10,0,8,667,20,0,689,907,66,6,0,980,0,0,6,976,19,0,1001,39,9,4,4,54,0,0,0,54,0,0,55,15,0,0,16,28,0,0,0,26,0,0,26,1547,126,25,25,1719,10,3,10
10303,205,18,3,3,231,3,0,9,233,11,4,250,625,54,20,10,710,0,0,0,710,15,0,727,210,12,27,0,247,0,0,0,247,6,0,258,11,4,0,9,26,0,0,0,26,4,0,29,1047,88,54,23,1209,5,0,8,1219,39,6,1258,9,0,0,0,12,0,0,0,16,0,0,16,19,0,0,0,24,3,0,3,27,3,0,25,32,0,0,0,34,3,0,3,36,3,0,38,1077,94,54,23,1242,10,0,15,1258,41,6,1302,360,59,25,14,460,12,5,15,475,53,4,527,7,0,0,0,7,0,0,0,7,0,7,11,1433,152,85,35,1705,20,3,28,1733,99,16,1846,434,36,12,4,485,7,0,8,493,11,0,504,793,82,23,0,900,6,0,11,910,21,0,934,69,13,13,0,97,0,0,0,100,5,0,100,10,0,0,14,24,0,0,0,24,0,0,24,1307,127,49,22,1508,21,0,20
