SA3_CODE_2021,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
10102,3,0,0,3,5,0,0,0,5,0,0,0,5,0,0,5,402,36,4,0,448,3,3,6,456,27,0,487,41,0,0,0,47,0,0,0,49,6,0,55,0,0,0,0,0,0,0,0,0,0,0,0,449,35,4,0,492,3,3,6,505,34,0,538,88,10,0,0,99,0,0,0,99,7,0,109,35,10,5,0,47,0,0,0,47,0,0,53,3,4,0,0,9,0,0,0,9,0,0,11,0,0,0,0,3,0,0,0,3,0,0,3,137,17,3,4,164,0,0,0,164,11,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,17,3,4,165,0,0,0,165,11,0,176,17,0,0,0,16,0,0,0,20,10,0,30,0,0,0,0,0,0,0,0,0,0,0,0,151,19,3,4
10103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,0,57,0,0,0,57,4,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,4,0,0,58,0,0,0,58,4,0,65,11,0,0,0,12,0,0,0,12,4,0,17,3,5,0,0,11,0,0,0,11,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,24,0,0,0,24,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,23,0,0,0,23,0,0,26,3,0,0,0,9,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0
10104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,34,3,10,186,0,0,0,186,26,0,213,14,0,0,0,15,0,0,0,15,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,143,37,3,9,198,0,0,0,196,32,0,237,15,3,0,0,21,0,0,0,21,0,0,25,11,4,0,0,12,0,0,0,12,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,0,41,0,0,0,41,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,0,41,0,0,0,41,0,0,42,0,4,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,34,15,0,0
10105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,3,3,3,110,3,0,3,114,10,0,122,13,3,0,0,21,0,0,0,21,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,108,13,3,3,126,3,0,3,127,16,0,143,22,3,0,0,27,0,0,0,27,0,0,26,10,3,0,0,8,0,0,0,8,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,0,35,0,0,0,35,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,0,35,0,0,0,35,3,0,36,0,0,0,0,5,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,8,0,0
10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,19,3,0,181,0,0,0,181,15,0,199,14,0,0,0,15,0,0,0,15,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,171,20,6,0,198,0,0,0,199,18,0,223,25,4,0,0,30,0,0,0,30,0,0,33,14,9,0,0,15,0,0,0,15,5,0,22,0,0,0,0,7,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,41,11,0,0,59,0,0,0,59,6,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11,0,0,59,0,0,0,59,6,0,60,0,0,4,0,6,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,49,12,5,0
10201,15,0,0,15,19,4,0,0,22,0,0,0,22,3,0,23,932,173,72,7,1186,11,0,11,1192,95,4,1292,116,35,7,0,158,5,0,5,164,33,0,199,0,0,0,0,0,0,0,0,0,0,0,0,1056,208,79,7,1347,16,0,16,1359,130,0,1490,190,31,11,0,239,0,0,0,238,28,0,271,177,42,11,0,229,6,0,6,228,27,0,256,23,10,9,0,34,0,0,0,34,3,0,39,0,0,0,0,3,0,0,0,3,0,0,4,395,86,24,3,503,6,0,6,510,60,0,572,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,10,0,0,10,7,0,0,0,5,0,0,0,6,0,0,6,398,86,24,3,514,5,0,5,517,60,0,577,66,13,8,0,86,0,0,3,84,30,0,121,0,0,0,0,0,0,0,0,0,0,0,0,464,101,29,3
10202,10,0,0,10,12,3,0,0,16,0,0,0,16,0,0,21,624,115,53,3,789,12,3,15,802,53,0,861,113,21,4,0,135,3,0,3,140,25,0,165,0,0,0,0,0,0,0,0,0,0,0,0,732,137,58,3,930,12,3,18,947,85,0,1031,145,15,8,0,173,0,0,0,172,10,0,184,91,19,12,0,120,0,0,0,120,0,0,124,24,3,7,0,38,0,0,0,38,9,0,43,0,0,0,4,4,0,0,0,4,0,0,4,262,41,29,6,336,0,0,0,332,21,0,353,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,3,0,0,3,0,4,0,0,7,0,0,0,7,0,0,7,264,50,26,6,339,0,0,0,344,20,0,366,39,11,0,0,56,0,0,0,54,21,0,83,0,0,0,0,0,0,0,0,0,0,0,0,306,61,26,6
10301,0,0,0,0,3,0,0,0,6,0,0,0,7,0,0,5,196,25,0,0,218,3,0,3,225,13,0,238,12,3,0,0,15,0,0,0,17,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,207,29,0,0,232,6,0,6,241,19,0,257,37,3,3,0,42,0,0,0,42,0,0,43,18,4,0,0,23,0,0,0,23,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,10,3,0,65,0,0,0,65,3,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,10,3,0,65,0,0,0,65,3,0,72,6,0,0,0,8,0,0,0,8,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,60,10,3,0
10302,0,0,0,0,6,0,0,0,6,0,0,0,4,0,0,4,128,12,0,0,144,0,0,4,148,6,0,156,18,0,0,0,14,0,0,0,14,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,141,15,0,0,155,0,0,4,162,13,0,173,16,0,0,0,16,0,0,0,16,0,0,16,14,0,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,26,0,0,0,26,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,26,0,0,0,34,0,0,32,4,0,0,0,8,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,34,3,0,0
10303,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,128,13,0,6,147,4,0,5,148,4,0,158,20,4,0,4,28,0,0,0,26,5,0,31,0,0,0,0,0,0,0,0,0,0,0,0,142,21,0,0,170,0,0,0,176,11,0,182,19,0,0,0,19,0,0,0,19,0,0,19,16,0,0,0,16,0,0,0,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,29,0,0,0,29,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,0,0,0,31,0,0,35,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
