SA3_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
10102,6405,7776,4754,3578,5774,2329,1719,2413,798,35548
10103,1923,1589,1446,1396,1101,886,761,1258,212,10569
10104,3959,5113,4732,4174,3367,2908,1645,3682,578,30166
10105,2611,2519,2479,2449,1973,1440,1402,2084,365,17320
10106,3610,3094,2553,1997,2138,1285,905,1883,359,17820
10201,11017,19332,10858,9446,10634,6952,3630,6662,1338,79875
10202,7567,11411,11198,10163,9102,6910,5382,7998,1230,70958
10301,2907,4213,3267,3309,2653,1907,1703,2519,423,22900
10302,4793,3213,3077,2654,2362,1804,2139,2857,411,23302
10303,2676,2779,3437,2467,2216,1549,2439,2329,359,20246
10304,4045,6013,4206,3516,3550,2177,2087,2996,472,29064
10401,2349,3067,2705,3047,2201,1822,1382,2650,393,19616
10402,4971,8016,5247,5611,4702,3728,1899,4746,664,39577
10501,1945,1105,999,1056,813,404,913,1096,207,8536
10502,1001,1284,1147,1260,818,664,777,880,167,7994
10503,5000,5666,4414,4729,3808,2807,2219,3697,637,32969
10601,4577,5328,7914,5808,4757,3665,5737,5148,802,43723
10602,4431,7265,6842,5613,5273,3845,3912,4217,670,42055
10603,3480,4619,5315,4345,3820,2896,2363,3447,623,30904
10604,1708,1575,2586,1394,1264,974,2218,2154,272,14141
10701,3220,5913,5520,4513,4539,2919,2830,3739,608,33809
10702,0,0,0,0,0,0,0,0,0,4
10703,5023,8576,7236,6105,5676,3886,3354,4112,732,44698
10704,8107,18710,8246,8160,7742,4744,3131,4465,920,64220
10801,1409,1920,1758,1741,1269,1212,628,1422,253,11611
10802,2215,2796,2398,2988,1845,1603,1124,2447,361,17776
10803,63,24,37,14,30,17,4,44,11,241
10804,4133,7323,5051,5480,4383,3440,1750,3441,603,35601
10805,2536,3482,2911,3145,2133,2072,1393,2657,403,20749
10901,4122,6001,4574,4142,3775,2798,2131,3181,528,31254
10902,1221,686,751,580,600,391,448,874,120,5673
10903,3618,2445,2553,2152,2007,1453,1412,2590,397,18620
11001,2897,3693,1944,1975,1827,1287,732,2014,265,16638
11002,2955,1981,1733,1878,1476,1283,930,2261,317,14814
11003,2003,1524,1284,1120,1206,792,1291,1306,201,10726
11004,5207,6258,5212,4631,4166,3220,3430,5224,619,37966
11101,6555,13840,8878,7723,7912,5038,3203,4983,765,58889
11102,3876,6733,6369,4989,4738,3235,3011,3791,659,37394
11103,10236,25825,10992,12059,10509,7409,4564,7198,1259,90050
11201,6012,9417,5448,5220,3834,3533,1492,3880,735,39582
11202,3937,5415,3938,4199,3507,2731,1894,4483,507,30613
11203,4965,7891,6272,5740,4665,3829,2045,4492,787,40678
11301,4142,2966,3129,2311,2588,1794,1928,4377,548,23780
11302,1111,824,912,762,617,437,697,1084,134,6570
11303,6697,8620,6706,6477,5035,3961,2836,5220,817,46366
11401,5271,7628,6995,6301,4590,3978,2127,4626,690,42205
11402,3796,5162,3792,2588,2628,2001,1329,2263,398,23949
11501,14240,26537,6226,5289,11369,5908,1914,3047,1169,75717
11502,2902,3120,1999,992,1973,1082,478,831,250,13622
11503,2020,2098,2530,1270,1864,900,977,1121,224,13010
11504,5341,8204,3522,2496,4545,2400,1309,1485,459,29760
11601,6099,13850,7121,6426,9367,4684,7471,5883,1413,62308
11602,10105,21739,6798,6266,11062,5277,4706,3966,1297,71216
11603,3210,6674,4850,4978,6473,3542,7330,5300,1055,43405
11701,4084,8103,3607,3150,4256,2550,1729,2357,628,30467
11702,5310,12703,2624,2373,3741,1823,840,1350,462,31229
11703,24420,54711,9299,10090,13938,8138,2592,5585,2346,131114
11801,16126,29854,3775,4156,6838,4760,816,1692,1552,69570
11802,12238,25647,6211,5762,8385,4666,1888,3090,1179,69070
11901,7686,14997,7802,6599,10880,5728,5091,5713,1596,66090
11902,5900,11649,5864,5632,7218,4990,3894,4882,1336,51357
11903,7740,16394,6221,6006,8966,5314,2969,4636,1257,59506
11904,8895,18750,7442,6569,10045,5987,3710,5827,1417,68647
12001,9021,15858,3581,3013,6497,3311,1011,1724,809,44829
12002,7435,13328,1872,1868,3307,1884,413,722,397,31218
12003,11274,28690,7263,7325,10657,6241,2978,6159,1663,82256
12101,12712,25800,3603,3869,7201,3965,886,1774,1049,60858
12102,6821,15878,4275,4211,5962,2956,1195,2437,592,44327
12103,13085,24434,2887,3673,7218,4080,744,1569,1020,58719
12104,12540,23645,2535,2955,6168,3250,508,1055,923,53568
12201,5900,9122,1382,1593,2309,1613,316,552,380,23163
12202,6596,8773,3906,2739,3835,2599,816,1469,517,31253
12203,15940,23635,9422,7673,10195,6770,2704,4336,1135,81804
12301,5179,7109,5585,4188,5787,3408,2897,2768,614,37536
12302,7020,13873,8854,8655,10915,6280,8283,7613,1731,73224
12303,3094,3299,4137,2245,3125,1740,2002,2114,426,22179
12401,5040,11028,4574,4321,4488,2425,1454,2430,485,36231
12402,0,0,0,0,0,0,0,0,0,0
12403,9309,14090,10923,8586,12563,6440,7585,6678,1461,77628
12404,2101,2599,3058,2012,2422,1422,1762,1758,347,17486
12405,2175,3314,3272,2694,4118,2063,3736,2649,544,24575
12501,4871,11332,4693,4485,5318,3394,2925,4796,1393,43211
12502,4838,10288,3470,2723,5062,2540,1388,1863,653,32822
12503,5531,10980,6579,5676,8298,4513,5026,5566,1584,53754
12504,8570,25384,6176,6103,10032,4924,4745,4952,1522,72415
12601,4327,11436,1855,1851,3542,1760,512,988,401,26674
12602,12236,27445,6375,5519,10342,5509,1898,3292,1301,73919
12701,7107,11565,7475,5803,9192,5027,6263,5239,1271,58947
12702,5351,10252,7310,5874,8728,5276,8093,7988,1733,60601
12703,5949,11950,6325,6003,8351,4179,5093,4461,1164,53471
12801,10826,15365,7552,5950,9020,4880,2057,2946,996,59583
12802,9132,15473,7684,5792,9198,4514,1992,2998,736,57516
19797,0,0,0,0,0,0,0,0,0,0
