SA4_CODE_2021,D_15_17_FPEAW_MPEFT,D_15_17_FPEAW_MPEPT,D_15_17_FPEAW_MPEAW,D_15_17_FPEAW_MPEHNS,D_15_17_FPEAW_MPET,D_15_17_FPEAW_MPULFTW,D_15_17_FPEAW_MPULPTW,D_15_17_FPEAW_MPUT,D_15_17_FPEAW_MPTLF,D_15_17_FPEAW_MPNLF,D_15_17_FPEAW_MPLFSNS,D_15_17_FPEAW_T,D_15_17_FPHNS_MPEFT,D_15_17_FPHNS_MPEPT,D_15_17_FPHNS_MPEAW,D_15_17_FPHNS_MPEHNS,D_15_17_FPHNS_MPET,D_15_17_FPHNS_MPULFTW,D_15_17_FPHNS_MPULPTW,D_15_17_FPHNS_MPUT,D_15_17_FPHNS_MPTLF,D_15_17_FPHNS_MPNLF,D_15_17_FPHNS_MPLFSNS,D_15_17_FPHNS_T,D_15_17_FPET_MPEFT,D_15_17_FPET_MPEPT,D_15_17_FPET_MPEAW,D_15_17_FPET_MPEHNS,D_15_17_FPET_MPET,D_15_17_FPET_MPULFTW,D_15_17_FPET_MPULPTW,D_15_17_FPET_MPUT,D_15_17_FPET_MPTLF,D_15_17_FPET_MPNLF,D_15_17_FPET_MPLFSNS,D_15_17_FPET_T,D_15_17_FPULFTW_MPEFT,D_15_17_FPULFTW_MPEPT,D_15_17_FPULFTW_MPEAW,D_15_17_FPULFTW_MPEHNS,D_15_17_FPULFTW_MPET,D_15_17_FPULFTW_MPULFTW,D_15_17_FPULFTW_MPULPTW,D_15_17_FPULFTW_MPUT,D_15_17_FPULFTW_MPTLF,D_15_17_FPULFTW_MPNLF,D_15_17_FPULFTW_MPLFSNS,D_15_17_FPULFTW_T,D_15_17_FPULPTW_MPEFT,D_15_17_FPULPTW_MPEPT,D_15_17_FPULPTW_MPEAW,D_15_17_FPULPTW_MPEHNS,D_15_17_FPULPTW_MPET,D_15_17_FPULPTW_MPULFTW,D_15_17_FPULPTW_MPULPTW,D_15_17_FPULPTW_MPUT,D_15_17_FPULPTW_MPTLF,D_15_17_FPULPTW_MPNLF,D_15_17_FPULPTW_MPLFSNS,D_15_17_FPULPTW_T,D_15_17_FPUT_MPEFT,D_15_17_FPUT_MPEPT,D_15_17_FPUT_MPEAW,D_15_17_FPUT_MPEHNS,D_15_17_FPUT_MPET,D_15_17_FPUT_MPULFTW,D_15_17_FPUT_MPULPTW,D_15_17_FPUT_MPUT,D_15_17_FPUT_MPTLF,D_15_17_FPUT_MPNLF,D_15_17_FPUT_MPLFSNS,D_15_17_FPUT_T,D_15_17_FPTLF_MPEFT,D_15_17_FPTLF_MPEPT,D_15_17_FPTLF_MPEAW,D_15_17_FPTLF_MPEHNS,D_15_17_FPTLF_MPET,D_15_17_FPTLF_MPULFTW,D_15_17_FPTLF_MPULPTW,D_15_17_FPTLF_MPUT,D_15_17_FPTLF_MPTLF,D_15_17_FPTLF_MPNLF,D_15_17_FPTLF_MPLFSNS,D_15_17_FPTLF_T,D_15_17_FPNLF_MPEFT,D_15_17_FPNLF_MPEPT,D_15_17_FPNLF_MPEAW,D_15_17_FPNLF_MPEHNS,D_15_17_FPNLF_MPET,D_15_17_FPNLF_MPULFTW,D_15_17_FPNLF_MPULPTW,D_15_17_FPNLF_MPUT,D_15_17_FPNLF_MPTLF,D_15_17_FPNLF_MPNLF,D_15_17_FPNLF_MPLFSNS,D_15_17_FPNLF_T,D_15_17_FPLFSNS_MPEFT,D_15_17_FPLFSNS_MPEPT,D_15_17_FPLFSNS_MPEAW,D_15_17_FPLFSNS_MPEHNS,D_15_17_FPLFSNS_MPET,D_15_17_FPLFSNS_MPULFTW,D_15_17_FPLFSNS_MPULPTW,D_15_17_FPLFSNS_MPUT,D_15_17_FPLFSNS_MPTLF,D_15_17_FPLFSNS_MPNLF,D_15_17_FPLFSNS_MPLFSNS,D_15_17_FPLFSNS_T,D_15_17_FPT_MPEFT,D_15_17_FPT_MPEPT,D_15_17_FPT_MPEAW,D_15_17_FPT_MPEHNS,D_15_17_FPT_MPET,D_15_17_FPT_MPULFTW,D_15_17_FPT_MPULPTW,D_15_17_FPT_MPUT,D_15_17_FPT_MPTLF,D_15_17_FPT_MPNLF,D_15_17_FPT_MPLFSNS,D_15_17_FPT_T,D_18_20_FPEFT_MPEFT,D_18_20_FPEFT_MPEPT,D_18_20_FPEFT_MPEAW,D_18_20_FPEFT_MPEHNS,D_18_20_FPEFT_MPET,D_18_20_FPEFT_MPULFTW,D_18_20_FPEFT_MPULPTW,D_18_20_FPEFT_MPUT,D_18_20_FPEFT_MPTLF,D_18_20_FPEFT_MPNLF,D_18_20_FPEFT_MPLFSNS,D_18_20_FPEFT_T,D_18_20_FPEPT_MPEFT,D_18_20_FPEPT_MPEPT,D_18_20_FPEPT_MPEAW,D_18_20_FPEPT_MPEHNS,D_18_20_FPEPT_MPET,D_18_20_FPEPT_MPULFTW,D_18_20_FPEPT_MPULPTW,D_18_20_FPEPT_MPUT,D_18_20_FPEPT_MPTLF,D_18_20_FPEPT_MPNLF,D_18_20_FPEPT_MPLFSNS,D_18_20_FPEPT_T,D_18_20_FPEAW_MPEFT,D_18_20_FPEAW_MPEPT,D_18_20_FPEAW_MPEAW,D_18_20_FPEAW_MPEHNS,D_18_20_FPEAW_MPET,D_18_20_FPEAW_MPULFTW,D_18_20_FPEAW_MPULPTW,D_18_20_FPEAW_MPUT,D_18_20_FPEAW_MPTLF,D_18_20_FPEAW_MPNLF,D_18_20_FPEAW_MPLFSNS,D_18_20_FPEAW_T,D_18_20_FPHNS_MPEFT,D_18_20_FPHNS_MPEPT,D_18_20_FPHNS_MPEAW,D_18_20_FPHNS_MPEHNS,D_18_20_FPHNS_MPET,D_18_20_FPHNS_MPULFTW,D_18_20_FPHNS_MPULPTW,D_18_20_FPHNS_MPUT,D_18_20_FPHNS_MPTLF,D_18_20_FPHNS_MPNLF,D_18_20_FPHNS_MPLFSNS,D_18_20_FPHNS_T,D_18_20_FPET_MPEFT,D_18_20_FPET_MPEPT,D_18_20_FPET_MPEAW,D_18_20_FPET_MPEHNS,D_18_20_FPET_MPET,D_18_20_FPET_MPULFTW,D_18_20_FPET_MPULPTW,D_18_20_FPET_MPUT,D_18_20_FPET_MPTLF,D_18_20_FPET_MPNLF,D_18_20_FPET_MPLFSNS,D_18_20_FPET_T,D_18_20_FPULFTW_MPEFT,D_18_20_FPULFTW_MPEPT,D_18_20_FPULFTW_MPEAW,D_18_20_FPULFTW_MPEHNS,D_18_20_FPULFTW_MPET,D_18_20_FPULFTW_MPULFTW,D_18_20_FPULFTW_MPULPTW,D_18_20_FPULFTW_MPUT,D_18_20_FPULFTW_MPTLF,D_18_20_FPULFTW_MPNLF,D_18_20_FPULFTW_MPLFSNS,D_18_20_FPULFTW_T,D_18_20_FPULPTW_MPEFT,D_18_20_FPULPTW_MPEPT,D_18_20_FPULPTW_MPEAW,D_18_20_FPULPTW_MPEHNS,D_18_20_FPULPTW_MPET,D_18_20_FPULPTW_MPULFTW,D_18_20_FPULPTW_MPULPTW,D_18_20_FPULPTW_MPUT
101,80,7,10,0,102,0,0,3,104,11,0,114,19,3,0,26,48,0,0,0,48,3,4,54,3175,456,82,46,3759,28,6,36,3797,223,6,4020,16,0,0,0,16,0,0,4,17,3,0,22,21,6,0,0,27,0,0,0,27,0,0,28,41,3,0,0,38,0,0,4,42,4,0,50,3210,458,82,46,3803,26,4,35,3839,230,6,4075,314,74,18,10,413,11,7,14,427,132,0,556,4,0,0,0,4,0,0,0,4,0,9,12,3528,534,95,54,4218,39,14,48,4267,359,19,4644,554,47,11,0,617,4,0,4,627,41,0,669,269,47,9,0,320,0,3,0,320,33,0,355,21,0,4,0,26,0,0,0,26,3,0,26,3,0,0,13,13,0,0,0,11,0,0,12,846,96,17,14,971,10,3,15,984,79,0,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
102,312,77,53,0,442,8,0,8,448,41,0,487,23,0,0,22,49,0,0,0,52,3,0,60,4047,858,310,47,5253,73,13,82,5337,358,11,5703,30,3,0,0,43,6,0,12,48,5,0,58,37,17,4,0,60,5,0,4,63,5,0,69,70,20,4,0,96,14,5,15,111,7,0,124,4111,882,310,47,5352,82,15,95,5447,365,11,5829,650,150,50,12,872,19,7,28,897,217,3,1118,3,0,0,0,6,0,0,0,6,3,11,25,4771,1037,362,66,6229,100,27,127,6356,585,28,6967,774,113,56,0,940,12,3,17,960,76,4,1034,646,146,42,3,837,8,0,8,848,64,0,909,92,25,24,0,144,0,0,0,145,9,0,153,5,0,0,3,14,0,0,0,14,0,0,13,1523,284,117,5,1933,22,3,25,1957,145,3,2105,12,3,0,0,17,0,0,0,17,3,0,18,20,3,0,0,25,0,0,0
103,60,3,9,0,75,0,0,0,75,8,0,80,18,4,0,19,40,0,0,0,38,0,0,46,2981,314,67,47,3413,26,9,34,3453,139,10,3602,14,4,0,0,22,11,0,11,36,0,0,31,17,4,0,0,16,3,8,8,26,4,0,27,29,8,0,0,42,12,8,19,56,0,0,63,3011,323,73,47,3459,44,12,53,3512,144,10,3665,321,59,9,7,393,15,0,12,411,115,0,530,0,4,0,0,4,0,0,0,4,0,10,18,3331,390,78,52,3857,55,15,65,3924,264,23,4209,396,31,6,0,430,5,0,5,436,14,0,452,252,47,0,3,304,3,0,3,309,12,0,323,9,0,5,0,11,0,0,0,11,0,0,11,3,0,0,0,3,0,0,0,3,0,0,5,660,77,8,3,754,8,3,10,765,31,0,796,8,0,0,0,3,0,0,0,5,0,0,9,4,0,0,0,6,0,0,0
104,31,8,0,0,36,0,0,0,36,3,0,41,8,4,0,14,20,0,0,0,23,10,0,33,1583,343,47,30,2003,22,0,27,2033,157,7,2196,11,3,0,0,17,0,0,3,22,0,0,26,18,10,0,4,25,3,0,3,27,5,0,32,24,15,0,3,46,4,3,11,53,4,0,52,1609,354,51,34,2050,28,9,33,2087,166,7,2256,148,45,8,10,208,6,8,15,224,100,0,323,0,0,0,4,0,0,0,0,0,0,8,8,1761,402,57,39,2257,36,14,52,2315,256,17,2589,194,34,10,0,239,4,0,4,240,10,0,249,131,38,7,0,172,0,0,0,174,11,0,186,8,0,0,0,8,0,0,0,8,0,0,11,4,0,0,0,5,0,0,0,5,0,0,5,332,72,13,5,421,0,0,0,423,20,0,446,0,0,0,0,0,4,0,4,4,0,0,4,5,0,0,0,5,0,0,0
105,20,5,10,0,27,0,0,0,30,3,0,32,7,0,0,10,14,0,0,0,14,0,0,21,1290,118,42,21,1467,10,0,17,1483,64,6,1545,4,5,0,0,5,4,0,4,8,0,0,14,12,0,0,0,8,0,4,3,15,4,0,15,15,5,0,0,12,3,4,8,20,3,0,26,1298,122,46,21,1481,21,0,20,1503,65,6,1567,107,19,3,4,133,3,0,10,144,61,0,200,0,0,0,0,0,0,0,0,0,0,5,3,1410,135,48,28,1616,23,0,30,1641,128,8,1773,167,5,4,0,178,0,0,0,178,10,0,196,91,8,0,0,109,4,0,4,110,4,0,115,7,0,0,0,7,0,0,0,7,0,0,3,0,0,0,3,3,0,0,0,3,0,0,3,267,22,7,5,299,4,0,4,302,19,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,114,21,24,3,154,0,0,0,160,14,0,170,17,0,0,20,40,0,0,0,40,8,5,52,3751,501,131,58,4438,39,8,50,4484,250,5,4739,28,0,0,0,32,10,0,10,38,5,0,49,48,3,0,0,53,3,0,5,55,7,0,58,72,8,4,4,86,12,0,13,95,12,0,109,3821,502,135,58,4517,53,7,61,4583,261,5,4848,542,84,25,20,674,19,6,23,695,154,0,845,4,0,0,3,5,0,0,0,6,0,8,14,4365,592,158,75,5195,72,14,86,5281,412,19,5716,532,63,14,0,612,7,0,7,616,41,0,661,489,74,12,3,580,9,0,7,587,25,0,614,34,10,9,0,48,0,0,0,51,0,0,54,0,3,0,4,7,0,0,0,7,0,0,7,1051,150,39,10,1248,15,0,11,1264,72,0,1338,5,0,0,0,6,0,0,0,10,0,0,10,8,0,0,0,8,0,0,0
107,288,49,53,0,388,5,0,3,396,13,5,411,11,0,0,11,22,0,0,0,22,3,0,31,4124,676,283,45,5131,65,25,85,5218,293,4,5518,25,5,3,0,31,3,0,3,35,0,0,34,54,11,3,0,71,5,0,7,78,4,0,78,77,10,4,3,98,9,0,9,109,3,0,116,4207,692,291,50,5226,71,23,99,5328,299,4,5629,589,140,40,14,788,17,15,30,818,262,5,1084,4,0,0,0,11,0,0,0,11,0,5,17,4801,832,326,67,6027,90,38,129,6152,555,17,6730,876,119,58,5,1051,13,9,14,1066,76,0,1146,715,132,40,4,888,6,3,3,890,66,0,964,94,10,17,0,123,0,0,0,122,8,0,138,4,0,0,11,11,0,0,0,11,0,0,18,1690,261,111,13,2075,14,7,25,2100,153,4,2253,4,0,0,0,10,4,0,4,11,5,0,15,10,0,0,0,21,7,4,9
108,56,13,11,0,85,4,0,4,85,3,0,89,15,0,0,29,45,0,0,0,45,6,3,50,2399,532,82,46,3060,29,7,41,3101,248,3,3347,10,0,0,0,17,3,0,3,22,3,0,20,22,5,0,0,27,6,0,6,31,8,0,38,36,4,0,0,46,4,0,11,50,10,0,56,2434,540,83,49,3105,39,9,44,3153,256,3,3412,230,87,12,12,344,9,0,10,355,146,3,499,3,0,0,0,3,0,0,0,3,0,7,9,2667,626,94,56,3449,51,8,60,3505,402,15,3923,267,42,12,0,324,0,0,4,326,31,0,360,209,67,0,0,280,4,0,4,283,17,0,300,6,0,5,0,14,0,0,0,18,0,0,18,0,0,0,5,5,0,0,0,5,0,3,8,481,112,21,7,626,11,0,8,633,51,4,686,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,0
109,29,7,3,0,38,0,0,0,38,0,0,39,3,0,0,4,8,0,0,0,8,0,0,11,1702,179,30,21,1930,10,4,17,1948,68,9,2024,4,0,0,0,4,3,0,3,10,0,0,10,13,0,0,0,19,0,3,3,15,0,0,15,16,0,0,0,16,3,3,4,26,0,0,26,1719,178,30,21,1951,17,3,25,1973,68,9,2044,175,27,7,7,221,11,0,11,229,53,0,281,0,0,0,0,4,0,0,0,4,0,0,3,1900,209,37,26,2174,28,3,33,2204,116,6,2332,229,13,3,0,246,0,0,0,248,8,0,257,183,25,0,0,205,0,0,0,205,10,0,217,8,0,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,420,39,5,0,463,0,0,0,465,20,0,481,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
110,38,12,11,0,57,0,0,0,57,0,0,65,14,6,6,14,34,0,0,0,34,0,6,39,2357,248,57,22,2689,21,8,23,2713,140,6,2860,22,6,0,0,27,5,0,5,31,7,0,32,17,6,0,0,28,0,3,6,31,4,0,33,39,10,0,0,53,8,3,11,62,8,0,70,2401,261,57,22,2741,24,9,36,2777,148,6,2927,213,43,8,12,273,12,11,17,290,129,0,419,0,0,0,0,0,0,0,0,0,0,10,7,2609,306,63,32,3009,35,17,51,3062,279,9,3351,278,26,3,0,306,4,4,6,312,8,0,314,155,28,6,3,187,0,0,0,188,8,0,198,6,5,3,0,15,0,0,0,15,0,0,15,0,0,0,0,6,0,0,0,6,0,0,3,440,60,7,0,516,4,5,7,520,17,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
