SA4_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
101,2082,2030,1819,1405,489,72,9566,49,537,905,1056,1121,960,242,37,4900,883,5090,5014,4727,4329,3637,1390,313,25381,497,2355,3223,3939,3977,3070,1189,285,18535,3042,7135,6608,7256,7555,5076,2045,508,39228,400,442,404,400,474,366,112,27,2620,208,321,386,720,1054,936,448,119,4199,3648,7901,7393,8373,9086,6375,2607,657,46045,36,114,121,166,225,299,161,61,1188,1943,2328,2192,2511,3101,3079,2253,1195,18593,7110,19943,20933,22801,23656,18814,8331,2616,124206
102,2487,2012,1794,1380,481,77,10042,129,659,972,992,1017,949,261,52,5020,1607,7653,8519,6706,4910,4181,1697,412,35685,1170,3876,5252,6195,5223,3863,1789,413,27784,4946,10468,10705,10991,10807,7001,3745,1005,59670,724,623,558,633,659,565,216,34,4010,377,534,811,1247,1543,1587,789,210,7110,6050,11624,12070,12876,13013,9150,4757,1258,70788,107,187,242,309,371,482,336,88,2125,2172,2436,2579,2684,2884,3538,3692,2802,22785,11303,28176,32117,31770,29219,23537,13011,5094,174231
103,1120,985,865,684,237,39,5005,60,413,555,616,591,491,150,23,2908,827,4407,4233,3570,2685,2258,838,189,19013,452,1847,2302,2881,2808,2066,930,245,13528,3348,7471,6602,6622,6295,3904,1673,398,36315,438,468,420,443,486,327,94,26,2690,218,361,387,602,851,821,387,95,3723,4001,8297,7415,7672,7625,5053,2147,518,42729,58,88,121,140,182,213,151,47,1007,2200,2430,2423,2406,2568,2700,2182,1040,17943,7651,18490,18177,18272,17330,13467,6635,2120,102134
104,687,713,640,601,210,30,3364,23,263,362,464,559,565,131,16,2390,367,2495,2895,2734,2295,2189,717,157,13851,246,1206,1704,2212,2422,1953,822,209,10769,1891,4097,4127,4499,5075,3731,1538,391,25340,327,318,267,249,351,278,73,25,1889,139,234,298,422,639,692,346,85,2853,2353,4648,4699,5165,6072,4697,1953,501,30082,32,81,74,100,126,172,137,25,753,1357,1759,1675,1644,1757,1921,1635,1017,12770,4399,10917,12106,13031,13870,12106,5611,1958,73988
105,592,325,276,145,40,11,2245,24,247,279,280,279,173,35,4,1315,465,2659,2034,1501,1135,812,285,62,8963,209,1062,1168,1291,1348,738,318,95,6227,1455,3794,3109,3104,3136,1954,771,177,17498,231,289,179,205,245,144,42,6,1350,100,174,192,299,375,322,168,35,1661,1784,4261,3481,3605,3756,2419,984,218,20507,24,71,52,62,91,88,54,30,473,1773,2193,1961,1852,1954,1832,1454,716,13735,4305,11314,9554,8918,8844,6209,3184,1135,53464
106,1270,1046,1031,754,249,39,5305,89,510,615,637,659,622,141,23,3285,933,4929,4920,3856,3057,2761,1056,227,21741,809,3214,3974,4257,3920,2874,1122,214,20384,5071,12482,11208,10644,9659,6020,2647,531,58250,751,788,620,568,565,406,117,18,3836,329,520,574,880,1148,1044,492,130,5113,6149,13796,12404,12087,11360,7470,3255,674,67198,59,120,169,168,228,293,155,64,1249,2257,2840,2603,2568,2644,2823,2420,1220,19370,10321,26287,25946,24623,22903,17601,8395,2456,138529
107,3503,2663,2245,1617,488,66,14356,122,1043,1225,1046,1031,932,235,39,5677,3046,10123,8248,6407,4631,3487,1262,294,37495,1399,3945,4931,5343,4481,3056,1123,319,24594,5117,10076,9378,9362,8926,5572,2725,816,51965,654,541,515,541,616,388,140,38,3435,355,477,646,1099,1465,1282,593,178,6091,6121,11091,10546,11005,11001,7235,3457,1038,61494,87,157,211,230,314,349,214,67,1621,2145,2274,2070,2035,2124,2271,2442,1754,17120,13134,32199,30721,28721,25832,18944,9221,3575,162354
108,916,894,871,882,311,52,4608,32,292,457,608,714,757,222,25,3108,520,3086,3432,3435,3362,3353,1358,344,18892,419,1481,2433,3152,3782,3523,1479,389,16656,2920,5983,6036,7337,8809,7010,3323,852,42276,445,477,396,465,594,543,167,40,3118,223,258,408,662,1085,1287,637,182,4735,3589,6712,6845,8461,10485,8841,4129,1079,50133,62,78,104,132,258,376,235,77,1317,2046,2019,2017,2163,3011,3590,3221,1880,19947,6682,14327,16204,18852,22486,21327,10950,3844,114657
109,576,446,419,255,87,7,2477,40,276,405,413,403,292,74,5,1904,469,2476,2636,1896,1519,1174,441,86,10711,295,1253,1462,1676,1709,1261,555,131,8331,1714,4008,3532,3725,3745,2689,1072,272,20746,229,244,191,221,244,148,49,10,1329,100,134,217,319,399,371,160,51,1734,2039,4383,3934,4265,4390,3200,1276,325,23813,25,47,57,54,72,104,79,23,470,1225,1249,1237,1323,1641,1814,1499,733,10716,4123,10341,10308,10077,10154,8102,4008,1315,58424
110,1082,881,773,585,258,58,4696,45,361,495,519,480,446,127,17,2486,768,3699,3309,2766,2210,1819,717,199,15486,339,1485,1878,2287,2331,1693,744,189,10950,2682,5687,5231,4977,5101,3349,1446,306,28776,472,469,338,364,404,234,97,10,2386,210,242,306,535,680,641,309,75,3007,3367,6398,5872,5881,6190,4226,1853,390,34170,61,97,87,98,139,177,119,32,802,2849,2488,2343,2493,2763,2695,2181,1030,18848,7467,15547,15061,14924,14877,11641,6005,1911,87435
