SA4_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101,23656,18814,8331,2616,124206
102,29219,23537,13011,5094,174231
103,17330,13467,6635,2120,102134
104,13870,12106,5611,1958,73988
105,8844,6209,3184,1135,53464
106,22903,17601,8395,2456,138529
107,25832,18944,9221,3575,162354
108,22486,21327,10950,3844,114657
109,10154,8102,4008,1315,58424
110,14877,11641,6005,1911,87435
111,31778,25074,12888,5076,204837
112,25389,21247,9523,3823,135621
113,11936,8726,4180,1622,74715
114,16005,15342,8164,2612,85837
115,23296,16050,7496,2745,145953
116,22547,13692,5240,1696,193690
117,21202,12776,5344,1666,228058
118,21197,15001,8347,3708,167785
119,39019,23368,11898,6037,298456
120,24685,15926,7102,2963,186966
121,40317,28935,16733,6726,267149
122,25295,16861,10040,3919,153496
123,18811,12602,5151,1630,136552
124,24511,17628,7737,2572,162814
125,27945,16985,8224,3294,253461
126,17411,11840,5864,2789,124166
127,24409,14157,6251,2359,188214
128,20568,14660,7467,3190,127031
197,0,0,0,0,0
199,1165,680,173,28,7237
201,14173,11755,5357,1777,86664
202,14328,11805,5766,2095,84869
203,25701,21292,10157,3513,172072
204,16851,13835,6373,2044,92875
205,26754,23555,10991,3369,147270
206,42718,27393,12023,4021,418891
207,34035,23774,14057,5890,220426
208,38071,26468,13311,5910,245399
209,35668,23007,10176,3585,274251
210,23969,14040,6615,2428,196473
211,42279,29598,15079,5554,274087
212,49792,31472,16206,6201,413270
213,42882,24917,9756,3314,407319
214,25969,21457,12026,4359,158972
215,11781,8885,4287,1722,68654
216,10123,7729,4085,1572,61186
217,10885,8739,3911,1447,60738
297,15,4,0,0,40
299,779,411,85,18,5907
301,20660,14692,6887,2491,123175
302,15707,10000,5206,2482,122319
303,24954,15473,7204,2675,207698
304,15802,11466,6001,2084,109502
305,21949,12723,5333,1620,191028
306,22055,15290,6520,1863,128814
307,9531,6997,3393,1110,56662
308,16903,10002,4286,1453,103706
309,49287,36009,18233,6211,341428
310,21998,13542,6078,1806,164316
311,21032,14347,6277,1850,159242
312,13716,7754,3201,931,87423
313,19938,16846,8481,2645,124635
314,14990,9109,3774,985,109047
315,5514,2757,1065,238,34390
316,37470,29829,14985,5130,215644
317,11507,8331,4217,1346,78019
318,17105,10908,4774,1393,111178
319,27144,23900,11483,2987,141122
397,5,3,0,0,170
399,1684,1277,239,26,9143
401,27455,22219,10971,4017,179126
402,26640,18608,9313,3335,201447
403,30979,24839,11869,4143,196147
404,17977,12110,5471,2190,124458
405,9670,7975,3653,1120,50375
406,6063,4130,1911,622,35539
407,15516,14292,6954,2098,86337
497,0,0,0,0,9
499,345,212,26,9,1909
501,15883,12322,5457,1669,91922
502,8575,7455,4238,1441,50461
503,16578,12227,6241,2498,117968
504,19194,12505,5738,1806,136230
505,42921,28743,13407,4687,299140
506,34798,24081,11477,4257,270971
507,33728,22488,10559,3951,230021
509,12008,9599,4413,1362,63631
510,5744,1952,465,84,45117
511,8886,5508,2404,724,55784
597,48,15,0,0,428
599,876,505,105,20,5668
601,19252,15133,7358,2496,131034
602,12430,9994,4932,1503,72521
603,4485,3608,1449,345,20981
604,9815,7600,3670,1070,53543
697,0,0,0,0,14
699,137,108,14,3,760
701,9816,5524,1900,397,75220
702,5203,2487,649,119,34698
797,12,0,0,0,71
799,441,228,30,0,2351
801,34056,24589,12068,3939,264899
897,0,0,0,0,0
899,64,24,8,4,368
901,471,330,133,34,2605
997,0,0,0,0,0
999,3,0,0,0,11
