SA4_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
101,1055,978,363,745,693,206,96,206,71,4421,1575,1257,733,1776,1481,421,162,391,146,7932,3895,1396,9143,3735,3209,1556,1978,2550,476,27931,209,93,153,219,400,213,99,242,21,1655,365,185,174,375,498,236,146,255,40,2268,93,119,69,65,77,48,21,50,13,560,307,219,182,218,274,172,170,265,248,2052,13822,18649,11829,9539,9364,3656,2950,4672,1430,75910
102,1150,1604,507,1123,1098,390,172,247,69,6354,1899,2054,1060,2862,2115,809,286,479,148,11716,4204,2217,13170,5927,4750,2397,2535,3340,595,39138,203,144,210,325,485,331,158,311,28,2186,423,338,311,623,812,368,241,354,53,3532,118,212,92,105,214,71,49,78,22,962,235,332,225,345,373,195,176,238,287,2411,14148,28371,16795,14261,13102,5667,3982,5716,1546,103592
103,765,767,297,607,528,146,108,162,43,3418,1020,842,596,1548,1061,318,206,261,75,5921,3588,1122,8608,3645,2854,1364,2966,2459,373,26993,256,71,162,218,372,215,141,263,18,1727,360,112,156,326,469,195,166,230,31,2046,82,81,50,60,82,42,37,53,13,494,275,165,174,231,227,139,207,299,202,1916,10040,15237,10763,8299,7183,2874,4066,4200,918,63584
104,412,564,143,445,397,120,51,116,21,2263,632,629,340,1177,704,286,91,257,52,4169,1756,750,4823,2888,1894,1105,1012,1775,218,16228,95,27,87,183,218,172,60,162,15,1018,179,87,90,277,277,152,76,184,16,1338,40,74,32,42,53,16,12,58,10,327,147,139,119,184,143,85,75,230,145,1269,5143,10495,6056,6316,4773,2274,1459,3183,593,40296
105,416,364,101,371,206,63,46,54,14,1630,581,462,196,870,558,143,63,118,50,3043,1855,565,3974,2018,1525,647,1179,1177,206,13149,126,48,71,151,185,96,64,130,5,868,189,64,68,174,204,90,91,108,13,999,39,49,30,38,41,16,15,15,12,251,166,117,104,139,113,91,111,162,136,1140,5058,7528,4852,4833,3546,1467,1687,2132,548,31645
106,844,1077,553,761,678,204,150,174,50,4495,1400,1366,1044,2301,1596,557,422,422,130,9232,3781,1830,14667,5810,4627,2195,5296,3191,655,42048,197,91,230,376,469,338,263,379,18,2362,303,142,260,512,604,266,254,308,31,2678,70,105,60,63,103,49,48,74,21,589,239,210,210,341,293,165,278,312,268,2316,10427,17481,17917,12018,10146,4371,7018,5346,1370,86085
107,971,1292,576,1080,861,252,158,205,58,5453,1603,1798,1357,2806,1960,640,308,462,153,11083,3352,1831,12588,4955,4209,1906,3123,2795,531,35286,155,108,151,351,492,233,137,299,26,1957,354,260,223,531,814,286,202,277,46,2992,89,180,81,84,140,36,40,57,18,721,186,269,176,299,268,150,153,215,250,1969,13205,31203,16623,13546,12377,4806,4700,5082,1480,103026
108,572,904,261,622,546,180,64,126,44,3314,840,944,508,1706,1005,415,92,302,67,5885,2831,1287,7536,4736,2644,1697,1523,2543,397,25191,167,72,139,312,320,252,99,245,20,1619,268,154,145,441,452,199,108,241,33,2040,70,90,51,75,99,40,13,56,7,492,229,208,187,366,184,186,153,287,239,2039,7409,14635,9322,9697,6481,3344,2160,4164,946,58160
109,481,408,189,368,315,98,55,95,30,2026,696,525,351,1001,586,221,132,196,56,3756,2170,570,4797,2035,1646,819,1200,1493,225,14950,136,31,69,128,180,114,54,142,7,861,171,63,58,176,218,104,58,131,18,999,49,44,26,37,28,18,20,30,5,247,165,106,109,132,101,75,98,187,121,1089,5970,8500,5933,4821,4054,1734,1789,2603,560,35966
110,719,639,167,509,377,110,91,125,24,2749,883,742,346,1272,831,258,152,284,74,4840,3003,978,6061,2887,2354,1270,1977,2198,285,21008,197,64,115,216,311,205,99,295,23,1513,338,108,107,277,368,189,132,204,18,1736,80,71,48,44,50,34,18,75,3,424,305,132,159,197,185,145,154,296,183,1765,8531,12620,7568,6802,5751,2557,2824,4198,751,51597
