SA4_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
101,151,204,570,633,788,1072,850,351,48,4652,4,18,131,147,116,71,24,4,0,524,185,281,702,616,685,579,161,25,0,3240,10,55,226,289,320,273,46,0,0,1227,685,1207,2589,2059,2003,1658,410,41,0,10653,72,77,197,243,274,282,95,17,0,1256,653,511,772,632,623,694,241,36,0,4149,914,451,709,448,462,494,179,27,0,3691,55,123,429,456,699,759,281,29,3,2841,25,41,114,132,128,102,31,0,4,576,9,19,77,84,121,107,30,6,0,456,23,41,97,117,141,119,77,21,0,631,36,139,565,655,726,612,299,53,7,3079,50,120,252,287,362,353,111,10,0,1543,38,275,1217,2039,2421,1685,305,15,0,7989,63,115,355,433,519,470,190,18,0,2168,40,119,479,496,583,625,203,21,5,2570,68,95,190,181,174,182,65,9,0,963,147,225,453,404,432,380,136,28,0,2211,173,219,531,481,497,468,194,52,12,2629
102,32,66,154,136,147,154,62,29,3,779,0,30,115,189,176,146,22,4,0,683,239,507,1207,1351,1556,1271,249,22,0,6408,15,47,205,287,348,312,43,0,0,1261,951,1791,3627,3383,2888,2028,476,36,0,15181,46,103,326,447,612,509,111,19,0,2175,942,959,1297,1077,1085,837,262,38,0,6501,1695,754,755,579,480,362,114,20,3,4760,78,183,565,801,1139,1234,347,41,0,4400,46,96,292,425,413,286,59,5,3,1617,10,108,358,619,617,362,116,25,0,2213,21,54,164,228,287,196,91,22,6,1071,61,229,810,1246,1169,790,366,66,5,4741,87,228,442,520,569,518,158,22,0,2540,52,197,768,1268,1438,1006,192,15,0,4930,77,202,689,750,708,672,244,19,0,3359,72,390,1195,1178,1236,1217,383,35,0,5715,102,105,208,205,180,168,65,9,4,1049,154,316,586,666,628,571,150,25,0,3097,166,325,768,774,800,604,196,56,18,3699
103,165,304,727,880,1058,1245,1008,426,62,5874,49,330,1326,1349,1145,688,84,6,0,4977,212,368,833,815,880,746,175,36,3,4065,12,46,146,220,245,257,28,4,0,967,525,839,1468,1264,1133,931,312,24,0,6501,65,109,287,261,286,271,72,12,0,1360,619,464,729,491,474,440,165,37,3,3419,815,328,471,312,254,255,134,18,0,2599,58,122,375,450,601,668,298,53,0,2623,15,24,66,71,70,54,13,8,0,319,4,20,64,107,110,95,41,5,0,444,15,28,80,80,107,84,58,10,4,458,46,82,302,276,314,259,180,30,0,1508,43,108,187,176,200,221,79,12,0,1016,43,155,618,744,951,835,176,16,0,3533,37,131,357,420,459,445,169,15,0,2032,37,201,628,584,564,561,203,23,0,2795,52,37,71,71,73,92,31,3,0,420,175,239,457,343,353,364,119,19,0,2062,161,196,439,380,454,382,156,71,11,2246
104,65,122,404,457,393,457,287,102,18,2308,0,11,56,65,70,45,8,0,0,254,69,149,281,309,428,377,89,6,0,1711,6,6,60,109,126,119,15,0,0,448,312,518,1095,978,975,850,248,13,0,4994,21,51,108,156,169,151,47,6,0,710,461,307,468,444,392,385,134,16,0,2600,638,277,413,289,296,296,95,15,3,2321,30,75,199,231,343,446,164,19,0,1503,10,14,38,39,66,48,14,0,0,236,0,12,60,68,79,76,31,5,0,334,8,14,50,62,70,97,50,5,0,360,17,49,239,249,280,214,150,18,0,1210,37,73,148,191,242,246,70,7,0,1011,25,76,348,517,661,485,79,7,0,2204,27,44,235,298,340,338,113,4,0,1405,34,118,449,579,602,570,175,19,0,2545,45,29,63,62,105,81,27,12,0,417,68,135,257,236,280,200,61,4,0,1245,74,126,296,306,308,261,93,25,4,1488
105,123,223,604,589,724,897,594,217,34,4008,48,154,477,416,396,290,35,3,0,1824,97,130,330,262,220,189,56,5,0,1294,5,17,104,153,130,118,28,0,0,560,232,383,824,552,519,484,154,15,0,3155,39,48,156,142,158,182,50,13,0,788,278,195,448,297,238,244,102,22,3,1832,323,137,283,169,137,180,61,12,0,1314,24,53,230,221,292,380,173,25,4,1402,8,16,26,30,29,31,17,3,0,148,5,23,49,38,44,42,9,4,0,218,3,5,33,42,37,38,19,0,0,186,23,40,130,131,96,88,72,13,0,582,17,33,123,102,90,104,43,3,0,520,23,119,473,413,493,467,127,7,0,2112,19,55,254,201,232,210,68,9,0,1051,27,111,486,406,327,309,100,11,0,1770,29,24,52,42,64,55,21,3,0,286,75,121,213,165,172,178,74,11,3,1007,88,94,235,192,205,195,101,39,9,1174
106,80,168,357,362,402,520,391,137,26,2440,113,424,2044,2654,2336,1412,178,11,0,9167,245,519,1379,1236,1312,1076,213,24,0,6005,24,102,328,336,393,380,49,0,0,1609,690,1305,2373,2023,1798,1521,367,29,4,10111,75,170,541,580,517,383,72,19,0,2359,758,673,945,679,666,557,169,35,3,4473,1377,594,659,449,371,327,135,11,0,3934,77,179,558,784,1061,1011,373,53,3,4106,24,23,86,74,75,62,14,5,0,360,10,36,158,200,166,134,47,11,0,760,29,48,118,139,160,124,66,25,0,708,44,144,566,599,609,510,232,29,0,2739,54,192,572,465,468,383,94,18,0,2255,205,373,976,1053,1109,831,168,4,0,4725,39,129,383,360,451,411,147,17,0,1953,66,209,605,620,603,588,189,24,0,2910,103,88,107,103,87,116,37,12,0,650,228,392,788,541,530,471,123,21,3,3087,208,369,758,626,646,513,129,47,9,3311
107,14,41,66,47,69,65,45,18,0,372,22,95,591,824,616,359,38,4,0,2552,182,458,1206,1236,1715,1611,246,17,4,6676,15,72,240,302,327,258,40,3,0,1253,995,1773,3175,2580,2281,1628,318,16,0,12762,38,100,325,386,418,364,76,3,0,1712,732,951,1154,856,786,596,182,24,0,5283,1358,1026,908,495,335,275,83,12,0,4495,75,241,845,1146,1367,1197,272,27,0,5180,8,71,192,262,222,111,26,6,0,902,9,133,415,507,459,243,72,4,3,1840,19,70,165,182,192,136,46,15,0,826,53,417,1170,1211,957,653,267,45,0,4769,58,177,420,433,452,380,100,8,0,2028,51,297,1132,1506,1445,1034,173,18,0,5658,75,291,955,1006,968,781,243,28,0,4346,66,399,1313,1155,1101,927,315,35,0,5321,105,152,209,178,170,108,37,5,3,978,163,345,617,540,581,493,118,17,3,2884,135,325,773,663,607,485,114,35,9,3135
108,79,115,294,304,439,587,441,184,22,2467,0,17,92,121,156,124,12,0,0,526,130,260,517,534,633,586,159,26,3,2842,15,27,153,254,304,264,41,0,0,1066,500,785,1486,1444,1577,1397,377,26,5,7590,49,69,156,192,245,199,65,11,6,985,718,457,666,604,692,618,242,48,5,4043,903,423,501,448,425,404,161,29,0,3297,36,75,247,337,569,728,279,36,5,2320,23,22,43,56,58,73,21,0,0,292,4,29,83,102,130,142,49,12,0,551,11,25,49,84,102,122,57,14,6,471,15,51,196,296,336,331,207,49,3,1487,48,80,230,266,358,404,126,13,0,1516,22,97,370,541,746,626,130,7,0,2545,41,75,326,449,542,500,190,12,0,2130,60,194,694,778,897,941,277,23,0,3869,59,50,77,90,100,94,44,12,0,523,115,168,286,313,405,355,121,12,0,1776,129,168,320,346,412,401,144,56,20,1993
109,123,221,647,676,770,884,545,181,31,4088,0,10,29,51,55,35,10,0,0,191,122,251,641,678,734,609,143,18,0,3201,9,18,73,96,118,126,17,0,0,464,332,593,1097,837,719,686,203,21,0,4488,38,44,155,171,203,204,74,13,0,903,361,236,383,333,291,295,133,13,0,2041,397,209,276,224,195,209,87,12,0,1615,42,81,280,289,413,485,240,32,0,1861,16,15,36,25,38,28,18,3,0,179,0,20,47,58,75,54,19,0,0,276,6,8,45,48,51,52,31,7,0,247,28,58,201,182,158,157,95,19,0,898,23,44,93,115,147,144,66,7,0,633,18,77,315,367,528,406,98,8,0,1819,32,61,227,247,259,266,107,11,0,1200,26,105,337,322,323,284,96,13,0,1506,38,33,38,49,33,49,30,0,0,272,80,124,212,207,199,189,73,11,0,1089,106,129,281,265,254,274,97,30,11,1440
110,223,421,1156,1140,1355,1517,1128,422,73,7434,8,129,505,467,334,212,40,0,0,1704,167,365,852,710,602,434,128,11,0,3274,0,50,96,159,168,176,32,3,0,679,381,569,1199,921,838,816,252,34,0,5007,62,84,215,241,264,237,73,12,0,1184,528,385,535,451,442,398,131,24,0,2893,684,288,317,240,175,202,113,13,0,2037,45,97,334,395,515,659,271,54,5,2370,11,30,53,48,48,53,21,3,0,258,0,28,74,95,100,58,19,4,0,383,7,20,68,78,68,66,41,14,0,363,14,77,226,241,247,216,174,21,0,1215,28,77,212,208,235,228,98,8,0,1089,34,131,438,541,744,641,128,9,0,2678,43,130,394,464,508,499,173,19,0,2231,31,130,528,393,432,463,139,15,0,2125,43,35,69,58,66,70,15,8,0,368,152,190,368,332,309,310,115,20,0,1792,150,175,379,307,343,339,118,70,18,1911
