SA4_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
101,3395,4344,10654,10830,12070,10978,3930,765,84,57054,58,104,197,226,336,468,410,149,21,1971,0,11,21,22,13,15,4,0,0,81,130,101,240,263,293,242,68,9,0,1342,15,20,59,77,74,46,12,0,0,301,55,112,337,304,364,259,86,7,0,1519,28,40,108,110,147,117,40,0,0,591,922,528,962,843,1088,1006,253,34,3,5634,1112,596,823,674,665,633,165,18,0,4671,8,49,116,137,207,206,67,12,6,801,15,48,96,83,94,72,23,0,0,428,12,50,190,198,214,165,23,0,0,858,26,99,196,172,176,128,53,3,0,868,64,182,716,740,774,535,188,17,0,3228,45,116,321,370,429,401,120,6,0,1806,59,344,1671,2264,2452,1364,173,8,0,8337,157,353,1129,1557,1671,1309,323,15,0,6516,206,733,2192,2106,2565,2611,595,28,0,11027,84,111,192,162,177,139,48,7,0,924,133,192,380,361,400,268,92,10,0,1833
102,4860,6685,14537,16122,16478,13225,3702,507,52,76165,28,38,76,76,97,79,43,15,0,463,3,8,15,17,25,14,9,0,0,75,137,179,443,592,642,464,91,9,0,2564,0,11,70,71,70,48,10,0,0,273,40,112,435,603,494,405,110,10,0,2205,24,76,160,278,301,220,56,0,0,1120,1476,1222,1478,1393,1583,1398,329,32,0,8915,2075,929,819,690,663,502,108,15,0,5799,15,67,169,224,321,312,73,14,0,1198,44,87,198,265,207,154,28,6,0,992,19,147,589,745,680,459,74,7,0,2716,19,116,271,309,300,187,56,16,0,1276,45,286,887,1148,989,654,210,32,0,4260,62,159,446,528,629,459,107,7,0,2399,23,173,752,1222,1241,723,109,0,0,4243,188,650,1816,2124,2197,1659,401,21,0,9052,395,1657,4133,4277,5047,4558,951,55,0,21068,92,113,214,191,191,106,41,8,0,949,124,256,639,582,598,398,105,8,0,2707
103,3139,4140,9625,9277,9745,8876,3511,810,98,49224,67,105,233,319,438,495,450,184,30,2326,5,74,262,190,125,51,3,0,0,724,103,102,278,303,299,252,64,4,0,1408,0,7,27,43,54,38,10,0,0,185,37,64,179,246,209,185,55,7,0,974,16,60,114,110,120,122,32,4,0,576,853,547,974,848,869,789,205,20,0,5100,1002,506,657,514,513,462,132,8,0,3799,14,43,122,171,223,215,63,7,0,865,13,33,67,85,65,48,15,4,0,317,12,59,194,179,203,115,28,0,0,791,17,47,117,102,138,90,30,4,0,545,41,128,463,425,411,330,107,8,0,1913,31,105,292,326,388,373,71,4,0,1594,41,181,723,855,968,594,100,4,0,3477,163,401,1288,1565,1824,1271,297,33,0,6846,284,1008,2493,2270,2479,2326,542,29,0,11433,84,46,95,80,86,63,22,9,0,482,119,166,377,322,331,240,68,9,0,1632
104,1941,2207,5266,5644,6233,5744,1949,289,35,29300,18,51,251,208,214,187,133,35,4,1098,0,0,0,3,4,8,3,0,0,28,43,32,77,87,133,128,38,0,0,543,4,0,4,13,32,19,0,0,0,79,18,26,134,188,163,139,37,3,0,705,19,14,47,66,85,51,28,0,0,305,675,391,553,538,675,628,149,11,0,3621,758,385,448,406,405,378,88,5,0,2881,5,17,60,90,104,110,27,3,0,423,13,13,36,56,37,43,6,0,0,201,4,31,98,129,146,90,22,4,0,525,10,42,93,91,102,87,27,0,0,451,13,51,260,337,295,242,94,8,0,1292,19,53,191,238,286,276,52,3,0,1125,13,99,351,503,617,349,53,0,0,1983,66,163,637,953,1088,880,208,6,0,4012,108,545,1504,1563,2016,2063,432,11,0,8246,42,31,64,71,81,58,20,0,0,360,70,77,235,227,227,178,48,0,0,1059
105,1488,1970,5529,4577,4606,4690,1909,411,61,25236,39,68,204,184,302,386,254,93,17,1555,5,33,86,60,50,45,5,0,0,273,48,34,128,82,70,69,17,5,0,461,3,4,33,37,38,23,0,0,0,137,6,28,131,100,82,81,14,0,0,443,18,27,71,46,74,52,23,3,0,311,424,247,469,397,411,432,102,15,0,2499,434,210,392,285,264,292,98,12,0,1980,14,22,52,64,90,100,34,3,0,386,8,21,29,31,19,21,6,3,0,139,11,34,101,79,81,57,7,0,0,367,7,20,54,56,50,36,20,0,0,242,15,78,220,173,169,134,46,3,0,839,12,53,136,143,170,169,35,9,0,719,15,98,403,390,459,294,64,0,0,1728,83,232,829,941,891,672,194,8,0,3850,149,483,1713,1240,1226,1346,305,17,0,6476,33,40,73,64,52,35,12,0,0,302,45,85,166,131,126,128,41,9,0,730
106,4453,6136,14307,13902,13771,11311,3187,543,62,67667,61,119,262,246,260,281,199,45,15,1486,17,117,449,449,379,118,12,0,0,1553,147,164,486,466,534,334,63,8,3,2208,9,20,88,110,112,49,12,0,0,393,47,107,439,418,398,356,72,10,0,1845,20,64,180,189,193,110,35,11,0,800,1231,928,1458,1401,1464,1139,201,14,0,7841,1853,944,989,813,794,545,112,6,0,6053,13,64,225,242,318,280,82,10,0,1239,28,32,72,60,51,41,18,0,0,299,8,100,446,437,374,218,37,9,0,1621,26,98,210,210,191,148,38,5,0,920,47,226,700,719,606,408,119,14,0,2848,67,238,710,685,694,465,96,7,0,2967,48,168,761,894,991,537,73,4,0,3481,156,474,1403,1821,1800,1294,277,10,0,7250,395,1321,3286,3185,3410,2958,571,20,0,15147,102,80,167,123,129,80,22,8,0,713,183,283,705,527,486,289,76,6,0,2559
107,4187,7436,15888,15518,15077,11699,2807,333,32,72975,12,28,32,46,38,39,24,14,0,231,4,14,57,59,41,15,0,0,0,195,104,165,390,395,450,241,57,0,0,1805,3,17,49,57,70,31,7,0,0,230,43,113,391,398,373,241,67,6,0,1639,19,43,146,187,186,103,30,3,0,717,1156,1265,1295,1223,1280,1026,214,14,0,7466,1893,1196,790,566,555,394,82,3,0,5482,30,95,242,251,290,231,51,4,0,1196,20,57,168,142,106,55,13,0,0,554,27,193,706,783,717,359,58,7,0,2853,30,96,208,245,226,141,40,6,4,990,84,440,1039,1034,750,470,138,16,0,3972,46,177,456,534,588,480,77,9,0,2375,54,273,1001,1314,1255,748,91,0,0,4735,242,738,2308,2520,2639,1922,379,25,0,10767,411,1889,4533,4045,4319,3356,643,29,0,19230,113,136,213,201,162,99,29,0,0,959,150,318,587,501,468,323,76,8,0,2432
108,2961,3190,6788,7558,9126,8904,3139,559,65,42298,40,50,104,121,207,279,187,96,7,1083,0,0,7,16,24,10,0,0,0,51,61,52,153,167,217,241,69,12,0,970,3,7,50,118,170,121,8,0,0,482,22,40,175,219,276,205,53,4,0,988,12,22,46,64,95,91,24,4,0,355,948,522,760,852,990,1015,258,22,0,5373,1238,568,634,598,594,601,120,17,0,4369,19,32,55,96,166,200,45,5,0,613,23,15,44,43,47,56,19,5,0,241,11,36,115,163,202,175,27,4,0,733,26,51,130,131,169,138,57,11,0,717,34,83,300,402,412,371,141,11,0,1753,25,96,226,333,410,394,89,0,0,1581,16,77,325,455,591,419,77,0,0,1965,109,295,977,1331,1583,1324,301,21,0,5937,302,878,2248,2379,3236,3308,699,47,0,13094,59,42,75,79,88,75,40,3,0,456,63,111,319,336,322,277,85,5,0,1522
109,1785,2351,5396,5251,5564,5426,2179,400,50,28415,47,90,195,257,299,330,251,83,5,1564,0,0,3,0,5,4,0,0,0,14,99,94,231,222,249,241,48,7,0,1195,3,6,23,23,32,20,4,0,0,107,23,38,141,163,153,146,40,4,0,704,11,28,63,73,74,79,23,0,0,353,572,365,499,448,545,552,122,7,0,3121,659,299,374,298,350,316,92,15,0,2394,10,35,80,96,158,118,55,7,0,568,7,22,27,35,27,22,8,0,0,149,4,31,108,121,122,78,8,0,0,478,6,23,59,63,79,43,28,7,0,304,17,71,221,241,249,194,57,3,0,1049,29,53,124,177,220,192,57,3,0,857,19,76,290,425,450,316,64,10,0,1644,67,225,702,910,911,760,194,12,0,3773,112,550,1536,1344,1446,1493,357,16,0,6859,40,33,46,51,46,48,11,0,0,287,47,87,219,184,177,116,39,5,0,877
110,2619,3418,8021,7493,7796,7592,3203,754,109,41007,90,153,362,439,536,713,580,178,15,3062,0,36,91,73,49,22,10,0,0,282,74,122,352,296,236,198,50,12,0,1341,0,9,25,26,31,27,3,6,0,124,26,43,150,147,138,141,47,10,0,696,17,39,93,86,93,98,19,0,0,449,829,439,708,637,761,690,189,14,0,4277,828,401,480,424,374,360,86,9,0,2957,16,33,119,126,189,177,78,11,0,762,9,39,53,37,39,24,16,0,0,217,10,61,183,163,170,114,25,3,0,734,28,45,118,91,101,64,29,4,0,475,45,139,418,361,388,287,79,12,0,1742,26,88,258,266,326,282,75,8,0,1331,31,92,415,523,557,355,81,10,0,2062,140,383,1202,1530,1628,1275,321,24,0,6496,228,718,2078,1806,1943,2013,471,21,0,9272,38,45,67,60,49,34,19,0,0,323,86,120,314,253,249,199,71,9,0,1306
