SA4_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
101,4069,138,473,25,238,68,228,1308,74,6620,55,36,137,0,41,3,299,36,4,609,707,276,1329,102,442,252,474,952,43,4576,203,221,418,5,216,23,309,120,19,1524,1545,299,5930,26,972,98,1349,1818,132,12177,337,139,180,4,267,505,275,119,21,1853,1579,273,640,90,501,5376,371,914,49,9785,1576,64,1114,2243,408,863,179,1867,58,8363,390,129,195,75,741,131,1797,140,39,3639,173,375,174,5,138,103,9,18,17,1011,209,387,19,7,610,41,4,11,25,1310,178,119,67,20,247,762,38,54,15,1498,888,3088,712,27,1388,55,28,52,71,6306,253,303,444,208,321,34,104,1640,38,3342,3779,3793,674,2392,4235,71,375,539,471,16328,686,4736,185,1936,833,21,28,207,46,8687,807,4727,411,5196,1724,57,77,506,101,13598,290,374,249,432,174,73,64,193,34,1883,316,243,2034,553,413,77,51,326,28,4048,470,381,587,231,435,245,373,510,1034,4262
102,440,42,200,7,61,29,44,403,15,1245,72,87,198,0,56,7,294,37,3,760,1577,796,2145,81,908,522,1261,1583,100,8971,179,193,414,17,197,31,332,141,16,1536,2055,454,8899,27,1628,211,1068,2812,230,17381,827,448,290,11,490,580,439,184,40,3300,2466,551,887,124,754,8203,899,1468,70,15419,1731,151,1162,2546,360,1597,592,2345,79,10559,535,310,289,125,1052,216,2543,473,67,5600,484,944,385,9,293,168,205,68,39,2608,832,1514,53,24,2205,219,14,9,62,4929,360,197,82,22,458,1079,45,85,33,2353,1330,4438,1035,45,1799,164,36,80,68,8995,497,521,572,372,517,92,164,2165,34,4939,1028,1659,643,2288,2624,59,227,456,190,9173,997,7202,245,2480,1111,17,58,223,69,12405,1496,9577,852,9894,3588,140,175,904,161,26789,380,492,252,416,165,69,17,172,25,2000,509,459,2650,843,702,110,79,412,48,5803,807,702,791,280,763,353,529,640,1210,6083
103,5163,191,490,15,355,95,351,1457,92,8202,392,639,1678,34,254,14,2420,204,55,5701,848,360,1515,74,470,214,757,1158,84,5476,112,115,412,7,136,12,241,93,21,1146,933,139,3538,9,671,89,896,1127,78,7479,326,168,268,0,288,443,273,150,20,1944,1320,241,572,68,451,4638,269,927,36,8518,1145,38,815,1748,239,737,164,1469,52,6395,345,72,140,26,746,114,1856,155,31,3486,91,201,99,6,104,106,4,7,11,636,181,351,26,18,593,43,0,9,13,1237,133,60,44,4,174,469,49,48,18,1004,267,1596,500,8,889,36,25,77,25,3417,186,206,289,168,260,16,75,1390,18,2610,800,1372,490,1488,1807,41,424,479,107,7006,708,4830,231,1851,917,15,37,261,38,8876,733,5000,430,5457,1673,61,78,719,87,14232,133,184,112,247,81,23,3,107,6,901,258,234,1807,498,381,60,67,376,9,3690,357,221,546,194,293,208,384,488,875,3567
104,1564,128,133,9,136,41,175,1174,48,3406,40,24,79,0,17,0,100,17,3,286,336,85,697,37,220,132,354,364,22,2254,48,56,156,5,73,16,119,55,4,523,676,139,2710,7,521,52,572,974,48,5704,192,61,111,18,134,255,169,64,8,1015,933,157,432,46,283,3518,211,617,33,6219,886,36,698,1381,270,599,93,1206,30,5207,179,62,92,56,413,88,935,86,11,1922,68,147,72,0,64,59,6,8,11,434,117,244,7,18,421,30,0,0,16,853,85,57,37,3,159,409,24,28,15,812,206,1290,316,20,579,30,10,31,18,2504,159,165,174,148,180,33,32,1233,14,2136,437,920,289,818,1145,31,164,293,88,4181,396,3056,96,1209,472,3,8,126,32,5412,505,3921,297,4217,1277,49,58,414,58,10799,110,165,109,156,91,25,19,99,8,780,154,164,1162,331,220,45,19,195,17,2311,235,188,281,181,231,134,201,408,568,2435
105,3589,105,295,9,206,54,272,988,58,5560,124,180,606,16,86,9,972,95,16,2101,217,69,497,29,144,102,178,507,18,1759,67,40,247,4,89,36,128,75,5,694,451,67,1633,4,312,36,465,584,37,3599,172,91,165,0,167,284,136,74,14,1098,639,102,325,36,211,2394,147,447,26,4332,635,20,373,834,157,367,63,825,19,3292,176,30,89,21,329,59,973,84,23,1789,32,101,57,0,38,45,3,7,3,294,73,154,9,9,319,18,6,3,6,585,51,41,20,8,88,193,3,23,10,429,89,680,182,6,407,20,8,25,7,1421,68,133,102,107,94,11,31,667,21,1239,410,587,257,1120,849,27,254,277,66,3842,366,2519,104,1264,493,0,18,124,20,4907,450,2841,298,3079,1011,46,46,402,74,8243,67,82,138,122,57,23,6,93,8,595,99,111,901,235,172,33,24,144,12,1740,175,109,277,145,188,105,172,242,570,1985
106,1779,102,340,22,221,70,134,1214,51,3929,667,806,3349,30,504,28,4839,395,109,10726,1086,630,2352,70,773,414,1316,1451,106,8214,205,221,711,9,238,38,353,189,38,2004,1243,330,5249,13,1158,161,1447,2241,130,11957,458,275,796,12,429,468,503,181,42,3159,1727,294,804,126,548,7046,416,1315,45,12316,1446,55,1245,2633,413,1383,342,2429,49,9987,505,199,363,44,1007,144,2764,256,56,5339,116,172,123,3,100,111,10,18,13,657,297,571,45,14,1286,94,4,22,50,2382,187,79,120,22,320,734,52,82,30,1629,593,2457,944,17,1257,66,69,135,55,5586,291,380,434,292,610,52,768,2347,56,5224,970,1302,886,2298,1753,45,306,471,173,8204,672,4742,245,2267,920,21,49,227,61,9202,864,5345,615,7905,2341,76,127,659,119,18056,216,208,183,322,116,74,24,199,26,1359,357,286,2981,797,557,63,98,468,43,5644,522,340,864,265,562,296,613,679,1117,5244
107,231,21,69,6,44,18,15,188,10,606,247,298,829,0,115,0,1169,56,33,2749,1359,1057,2527,92,702,379,1479,763,128,8480,209,168,393,3,184,33,315,140,33,1485,1684,471,7626,17,1203,179,1015,2057,144,14399,573,320,277,7,348,393,366,121,24,2431,1960,448,748,113,566,7185,429,1242,65,12748,1568,122,1100,2750,333,1317,517,2209,59,9969,586,340,529,169,1060,185,2730,698,66,6374,257,713,206,12,144,94,9,21,15,1457,697,1544,59,18,2146,144,7,11,68,4694,236,168,60,34,355,836,49,59,22,1824,1034,4754,1070,22,1498,108,75,116,59,8741,397,508,379,278,579,56,135,2022,43,4402,1274,2204,737,2465,2562,54,245,626,214,10394,1253,9226,341,2366,1568,33,43,209,72,15107,1438,9246,710,8732,3247,104,162,747,153,24553,371,463,174,509,157,79,13,136,23,1934,413,491,2428,885,529,73,89,375,35,5318,575,630,747,285,613,272,433,514,989,5063
108,2049,69,176,12,135,37,129,909,36,3550,41,42,144,3,21,4,276,37,8,582,500,150,1178,56,345,300,498,760,30,3811,247,358,305,4,313,23,194,91,15,1556,1013,159,4236,12,725,75,878,1382,98,8576,251,74,198,12,167,305,196,122,18,1332,1393,257,678,97,407,5344,265,942,39,9420,1336,47,1011,2098,382,877,133,1733,45,7664,280,84,135,46,592,104,1577,93,23,2933,84,166,94,6,80,88,3,15,7,534,170,394,26,12,604,38,4,6,28,1283,116,76,23,15,241,639,16,50,20,1186,287,1535,445,20,832,48,9,38,31,3244,172,240,293,260,247,49,79,1724,29,3093,433,877,361,1089,1067,26,226,334,100,4510,586,4532,152,1789,774,13,16,173,30,8067,768,5795,521,6782,2033,84,100,809,87,16970,141,211,117,252,86,39,9,117,10,976,192,226,1647,568,299,44,39,255,25,3299,305,264,426,250,306,205,248,410,956,3371
109,3322,128,344,12,287,59,322,1134,49,5655,20,14,61,0,4,0,88,12,9,208,676,300,1085,55,357,210,571,1067,77,4395,73,56,158,0,91,13,111,47,9,566,655,114,2664,10,477,73,465,685,55,5198,209,122,129,0,196,331,155,101,9,1257,732,154,350,48,240,2874,266,470,30,5159,833,24,529,1083,170,410,93,829,27,4013,262,65,120,39,464,71,1271,105,25,2430,50,119,45,0,38,52,3,17,0,325,90,233,5,4,379,16,3,4,14,748,58,48,20,10,107,261,10,35,9,553,180,954,230,4,490,30,6,31,5,1944,98,134,145,103,132,14,41,805,14,1488,407,609,259,679,988,10,223,217,72,3468,386,2805,104,1037,477,9,9,131,17,4972,423,2927,235,3238,1024,28,45,375,72,8359,90,85,70,133,54,23,9,96,9,563,167,114,998,303,173,35,21,155,10,1968,225,135,315,119,227,124,267,344,542,2293
110,6007,298,493,20,568,110,685,2178,137,10497,130,157,422,0,77,0,1122,67,16,1982,493,183,1036,34,311,225,388,1881,52,4611,95,52,280,3,104,19,160,81,3,804,732,95,2673,0,472,47,698,928,57,5702,291,159,183,0,247,444,184,105,21,1632,1007,172,525,88,361,3983,225,779,23,7169,866,16,563,1334,190,629,128,1238,30,4994,326,80,140,22,593,111,1681,138,30,3130,56,155,86,14,71,67,3,18,4,477,164,304,13,9,575,29,0,6,17,1119,85,60,43,8,155,418,18,44,10,842,222,1454,388,14,755,41,18,55,17,2963,144,252,202,168,219,28,189,1201,18,2418,551,871,380,924,1006,28,452,450,83,4742,717,4727,246,1765,932,16,19,271,36,8731,517,3900,416,4467,1362,51,51,538,94,11402,104,121,79,155,65,18,3,131,10,690,210,200,1550,403,326,89,42,255,14,3099,347,184,443,159,274,243,310,431,738,3133
