SA4_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
101,71,44,970,280,66,767,133,998,66,3395,232,274,1592,412,200,431,345,797,68,4344,1282,1505,3318,816,473,527,1035,1457,241,10654,2271,1763,2550,806,598,427,1016,1148,247,10830,2860,1884,2402,887,706,495,1337,1240,258,12070,2496,1521,1988,758,641,510,1471,1344,248,10978,1218,649,496,197,222,200,453,405,84,3930,393,98,60,21,22,37,43,65,36,765,59,14,0,0,0,0,0,0,8,84,10882,7747,13366,4176,2929,3402,5839,7456,1261,57054,49,65,195,937,241,1259,34,415,69,3261,200,482,311,1169,697,583,60,343,80,3931,1114,2834,621,1853,2024,875,92,621,221,10258,1798,3082,454,1658,2334,721,90,639,198,10979,2142,2950,557,1852,2981,891,126,721,215,12430,1520,2295,361,1618,2433,864,141,875,154,10267,621,600,89,319,648,245,42,209,69,2837,160,41,9,15,51,19,7,33,25,361,21,4,0,0,7,0,0,0,9,42,7629,12355,2607,9418,11418,5446,589,3866,1054,54365
102,78,73,1202,315,84,1009,379,1639,86,4860,273,476,2281,683,270,716,577,1279,138,6685,1446,2528,4493,1136,721,870,1261,1778,301,14537,2974,3234,3950,1083,888,741,1430,1495,330,16122,3218,2957,3470,1139,1004,818,1832,1714,323,16478,2340,2175,2667,875,886,670,1813,1594,214,13225,652,830,611,206,251,233,449,395,70,3702,131,122,51,13,35,37,48,41,38,507,12,6,4,0,3,4,0,0,14,52,11128,12406,18726,5451,4144,5097,7779,9932,1516,76165,99,108,180,1187,204,2256,143,715,67,4961,312,902,403,2083,882,1238,152,456,85,6507,1341,4312,789,2781,2626,1191,201,631,197,14060,2041,4896,725,2455,3396,1197,190,722,220,15840,2091,4310,649,2866,3975,1366,265,1028,241,16786,1248,3000,481,2337,3541,1186,238,982,142,13154,288,740,93,429,885,306,43,182,59,3024,37,66,13,18,89,36,0,17,29,310,4,0,0,0,0,4,0,0,13,21,7462,18336,3329,14156,15598,8770,1235,4732,1051,74670
103,74,27,893,207,46,629,175,1017,72,3139,235,230,1491,382,114,365,458,791,78,4140,1127,1245,2987,641,301,498,1438,1217,168,9625,1750,1327,2239,538,353,365,1521,1003,187,9277,2108,1199,2007,594,423,358,1778,1085,198,9745,2073,991,1623,436,459,321,1662,1165,145,8876,1251,451,437,117,151,141,519,383,71,3511,451,73,54,10,19,31,69,68,40,810,65,6,5,0,5,5,0,11,14,98,9131,5554,11726,2925,1874,2714,7616,6732,957,49224,37,91,128,925,186,1129,29,438,52,3017,142,559,269,1291,528,560,83,327,53,3814,817,2751,516,1881,1509,814,177,624,123,9206,1114,2579,455,1609,1834,683,141,614,149,9174,1370,2388,462,1671,2261,708,162,824,138,9988,1054,1781,346,1331,1983,643,129,909,85,8254,554,484,79,287,533,178,29,193,60,2399,176,38,9,20,65,12,0,27,32,380,24,0,5,0,0,0,0,4,17,53,5287,10672,2261,9015,8909,4727,754,3965,709,46295
104,47,17,477,140,24,423,112,686,24,1941,115,88,784,215,79,235,162,494,45,2207,533,738,1541,468,210,282,485,896,111,5266,958,981,1249,511,247,301,523,754,121,5644,1147,1029,1240,528,328,322,681,840,126,6233,1005,824,1073,452,279,338,796,884,97,5744,475,360,270,97,90,120,255,247,34,1949,131,41,19,4,12,14,24,17,19,289,15,0,0,0,0,5,0,3,6,35,4423,4079,6648,2412,1273,2038,3031,4826,583,29300,26,22,94,521,101,914,20,256,39,1997,88,227,114,714,290,411,30,184,43,2096,402,1447,273,1191,816,489,41,462,77,5199,644,1725,278,1157,1151,440,40,454,94,5973,856,1734,300,1267,1475,548,60,537,107,6882,622,1434,211,1181,1391,558,57,538,65,6066,219,390,37,207,384,135,6,126,33,1544,38,13,3,11,23,3,0,9,11,129,4,0,0,0,4,0,0,0,7,16,2897,6999,1312,6251,5631,3513,256,2569,471,29891
105,33,10,422,95,18,293,97,485,40,1488,128,108,674,194,57,139,210,404,54,1970,697,599,1462,588,223,306,711,824,117,5529,859,585,1039,408,199,215,633,550,103,4577,1123,480,879,370,195,201,723,540,90,4606,1209,451,801,279,226,206,830,574,108,4690,675,179,235,67,74,94,308,226,44,1909,237,25,22,5,18,16,27,36,23,411,39,6,0,0,0,5,3,3,12,61,4994,2442,5531,2016,1015,1469,3545,3635,584,25236,14,27,64,421,72,607,17,191,27,1438,87,348,135,580,265,251,45,156,27,1878,393,1721,256,1218,852,428,94,407,86,5457,597,1270,210,926,856,329,60,322,81,4659,717,1122,175,870,1025,317,65,389,85,4757,722,880,142,809,1006,366,60,440,72,4500,307,241,52,191,293,92,21,107,28,1333,106,14,0,6,37,10,5,23,18,226,16,0,0,0,4,0,0,0,0,24,2953,5619,1032,5028,4414,2398,357,2035,426,24269
106,87,39,1188,420,58,825,299,1440,86,4453,238,295,2354,670,168,522,649,1128,108,6136,1172,1452,5075,985,467,635,2266,1947,306,14307,1973,1584,4003,769,581,437,2897,1357,308,13902,2162,1566,3428,727,590,484,3115,1385,310,13771,1841,1284,2605,535,536,448,2508,1351,216,11311,741,521,461,152,144,155,603,343,72,3187,204,87,41,18,29,29,56,54,26,543,31,0,5,0,0,4,0,8,9,62,8446,6829,19154,4274,2577,3539,12395,9015,1440,67667,69,98,262,1139,232,1944,76,714,73,4601,266,604,429,1852,834,1015,139,525,85,5755,1122,3109,945,2752,2494,1304,468,1060,192,13438,1420,3175,738,2440,2738,1165,448,1079,185,13383,1531,2600,648,2534,3150,1211,424,1294,192,13590,968,1897,393,1825,2423,1006,227,1046,127,9910,296,457,71,314,595,175,51,214,46,2220,62,31,11,16,61,17,7,14,22,239,16,0,0,0,0,0,0,5,11,29,5751,11958,3492,12879,12538,7837,1835,5949,922,63158
107,61,71,1336,348,93,728,263,1225,52,4187,278,816,2492,912,393,783,564,1070,128,7436,1492,3563,4595,1310,788,801,1532,1530,278,15888,2562,3486,3507,1103,760,601,1917,1282,293,15518,2779,2925,3182,994,879,590,2022,1415,288,15077,1886,2146,2488,703,724,466,1778,1294,203,11699,452,705,446,138,202,153,357,308,51,2807,70,106,32,8,11,14,30,31,19,333,12,4,6,0,0,3,3,0,4,32,9603,13815,18083,5513,3855,4137,8474,8170,1324,72975,61,136,200,1200,307,1879,81,627,64,4564,344,1289,412,2404,1128,1240,124,426,112,7481,1415,5617,739,2763,2597,1052,181,512,200,15074,1918,5039,592,2258,3161,1010,125,604,191,14901,1754,4030,556,2481,3687,1137,169,872,194,14889,1026,2641,355,1838,2619,903,127,910,121,10543,209,595,62,293,563,175,28,168,37,2139,30,36,7,16,37,11,3,19,16,169,0,3,0,0,0,4,0,0,0,11,6751,19388,2923,13264,14100,7420,842,4145,934,69763
108,64,16,762,256,31,669,135,964,69,2961,152,133,1153,375,97,338,259,616,70,3190,659,918,2059,662,251,405,606,1104,123,6788,1197,1234,1916,662,296,393,711,1003,153,7558,1554,1380,2027,813,405,492,1093,1172,190,9126,1509,1195,1770,735,421,474,1314,1319,163,8904,790,544,472,168,143,188,379,375,74,3139,243,74,36,5,30,25,47,45,53,559,30,9,5,0,4,0,0,3,14,65,6209,5510,10205,3682,1676,2983,4542,6593,902,42298,35,55,109,897,156,1338,28,425,53,3105,137,394,150,1131,409,538,21,240,51,3076,518,2077,406,1629,1063,672,44,428,108,6940,881,2341,400,1629,1492,714,44,495,139,8138,1137,2415,429,2141,2115,898,89,764,128,10109,1004,2140,348,1890,2134,948,107,853,129,9557,333,573,96,347,559,234,16,198,55,2412,103,38,10,20,59,16,0,23,48,317,9,0,0,0,6,0,0,5,12,28,4149,10043,1950,9687,7980,5359,352,3423,726,43672
109,54,17,546,123,29,397,66,499,48,1785,168,158,904,214,66,168,204,430,42,2351,785,677,1662,340,189,247,636,754,103,5396,1177,747,1211,305,207,222,617,663,106,5251,1393,707,1047,325,262,257,758,705,111,5564,1363,596,922,210,277,246,981,733,109,5426,664,248,286,73,98,133,346,274,54,2179,184,42,24,7,16,18,35,49,24,400,31,4,0,0,0,4,0,5,9,50,5811,3190,6602,1598,1148,1687,3653,4112,618,28415,34,22,74,495,103,750,17,312,30,1831,95,264,134,742,296,354,33,237,44,2196,413,1543,308,1092,769,442,60,388,64,5074,697,1560,247,869,1029,353,59,378,72,5266,815,1254,264,968,1347,463,82,499,87,5776,696,1019,200,890,1258,446,60,585,81,5235,303,269,47,212,392,126,24,126,32,1531,89,8,4,13,46,13,0,24,21,209,8,0,0,0,0,0,0,0,6,13,3143,5938,1272,5273,5237,2951,338,2545,437,27137
110,92,22,691,172,51,574,158,807,63,2619,208,192,1057,270,102,322,357,837,70,3418,1054,951,2050,507,246,386,1093,1583,147,8021,1483,994,1662,422,278,337,1071,1126,131,7493,1931,1019,1299,465,334,358,1172,1078,134,7796,1906,830,1223,374,346,352,1340,1086,142,7592,1213,399,374,97,121,118,446,361,71,3203,441,57,51,0,15,22,69,61,32,754,72,4,3,0,0,4,5,3,18,109,8401,4460,8412,2316,1507,2468,5706,6939,807,41007,41,73,129,694,159,1043,45,399,50,2634,141,474,193,904,440,472,83,358,39,3095,550,2256,436,1538,1234,669,162,734,112,7696,888,2199,351,1284,1429,535,106,692,86,7562,1165,1920,310,1415,1707,658,115,694,110,8094,1080,1581,275,1175,1624,565,111,751,108,7277,622,452,67,262,507,163,36,204,51,2358,159,36,4,24,65,13,9,29,42,387,12,0,0,0,8,0,0,3,11,35,4662,8997,1769,7288,7171,4120,668,3864,597,39133
