SA4_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
101,324,479,484,416,1523,2717,1072,3741,132,10882,232,571,437,450,1796,2290,599,1299,69,7747,426,845,698,679,2862,4307,1061,2267,217,13366,286,676,468,342,848,759,300,420,64,4176,139,240,210,147,952,725,215,288,26,2929,135,878,437,230,607,556,172,340,56,3402,289,418,421,289,1043,1275,502,1473,137,5839,354,1512,869,514,1451,1480,389,712,168,7456,72,109,81,60,208,234,47,151,312,1261,2255,5734,4112,3118,11286,14344,4354,10683,1171,57054,442,575,693,586,1399,1738,610,1514,60,7629,822,1325,1716,1264,2653,2506,735,1270,76,12355,157,443,444,286,570,415,105,158,23,2607,625,2264,1947,1264,1628,920,217,398,150,9418,588,1610,1768,1220,3377,1854,400,493,111,11418,308,1856,1091,482,910,445,109,166,86,5446,34,101,121,52,108,76,34,60,7,589,213,1486,722,306,454,318,104,166,88,3866,82,116,98,52,203,143,36,52,272,1054,3276,9777,8608,5512,11296,8408,2351,4256,884,54365
102,567,721,547,409,1917,3080,986,2799,95,11128,463,993,766,667,2764,3728,898,2047,80,12406,1976,1864,1316,929,4048,5355,1069,1871,303,18726,974,717,564,454,1032,735,491,404,77,5451,216,338,277,177,1305,1020,281,503,28,4144,571,1295,606,309,900,803,191,364,55,5097,587,907,581,436,1822,1653,499,1164,125,7779,1233,2304,1066,647,1758,1635,379,718,201,9932,156,130,88,45,261,273,49,149,376,1516,6753,9279,5818,4068,15801,18279,4835,10015,1331,76165,852,773,677,514,1518,1517,446,1098,66,7462,1293,2469,2765,1990,3493,3644,869,1673,141,18336,878,521,467,268,575,385,79,98,51,3329,2467,3166,2692,1708,2190,1049,302,369,213,14156,1191,2778,2720,1570,4053,2260,432,459,135,15598,1775,2759,1499,688,1114,546,124,183,82,8770,123,310,219,111,249,117,33,64,19,1235,764,1636,805,374,593,285,71,125,79,4732,135,131,100,58,158,106,24,49,291,1051,9475,14547,11936,7277,13951,9920,2375,4117,1065,74670
103,204,337,388,343,1007,1861,870,4011,114,9131,152,349,316,235,1253,1399,549,1249,39,5554,389,549,487,428,2461,3265,1197,2773,183,11726,175,423,336,248,739,433,208,317,49,2925,49,161,118,90,575,447,139,266,19,1874,89,639,331,149,477,465,179,348,41,2714,369,436,424,235,1237,1773,678,2298,160,7616,347,1256,685,441,1307,1314,436,786,159,6732,47,70,51,27,130,153,49,165,272,957,1819,4223,3141,2194,9180,11118,4306,12214,1030,49224,222,451,570,415,940,1148,367,1114,68,5287,681,1223,1497,1019,2081,2197,709,1206,60,10672,125,381,385,233,448,371,92,187,31,2261,543,2023,1783,1362,1670,859,259,386,122,9015,383,1306,1591,1004,2538,1339,277,392,74,8909,275,1644,920,443,779,373,99,128,62,4727,38,120,112,42,135,98,50,141,9,754,319,1416,726,318,424,379,91,207,83,3965,49,98,60,37,101,94,13,36,219,709,2643,8660,7652,4876,9124,6866,1953,3788,729,46295
104,130,245,253,242,715,1023,389,1365,59,4423,167,374,326,293,973,974,312,635,27,4079,234,483,444,423,1808,1830,456,848,113,6648,160,436,368,295,512,288,116,209,38,2412,47,119,111,80,390,280,93,139,18,1273,81,507,269,157,401,317,101,177,26,2038,147,292,283,206,588,568,232,658,51,3031,252,1148,656,422,847,781,192,404,124,4826,37,48,28,32,103,82,21,67,171,583,1245,3653,2728,2147,6329,6147,1920,4498,635,29300,130,256,291,255,647,618,185,484,39,2897,412,894,1101,879,1312,1268,375,696,54,6999,58,244,232,162,308,168,45,73,22,1312,362,1506,1423,982,992,477,134,241,131,6251,228,970,1076,675,1530,765,142,206,44,5631,172,1327,738,352,533,206,51,81,55,3513,19,78,42,22,24,31,12,19,4,256,161,1016,520,249,282,179,23,78,60,2569,41,62,42,32,69,34,4,32,154,471,1586,6352,5473,3607,5702,3741,965,1901,560,29891
105,111,158,140,125,510,915,415,2541,85,4994,59,106,125,89,638,634,226,545,24,2442,174,243,220,182,1235,1606,482,1294,98,5531,126,217,172,193,562,381,148,181,42,2016,42,81,67,35,348,204,68,156,12,1015,51,303,152,81,309,289,91,170,17,1469,165,233,178,131,511,708,261,1272,81,3545,132,631,327,238,634,786,202,593,94,3635,32,36,25,24,81,84,21,94,198,584,884,2007,1398,1103,4826,5606,1922,6848,645,25236,103,199,213,184,574,585,211,846,39,2953,383,520,626,457,1199,1372,365,647,38,5619,45,163,160,119,250,154,38,90,16,1032,271,914,902,786,1104,557,135,253,102,5028,198,560,639,482,1393,718,149,222,48,4414,119,801,481,231,422,207,46,56,47,2398,21,57,47,26,41,52,20,90,4,357,115,659,332,155,231,261,54,174,59,2035,35,46,28,10,81,48,4,33,150,426,1280,3920,3427,2450,5291,3947,1016,2425,507,24269
106,256,400,382,309,1215,2065,824,2873,104,8446,225,531,366,356,1483,1848,619,1345,61,6829,855,813,858,689,4412,5786,1885,3569,292,19154,375,717,444,346,797,840,298,409,53,4274,103,209,146,124,710,666,230,366,24,2577,225,928,453,220,654,522,187,309,43,3539,664,710,764,371,2287,2735,1278,3353,239,12395,591,1797,908,639,1803,1753,462,867,192,9015,93,97,68,51,229,262,90,195,359,1440,3385,6205,4385,3114,13587,16474,5865,13286,1372,67667,376,475,552,438,1244,1231,400,995,43,5751,832,1462,1775,1275,2333,2287,697,1221,78,11958,304,680,579,358,673,502,127,213,55,3492,1216,3139,2654,1814,2109,1083,271,397,199,12879,684,1895,2126,1380,3384,2062,419,494,93,12538,724,2720,1623,700,1148,534,152,141,96,7837,159,236,250,128,317,250,103,363,24,1835,641,2044,1015,526,787,479,143,212,90,5949,73,115,82,56,151,80,30,55,291,922,5022,12772,10666,6668,12145,8503,2332,4085,962,63158
107,482,611,441,311,1692,2473,977,2542,69,9603,507,1072,817,752,3349,3992,1048,2205,69,13815,1686,1358,1035,761,4124,5653,1236,1978,257,18083,1026,872,569,357,1005,772,478,365,71,5513,230,347,262,147,1261,846,293,435,36,3855,461,1141,478,218,746,594,160,283,52,4137,630,859,581,341,1848,1810,854,1404,156,8474,1069,1956,925,565,1332,1313,333,528,147,8170,124,95,73,49,234,261,71,129,283,1324,6222,8316,5175,3489,15587,17725,5454,9864,1134,72975,746,719,625,489,1403,1350,440,932,43,6751,1420,2673,2948,1915,3911,3756,935,1716,112,19388,676,485,430,245,502,354,80,114,31,2923,2352,3157,2408,1463,1924,1129,297,360,173,13264,1048,2314,2631,1447,3860,1963,333,420,83,14100,1477,2410,1287,597,940,425,94,98,85,7420,95,197,120,47,143,98,67,64,12,842,677,1527,808,283,394,224,45,114,67,4145,121,96,93,41,164,95,25,46,246,934,8623,13583,11346,6536,13244,9403,2311,3866,844,69763
108,192,359,383,320,916,1502,525,1910,92,6209,209,510,409,393,1221,1418,385,918,48,5510,391,755,656,643,2604,3013,686,1277,190,10205,253,686,595,489,734,456,181,245,52,3682,62,197,133,124,455,385,103,201,20,1676,122,803,328,220,593,450,149,266,47,2983,239,417,378,276,931,884,333,976,110,4542,326,1541,834,620,1280,1060,268,484,174,6593,66,83,46,45,119,119,33,77,321,902,1859,5353,3753,3127,8852,9295,2653,6357,1050,42298,195,380,429,360,839,835,278,787,52,4149,614,1289,1473,1270,2001,1874,504,921,96,10043,111,412,362,272,403,238,41,89,23,1950,619,2359,2213,1467,1522,793,210,337,163,9687,357,1396,1461,1010,2088,1098,206,282,76,7980,343,1959,1086,558,771,333,96,116,82,5359,20,79,58,34,64,44,9,33,7,352,252,1436,658,306,361,187,50,98,73,3423,59,114,68,39,104,51,12,27,253,726,2581,9418,7812,5307,8157,5452,1416,2690,837,43672
109,136,206,192,177,642,1233,549,2603,70,5811,84,206,207,160,778,831,285,614,32,3190,178,332,271,256,1440,2223,611,1183,98,6602,118,265,209,163,315,264,107,141,24,1598,57,103,101,68,297,290,82,141,8,1148,45,446,154,98,282,307,95,220,35,1687,156,269,279,170,672,843,284,896,87,3653,186,697,379,237,768,990,278,489,85,4112,31,52,33,19,105,112,23,74,166,618,991,2584,1825,1350,5304,7101,2310,6362,589,28415,122,284,328,261,553,609,221,736,30,3143,379,706,931,778,1156,1025,367,572,38,5938,75,210,221,140,294,199,42,83,17,1272,370,1247,1166,786,864,473,128,172,77,5273,241,877,906,653,1403,747,153,208,44,5237,165,1114,565,297,466,195,43,73,31,2951,15,65,57,39,57,50,20,32,5,338,180,897,407,243,310,265,69,115,57,2545,33,70,46,30,57,40,13,17,128,437,1572,5468,4623,3230,5157,3597,1065,2012,430,27137
110,188,328,283,256,930,1668,706,3898,153,8401,126,301,236,208,1072,1091,383,1010,35,4460,256,429,386,332,2069,2341,737,1745,121,8412,138,372,288,285,530,307,141,217,39,2316,53,158,103,74,474,340,95,186,22,1507,87,561,254,148,462,437,153,328,45,2468,221,396,319,242,913,1112,492,1886,127,5706,225,1093,650,437,1425,1649,400,907,148,6939,50,59,30,24,122,128,35,112,244,807,1329,3698,2560,1999,7986,9075,3131,10280,940,41007,167,403,442,336,814,886,323,1201,84,4662,520,986,1138,908,1919,1757,617,1085,71,8997,83,303,285,230,421,230,79,123,21,1769,462,1522,1471,1126,1396,674,191,340,118,7288,328,1057,1192,831,2072,1047,225,337,69,7171,216,1346,802,387,735,333,97,124,70,4120,39,110,95,43,75,96,41,168,4,668,187,1212,587,320,551,554,103,258,91,3864,55,64,46,28,106,57,11,31,192,597,2066,6994,6060,4214,8103,5632,1686,3657,726,39133
