SA4_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
101,14,20,38,250,262,519,9,4,13,5,4,8,63,62,127,38624,33804,72422,2304,2866,5168,1329,53,1382,464,52,518,274,97,369,407,166,573,1925,1928,3858,45671,39316,84989,4,0,4,0,0,0,0,0,0,24,20,44,3,6,3,4,0,7,30,24,55,0,0,0,0,9,9,37,48,82,28,51,71,4,11,18,62,114,179,449,237,685,544,374,919,7,6,12,9,17,22,33,9,38,45,25,79,5935,7388,13322,4421,6910,11337,433,347,779,57054,54365,111423
102,710,420,1126,363,489,849,25,5,24,6,0,9,31,41,75,41863,32545,74408,2367,2556,4924,1164,26,1192,414,36,451,211,59,273,348,226,580,904,1034,1934,48394,37446,85838,231,163,393,5,7,8,0,0,5,287,108,392,39,32,72,42,21,59,603,323,926,3,9,10,0,0,0,21,21,37,30,58,92,12,16,33,71,107,178,448,175,624,1123,602,1722,100,63,163,17,14,28,13,3,23,132,85,211,16727,21701,38433,9425,14522,23942,364,317,684,76165,74670,150834
103,16,11,24,245,136,377,19,3,23,0,0,0,87,110,196,32968,29181,62148,2398,2333,4730,1019,37,1046,279,45,319,192,48,246,330,135,464,1877,1670,3545,39423,33701,73126,5,3,5,4,0,4,0,0,0,8,11,17,0,0,0,0,3,4,17,18,34,0,0,0,0,0,0,28,3,35,9,11,24,0,8,8,40,29,66,383,185,568,442,229,667,0,6,9,0,7,10,26,3,33,30,15,45,5098,6253,11354,3886,5780,9665,343,316,660,49224,46295,95519
104,12,3,10,130,157,282,4,0,7,0,0,0,22,40,67,19543,18880,38422,1415,1566,2985,576,17,593,259,36,293,312,105,416,164,85,249,901,893,1794,23345,21779,45126,0,6,6,0,0,0,0,0,0,8,3,12,0,0,0,6,0,6,15,6,18,0,0,0,0,0,0,9,4,14,9,19,26,4,0,3,23,21,43,219,125,349,254,154,412,4,0,5,3,4,11,9,0,9,21,9,28,2919,3795,6710,2536,3934,6469,228,213,442,29300,29891,59192
105,4,0,4,147,83,233,4,3,8,0,0,7,35,57,93,16802,15553,32347,1302,1513,2822,568,16,576,216,46,264,142,33,174,200,121,314,1156,1108,2266,20575,18531,39113,0,5,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,6,7,0,0,0,0,0,0,18,6,25,3,5,9,0,0,3,18,14,34,203,110,313,229,124,358,5,0,11,0,4,7,32,4,32,39,4,42,2355,2720,5073,1798,2686,4483,232,197,432,25236,24269,49502
106,90,66,156,155,187,340,20,7,33,3,0,3,46,31,71,43951,33882,77834,2325,2398,4717,1193,30,1229,380,34,418,197,54,253,361,236,594,1393,1201,2598,50112,38132,88244,15,22,38,0,0,0,3,7,10,29,14,50,8,4,17,19,5,25,82,60,133,0,0,0,3,5,5,9,10,15,16,27,49,4,0,15,35,47,83,444,195,644,558,301,861,28,24,50,5,0,5,17,6,22,48,29,80,8023,12236,20254,8571,12162,20737,355,300,650,67667,63158,130822
107,569,290,858,387,480,873,16,0,11,4,5,5,70,59,123,41866,30466,72335,1936,2335,4271,915,16,933,406,33,445,423,86,510,319,219,544,1200,1337,2540,48104,35338,83448,64,64,125,0,0,0,3,0,3,157,66,222,26,23,52,25,10,35,282,166,447,0,0,0,0,0,0,37,27,57,32,64,95,19,14,31,85,103,189,359,177,543,725,449,1175,33,30,67,7,16,19,13,6,18,56,53,108,14910,20304,35217,8903,13376,22280,278,235,512,72975,69763,142732
108,19,8,26,137,152,291,8,9,9,3,0,4,41,59,95,28108,27629,55734,1845,2283,4127,1049,29,1081,340,50,393,245,91,333,224,117,343,1379,1299,2678,33403,31725,65128,0,4,4,0,0,0,0,0,0,4,5,10,3,0,3,0,0,0,12,6,15,0,0,0,0,0,0,6,13,19,15,24,37,9,3,8,29,34,69,341,187,521,375,232,604,3,0,5,3,0,6,14,5,16,15,12,29,4480,5569,10049,3636,5787,9421,383,358,742,42298,43672,85976
109,8,5,15,79,80,156,8,0,14,0,0,6,42,41,81,19849,17605,37456,1161,1242,2406,471,12,488,176,35,217,277,87,363,198,66,264,1085,1047,2126,23364,20221,43588,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,3,6,5,0,0,0,0,0,0,9,7,10,6,10,17,6,3,6,16,16,37,193,117,309,210,138,352,0,0,0,0,5,4,27,4,29,29,13,32,2748,3225,5975,1806,3347,5152,252,197,446,28415,27137,55555
110,4,3,5,300,131,429,8,4,15,3,0,0,46,60,104,25369,22732,48102,1906,2067,3972,1050,42,1097,342,57,398,183,49,234,301,161,461,1490,1371,2866,31006,26684,57687,0,0,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,9,10,15,0,0,0,0,0,0,45,14,59,28,17,40,10,0,13,83,28,112,300,138,438,387,179,560,0,4,5,7,8,11,22,0,21,31,7,37,5449,6581,12026,3789,5412,9201,348,278,625,41007,39133,80142
