GCCSA_CODE_2021,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Tot_persons_C16_M,Tot_persons_C16_F,Tot_persons_C16_P,Tot_persons_C21_M,Tot_persons_C21_F,Tot_persons_C21_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_0_4_C21_M,Age_0_4_C21_F,Age_0_4_C21_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_5_14_C16_M,Age_5_14_C16_F,Age_5_14_C16_P,Age_5_14_C21_M,Age_5_14_C21_F,Age_5_14_C21_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_15_19_C21_M,Age_15_19_C21_F,Age_15_19_C21_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_20_24_C21_M,Age_20_24_C21_F,Age_20_24_C21_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_25_34_C16_M,Age_25_34_C16_F,Age_25_34_C16_P,Age_25_34_C21_M,Age_25_34_C21_F,Age_25_34_C21_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_35_44_C16_M,Age_35_44_C16_F,Age_35_44_C16_P,Age_35_44_C21_M,Age_35_44_C21_F,Age_35_44_C21_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_45_54_C16_M,Age_45_54_C16_F,Age_45_54_C16_P,Age_45_54_C21_M,Age_45_54_C21_F,Age_45_54_C21_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_55_64_C16_M,Age_55_64_C16_F,Age_55_64_C16_P,Age_55_64_C21_M,Age_55_64_C21_F,Age_55_64_C21_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_65_74_C16_M,Age_65_74_C16_F,Age_65_74_C16_P,Age_65_74_C21_M,Age_65_74_C21_F,Age_65_74_C21_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_75_84_C16_M,Age_75_84_C16_F,Age_75_84_C16_P,Age_75_84_C21_M,Age_75_84_C21_F,Age_75_84_C21_P,Age_grp_85over_C11_M,Age_grp_85over_C11_F,Age_grp_85over_C11_P,Age_grp_85over_C16_M,Age_grp_85over_C16_F,Age_grp_85over_C16_P,Age_grp_85over_C21_M,Age_grp_85over_C21_F,Age_grp_85over_C21_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,OS_vis_C16_M,OS_vis_C16_F,OS_vis_C16_P,OS_vis_C21_M,OS_vis_C21_F,OS_vis_C21_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Abor_C16_M,IP_Abor_C16_F,IP_Abor_C16_P,IP_Abor_C21_M,IP_Abor_C21_F,IP_Abor_C21_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_Tor_Strt_Is_2016_Ce_M,IP_Tor_Strt_Is_2016_Ce_F,IP_Tor_Strt_Is_2016_Ce_P,IP_Tor_Strt_Is_2021_Ce_M,IP_Tor_Strt_Is_2021_Ce_F,IP_Tor_Strt_Is_2021_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2016_Ce_M,IP_B_Ab_To_St_Is_2016_Ce_F,IP_B_Ab_To_St_Is_2016_Ce_P,IP_B_Ab_To_St_Is_2021_Ce_M,IP_B_Ab_To_St_Is_2021_Ce_F,IP_B_Ab_To_St_Is_2021_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,IP_Tot_2016_Ce_M,IP_Tot_2016_Ce_F,IP_Tot_2016_Ce_P,IP_Tot_2021_Ce_M,IP_Tot_2021_Ce_F,IP_Tot_2021_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Aust_2016_Ce_M,Brthplace_Aust_2016_Ce_F,Brthplace_Aust_2016_Ce_P,Brthplace_Aust_2021_Ce_M,Brthplace_Aust_2021_Ce_F,Brthplace_Aust_2021_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,Brthplace_Elsewhere_2016_Ce_M,Brthplace_Elsewhere_2016_Ce_F,Brthplace_Elsewhere_2016_Ce_P,Brthplace_Elsewhere_2021_Ce_M,Brthplace_Elsewhere_2021_Ce_F,Brthplace_Elsewhere_2021_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Eng_only_2016_Ce_M,LSH_Eng_only_2016_Ce_F,LSH_Eng_only_2016_Ce_P,LSH_Eng_only_2021_Ce_M,LSH_Eng_only_2021_Ce_F,LSH_Eng_only_2021_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,LSH_Oth_Lan_2016_Ce_M,LSH_Oth_Lan_2016_Ce_F,LSH_Oth_Lan_2016_Ce_P,LSH_Oth_Lan_2021_Ce_M,LSH_Oth_Lan_2021_Ce_F,LSH_Oth_Lan_2021_Ce_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P,Aust_citiz_C16_M,Aust_citiz_C16_F,Aust_citiz_C16_P,Aust_citiz_C21_M,Aust_citiz_C21_F,Aust_citiz_C21_P
1GSYD,2162218,2229456,4391673,2376771,2447226,4823993,2585238,2645912,5231147,153488,145412,298896,159029,151144,310170,160794,151568,312364,280169,264143,544314,303429,286700,590123,334457,316384,650843,141924,133859,275789,147981,140387,288366,152229,142533,294764,154381,152882,307256,172284,168452,340739,176492,166569,343064,333807,343088,676892,381703,392698,774405,401126,410190,811314,319329,334160,653487,344461,351577,696039,385497,392253,777748,292342,302638,594979,307386,320194,627576,326780,340388,667167,233045,242561,475612,253623,270391,524013,282673,296496,579166,144795,153344,298137,179415,193073,372482,208867,230601,439467,81667,103572,185239,92308,111739,204052,115498,134013,249517,27274,53796,81070,35148,60871,96019,40821,64908,105729,23303,27273,50576,36365,45486,81847,6506,6974,13479,25445,26304,51753,33164,33817,66985,43085,44049,87140,1010,948,1955,966,967,1928,1013,965,1979,499,540,1037,587,632,1225,877,943,1821,26958,27786,54748,34719,35417,70137,44979,45959,90939,1297774,1334812,2632586,1365474,1386695,2752168,1482743,1488045,2970785,732623,770958,1503579,862753,910740,1773493,981239,1039847,2021079,1349231,1383219,2732451,1400437,1416380,2816814,1499054,1496187,2995240,688793,736741,1425533,834127,893445,1727575,945213,1012194,1957409,1777231,1847760,3624996,1886233,1948793,3835029,2085655,2141033,4226691
1RNSW,1239009,1273940,2512950,1301714,1341814,2643535,1392556,1437081,2829637,81545,77731,159279,79634,74979,154618,79655,75571,155229,168733,160096,328823,169458,161192,330645,180036,170267,350305,85917,80959,166874,81831,77692,159532,83664,78934,162601,71873,69241,141112,75450,72107,147559,77907,74384,152295,128998,132944,261943,143234,147151,290384,161894,166628,328523,153091,162934,316023,148518,156406,304920,157579,165984,323565,173638,179934,353565,169892,178660,348555,169368,178733,348104,166114,166863,332977,178424,185533,363962,185056,195902,380961,119659,122889,242554,150286,152945,303232,171497,176704,348204,68876,82377,151249,78419,90316,168736,95647,106086,201734,20559,37979,58542,26566,44830,71398,30234,47884,78115,5511,5829,11339,6195,7535,13727,2229,1742,3971,55084,56919,112000,69158,70318,139471,88863,89886,178748,1411,1373,2779,1503,1379,2883,1626,1500,3127,1114,1068,2178,1441,1393,2832,2000,1990,3995,57602,59357,116962,72105,73084,145189,92491,93386,185873,1037506,1069026,2106538,1055657,1084118,2139775,1134051,1166840,2300890,132552,139154,271708,143256,152550,295808,165367,178586,343955,1115893,1156301,2272190,1131376,1170958,2302331,1205367,1250953,2456315,61338,65728,127069,73165,79366,152530,89750,97775,187528,1118651,1161897,2280549,1150093,1193469,2343567,1236274,1286495,2522771
19499,7588,5327,12915,7353,4938,12288,6375,4997,11371,308,248,552,187,149,339,258,203,460,333,296,625,199,197,401,382,412,798,388,372,760,283,231,516,253,279,532,701,608,1314,746,614,1359,411,418,829,1498,1157,2655,1615,1087,2703,1164,1022,2187,1372,727,2102,1265,627,1898,1108,749,1859,1221,676,1894,1151,647,1801,1010,666,1678,959,715,1676,991,731,1721,949,698,1648,622,346,971,722,477,1195,648,404,1055,144,94,240,162,123,283,166,104,277,51,72,124,33,42,74,19,32,49,0,0,0,0,0,0,0,0,0,480,372,854,501,291,789,670,510,1175,22,9,30,19,10,24,11,7,20,19,6,30,16,4,29,24,11,35,519,392,913,539,298,839,712,527,1236,4868,3416,8282,4306,2725,7029,3314,2601,5912,1729,1387,3116,1666,1345,3008,971,936,1908,4850,3771,8616,4174,3039,7209,3530,2889,6417,891,823,1714,993,825,1817,576,579,1150,4841,3784,8627,4196,3006,7209,3621,2947,6569
19799,58,57,115,174,240,419,0,0,0,0,0,0,11,5,13,0,0,0,3,0,4,11,12,24,0,0,0,0,0,0,3,11,13,0,0,0,3,0,3,5,3,9,0,0,0,0,0,0,12,23,29,0,0,0,8,6,11,13,16,31,0,0,0,10,0,11,25,25,53,0,0,0,9,15,25,25,48,74,0,0,0,13,18,27,46,61,110,0,0,0,11,12,25,19,22,43,0,0,0,0,0,0,4,3,11,0,0,0,72,98,166,149,184,333,0,3,3,3,0,3,4,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,8,12,0,0,0,29,34,59,96,133,234,0,0,0,25,23,45,57,87,146,0,0,0,39,42,86,120,152,277,0,0,0,12,10,22,38,57,92,0,0,0,49,54,105,136,186,320,0,0,0
2GMEL,1966501,2033478,3999980,2199598,2285613,4485210,2420718,2497033,4917750,133257,126372,259633,147382,139797,287178,149255,141400,290649,246262,233292,479549,273050,259470,532523,308606,292330,600934,129461,123634,253090,136741,132274,269019,140865,133838,274698,152168,147680,299850,168358,165008,333362,168453,160090,328543,307363,310599,617961,359286,371055,730347,390596,398093,788689,293068,308174,601244,314992,324092,639085,363898,371203,735102,261890,273445,535331,285776,301540,587314,306343,322760,629107,207693,221147,428836,229601,247296,476899,256625,273358,529975,132293,143294,275586,163109,181169,344288,190191,214827,405027,77703,97960,175663,88095,107963,196055,107396,127601,234998,25341,47893,73237,33200,55949,89150,38491,61530,100021,17667,20790,38459,27940,37437,65375,5352,5840,11189,8048,8220,16271,11060,11247,22304,15603,15303,30908,636,619,1258,585,562,1147,609,518,1128,257,246,497,281,326,607,460,456,915,8943,9082,18022,11932,12134,24064,16672,16281,32952,1242310,1288476,2530783,1322366,1361717,2684083,1460481,1486667,2947151,616373,643584,1259956,738911,781342,1520248,851357,904272,1755627,1303633,1348963,2652592,1371115,1410066,2781183,1488434,1514580,3003007,565481,597407,1162882,702069,748869,1450936,812250,866235,1678483,1624769,1696608,3321375,1749177,1819645,3568818,1960768,2026896,3987668
2RVIC,661409,684310,1345712,704122,729690,1433818,775038,801575,1576613,43610,41048,84656,43002,40667,83664,43195,41636,84837,89123,84798,173920,90757,86054,176808,99014,92883,191896,47311,44439,91754,44927,42041,86964,45414,42621,88042,37980,36236,74215,40922,38609,79530,41733,39392,81124,68618,72299,140910,76819,80173,156997,91461,93516,184984,83114,88837,171950,80174,85362,165539,87790,94090,181883,92676,97448,190128,92961,99157,192118,95064,101314,196379,90123,91529,181648,97493,102237,199728,103961,111524,215485,62366,63878,126244,81434,83398,164831,98445,101472,199919,35593,42982,78580,41285,47548,88831,52439,57215,109653,10900,20803,31705,14351,24446,38802,16515,25907,42424,2685,2941,5622,3498,4213,7714,935,799,1736,8920,9485,18405,10796,11238,22035,15054,15460,30516,449,449,899,438,417,854,498,451,943,194,188,380,294,258,553,385,386,779,9558,10125,19683,11533,11914,23444,15946,16293,32234,556848,578095,1134942,568772,588247,1157019,627308,649939,1277245,70298,72822,143121,77151,80836,157987,94924,99885,194810,595888,621133,1217024,607853,633557,1241404,667054,695240,1362298,34696,36434,71135,41969,44527,86494,54708,57609,112318,597941,624989,1222932,618927,646014,1264937,683698,713752,1397449
29499,4674,3631,8310,4329,3241,7572,5170,3915,9089,230,213,449,214,163,374,222,189,414,309,280,592,176,192,372,370,361,730,235,258,495,177,175,357,234,229,459,535,503,1037,448,451,899,345,321,671,1095,906,1994,1052,796,1845,939,878,1819,893,520,1418,816,481,1290,1008,730,1736,630,379,1009,631,347,975,912,479,1393,402,345,747,458,352,814,644,429,1074,252,147,399,284,199,479,392,224,613,74,41,111,74,43,123,90,58,152,22,30,52,10,29,42,15,19,29,0,0,0,0,0,0,0,0,0,166,108,274,145,100,249,241,206,448,3,6,6,14,8,20,4,3,9,3,0,5,7,6,11,0,0,4,172,112,285,164,115,278,246,214,462,2949,2250,5198,2584,1807,4387,2348,1934,4283,1214,1024,2234,1062,957,2016,743,649,1390,2842,2366,5211,2369,1833,4202,2445,2041,4485,727,689,1414,701,696,1393,490,492,977,2864,2378,5237,2455,1894,4353,2541,2153,4693
29799,34,0,38,26,0,26,36,6,38,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,6,0,6,7,0,7,4,0,4,16,0,16,8,0,11,13,0,13,3,0,3,8,0,8,9,0,9,10,6,14,5,0,5,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,9,70,22,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,19,0,19,7,0,9,10,0,10,0,0,4,3,0,3,34,0,32,20,0,20,9,0,13,0,0,0,3,0,6,5,0,5,29,0,29,20,0,23,5,0,11
3GBRI,1019554,1046442,2065996,1117452,1153351,2270807,1242349,1283890,2526238,74137,70037,144172,75850,72048,147899,77426,73074,150503,138775,131557,270330,152223,144283,296504,171405,162237,333644,72847,70486,143331,74524,72056,146583,80337,76779,157117,78501,78110,156605,85533,85210,170742,87883,86761,174643,152137,154371,306506,169059,174169,343231,183841,190232,374070,149447,156124,305570,155862,162065,317930,176133,184205,360339,133763,139362,273126,145987,153069,299056,160551,168506,329053,109817,113741,223556,118736,126054,244788,132656,141143,273801,66109,68787,134899,86137,92070,178208,102051,112118,214163,33255,42348,75607,39857,47649,87504,53955,62066,116022,10768,21518,32291,13677,24674,38350,16110,26771,42879,10072,11837,21909,12924,17238,30166,3033,2867,5899,18062,18624,36689,23731,24310,48046,33591,34841,68437,1531,1457,2981,1661,1562,3224,1995,1957,3957,1089,1147,2240,1417,1478,2894,2246,2298,4549,20679,21228,41905,26810,27349,54157,37841,39103,76942,714748,738219,1452968,760475,778338,1538814,854070,872591,1726655,250099,258990,509090,287772,304820,592590,330356,356368,686727,835400,860205,1695611,874752,896350,1771100,963635,988890,1952518,131137,142503,273645,173738,191619,365354,211937,235737,447672,844032,879072,1723100,908182,940827,1849011,1037135,1074954,2112082
3RQLD,1121234,1132488,2253725,1197426,1222294,2419723,1290035,1325000,2615036,78827,74397,153219,76003,72217,148225,73003,68446,141447,157448,149609,307059,164012,155227,319239,173452,163840,337289,77294,72745,150043,76455,72829,149287,79911,75915,155824,68464,67606,136066,73187,71790,144978,74553,73598,148151,137177,141566,278742,147502,153659,301159,158891,166061,324954,153621,159940,313565,150306,158385,308694,157012,168330,325336,155516,160448,315968,161565,169400,330961,167212,175891,343100,137920,136893,274816,150386,155304,305688,165201,173823,339019,93797,92407,186200,121321,121130,242447,142094,145075,287170,47315,53288,100602,58620,63303,121918,76828,81697,158531,13852,23600,37450,18075,29054,47130,21880,32328,54209,20293,22812,43101,23972,29420,53395,5363,3611,8979,41946,43651,85601,49348,50871,100220,61121,62825,123942,8477,8563,17042,8808,8943,17757,8795,8944,17743,5209,5333,10547,6716,6825,13542,8693,8797,17488,55638,57556,113186,64873,66650,131518,78608,80571,159179,859827,871246,1731071,893423,904145,1797566,962408,981906,1944312,182132,193863,375997,199956,220133,420090,226177,254491,480666,976012,994215,1970222,1009654,1031064,2040721,1077651,1111035,2188689,70394,78746,149139,88917,102098,191020,107600,125401,232997,952992,976323,1929316,1004465,1029689,2034154,1090166,1130060,2220228
