GCCSA_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
1GSYD,36,36,37,2167,2167,2427,619,719,881,360,450,470,1683,1988,2374,0.9,1,0.9,1447,1750,2077,2.7,2.8,2.7
1RNSW,41,43,43,1560,1590,1733,490,584,722,225,280,330,1215,1449,1852,0.8,0.8,0.8,961,1168,1434,2.4,2.4,2.4
19499,37,39,39,0,0,0,349,405,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,64,58,56,0,0,0,490,540,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,36,36,37,1811,1800,2000,591,673,841,305,351,390,1576,1826,2243,0.9,0.9,0.9,1333,1542,1901,2.6,2.7,2.6
2RVIC,41,43,43,1300,1300,1430,493,576,713,195,240,285,1200,1418,1808,0.8,0.8,0.7,945,1124,1386,2.4,2.4,2.4
29499,32,34,37,0,0,0,352,398,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,48,49,50,0,0,0,1949,9954,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,35,35,36,1950,1861,1863,633,703,842,330,360,380,1615,1821,2175,0.8,0.8,0.8,1388,1562,1849,2.7,2.7,2.6
3RQLD,38,39,41,1733,1707,1655,553,624,746,280,300,345,1327,1511,1868,0.8,0.8,0.8,1107,1271,1507,2.5,2.5,2.5
39499,44,45,43,0,0,0,379,407,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,47,56,39,0,0,0,660,606,1196,0,0,0,0,0,2750,0,0,1,0,0,1749,0,0,1.5
4GADE,39,39,39,1540,1517,1562,554,617,762,250,290,320,1403,1591,1988,0.8,0.8,0.8,1106,1265,1548,2.4,2.5,2.5
4RSAU,42,45,47,1170,1170,1153,477,550,646,160,200,220,1107,1307,1525,0.8,0.7,0.7,881,1027,1190,2.3,2.3,2.3
49499,39,40,39,0,0,0,369,370,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,31,45,48,0,0,0,1125,1749,1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,36,36,37,2000,2000,1907,669,728,859,320,370,350,1781,1955,2259,0.8,0.8,0.8,1459,1643,1865,2.6,2.6,2.6
5RWAU,37,39,40,1625,1700,1560,641,713,810,200,250,265,1494,1730,2013,0.8,0.8,0.8,1253,1415,1597,2.6,2.5,2.5
59499,40,41,40,0,0,0,490,434,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,36,40,40,0,0,1733,10766,2654,2123,0,0,0,0,0,1375,0,0,0.7,0,0,2250,0,0,1.7
6GHOB,39,40,39,1430,1402,1517,556,637,776,240,265,350,1359,1569,1920,0.8,0.8,0.8,1065,1234,1542,2.4,2.4,2.4
6RTAS,41,44,45,1205,1200,1274,459,527,645,185,215,250,1101,1286,1562,0.8,0.8,0.8,876,998,1225,2.4,2.3,2.3
69499,37,38,41,0,0,0,338,385,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,43,41,43,0,0,0,1238,1089,2249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,33,33,34,2167,2200,2100,897,1052,1120,369,430,385,2040,2386,2485,1,1,0.9,1806,2183,2209,2.7,2.7,2.6
7RNTE,29,30,31,1782,1816,1733,477,525,539,96,120,150,1247,1352,1407,1.2,1.2,1.2,1450,1561,1706,3.2,3.2,3.1
79499,45,44,41,0,0,0,493,449,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,34,36,40,0,0,0,1298,700,1478,0,0,0,0,0,0,0,0,0.7,0,0,4150,0,0,2.3
8ACTE,34,35,35,2167,2058,2080,918,1000,1204,381,385,450,2277,2445,2872,0.8,0.8,0.8,1920,2070,2373,2.6,2.5,2.5
89499,31,36,35,0,0,0,498,447,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,32,42,43,1300,1400,1300,817,715,831,140,160,200,1750,1568,1890,1,0.9,0.9,1677,1377,1497,2.9,2.5,2.4
99499,30,42,62,0,0,0,1525,412,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,50,39,0,0,0,0,1750,1833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
