GCCSA_CODE_2021,Age_55_C21_M,Age_55_C21_F,Age_55_C21_P,Age_56_C11_M,Age_56_C11_F,Age_56_C11_P,Age_56_C16_M,Age_56_C16_F,Age_56_C16_P,Age_56_C21_M,Age_56_C21_F,Age_56_C21_P,Age_57_C11_M,Age_57_C11_F,Age_57_C11_P,Age_57_C16_M,Age_57_C16_F,Age_57_C16_P,Age_57_C21_M,Age_57_C21_F,Age_57_C21_P,Age_58_C11_M,Age_58_C11_F,Age_58_C11_P,Age_58_C16_M,Age_58_C16_F,Age_58_C16_P,Age_58_C21_M,Age_58_C21_F,Age_58_C21_P,Age_59_C11_M,Age_59_C11_F,Age_59_C11_P,Age_59_C16_M,Age_59_C16_F,Age_59_C16_P,Age_59_C21_M,Age_59_C21_F,Age_59_C21_P,Age_55_59_C11_M,Age_55_59_C11_F,Age_55_59_C11_P,Age_55_59_C16_M,Age_55_59_C16_F,Age_55_59_C16_P,Age_55_59_C21_M,Age_55_59_C21_F,Age_55_59_C21_P,Age_60_C11_M,Age_60_C11_F,Age_60_C11_P,Age_60_C16_M,Age_60_C16_F,Age_60_C16_P,Age_60_C21_M,Age_60_C21_F,Age_60_C21_P,Age_61_C11_M,Age_61_C11_F,Age_61_C11_P,Age_61_C16_M,Age_61_C16_F,Age_61_C16_P,Age_61_C21_M,Age_61_C21_F,Age_61_C21_P,Age_62_C11_M,Age_62_C11_F,Age_62_C11_P,Age_62_C16_M,Age_62_C16_F,Age_62_C16_P,Age_62_C21_M,Age_62_C21_F,Age_62_C21_P,Age_63_C11_M,Age_63_C11_F,Age_63_C11_P,Age_63_C16_M,Age_63_C16_F,Age_63_C16_P,Age_63_C21_M,Age_63_C21_F,Age_63_C21_P,Age_64_C11_M,Age_64_C11_F,Age_64_C11_P,Age_64_C16_M,Age_64_C16_F,Age_64_C16_P,Age_64_C21_M,Age_64_C21_F,Age_64_C21_P,Age_60_64_C11_M,Age_60_64_C11_F,Age_60_64_C11_P,Age_60_64_C16_M,Age_60_64_C16_F,Age_60_64_C16_P,Age_60_64_C21_M,Age_60_64_C21_F,Age_60_64_C21_P,Age_65_C11_M,Age_65_C11_F,Age_65_C11_P,Age_65_C16_M,Age_65_C16_F,Age_65_C16_P,Age_65_C21_M,Age_65_C21_F,Age_65_C21_P,Age_66_C11_M,Age_66_C11_F,Age_66_C11_P,Age_66_C16_M,Age_66_C16_F,Age_66_C16_P,Age_66_C21_M,Age_66_C21_F,Age_66_C21_P,Age_67_C11_M,Age_67_C11_F,Age_67_C11_P,Age_67_C16_M,Age_67_C16_F,Age_67_C16_P,Age_67_C21_M,Age_67_C21_F,Age_67_C21_P,Age_68_C11_M,Age_68_C11_F,Age_68_C11_P,Age_68_C16_M,Age_68_C16_F,Age_68_C16_P,Age_68_C21_M,Age_68_C21_F,Age_68_C21_P,Age_69_C11_M,Age_69_C11_F,Age_69_C11_P,Age_69_C16_M,Age_69_C16_F,Age_69_C16_P,Age_69_C21_M,Age_69_C21_F,Age_69_C21_P,Age_65_69_C11_M,Age_65_69_C11_F,Age_65_69_C11_P,Age_65_69_C16_M,Age_65_69_C16_F,Age_65_69_C16_P,Age_65_69_C21_M,Age_65_69_C21_F,Age_65_69_C21_P,Age_70_C11_M,Age_70_C11_F,Age_70_C11_P,Age_70_C16_M,Age_70_C16_F,Age_70_C16_P,Age_70_C21_M,Age_70_C21_F,Age_70_C21_P,Age_71_C11_M,Age_71_C11_F,Age_71_C11_P,Age_71_C16_M,Age_71_C16_F,Age_71_C16_P,Age_71_C21_M,Age_71_C21_F,Age_71_C21_P,Age_72_C11_M,Age_72_C11_F,Age_72_C11_P,Age_72_C16_M,Age_72_C16_F,Age_72_C16_P,Age_72_C21_M,Age_72_C21_F,Age_72_C21_P,Age_73_C11_M,Age_73_C11_F,Age_73_C11_P,Age_73_C16_M,Age_73_C16_F,Age_73_C16_P,Age_73_C21_M,Age_73_C21_F,Age_73_C21_P,Age_74_C11_M,Age_74_C11_F,Age_74_C11_P,Age_74_C16_M,Age_74_C16_F,Age_74_C16_P,Age_74_C21_M,Age_74_C21_F
1GSYD,29536,29926,59460,25044,26613,51655,27967,29477,57442,29590,30569,60159,24305,25384,49688,26926,28100,55023,30039,31292,61329,23901,25036,48941,26586,28640,55225,30498,31665,62169,22631,24058,46693,25897,27656,53556,29814,30555,60369,121854,128291,250145,136867,144689,281554,149478,154011,303485,22522,23580,46102,25117,26790,51901,28793,30440,59234,22547,23296,45845,24063,25835,49898,27251,29129,56384,21639,22314,43949,23203,25138,48343,26369,27773,54138,21994,22235,44227,22846,24534,47376,25925,28104,54029,22489,22849,45339,21517,23411,44926,24859,27041,51901,111195,114271,225463,116747,125704,242452,133198,142487,275683,19203,19396,38600,21370,22900,44277,23989,26289,50274,17698,18253,35958,20980,22469,43448,23085,25718,48801,17160,17494,34658,19906,21415,41319,22332,24539,46872,14827,15569,30401,20295,21580,41874,21569,23982,45550,14326,14937,29265,20549,22059,42607,20267,22811,43079,83220,85662,168880,103107,110425,213529,111238,123339,234579,13634,14627,28264,17561,18840,36399,20185,22330,42515,13059,13948,27009,16276,17472,33746,19936,21964,41905,12339,13501,25841,15833,16825,32655,18922,20887,39817,11463,13059,24521,13533,14987,28523,19238,20959,40196,11068,12551,23619,13111,14525,27638,19346,21116
1RNSW,16633,17582,34213,17098,17246,34343,18194,19391,37581,17099,18019,35126,16614,16842,33457,18244,19272,37516,18369,19181,37550,16749,17075,33823,17938,19036,36974,18856,20155,39015,16248,16572,32822,17959,18600,36553,19426,20498,39926,83760,84852,168608,91387,95897,187283,90390,95443,185830,16498,16424,32917,17847,17995,35845,19483,20603,40088,16295,16309,32601,17480,18200,35681,19041,20187,39227,15860,15994,31854,17234,17820,35058,19002,20272,39268,16295,15995,32294,17414,18028,35443,18683,19922,38603,17401,17287,34690,17068,17588,34651,18463,19483,37943,82356,82007,164364,87047,89637,176683,94668,100460,195135,14392,14436,28834,17072,17401,34471,18328,18917,37242,14367,14309,28672,16899,17075,33980,17918,18863,36782,13700,13845,27551,16399,16628,33024,17498,18442,35938,12345,12655,25000,16681,16477,33162,17888,18431,36316,12243,12535,24775,17724,17735,35464,17203,17782,34985,67044,67785,134827,84776,85313,170094,88832,92442,181273,11268,11642,22909,14494,14675,29169,17105,17464,34567,10971,11407,22381,14049,14390,28434,16522,17007,33530,10433,11032,21463,13378,13854,27233,16179,16435,32617,10133,10573,20706,11816,12482,24300,16083,16116,32197,9806,10450,20264,11774,12233,24006,16779,17236
19499,103,62,167,97,77,180,100,59,156,88,65,152,110,78,183,107,60,167,99,65,162,80,73,153,108,75,182,111,70,185,98,51,159,92,65,156,87,96,179,489,357,847,512,343,857,480,359,844,105,78,189,120,101,220,112,78,185,71,75,150,78,77,156,85,61,151,87,65,154,93,75,172,102,78,178,104,75,174,85,73,164,78,50,127,98,63,163,93,64,154,91,74,161,466,355,829,476,393,866,470,339,808,84,43,127,112,80,195,81,48,133,89,46,132,89,65,159,74,71,137,78,45,128,73,58,138,94,36,138,77,39,120,93,54,148,78,41,119,60,34,101,94,56,148,75,36,115,392,211,604,456,327,781,403,236,637,63,35,99,84,44,126,70,46,113,50,32,90,66,31,93,55,30,85,40,20,64,39,35,71,42,39,82,37,23,57,36,25,61,32,25,58,38,15,54,46,15,60,50,26
19799,0,0,0,0,4,3,3,7,10,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,7,21,35,0,0,0,0,4,4,8,8,12,0,0,0,0,3,4,0,0,0,0,0,0,0,0,5,0,3,3,0,0,0,0,0,3,3,5,14,0,0,0,0,3,3,3,9,10,0,0,0,7,12,17,16,28,45,0,0,0,0,4,4,6,0,6,0,0,0,0,0,3,5,7,13,0,0,0,0,0,0,6,10,20,0,0,0,0,0,0,11,10,21,0,0,0,0,3,3,5,10,16,0,0,0,4,10,9,31,41,64,0,0,0,0,0,6,7,6,12,0,0,0,3,3,4,0,7,7,0,0,0,0,3,3,6,0,6,0,0,0,0,0,0,4,5,12,0,0,0,4,0,4,5,8,15,0,0
2GMEL,27309,28707,56015,22358,23732,46090,25338,27185,52518,27071,28463,55533,21358,22890,44254,24773,25995,50768,27101,28842,55943,21311,22737,44049,23968,25994,49961,27468,28562,56026,20475,21725,42190,23104,24915,48019,26595,27855,54452,109170,115602,224771,123705,132122,255821,135553,142429,277976,20208,21732,41943,23321,24593,47907,26148,27671,53817,19511,21174,40688,21628,23617,45244,24756,26904,51663,19190,20346,39532,20703,22903,43607,24357,26051,50406,19231,20741,39964,20502,22411,42913,23278,25357,48630,20395,21546,41935,19750,21649,41403,22537,24953,47486,98521,105543,204063,105903,115179,221079,121073,130934,252005,17115,17697,34813,19483,21504,40990,22309,24259,46563,15823,16629,32451,18491,20758,39251,21193,23488,44682,15159,16177,31339,18252,19944,38197,19857,22468,42327,13289,14492,27774,18076,20366,38439,19588,21982,41572,13392,14370,27760,19092,21031,40124,18790,21263,40054,74778,79364,154141,93398,103600,197002,101739,113462,215194,12530,13427,25960,16105,17429,33528,18331,21167,39496,12225,13183,25407,14649,16199,30844,17760,20428,38188,11503,12860,24368,14154,15916,30068,17140,19624,36762,10905,12547,23451,12424,14008,26433,17271,19739,37015,10348,11906,22257,12383,14027,26410,17951,20413
2RVIC,9466,10221,19684,9137,9479,18618,9870,10438,20304,9798,10432,20231,9092,9260,18357,9953,10451,20406,10129,10873,21005,9024,9350,18370,9741,10331,20073,10494,11426,21918,9082,8961,18039,9667,10137,19810,10840,11692,22534,45638,46621,92258,49226,52138,101367,50726,54645,105372,8699,9053,17757,9776,10245,20018,10810,11663,22468,9133,9153,18284,9617,10119,19730,10590,11370,21960,8567,8757,17324,9561,9974,19534,10841,11522,22361,8700,8642,17335,9666,10083,19745,10587,11338,21928,9383,9309,18693,9661,9680,19338,10398,10992,21395,44490,44911,89399,48270,50097,98369,53233,56876,110111,7765,7701,15462,9395,9792,19184,10500,10906,21403,7288,7418,14710,9568,9761,19333,10297,10935,21234,6953,7233,14187,8944,9240,18184,10303,10727,21021,6474,6479,12954,8960,9078,18039,10195,10817,21008,6595,6617,13214,9655,9696,19348,10091,10189,20277,35081,35441,70520,46518,47570,94090,51379,53567,104945,5984,6065,12051,7971,7921,15892,9823,9863,19686,5615,5992,11606,7377,7528,14907,9695,9957,19655,5611,5630,11241,6876,7274,14147,9130,9374,18506,5141,5498,10638,6307,6496,12801,9039,9164,18198,4923,5247,10174,6383,6611,12992,9381,9547
29499,100,44,145,50,31,83,47,36,83,56,43,92,43,36,79,66,43,105,56,42,98,45,35,77,35,36,71,59,46,104,40,49,90,40,39,85,82,41,120,227,180,406,238,183,422,353,212,563,39,28,68,43,56,100,75,49,126,21,47,67,39,24,65,51,47,100,41,32,76,47,28,75,61,46,105,33,39,71,44,22,61,56,39,98,41,19,65,51,35,83,48,41,87,178,168,347,224,165,393,288,217,511,41,24,70,39,25,61,71,33,102,25,12,36,33,29,65,52,35,80,27,26,52,35,33,65,46,36,84,34,5,42,32,33,63,64,21,88,26,20,49,29,17,48,37,20,58,153,94,247,171,138,313,271,141,418,27,19,45,27,26,55,35,16,51,20,10,33,21,11,37,17,19,42,15,12,32,28,10,40,25,9,37,20,9,26,16,10,21,16,13,26,15,8,20,21,5,29,25,14
29799,0,0,0,0,0,0,3,0,3,5,6,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,5,6,9,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,3,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,13855,14488,28343,11560,12130,23691,13033,13714,26748,13968,14537,28506,11118,11856,22977,12687,13510,26197,14304,14938,29237,11141,11658,22795,12165,12926,25097,14112,15029,29145,11036,11460,22494,11816,12623,24432,13794,14710,28501,56871,59362,116229,63409,67105,130517,70034,73701,143731,10641,11171,21817,11826,12138,23967,13630,14465,28098,10661,11223,21885,11153,11971,23121,12996,13682,26677,10397,10611,21012,10715,11738,22451,12478,13569,26046,10349,10423,20773,10762,11715,22470,11904,13057,24960,10899,10945,21842,10871,11389,22264,11608,12672,24285,52944,54378,107322,55327,58944,114275,62624,67444,130066,8737,8899,17634,10215,10999,21215,11623,12365,23990,8575,8586,17158,10061,10830,20890,10986,11994,22982,7724,8002,15729,9861,10442,20303,10466,11727,22188,6864,7120,13985,9565,10362,19925,10445,11504,21944,6798,6949,13753,10106,10684,20784,10361,11479,21837,38700,39561,78258,49806,53309,103116,53875,59069,112944,6160,6408,12566,8383,8724,17108,9887,10946,20830,5999,6163,12156,8027,8433,16461,9797,10831,20631,5448,5864,11314,7246,7859,15108,9556,10522,20082,5095,5431,10527,6417,6901,13322,9249,10155,19404,4712,5361,10074,6267,6834,13099,9688,10585
3RQLD,15972,16876,32849,14242,14460,28702,16043,16625,32669,16127,17164,33284,13619,13984,27596,15661,16150,31807,16986,17790,34771,13869,13914,27781,15417,16270,31687,17106,18157,35261,13742,13323,27066,15089,15401,30493,17189,18176,35366,69956,70537,140495,78820,81763,160584,83377,88162,171537,13653,13466,27116,14720,15521,30244,17312,18197,35508,13492,13431,26923,14516,14892,29404,16512,17493,34005,13384,13046,26434,14059,14692,28749,16423,16910,33328,13313,12758,26070,14232,14440,28671,15884,16925,32813,14122,13651,27770,14045,13991,28034,15693,16131,31826,67960,66354,134313,71567,73543,145106,81822,85657,167484,11948,11461,23410,14201,14110,28311,15219,15972,31188,11465,11369,22837,13691,14079,27769,15069,15740,30811,11026,10711,21738,13561,13344,26910,14621,15314,29931,9639,9636,19277,13477,13127,26605,14706,14953,29661,9716,9501,19215,14209,13997,28203,14385,14312,28702,53798,52684,106480,69143,68662,137806,73998,76297,150295,9012,8751,17764,11805,11599,23402,14188,14274,28464,8519,8477,16993,11286,11467,22755,13708,14121,27829,7962,8066,16031,10645,10658,21302,13286,13494,26783,7412,7243,14654,9191,9444,18634,13203,13021,26218,7093,7182,14277,9250,9298,18545,13714,13867
