GCCSA_CODE_2021,C11_15_19_Married_M,C11_15_19_Married_F,C11_15_19_Married_P,C11_15_19_Sep_M,C11_15_19_Sep_F,C11_15_19_Sep_P,C11_15_19_Div_M,C11_15_19_Div_F,C11_15_19_Div_P,C11_15_19_Wid_M,C11_15_19_Wid_F,C11_15_19_Wid_P,C11_15_19_Nvr_marrd_M,C11_15_19_Nvr_marrd_F,C11_15_19_Nvr_marrd_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Married_M,C11_20_24_Married_F,C11_20_24_Married_P,C11_20_24_Sep_M,C11_20_24_Sep_F,C11_20_24_Sep_P,C11_20_24_Div_M,C11_20_24_Div_F,C11_20_24_Div_P,C11_20_24_Wid_M,C11_20_24_Wid_F,C11_20_24_Wid_P,C11_20_24_Nvr_marrd_M,C11_20_24_Nvr_marrd_F,C11_20_24_Nvr_marrd_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Married_M,C11_25_29_Married_F,C11_25_29_Married_P,C11_25_29_Sep_M,C11_25_29_Sep_F,C11_25_29_Sep_P,C11_25_29_Div_M,C11_25_29_Div_F,C11_25_29_Div_P,C11_25_29_Wid_M,C11_25_29_Wid_F,C11_25_29_Wid_P,C11_25_29_Nvr_marrd_M,C11_25_29_Nvr_marrd_F,C11_25_29_Nvr_marrd_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Married_M,C11_30_34_Married_F,C11_30_34_Married_P,C11_30_34_Sep_M,C11_30_34_Sep_F,C11_30_34_Sep_P,C11_30_34_Div_M,C11_30_34_Div_F,C11_30_34_Div_P,C11_30_34_Wid_M,C11_30_34_Wid_F,C11_30_34_Wid_P,C11_30_34_Nvr_marrd_M,C11_30_34_Nvr_marrd_F,C11_30_34_Nvr_marrd_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Married_M,C11_35_39_Married_F,C11_35_39_Married_P,C11_35_39_Sep_M,C11_35_39_Sep_F,C11_35_39_Sep_P,C11_35_39_Div_M,C11_35_39_Div_F,C11_35_39_Div_P,C11_35_39_Wid_M,C11_35_39_Wid_F,C11_35_39_Wid_P,C11_35_39_Nvr_marrd_M,C11_35_39_Nvr_marrd_F,C11_35_39_Nvr_marrd_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Married_M,C11_40_44_Married_F,C11_40_44_Married_P,C11_40_44_Sep_M,C11_40_44_Sep_F,C11_40_44_Sep_P,C11_40_44_Div_M,C11_40_44_Div_F,C11_40_44_Div_P,C11_40_44_Wid_M,C11_40_44_Wid_F,C11_40_44_Wid_P,C11_40_44_Nvr_marrd_M,C11_40_44_Nvr_marrd_F,C11_40_44_Nvr_marrd_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Married_M,C11_45_49_Married_F,C11_45_49_Married_P,C11_45_49_Sep_M,C11_45_49_Sep_F,C11_45_49_Sep_P,C11_45_49_Div_M,C11_45_49_Div_F,C11_45_49_Div_P,C11_45_49_Wid_M,C11_45_49_Wid_F,C11_45_49_Wid_P,C11_45_49_Nvr_marrd_M,C11_45_49_Nvr_marrd_F,C11_45_49_Nvr_marrd_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Married_M,C11_50_54_Married_F,C11_50_54_Married_P,C11_50_54_Sep_M,C11_50_54_Sep_F,C11_50_54_Sep_P,C11_50_54_Div_M,C11_50_54_Div_F,C11_50_54_Div_P,C11_50_54_Wid_M,C11_50_54_Wid_F,C11_50_54_Wid_P,C11_50_54_Nvr_marrd_M,C11_50_54_Nvr_marrd_F,C11_50_54_Nvr_marrd_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Married_M,C11_55_59_Married_F,C11_55_59_Married_P,C11_55_59_Sep_M,C11_55_59_Sep_F,C11_55_59_Sep_P,C11_55_59_Div_M,C11_55_59_Div_F,C11_55_59_Div_P,C11_55_59_Wid_M,C11_55_59_Wid_F,C11_55_59_Wid_P,C11_55_59_Nvr_marrd_M,C11_55_59_Nvr_marrd_F,C11_55_59_Nvr_marrd_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Married_M,C11_60_64_Married_F,C11_60_64_Married_P,C11_60_64_Sep_M,C11_60_64_Sep_F,C11_60_64_Sep_P,C11_60_64_Div_M,C11_60_64_Div_F,C11_60_64_Div_P,C11_60_64_Wid_M,C11_60_64_Wid_F,C11_60_64_Wid_P,C11_60_64_Nvr_marrd_M,C11_60_64_Nvr_marrd_F,C11_60_64_Nvr_marrd_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_69_Married_M,C11_65_69_Married_F,C11_65_69_Married_P,C11_65_69_Sep_M,C11_65_69_Sep_F,C11_65_69_Sep_P,C11_65_69_Div_M,C11_65_69_Div_F,C11_65_69_Div_P,C11_65_69_Wid_M,C11_65_69_Wid_F,C11_65_69_Wid_P,C11_65_69_Nvr_marrd_M,C11_65_69_Nvr_marrd_F,C11_65_69_Nvr_marrd_P,C11_65_69_Tot_M,C11_65_69_Tot_F,C11_65_69_Tot_P,C11_70_74_Married_M,C11_70_74_Married_F
1GSYD,291,731,1018,66,67,132,67,75,141,85,59,143,141414,132932,274349,141924,133859,275789,6606,15880,22489,286,840,1122,208,446,652,105,122,228,147172,135596,282764,154381,152882,307256,43073,65119,108192,1540,3077,4611,1437,2829,4263,116,219,333,121613,101755,223364,167770,173003,340770,85456,98576,184037,3085,4970,8059,4100,6830,10932,142,378,518,73251,59330,132583,166035,170088,336122,102941,109740,212675,4451,6950,11406,7764,12262,20030,254,782,1036,48857,40604,89462,164260,170338,334607,101737,107172,208911,5502,7937,13437,11229,18017,29246,429,1462,1891,36171,29233,65402,155066,163819,318887,101692,101506,203200,6003,8149,14149,14836,21859,36694,762,2516,3278,28108,22051,50160,151396,156088,307479,95720,94588,190313,6180,7454,13633,16537,23833,40367,1138,4251,5389,21370,16427,37798,140942,146554,287496,85060,82058,167119,5095,5943,11033,15675,22167,37838,1668,6675,8346,14359,11451,25807,121854,128291,250145,79657,71952,151606,4424,4618,9039,14325,19868,34196,2593,10121,12712,10201,7709,17908,111195,114271,225463,60770,51261,112036,3101,2872,5976,9754,13596,23353,3155,13262,16422,6441,4668,11102,83220,85662,168880,45450,37038
1RNSW,182,207,385,52,55,110,83,52,138,40,52,93,85555,80592,166149,85917,80959,166874,2724,5609,8338,219,491,708,118,151,264,54,70,131,68750,62921,131667,71873,69241,141112,15880,22904,38784,805,1625,2428,589,1148,1736,70,123,192,47796,40025,87817,65138,65831,130964,29773,35833,65609,1702,2634,4330,1838,2876,4711,100,224,323,30455,25546,56002,63860,67116,130975,41677,46352,88025,2807,4192,7000,4203,6628,10827,160,452,615,25141,20856,46000,73986,78478,152468,45950,50447,96402,3868,5190,9062,7228,10628,17853,295,957,1246,21761,17228,38992,79111,84453,163555,50240,53155,103394,4322,5517,9840,10373,14187,24563,561,1614,2176,19361,13673,33031,84852,88149,172999,54451,56755,111211,4696,5354,10050,13406,16654,30064,956,2727,3685,15270,10295,25563,88785,91783,180566,53903,54811,108717,4151,4027,8177,13836,15505,29342,1391,4237,5629,10481,6268,16748,83760,84852,168608,56948,54072,111018,3656,3148,6801,12795,14025,26821,2265,6875,9138,6691,3892,10583,82356,82007,164364,47768,43491,91259,2563,1992,4553,9221,9715,18942,3139,10175,13315,4354,2404,6762,67044,67785,134827,37885,32339
19499,0,0,0,0,0,0,0,0,0,0,0,0,388,370,757,388,372,760,11,22,38,9,9,13,3,4,3,0,0,0,682,575,1256,701,608,1314,70,82,151,24,29,52,15,7,23,0,4,4,674,520,1192,783,641,1420,127,132,260,42,49,91,21,16,38,0,0,0,526,318,852,715,520,1235,112,107,220,76,49,121,51,37,86,6,11,11,423,197,616,661,385,1053,140,72,214,77,49,125,97,65,165,4,10,15,389,145,537,708,340,1047,101,85,188,105,51,158,121,78,197,14,9,20,281,94,373,622,319,938,112,103,213,84,40,120,177,108,289,8,12,11,222,96,319,602,355,954,147,168,313,63,31,92,126,98,228,17,19,30,136,43,180,489,357,847,181,193,375,59,24,89,135,71,206,19,34,55,71,36,103,466,355,829,189,138,324,35,11,44,105,37,144,20,15,35,42,11,57,392,211,604,100,71
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,6,6,5,9,14,0,0,0,0,0,4,0,0,0,0,0,0,7,12,17,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,10,9,6,6
2GMEL,275,598,875,62,57,116,70,83,153,73,66,139,128985,122831,251816,129461,123634,253090,5186,12149,17332,284,616,897,208,351,565,138,140,269,146355,134429,280783,152168,147680,299850,37023,54558,91592,1100,2287,3389,995,2093,3087,126,202,326,118859,99964,218822,158100,159114,317212,74222,83639,157859,2474,4029,6502,3370,5450,8816,129,323,452,69070,58044,127115,149261,151484,300745,89953,95907,185851,3893,5900,9792,6866,10897,17767,248,657,904,46243,40145,86382,147200,153491,300696,93951,99148,193098,5177,7545,12722,11083,16993,28070,415,1396,1813,35245,29602,64846,145863,154680,300548,90598,91221,181816,5809,7471,13284,14004,20505,34510,687,2057,2746,25044,20425,45474,136147,141678,277829,85294,84369,169662,5584,6771,12355,15582,22120,37698,1047,3622,4674,18235,14881,33108,125744,131763,257503,76154,74393,150547,4634,5284,9913,14613,20460,35071,1622,5611,7232,12143,9864,22008,109170,115602,224771,71871,68115,139985,3846,4087,7933,12560,18153,30715,2324,9002,11329,7925,6182,14107,98521,105543,204063,56306,49659,105963,2567,2523,5088,8367,11741,20107,2753,11756,14506,4779,3685,8461,74778,79364,154141,43946,36528
2RVIC,76,124,197,25,30,56,30,28,56,21,28,43,47166,44233,91394,47311,44439,91754,1219,2502,3715,86,229,317,65,78,143,38,37,80,36563,33391,69958,37980,36236,74215,8198,12068,20262,417,800,1220,251,500,758,33,59,93,25503,22490,47995,34403,35917,70319,16257,19457,35715,852,1353,2206,888,1481,2372,50,109,164,16166,13974,30139,34211,36381,70591,22706,25244,47955,1390,2214,3602,2060,3205,5264,98,247,340,13341,11460,24801,39587,42375,81957,26181,28332,54513,2159,2789,4946,3817,5771,9586,143,489,635,11223,9081,20310,43525,46465,89993,28077,30021,58100,2471,2967,5438,5483,7745,13235,290,816,1108,9278,6849,16129,45604,48405,94001,30091,31230,61321,2352,2781,5133,6816,8524,15345,515,1455,1968,7299,5060,12358,47072,49050,96125,30575,30826,61402,2161,2208,4367,7018,8167,15188,802,2279,3080,5081,3139,8225,45638,46621,92258,31625,30349,61976,1862,1649,3517,6370,7227,13596,1141,3695,4837,3482,1988,5471,44490,44911,89399,25533,23410,48938,1322,1009,2329,4409,4671,9074,1501,5134,6637,2323,1219,3546,35081,35441,70520,20148,16952
29499,0,3,3,0,0,0,0,0,0,0,0,0,235,257,490,235,258,495,20,25,41,4,15,19,0,0,8,0,0,0,508,465,976,535,503,1037,55,81,142,19,24,40,7,9,14,0,4,4,506,434,930,585,546,1129,103,76,177,33,27,62,15,25,45,0,0,0,347,224,580,508,359,869,96,75,173,44,36,88,35,29,65,0,4,0,305,126,430,479,276,757,81,65,149,63,35,95,63,53,113,10,0,3,204,96,299,414,248,661,53,49,101,48,30,78,76,50,121,3,4,7,160,64,226,330,197,527,65,43,105,48,28,76,80,66,150,8,7,15,96,39,131,297,176,475,51,81,138,49,20,64,72,50,123,8,4,11,47,23,70,227,180,406,77,86,160,18,10,30,55,57,110,5,12,18,24,8,27,178,168,347,66,50,113,15,11,23,45,18,60,8,15,24,18,7,28,153,94,247,45,26
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,7,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,7,0,7,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
3GBRI,163,307,472,37,40,80,48,51,91,17,27,40,72587,70062,142647,72847,70486,143331,3463,6633,10091,192,481,684,107,157,255,51,54,101,74688,70786,145476,78501,78110,156605,19056,27068,46117,927,1644,2577,684,1247,1926,63,104,169,58169,49451,107616,78896,79510,158403,34648,40383,75032,1723,2721,4440,2136,3290,5426,90,172,265,34636,28288,62929,73241,74862,148100,44429,47904,92331,2721,3763,6482,4347,6425,10773,113,421,536,23917,19884,43802,75527,78388,153921,46512,48892,95407,3266,4272,7537,6621,9637,16263,229,657,887,17289,14272,31557,73917,77729,151645,44956,45496,90456,3465,4266,7732,8276,11743,20016,353,1164,1515,12579,9601,22180,69630,72269,141897,42844,42939,85785,3038,3576,6620,9209,12380,21587,569,1810,2374,8470,6390,14860,64132,67099,131225,39141,38009,77153,2592,2791,5382,8738,11529,20263,822,2787,3609,5573,4247,9823,56871,59362,116229,37739,34668,72407,2142,2165,4304,7992,10279,18269,1254,4491,5740,3818,2779,6603,52944,54378,107322,28290,23965,52255,1457,1368,2827,5148,6645,11797,1506,5875,7381,2298,1704,4001,38700,39561,78258,20054,16076
3RQLD,179,297,479,52,48,103,74,68,142,41,30,75,76949,72306,149251,77294,72745,150043,3031,6140,9173,242,505,745,137,197,330,70,72,145,64978,60701,125681,68464,67606,136066,17005,24590,41597,908,1705,2614,707,1250,1957,83,126,209,51023,43641,94671,69727,71312,141041,30769,36832,67600,1744,2814,4561,1996,3175,5168,85,206,295,32856,27220,60073,67449,70252,137700,41632,46422,88054,2825,4097,6919,4583,6711,11292,143,458,602,25945,20624,46570,75131,78310,153441,46497,49388,95883,3759,4901,8661,7370,10556,17920,264,781,1050,20603,16004,36607,78496,81628,160125,47499,50111,97617,4051,4977,9026,10045,13626,23672,467,1461,1924,16429,11334,27765,78493,81510,160003,48139,49265,97409,3985,4470,8464,12113,14866,26982,732,2337,3068,12057,7990,20049,77025,78933,155960,45926,45577,91494,3323,3336,6660,11897,13435,25335,1126,3582,4706,7690,4609,12298,69956,70537,140495,46815,43601,90417,2923,2533,5455,11295,11865,23158,1746,5651,7403,5179,2712,7890,67960,66354,134313,38070,33507,71584,2076,1660,3736,7972,8269,16240,2210,7565,9775,3462,1688,5148,53798,52684,106480,28715,23106
