GCCSA_CODE_2021,C11_70_74_Married_P,C11_70_74_Sep_M,C11_70_74_Sep_F,C11_70_74_Sep_P,C11_70_74_Div_M,C11_70_74_Div_F,C11_70_74_Div_P,C11_70_74_Wid_M,C11_70_74_Wid_F,C11_70_74_Wid_P,C11_70_74_Nvr_marrd_M,C11_70_74_Nvr_marrd_F,C11_70_74_Nvr_marrd_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Married_M,C11_75_79_Married_F,C11_75_79_Married_P,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Sep_P,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Div_P,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Wid_P,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_Nvr_marrd_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Married_P,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Sep_P,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Div_P,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Wid_P,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_Nvr_marrd_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Married_M,C11_85_over_Married_F,C11_85_over_Married_P,C11_85_over_Seprtd_M,C11_85_over_Seprtd_F,C11_85_over_Seprtd_P,C11_85_over_Divorce_M,C11_85_over_Divorce_F,C11_85_over_Divorce_P,C11_85_over_Wid_M,C11_85_over_Wid_F,C11_85_over_Wid_P,C11_85_over_Nvr_mard_M,C11_85_over_Nvr_mard_F,C11_85_over_Nvr_mard_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Married_M,C11_Tot_Married_F,C11_Tot_Married_P,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Sep_P,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Div_P,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_Wid_P,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_nver_marrie_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Married_P,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Sep_P,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Div_P,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Wid_P,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_Nvr_marrd_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Married_P,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Sep_P,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Div_P,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Wid_P,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_Nvr_marrd_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Married_P,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Sep_P,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Div_P,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Wid_P,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_Nvr_marrd_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Married_P,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Sep_P,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Div_P,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Wid_P,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_Nvr_marrd_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Married_P,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Sep_P,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Div_P,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Wid_P,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_Nvr_marrd_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Married_P,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Sep_P,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Div_P,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Wid_P,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_Nvr_marrd_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Married_P,C16_45_49_Sep_M
1GSYD,82492,1988,1691,3677,6022,8200,14224,3959,17542,21498,4149,3214,7367,61571,67686,129256,33743,24596,58341,1231,970,2203,3492,5199,8693,4969,21895,26870,2885,2417,5298,46318,55079,101404,23974,15097,39071,769,535,1299,2017,3389,5403,6580,27172,33747,2017,2305,4317,35348,48490,83844,14922,7730,22658,349,278,622,1074,2359,3430,9614,40700,50314,1323,2723,4038,27274,53796,81070,881090,883057,1764146,44062,56346,100407,108528,160934,269462,35557,147164,182720,659324,572396,1231723,1728563,1819894,3548459,456,850,1307,53,66,122,63,61,127,58,64,114,147354,139347,286699,147981,140387,288366,6397,14809,21205,278,709,990,201,427,626,110,110,222,165302,152393,317699,172284,168452,340739,43189,66137,109321,1490,2951,4442,1562,2727,4290,150,208,358,141763,121280,263043,188149,193304,381453,100424,116258,216681,3501,5407,8911,4418,6992,11407,147,373,518,85073,70366,155433,193555,199391,392946,113802,116973,230772,4713,6753,11466,7123,10939,18062,216,685,904,51097,43164,94256,176949,178513,355461,111570,112992,224562,5793,8101,13894,10664,16617,27285,400,1244,1642,39083,34110,73193,167513,173061,340581,103675,105820,209496,6406
1RNSW,70227,1714,1148,2860,6005,6020,12026,3987,13845,17841,3027,1747,4774,52620,55104,107723,28220,21467,49686,1050,744,1790,3373,3498,6870,4870,17813,22682,2110,1338,3449,39624,44852,84479,19474,12627,32105,575,346,921,1800,2069,3871,5983,21373,27358,1421,1103,2520,29251,37525,66772,11065,5852,16916,248,169,415,814,1302,2121,7600,29389,36985,839,1268,2107,20559,37979,58542,496139,495933,992078,32421,36643,69068,85694,104448,190143,31474,109925,141401,343001,289162,632163,988729,1036112,2024847,191,161,350,27,42,64,56,29,89,24,29,59,81531,77435,158971,81831,77692,159532,2356,4436,6789,179,443,621,80,122,203,50,68,121,72787,67041,139824,75450,72107,147559,15286,22588,37870,871,1661,2527,513,900,1417,75,111,195,54754,47367,102120,71504,72630,144133,32919,39123,72039,1905,2953,4856,1650,2686,4336,91,223,312,35168,29543,64711,71736,74521,146252,38737,42285,81022,2704,3922,6623,3174,4929,8108,136,393,538,25033,21974,47011,69789,73505,143293,45374,48228,93598,3926,5066,8995,6063,9114,15171,238,753,988,23129,19742,42874,78731,82899,161625,46888,50272,97156,4534
19499,175,20,5,28,67,28,88,19,20,39,25,6,35,231,137,364,42,22,60,7,5,9,23,7,31,21,9,29,10,3,12,96,50,143,15,5,19,0,0,0,11,7,14,10,36,41,11,3,15,45,47,96,16,9,26,3,0,3,3,0,3,21,55,83,4,3,10,51,72,124,1351,1218,2571,606,340,954,951,570,1521,152,227,380,3886,2421,6306,6957,4779,11736,0,0,0,0,0,0,0,0,0,0,0,0,281,227,509,283,231,516,3,24,26,3,0,10,0,4,4,5,0,5,735,584,1321,746,614,1359,76,77,146,33,21,48,9,3,15,7,0,6,801,539,1341,927,634,1561,118,107,225,43,27,64,23,13,39,0,0,0,508,308,814,685,453,1139,102,67,166,65,25,90,36,24,59,3,8,14,417,205,626,622,335,959,87,58,142,95,24,125,88,39,121,3,11,13,378,159,539,644,296,938,66,69,140,80
19799,12,0,0,0,0,0,0,0,5,5,0,0,0,9,14,22,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,4,3,11,0,0,0,0,0,0,0,7,9,0,0,0,8,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,31,59,0,0,0,9,7,12,4,19,17,13,0,13,56,54,107,0,0,0,0,0,0,0,0,0,0,0,0,3,11,13,3,11,13,0,0,3,0,0,0,0,0,0,0,0,0,5,4,4,5,3,9,0,0,3,0,0,0,0,0,0,0,0,0,0,4,10,5,8,17,7,10,13,0,0,0,0,0,0,0,0,0,0,4,4,11,8,19,0,6,3,0,0,0,0,0,0,0,0,0,0,0,5,5,3,7,8,8,18,0,0,0,0,0,0,0,0,0,0,4,3,9,10,24,6,4,6,0
2GMEL,80476,1694,1520,3215,5191,7086,12279,3593,16345,19933,3083,2457,5539,57516,63931,121443,33195,24778,57976,1032,886,1916,2976,4219,7199,4708,21021,25725,2167,1871,4040,44080,52772,96855,23371,14616,37987,618,474,1092,1738,2575,4314,6215,25784,32003,1684,1734,3420,33621,45187,78808,13986,7400,21387,343,215,557,795,1662,2457,9168,36457,45627,1053,2156,3209,25341,47893,73237,795332,797074,1592406,39112,49665,88780,98432,144378,242810,33235,134446,167682,620869,548254,1169125,1586979,1673817,3260798,407,622,1025,49,63,115,60,69,126,52,59,113,136177,131463,267641,136741,132274,269019,4806,11247,16058,240,586,820,154,325,479,105,124,235,163048,152727,315776,168358,165008,333362,37797,57916,95709,1406,2570,3982,1166,2139,3308,130,191,317,137990,121130,259116,178490,183947,362435,92168,106118,198286,3087,4803,7885,3537,5892,9426,174,367,538,81847,69932,151778,180800,187110,367915,102115,104144,206259,4279,6117,10397,6035,9194,15234,239,616,860,49076,43497,92569,161753,163568,325322,100345,101899,202248,5491,7709,13203,9502,15017,24518,363,1152,1518,37541,34749,72288,153238,160526,313771,96898,99271,196173,6691
2RVIC,37094,796,563,1360,2801,2832,5632,1931,7136,9063,1609,960,2560,27279,28436,55721,14698,11201,25899,522,320,843,1531,1499,3033,2504,9366,11869,1087,682,1776,20344,23071,43417,10322,6636,16959,329,192,522,769,904,1673,3037,11552,14588,801,623,1428,15247,19921,35164,5863,3184,9046,132,80,210,329,548,876,4057,16200,20262,523,782,1310,10900,20803,31705,271553,271533,543089,16875,19187,36066,42636,53190,95828,16159,58609,74770,181444,155945,337392,528675,558463,1087138,85,114,197,22,12,31,31,15,46,17,29,46,44775,41872,86648,44927,42041,86964,1148,2056,3198,81,203,281,26,46,75,19,43,62,39649,36262,75916,40922,38609,79530,7955,11635,19591,446,853,1298,222,391,614,29,59,83,29878,26368,56247,38533,39309,77839,18213,21389,39603,943,1536,2482,827,1250,2071,50,124,172,18260,16565,34829,38291,40867,79157,21479,23486,44969,1447,2066,3517,1605,2401,4005,84,214,298,13108,12117,25222,37727,40283,78018,24730,26207,50938,2110,2847,4955,2994,4641,7629,145,426,570,12463,10963,23429,42445,45074,87524,26697,28168,54859,2548
29499,70,12,9,16,20,9,31,3,6,12,14,7,21,100,52,156,20,7,27,6,6,9,7,0,11,9,11,14,5,0,8,50,19,65,7,11,15,3,0,3,6,0,0,8,12,17,0,0,4,23,22,47,3,0,7,0,0,0,0,3,0,15,18,32,0,7,9,22,30,52,746,674,1425,363,235,599,476,372,854,76,97,171,2469,1751,4228,4135,3134,7267,0,0,0,0,0,0,0,0,0,0,0,0,173,173,349,177,175,357,6,23,29,0,9,9,0,4,8,0,0,3,438,420,854,448,451,899,33,56,85,9,12,26,0,6,5,0,0,4,497,373,874,543,450,988,95,78,172,34,25,54,18,15,23,0,3,0,365,231,593,513,344,855,65,51,120,42,22,70,30,19,52,0,5,3,299,156,450,439,251,691,51,42,92,69,21,91,39,41,75,0,4,5,221,119,336,370,228,599,50,29,79,59
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,4,0,9,0,0,0,20,0,20,34,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0
3GBRI,36135,958,711,1663,3025,3900,6925,1829,7310,9137,1544,1235,2782,27412,29230,56643,13635,10193,23830,519,380,909,1763,2167,3932,2078,9073,11152,1073,979,2053,19075,22791,41868,9470,6099,15573,297,203,505,941,1365,2310,2728,11105,13838,744,777,1522,14176,19559,33737,5735,3084,8819,172,122,290,463,837,1294,3859,16476,20342,535,1015,1548,10768,21518,32291,390136,391705,781845,23517,28509,52029,59498,81630,141128,15568,61530,77098,317921,281481,599402,806646,844852,1651496,166,273,440,20,30,57,26,22,45,29,27,55,74279,71706,145984,74524,72056,146583,2949,5674,8619,194,446,640,96,178,268,54,65,119,82237,78854,161090,85533,85210,170742,18376,26625,44994,1026,1883,2902,689,1132,1822,55,106,160,64025,56754,120788,84170,86491,170663,40237,47196,87430,2193,3200,5383,2132,3202,5335,84,214,295,40248,33875,74122,84889,87677,172567,45412,48585,93998,2861,3975,6835,3680,5330,9010,157,386,541,25161,21771,46938,77273,80044,157316,48677,50194,98871,3734,4774,8507,6059,8747,14802,221,656,881,19905,17652,37559,78591,82020,160612,47712,48887,96604,3949
3RQLD,51831,1309,969,2279,5031,4833,9865,2678,9699,12380,2263,1109,3373,40000,39727,79722,19725,14109,33836,889,473,1363,2716,2634,5348,3144,11446,14596,1530,788,2320,28007,29451,57455,12826,7973,20804,413,253,665,1401,1526,2932,3570,13435,17007,1091,640,1734,19310,23834,43140,7460,3849,11312,239,115,348,712,878,1592,4757,18023,22782,686,731,1420,13852,23600,37450,434300,434768,869072,28733,32860,61590,78045,93885,171930,21131,74879,96018,322744,272095,594841,884962,908484,1793449,164,222,384,33,39,77,38,25,56,30,48,84,76188,72493,148682,76455,72829,149287,2742,5012,7756,223,474,695,89,127,214,50,80,128,70077,66102,136178,73187,71790,144978,15844,23055,38904,980,1756,2736,586,1069,1661,88,139,231,55732,49473,105202,73238,75499,148736,33248,40005,73252,2013,3158,5164,1964,3061,5020,77,216,294,36966,31722,68692,74264,78161,152425,39333,43247,82582,2800,4122,6922,3585,5383,8974,136,423,559,25830,22294,48123,71687,75466,147154,45314,48634,93955,3997,5304,9296,6377,9459,15834,229,776,1008,22706,18740,41447,78623,82913,161536,47566,49569,97136,4581
