GCCSA_CODE_2021,C11_AP_15_19_NCB_0,C11_AP_15_19_NCB_1,C11_AP_15_19_NCB_2,C11_AP_15_19_NCB_3,C11_AP_15_19_NCB_4,C11_AP_15_19_NCB_5,C11_AP_15_19_NCB_6mor,C11_AP_15_19_NCB_NS,C11_AP_15_19_Tot,C11_AP_20_24_NCB_0,C11_AP_20_24_NCB_1,C11_AP_20_24_NCB_2,C11_AP_20_24_NCB_3,C11_AP_20_24_NCB_4,C11_AP_20_24_NCB_5,C11_AP_20_24_NCB_6mor,C11_AP_20_24_NCB_NS,C11_AP_20_24_Tot,C11_AP_25_29_NCB_0,C11_AP_25_29_NCB_1,C11_AP_25_29_NCB_2,C11_AP_25_29_NCB_3,C11_AP_25_29_NCB_4,C11_AP_25_29_NCB_5,C11_AP_25_29_NCB_6mor,C11_AP_25_29_NCB_NS,C11_AP_25_29_Tot,C11_AP_30_34_NCB_0,C11_AP_30_34_NCB_1,C11_AP_30_34_NCB_2,C11_AP_30_34_NCB_3,C11_AP_30_34_NCB_4,C11_AP_30_34_NCB_5,C11_AP_30_34_NCB_6mor,C11_AP_30_34_NCB_NS,C11_AP_30_34_Tot,C11_AP_35_39_NCB_0,C11_AP_35_39_NCB_1,C11_AP_35_39_NCB_2,C11_AP_35_39_NCB_3,C11_AP_35_39_NCB_4,C11_AP_35_39_NCB_5,C11_AP_35_39_NCB_6mor,C11_AP_35_39_NCB_NS,C11_AP_35_39_Tot,C11_AP_40_44_NCB_0,C11_AP_40_44_NCB_1,C11_AP_40_44_NCB_2,C11_AP_40_44_NCB_3,C11_AP_40_44_NCB_4,C11_AP_40_44_NCB_5,C11_AP_40_44_NCB_6mor,C11_AP_40_44_NCB_NS,C11_AP_40_44_Tot,C11_AP_45_49_NCB_0,C11_AP_45_49_NCB_1,C11_AP_45_49_NCB_2,C11_AP_45_49_NCB_3,C11_AP_45_49_NCB_4,C11_AP_45_49_NCB_5,C11_AP_45_49_NCB_6mor,C11_AP_45_49_NCB_NS,C11_AP_45_49_Tot,C11_AP_50_54_NCB_0,C11_AP_50_54_NCB_1,C11_AP_50_54_NCB_2,C11_AP_50_54_NCB_3,C11_AP_50_54_NCB_4,C11_AP_50_54_NCB_5,C11_AP_50_54_NCB_6mor,C11_AP_50_54_NCB_NS,C11_AP_50_54_Tot,C11_AP_55_59_NCB_0,C11_AP_55_59_NCB_1,C11_AP_55_59_NCB_2,C11_AP_55_59_NCB_3,C11_AP_55_59_NCB_4,C11_AP_55_59_NCB_5,C11_AP_55_59_NCB_6mor,C11_AP_55_59_NCB_NS,C11_AP_55_59_Tot,C11_AP_60_64_NCB_0,C11_AP_60_64_NCB_1,C11_AP_60_64_NCB_2,C11_AP_60_64_NCB_3,C11_AP_60_64_NCB_4,C11_AP_60_64_NCB_5,C11_AP_60_64_NCB_6mor,C11_AP_60_64_NCB_NS,C11_AP_60_64_Tot,C11_AP_65_69_NCB_0,C11_AP_65_69_NCB_1,C11_AP_65_69_NCB_2,C11_AP_65_69_NCB_3,C11_AP_65_69_NCB_4,C11_AP_65_69_NCB_5,C11_AP_65_69_NCB_6mor,C11_AP_65_69_NCB_NS,C11_AP_65_69_Tot,C11_AP_70_74_NCB_0,C11_AP_70_74_NCB_1,C11_AP_70_74_NCB_2,C11_AP_70_74_NCB_3,C11_AP_70_74_NCB_4,C11_AP_70_74_NCB_5,C11_AP_70_74_NCB_6mor,C11_AP_70_74_NCB_NS,C11_AP_70_74_Tot,C11_AP_75_79_NCB_0,C11_AP_75_79_NCB_1,C11_AP_75_79_NCB_2,C11_AP_75_79_NCB_3,C11_AP_75_79_NCB_4,C11_AP_75_79_NCB_5,C11_AP_75_79_NCB_6mor,C11_AP_75_79_NCB_NS,C11_AP_75_79_Tot,C11_AP_80_84_NCB_0,C11_AP_80_84_NCB_1,C11_AP_80_84_NCB_2,C11_AP_80_84_NCB_3,C11_AP_80_84_NCB_4,C11_AP_80_84_NCB_5,C11_AP_80_84_NCB_6mor,C11_AP_80_84_NCB_NS,C11_AP_80_84_Tot,C11_AP_85over_N_c_b_0,C11_AP_85over_N_c_b_1,C11_AP_85over_N_c_b_2,C11_AP_85over_N_c_b_3,C11_AP_85over_N_c_b_4,C11_AP_85over_N_c_b_5,C11_AP_85over_N_c_b_6mor,C11_AP_85over_N_c_b_NS,C11_AP_85over_Tot,C11_AP_Tot_NCB_0,C11_AP_Tot_NCB_1,C11_AP_Tot_NCB_2,C11_AP_Tot_NCB_3,C11_AP_Tot_NCB_4,C11_AP_Tot_NCB_5,C11_AP_Tot_N_c_b_6mor,C11_AP_Tot_NCB_NS,C11_AP_Tot_Tot,C16_AP_15_19_NCB_0,C16_AP_15_19_NCB_1,C16_AP_15_19_NCB_2,C16_AP_15_19_NCB_3,C16_AP_15_19_NCB_4,C16_AP_15_19_NCB_5,C16_AP_15_19_NCB_6mor,C16_AP_15_19_NCB_NS,C16_AP_15_19_Tot,C16_AP_20_24_NCB_0,C16_AP_20_24_NCB_1,C16_AP_20_24_NCB_2,C16_AP_20_24_NCB_3,C16_AP_20_24_NCB_4,C16_AP_20_24_NCB_5,C16_AP_20_24_NCB_6mor,C16_AP_20_24_NCB_NS,C16_AP_20_24_Tot,C16_AP_25_29_NCB_0,C16_AP_25_29_NCB_1,C16_AP_25_29_NCB_2,C16_AP_25_29_NCB_3,C16_AP_25_29_NCB_4,C16_AP_25_29_NCB_5,C16_AP_25_29_NCB_6mor,C16_AP_25_29_NCB_NS,C16_AP_25_29_Tot,C16_AP_30_34_NCB_0,C16_AP_30_34_NCB_1,C16_AP_30_34_NCB_2,C16_AP_30_34_NCB_3,C16_AP_30_34_NCB_4,C16_AP_30_34_NCB_5,C16_AP_30_34_NCB_6mor,C16_AP_30_34_NCB_NS,C16_AP_30_34_Tot,C16_AP_35_39_NCB_0,C16_AP_35_39_NCB_1,C16_AP_35_39_NCB_2,C16_AP_35_39_NCB_3,C16_AP_35_39_NCB_4,C16_AP_35_39_NCB_5,C16_AP_35_39_NCB_6mor,C16_AP_35_39_NCB_NS,C16_AP_35_39_Tot,C16_AP_40_44_NCB_0,C16_AP_40_44_NCB_1,C16_AP_40_44_NCB_2,C16_AP_40_44_NCB_3,C16_AP_40_44_NCB_4,C16_AP_40_44_NCB_5,C16_AP_40_44_NCB_6mor,C16_AP_40_44_NCB_NS,C16_AP_40_44_Tot,C16_AP_45_49_NCB_0,C16_AP_45_49_NCB_1
1GSYD,120059,1222,181,43,28,8,22,12293,133859,128115,8827,3319,744,141,42,56,11633,152882,116361,24086,13988,4581,1219,318,186,12260,173003,70754,35569,34876,12737,3961,1135,599,10449,170088,40563,29641,55875,24425,7399,2117,1287,9036,170338,29362,24484,59120,28955,9262,2789,1741,8112,163819,25464,22423,57177,28880,9753,2855,1845,7682,156088,22611,20450,51778,29008,10358,3066,1999,7288,146554,18211,16531,45121,26796,10030,3062,1939,6607,128291,14206,12739,41759,25314,9483,2925,1898,5949,114271,9567,8307,29739,19872,8331,2775,2041,5026,85662,6650,5827,20562,16090,7880,3151,2885,4633,67686,5341,4763,14563,12353,7064,3156,3470,4373,55079,4979,4595,12215,9735,5774,2781,3459,4953,48490,5837,6410,13431,9096,5033,2438,3065,8479,53796,618073,225878,453702,248628,95710,32635,26492,118776,1819894,123160,825,154,31,9,3,38,16163,140387,139941,7713,2880,594,109,32,60,17128,168452,131858,24052,13550,4205,1070,254,148,18166,193304,84190,43895,38223,12650,3721,1041,561,15107,199391,42649,33501,57304,22983,7149,2107,1270,11551,178513,30422,26233,63114,29185,9414,2806,1821,10061,173061,26392,24856
1RNSW,71796,1741,232,56,22,4,36,7073,80959,51598,8483,3909,959,223,43,39,3993,69241,32520,12779,11092,4413,1342,398,191,3087,65831,16883,12845,19517,9933,3444,1040,652,2801,67116,11213,10578,27783,16595,6020,1797,1221,3271,78478,10224,9892,30879,19115,7227,2204,1502,3406,84453,10715,9826,31600,20725,8007,2334,1493,3453,88149,10702,9220,32256,22784,9150,2568,1329,3773,91783,9229,8002,29856,21887,8799,2359,1198,3523,84852,7942,6902,29472,21316,8854,2539,1369,3618,82007,5976,5125,22176,17952,8572,2782,1753,3438,67785,4603,3470,14661,14315,8762,3435,2702,3160,55104,3566,2875,10039,10866,7361,3494,3255,3397,44852,2985,2870,8333,8285,5740,2881,2873,3553,37525,3249,3736,8746,7355,4693,2335,2450,5419,37979,253189,108344,280553,196557,88227,30217,22060,56964,1036112,66678,1206,160,38,16,9,28,9564,77692,53627,7342,3542,851,151,40,35,6519,72107,37133,13143,10972,4085,1139,345,162,5645,72630,19879,14542,20497,9731,3207,991,534,5151,74521,11380,10343,24768,14338,5294,1653,1092,4641,73505,9989,9850,29271,18015,6741,2123,1510,5406,82899,10695,9905
19499,283,22,3,0,0,0,0,62,372,433,68,22,10,0,4,0,83,608,397,65,41,26,6,0,0,95,641,259,70,56,29,19,9,0,81,520,133,42,60,38,20,12,9,76,385,113,38,54,26,18,3,11,75,340,86,35,69,41,20,5,6,54,319,68,39,89,57,20,10,9,68,355,53,39,100,90,33,3,0,42,357,41,34,118,64,34,11,0,44,355,28,17,71,43,20,12,12,26,211,18,7,28,23,17,8,6,35,137,0,3,7,6,3,0,3,8,50,0,4,9,10,5,3,0,15,47,3,3,19,10,10,0,0,25,72,1910,476,756,476,229,84,60,790,4779,167,10,5,0,0,0,0,51,231,421,27,17,0,0,0,0,149,614,401,28,31,13,0,0,5,159,634,199,46,39,21,9,3,0,128,453,114,35,41,31,10,3,0,97,335,96,32,25,30,10,5,6,82,296,86,27
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,12,0,0,6,4,0,0,0,0,10,0,0,3,3,0,4,0,0,14,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,3,3,19,10,4,4,0,3,54,5,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,8,4,0,4,0,0,0,0,5,8,0,0,6,0,0,0,0,0,3,0,0,3,0,0,0,0,0,10,0,0
2GMEL,111652,837,153,53,17,7,36,10876,123634,127565,7127,2365,494,79,27,72,9949,147680,113217,20998,10989,3265,861,193,105,9489,159114,67485,32530,30274,9677,2621,740,423,7736,151484,38474,26795,52052,21236,5610,1601,976,6742,153491,28272,22167,59453,27362,7629,2019,1313,6467,154680,23152,19041,54176,27729,8177,2107,1383,5914,141678,19851,16305,49461,27855,8916,2233,1437,5713,131763,15507,13482,43406,25708,8657,2358,1364,5120,115602,11583,10657,40349,25089,9019,2514,1465,4874,105543,7345,6810,28521,19811,8108,2639,1764,4361,79364,5200,4845,19550,16152,8238,3114,2603,4224,63931,4201,4166,14192,12558,7242,3098,3287,4029,52772,3845,4064,11375,9662,5729,2756,3200,4565,45187,4515,5249,12085,8700,4829,2323,2671,7519,47893,581869,195073,428397,235359,85734,27718,22092,97586,1673817,115954,575,86,14,10,5,28,15601,132274,139602,6506,2274,465,79,17,44,16008,165008,128909,22960,11355,3243,832,197,125,16335,183947,81423,42456,35388,10132,2808,831,476,13601,187110,41030,30734,54380,19524,5250,1517,1080,10060,163568,29544,24620,59832,26257,7333,2145,1569,9232,160526,26049,22658
2RVIC,39688,732,122,28,15,5,26,3822,44439,27967,3964,1838,408,84,22,28,1929,36236,19181,6861,5356,2101,616,158,54,1589,35917,10118,7007,10351,5069,1673,492,265,1405,36381,6888,5817,14574,8979,3079,887,517,1639,42375,6079,5190,16653,10898,4022,1141,743,1745,46465,6181,4752,16920,11946,4652,1305,781,1867,48405,5946,4492,16518,12814,5281,1399,786,1815,49050,4995,3891,16274,12374,5157,1399,727,1806,46621,4074,3257,15434,12215,5419,1664,846,2011,44911,2866,2220,10444,9799,5157,1870,1259,1822,35441,2190,1500,6429,7386,5036,2241,1949,1701,28436,1632,1208,4357,5376,4271,2191,2256,1772,23071,1472,1310,3833,4232,3391,1776,1982,1926,19921,1783,1720,4484,4124,2856,1456,1652,2721,20803,141052,53938,143585,107749,50703,18013,13869,29565,558463,35949,449,78,15,8,3,10,5532,42041,29461,3496,1548,349,72,18,21,3641,38609,21311,6859,5354,1931,526,114,64,3147,39309,11643,8050,11000,4989,1572,427,246,2938,40867,6824,5730,13305,7806,2708,760,513,2640,40283,6158,5279,15427,9900,3533,1080,707,2986,45074,6211,5280
29499,177,21,0,0,0,0,0,61,258,353,37,15,0,0,0,3,95,503,371,45,32,13,9,7,0,83,546,193,49,35,16,7,6,3,57,359,103,27,50,36,3,9,12,43,276,80,35,40,17,16,3,3,51,248,49,15,38,19,11,12,8,48,197,38,19,47,30,11,3,0,36,176,29,14,48,47,12,3,4,15,180,18,16,42,46,19,7,3,12,168,10,5,26,26,12,5,3,7,94,7,4,11,16,3,4,0,10,52,0,6,4,4,5,0,5,5,19,5,0,3,8,0,4,3,0,22,4,4,0,5,8,3,6,5,30,1432,300,396,273,114,57,45,516,3134,118,11,0,0,0,0,0,48,175,299,26,14,3,0,0,0,111,451,282,40,13,6,0,3,0,104,450,163,29,29,17,4,0,5,96,344,82,23,32,24,6,7,8,81,251,68,22,33,19,12,3,9,68,228,41,11
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,63552,1310,164,32,15,13,22,5385,70486,63081,6673,2829,701,152,24,39,4614,78110,49699,12442,8528,3189,980,272,131,4263,79510,28006,15169,17351,7072,2500,771,450,3545,74862,16781,12973,26410,12466,4146,1354,961,3308,78388,12985,10913,28267,14470,5067,1586,1202,3243,77729,11040,9142,26392,14722,5215,1699,1176,2881,72269,9011,7792,23874,15168,5778,1680,1051,2741,67099,7294,6255,21147,13886,5673,1634,960,2521,59362,5682,5163,19553,13378,5532,1597,1063,2400,54378,3891,3429,12848,10045,4644,1680,1088,1943,39561,2778,2062,7486,7246,4444,1929,1540,1746,29230,2120,1617,4924,5173,3543,1818,1841,1760,22791,1767,1545,4099,4068,2849,1539,1691,1995,19559,2002,2051,4517,3847,2523,1334,1453,3790,21518,279693,98524,208385,125461,53065,18934,14666,46127,844852,64092,802,112,22,4,3,13,7002,72056,68394,5965,2626,602,140,22,45,7424,85210,53730,12603,8701,3066,945,264,145,7044,86491,33087,18394,19355,7174,2438,780,529,5928,87677,17625,13818,26232,11506,3952,1327,986,4594,80044,13621,11967,29434,14480,4968,1661,1379,4508,82020,12123,11067
3RQLD,63803,1766,273,46,20,5,28,6800,72745,49164,8379,3732,951,218,40,42,5092,67606,36308,13272,10846,4277,1409,433,214,4555,71312,19860,13273,18828,9076,3212,1123,703,4177,70252,12940,11681,26645,14422,5347,1773,1317,4191,78310,11319,10493,29094,16542,6311,2064,1525,4288,81628,10756,9845,28462,17457,7081,2229,1448,4235,81510,9743,8501,27039,18348,7525,2235,1389,4159,78933,7931,7139,24548,16922,6902,2111,1300,3681,70537,6586,6175,23464,16162,7012,2139,1295,3519,66354,4990,4309,16538,13275,6495,2381,1611,3085,52684,3435,2795,9977,9889,6088,2693,2101,2747,39727,2341,2001,6109,6711,4841,2472,2327,2644,29451,1987,1888,4840,4826,3469,1947,2065,2815,23834,1900,2309,4772,4061,2764,1491,1690,4616,23600,243064,103822,235170,152951,68685,25131,19050,60611,908484,62409,1139,172,32,24,10,21,9023,72829,52543,7307,3386,853,159,27,44,7461,71790,39317,12932,10511,3972,1187,321,153,7111,75499,22765,15149,20142,9130,3038,1003,631,6296,78161,13038,11328,24859,12903,4901,1625,1226,5599,75466,11159,11044,28773,16012,6191,2088,1630,6019,82913,11404,10873
