GCCSA_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
1GSYD,7669,2639,2093,6031,77803,4326,4435,16813,13083,6479,2594,2553,5926,56208,4814,5138,15383,12678,7346,3472,4173,11907,64908,750095,292194,560215,278830,101240,33208,24794,137365,2177951
1RNSW,7538,2416,1513,5750,62180,3147,2440,10966,10895,6589,2629,1968,5259,43907,3122,3043,10106,10316,7107,3372,3097,7712,47884,305789,125671,324645,211070,87254,27548,18239,91021,1191247
19499,11,3,0,17,66,5,0,5,7,4,0,0,12,39,3,0,3,7,5,0,6,13,32,1342,373,647,366,165,69,56,1357,4381
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,7618,2473,1849,5014,73536,3637,3875,16363,13602,6892,2576,2359,4748,54062,4067,4828,15823,13687,7801,3533,3973,7820,61530,725394,265171,547722,265539,89587,27706,21231,120956,2063309
2RVIC,4703,1662,1156,3342,33714,1486,1097,4992,5798,3857,1782,1493,3002,23499,1500,1460,4712,5334,4273,2122,2277,4238,25907,174337,67526,174916,119872,50776,16349,11359,51921,667057
29499,3,0,0,16,42,0,0,4,6,0,0,0,0,14,0,0,0,4,3,5,0,5,19,1016,266,399,261,111,38,42,1239,3373
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
3GBRI,4416,1554,1113,2509,37371,1978,1590,6242,6079,3617,1582,1273,2347,24702,1928,1882,5653,5538,3735,1977,2011,4036,26771,348815,130244,270151,146749,57458,19834,14753,60574,1048582
3RQLD,5883,2130,1439,4614,49376,2410,2056,7945,7733,4715,2023,1595,3856,32324,2175,2196,6295,6571,4717,2389,2364,5617,32328,300425,125374,288888,173270,72801,24682,17617,89653,1092718
39499,9,8,4,19,124,6,0,11,8,0,5,5,10,37,0,0,3,6,0,3,0,3,25,1770,525,1137,733,317,128,80,1441,6127
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,24,28
4GADE,2349,693,433,1613,25896,1272,1299,5759,5073,2542,844,608,1545,18937,1382,1769,5761,5487,3181,1484,1212,2265,22535,189350,75562,170863,83262,28403,8935,6372,28681,591428
4RSAU,1154,380,225,871,9541,374,297,1460,1725,1042,404,285,732,6318,358,319,1234,1524,1150,581,515,883,6558,36437,16208,46567,31242,12603,4102,2651,12818,162625
49499,0,0,0,0,15,0,0,0,8,0,0,0,0,17,0,0,0,0,0,0,0,5,10,398,135,214,160,59,21,18,307,1306
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,3464,1025,657,2289,31734,1433,1462,6340,6304,3458,1191,803,2272,23261,1415,1494,5542,5822,3838,1713,1506,3713,25048,275017,108775,246397,128516,45735,13808,9143,49081,876467
5RWAU,1174,408,236,942,8444,267,235,1145,1457,1000,427,296,726,5565,220,246,845,1203,1027,548,466,842,5399,50438,21605,55331,37083,15985,5341,3588,22455,211827
59499,0,0,0,13,26,0,0,0,4,0,0,0,10,15,0,0,0,0,0,0,0,12,16,734,203,417,264,108,47,40,1222,3030
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,5,0,3,0,0,20,61
6GHOB,507,152,98,368,4667,244,224,924,872,459,198,147,304,3362,263,223,782,804,549,265,235,396,3516,34836,13571,27811,15089,5720,1954,1279,6081,106333
6RTAS,859,331,181,671,6823,333,266,946,1118,742,349,251,542,4543,324,289,835,966,704,362,357,590,4415,34545,14990,35465,22330,9500,3425,2177,9357,131795
69499,0,0,0,5,8,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,199,62,74,53,24,13,5,125,561
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,139,38,50,102,1086,60,48,153,146,93,47,53,98,692,28,30,80,80,63,47,55,78,465,19112,7370,12327,6744,2773,928,702,5341,55301
