GCCSA_CODE_2021,Netherlands_C11_P,Netherlands_C16_M,Netherlands_C16_F,Netherlands_C16_P,Netherlands_C21_M,Netherlands_C21_F,Netherlands_C21_P,New_Zealand_C11_M,New_Zealand_C11_F,New_Zealand_C11_P,New_Zealand_C16_M,New_Zealand_C16_F,New_Zealand_C16_P,New_Zealand_C21_M,New_Zealand_C21_F,New_Zealand_C21_P,Pakistan_C11_M,Pakistan_C11_F,Pakistan_C11_P,Pakistan_C16_M,Pakistan_C16_F,Pakistan_C16_P,Pakistan_C21_M,Pakistan_C21_F,Pakistan_C21_P,Philippines_C11_M,Philippines_C11_F,Philippines_C11_P,Philippines_C16_M,Philippines_C16_F,Philippines_C16_P,Philippines_C21_M,Philippines_C21_F,Philippines_C21_P,Poland_C11_M,Poland_C11_F,Poland_C11_P,Poland_C16_M,Poland_C16_F,Poland_C16_P,Poland_C21_M,Poland_C21_F,Poland_C21_P,Singapore_C11_M,Singapore_C11_F,Singapore_C11_P,Singapore_C16_M,Singapore_C16_F,Singapore_C16_P,Singapore_C21_M,Singapore_C21_F,Singapore_C21_P,South_Africa_C11_M,South_Africa_C11_F,South_Africa_C11_P,South_Africa_C16_M,South_Africa_C16_F,South_Africa_C16_P,South_Africa_C21_M,South_Africa_C21_F,South_Africa_C21_P,Sri_Lanka_C11_M,Sri_Lanka_C11_F,Sri_Lanka_C11_P,Sri_Lanka_C16_M,Sri_Lanka_C16_F,Sri_Lanka_C16_P,Sri_Lanka_C21_M,Sri_Lanka_C21_F,Sri_Lanka_C21_P,Taiwan_C11_M,Taiwan_C11_F,Taiwan_C11_P,Taiwan_C16_M,Taiwan_C16_F,Taiwan_C16_P,Taiwan_C21_M,Taiwan_C21_F,Taiwan_C21_P,Thailand_C11_M,Thailand_C11_F,Thailand_C11_P,Thailand_C16_M,Thailand_C16_F,Thailand_C16_P,Thailand_C21_M,Thailand_C21_F,Thailand_C21_P,Unitd_Kingdom_C11_M,Unitd_Kingdom_C11_F,Unitd_Kingdom_C11_P,Unitd_Kingdom_C16_M,Unitd_Kingdom_C16_F,Unitd_Kingdom_C16_P,Unitd_Kingdom_C21_M,Unitd_Kingdom_C21_F,Unitd_Kingdom_C21_P,Unit_Sts_Amer_C11_M,Unit_Sts_Amer_C11_F,Unit_Sts_Amer_C11_P,Unit_Sts_Amer_C16_M,Unit_Sts_Amer_C16_F,Unit_Sts_Amer_C16_P,Unit_Sts_Amer_C21_M,Unit_Sts_Amer_C21_F,Unit_Sts_Amer_C21_P,Vietnam_C11_M,Vietnam_C11_F,Vietnam_C11_P,Vietnam_C16_M,Vietnam_C16_F,Vietnam_C16_P,Vietnam_C21_M,Vietnam_C21_F,Vietnam_C21_P,Born_elsewhere_C11_M,Born_elsewhere_C11_F,Born_elsewhere_C11_P,Born_elsewhere_C16_M,Born_elsewhere_C16_F,Born_elsewhere_C16_P,Born_elsewhere_C21_M,Born_elsewhere_C21_F,Born_elsewhere_C21_P,Country_birt_ns_C11_M,Country_birt_ns_C11_F,Country_birt_ns_C11_P,Country_birt_ns_C16_M,Country_birt_ns_C16_F,Country_birt_ns_C16_P,Country_birt_ns_C21_M,Country_birt_ns_C21_F,Country_birt_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
1GSYD,10175,4850,4631,9483,4447,4256,8698,42767,42180,84948,43700,42825,86522,43696,41792,85493,7064,5447,12511,13682,9155,22844,17881,13145,31025,25773,37068,62841,30998,44480,75478,37403,53938,91339,5210,6784,11993,4903,6423,11324,5026,6646,11669,4699,5504,10201,5318,6214,11524,6143,7059,13204,16556,17090,33651,17390,17928,35313,19581,19989,39564,11060,11075,22132,13915,12649,26572,14602,14188,28787,3527,4661,8181,5131,6820,11954,5672,7380,13051,5279,9880,15160,7992,15237,23229,8600,17732,26330,95140,87083,182227,94562,85679,180241,95963,85516,181476,9803,10140,19947,11192,11655,22844,12557,13349,25903,31813,37967,69780,36281,44760,81041,41173,52605,93778,130525,137657,268174,144866,152922,297790,164437,175528,339969,131823,123686,255505,148539,149796,298332,121267,118020,239286,2162218,2229456,4391673,2376771,2447226,4823993,2585238,2645912,5231147
1RNSW,7999,3659,3709,7371,3396,3640,7038,14315,14547,28864,15010,15266,30278,16379,16459,32840,503,353,857,1032,621,1654,1845,1021,2863,1841,5650,7487,3236,7948,11183,4904,10632,15537,988,1333,2318,886,1217,2108,883,1265,2150,408,592,1001,483,706,1191,628,824,1453,3213,3314,6526,3805,3861,7669,4961,5158,10124,790,771,1559,1114,1039,2151,1361,1266,2627,173,296,470,587,876,1469,516,934,1452,649,1708,2355,925,2528,3452,1329,3959,5286,45299,46595,91896,44512,45504,90014,46255,47249,93501,3097,3376,6476,3355,3800,7151,4036,4823,8856,968,1006,1973,1366,1634,3003,1821,2360,4183,24092,23591,47684,25128,25648,50778,29343,30950,60294,68950,65758,134709,102805,105149,207952,93133,91658,184790,1239009,1273940,2512950,1301714,1341814,2643535,1392556,1437081,2829637
19499,42,27,16,48,22,17,37,250,165,416,186,137,319,105,92,194,12,5,16,22,10,34,6,3,14,25,32,56,35,54,86,26,32,50,10,9,19,7,9,20,3,3,14,10,11,23,4,13,16,3,6,10,36,26,68,43,32,78,26,28,55,9,5,15,5,3,11,5,7,12,7,18,26,37,38,75,13,34,43,7,18,23,14,24,38,0,14,12,387,302,688,322,272,599,211,160,367,48,57,104,45,38,85,33,30,64,44,39,87,38,35,73,19,18,34,325,233,559,323,251,580,199,197,393,991,523,1518,1382,866,2246,2087,1460,3545,7588,5327,12915,7353,4938,12288,6375,4997,11371
19799,0,0,0,0,0,0,0,0,0,5,6,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,14,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17,0,0,0,9,8,10,3,15,25,0,0,0,3,0,4,10,22,37,0,0,0,58,57,115,174,240,419,0,0,0
2GMEL,13932,6346,6269,12621,5798,5761,11558,33486,33563,67045,39345,39561,78904,41538,41397,82939,5383,3370,8751,12700,7335,20032,17124,11945,29067,13516,20407,33922,18227,26931,45154,23810,35125,58935,6507,8555,15061,5722,7854,13582,5504,7549,13052,5887,7167,13045,6965,8383,15355,7743,9340,17087,10652,11158,21816,11812,12359,24167,13245,13813,27056,21767,20890,42657,28073,25961,54032,33620,31529,65152,2263,3073,5334,3552,5057,8606,3766,5600,9362,3305,6215,9517,4722,9182,13909,5440,11920,17360,83884,81950,165834,82837,80124,162961,82771,79144,161913,7049,7302,14350,8146,8615,16761,9682,10551,20231,30587,36448,67037,35166,43889,79058,39560,50983,90552,122977,129173,252145,136726,145557,282280,153126,166260,319386,107824,101420,209238,138321,142560,280875,108878,106094,214972,1966501,2033478,3999980,2199598,2285613,4485210,2420718,2497033,4917750
2RVIC,7667,3616,3548,7168,3458,3451,6901,6580,6347,12925,7042,7095,14134,8007,8243,16247,253,171,421,655,418,1081,1138,708,1854,1118,2927,4047,1920,4166,6092,3237,6245,9480,568,745,1307,497,617,1114,494,643,1140,284,348,628,308,386,695,384,476,853,1246,1358,2601,1470,1526,2989,2037,2148,4186,687,609,1297,955,821,1778,1560,1323,2883,136,189,321,483,755,1234,507,836,1348,436,787,1224,717,1339,2060,1277,2414,3690,22736,24372,47109,22492,24016,46507,24623,25988,50614,1165,1276,2444,1344,1549,2891,1683,2004,3691,641,519,1162,830,818,1655,1404,1611,3011,11087,10808,21894,11624,11659,23285,14574,14762,29338,34262,33393,67652,58197,60613,118807,52802,51752,104552,661409,684310,1345712,704122,729690,1433818,775038,801575,1576613
29499,37,14,10,28,9,13,22,144,117,259,116,94,214,87,65,157,9,3,22,6,0,12,13,7,22,9,26,29,24,23,42,21,25,46,9,6,13,3,10,10,4,0,10,12,12,23,9,8,18,0,10,12,22,11,37,12,9,27,17,11,28,29,11,41,14,7,26,16,17,33,8,15,24,17,40,63,8,8,15,10,13,24,6,11,14,6,12,13,243,183,425,168,139,305,119,85,206,29,22,54,21,17,41,25,11,36,53,44,98,33,46,76,15,16,38,224,199,429,247,225,477,164,161,322,511,360,874,689,472,1166,2079,1339,3416,4674,3631,8310,4329,3241,7572,5170,3915,9089
29799,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,5,24,3,27,34,0,38,26,0,26,36,6,38
3GBRI,7176,3398,3183,6585,3280,3125,6402,50036,49248,99284,53077,52977,106055,55739,55912,111649,998,764,1762,2052,1453,3505,2674,2223,4897,5372,10573,15945,7205,13595,20799,9822,18084,27907,1377,1709,3082,1298,1678,2978,1382,1878,3261,1965,2269,4237,2159,2617,4771,2332,2834,5171,9708,9882,19588,10945,11126,22063,13404,13513,26918,2841,2758,5592,3622,3470,7086,4413,4339,8748,4085,5115,9192,5086,6885,11978,5389,7432,12826,1218,2634,3854,1680,3755,5434,2226,5296,7521,56542,53041,109581,55550,52350,107899,58680,55225,113907,4214,4092,8301,4477,4445,8925,5155,5370,10530,6453,7654,14105,7459,9266,16727,8785,11525,20308,39888,41804,81697,46988,50125,97114,56174,61401,117579,54713,49224,103935,69209,70191,139398,57925,54934,112860,1019554,1046442,2065996,1117452,1153351,2270807,1242349,1283890,2526238
3RQLD,7725,3788,3609,7393,3709,3566,7273,45499,46383,91883,46465,48103,94574,47435,48920,96351,354,234,588,696,465,1163,905,609,1517,3906,9566,13468,5759,13046,18806,7197,16355,23549,839,1120,1960,861,1174,2031,1021,1447,2466,757,982,1736,845,1081,1925,1046,1321,2361,7876,8015,15892,8911,9100,18018,11170,11522,22699,1221,873,2098,1429,1228,2656,1698,1551,3252,672,998,1671,1310,2179,3492,1411,2322,3732,869,2284,3150,1196,3330,4526,1505,4828,6334,51755,51960,103718,52437,53047,105491,55882,56622,112507,3689,3734,7417,3833,4227,8067,4587,5091,9680,977,1161,2138,1194,1598,2788,1679,2439,4119,26138,26960,53101,29442,31681,61120,37062,40853,77917,79282,67382,146660,104051,98019,202067,101447,88608,190060,1121234,1132488,2253725,1197426,1222294,2419723,1290035,1325000,2615036
