GCCSA_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
1GSYD,108729,798864,15705,1133987,221,948,426,9092,219,10905,455794,6755,11260,10386,3778,487972,25101,3302,1993,6772,316,37481,22845,6864,4054,10721,372,44847,302101,123097,87572,691164,16210,1220142,91229,2193,6903,1159,926,102415,19178,2570,1751,7760,318,31573,45195,11242,7873,57218,1379,122901,68546,11558,6123,30295,1188,117711,12613,2198,1156,2855,156,18979,186035,2884,2454,1544,1097,194017,76661,34031,23330,278191,4424,416638,102236,24742,11426,63655,2108,204162,61459,400,1213,412,286,63763,107839,20982,9515,20351,1688,160370,19203,2161,1231,3206,191,25994,27900,6967,3952,17792,552,57162,18158,2787,1778,1190,403,24317,22103,7300,5382,2966,318,38069,25071,3475,2621,6276,265,37712,20236,1568,1518,2888,316,26528,20876,2049,877,448,503,24760,66971,29370,21371,186471,3272,307455,19216,1644,1035,1870,284,24049,21670,2583,1951,813,148,27161,32641,1890,1596,2960,354,39436,21799,822,653,428,123,23825,99631,1212,2363,1012,1234,105444,10222,2672,1753,9231,177,24044,650912,45409,35769,43663,6833,782587,25529,2399,1829,14002,261215,304969,2385353,310179,219849,1595037,313575,4823993,89579,162965,122933,783384
1RNSW,57622,955609,20321,1123704,73,629,264,18363,508,19839,18222,979,1347,5251,316,26114,4603,921,451,1719,94,7786,14784,4923,3200,9987,344,33232,123171,74497,54305,807717,19229,1078928,10934,405,2680,540,272,14833,4149,982,790,6591,152,12660,20948,7660,5369,77244,1601,112833,6332,1909,755,5847,199,15039,3181,768,345,1289,81,5657,15446,724,543,920,138,17769,24679,17002,11541,266009,4718,323950,22598,7844,3066,33270,912,67685,2392,63,183,139,25,2801,2710,824,415,2082,83,6114,9423,1193,600,2258,157,13627,4893,1635,898,4703,148,12283,4754,1476,1000,1381,144,8760,7090,3917,2901,2349,206,16462,7415,1610,1066,4510,170,14769,2662,524,441,1427,45,5099,1656,545,200,161,48,2614,32585,20049,14522,207670,3879,278718,3257,393,260,605,66,4587,4139,812,640,499,57,6148,5200,680,513,2586,137,9112,1838,176,158,188,35,2395,3474,150,262,123,38,4048,5609,2117,1291,9280,204,18499,74456,14398,10678,25589,1688,126811,4066,1249,894,23956,172041,202205,375394,147639,104924,1799836,215742,2643535,14508,89870,67018,953745
19499,201,2589,86,3251,0,3,5,92,5,107,434,8,8,18,4,469,29,0,0,0,0,36,77,18,14,34,0,145,807,254,190,1950,72,3273,77,0,20,7,0,101,64,10,3,26,4,107,148,27,19,200,8,401,47,8,0,21,3,82,21,3,0,8,0,37,140,0,0,3,0,146,207,64,39,712,14,1040,119,27,16,95,5,268,47,0,0,0,0,47,77,9,5,13,0,112,8,0,0,0,0,13,20,8,0,11,0,43,52,12,6,4,3,75,60,19,12,3,10,95,40,7,7,17,0,72,19,0,4,8,3,32,50,7,0,3,0,56,191,58,46,536,13,843,11,0,0,0,0,18,35,4,7,3,0,48,58,0,0,8,0,70,9,0,0,0,0,11,78,3,5,0,0,87,35,8,4,21,0,62,867,68,52,101,27,1115,49,5,8,67,3195,3317,3257,554,395,4678,3397,12288,84,252,196,2300
19799,7,91,0,124,0,0,0,0,0,0,36,0,0,4,0,37,0,0,0,0,0,0,0,0,0,0,0,0,39,6,8,72,3,135,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,33,0,41,8,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,9,0,0,0,0,9,0,0,0,0,0,0,12,0,6,20,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,22,0,0,0,0,23,13,0,0,5,36,48,163,19,15,174,45,419,0,0,0,0
2GMEL,99279,779970,14363,1077375,273,336,161,3269,80,4114,334087,4394,7643,7630,2572,356323,24876,3290,1810,5699,351,36026,32168,9865,6158,17900,582,66679,268958,117194,86452,704544,15906,1193057,53378,1073,4742,740,568,60499,15410,2047,1581,7599,259,26900,44585,13030,8884,67692,1536,135718,101168,14712,7655,36760,1806,162100,12686,2117,1265,3249,225,19539,189857,3295,2389,1683,1226,198450,63767,32225,21678,287900,4529,410096,151017,33117,16033,96279,3661,300113,16191,133,422,178,75,16999,31086,6030,2728,4659,592,45094,29279,3447,1967,5865,437,40995,35974,7447,4642,17260,596,65920,14008,1486,1131,723,307,17655,19661,5826,4448,2043,301,32277,30890,4669,3448,8929,405,48336,17240,1308,1301,2278,212,22337,14529,855,409,152,335,16283,64913,29232,22261,209095,3567,329066,17228,1486,857,1593,242,21407,15005,2070,1467,719,121,19384,17975,1343,1100,2741,228,23381,50707,2317,1569,1488,316,56399,100274,1205,2366,795,1267,105905,8386,2301,1588,8928,166,21366,530551,38456,30511,42824,6388,648726,24581,2247,1760,15647,233690,277923,2072067,288565,206202,1634120,284251,4485210,76764,152538,116050,797068
2RVIC,28235,488882,10903,574013,30,161,40,2608,85,2931,9676,375,613,3178,179,14016,4422,704,342,1520,94,7083,13448,4597,2897,9616,347,30903,62834,38023,27641,434944,10931,574375,6072,159,1168,212,158,7772,1710,406,281,3363,87,5844,11618,4350,2890,46020,1016,65901,3877,1006,359,2909,125,8273,2047,417,212,804,54,3545,9597,375,201,398,90,10662,13090,9453,5964,155239,2803,186544,17425,5333,2170,26521,905,52350,717,4,42,35,9,810,503,179,73,435,10,1198,1608,258,126,539,39,2573,3515,1050,525,2715,109,7910,2036,459,310,410,44,3265,3257,1651,1326,886,84,7207,4226,864,507,2449,123,8169,1314,212,166,602,36,2335,656,106,52,39,8,861,16808,10351,7433,125652,2487,162732,1487,202,110,280,44,2121,1702,326,225,245,29,2524,1820,291,238,1203,41,3595,1642,199,126,188,17,2170,1841,81,133,44,36,2140,2367,780,499,4146,85,7876,40683,6451,4800,13759,948,66642,2630,695,568,14641,95077,113604,209449,76587,53397,974480,119909,1433818,8638,47505,34252,519374
29499,127,1448,68,1895,0,3,0,24,0,29,275,5,3,8,0,297,13,4,0,3,0,23,48,17,15,29,3,102,405,138,103,1064,63,1778,41,4,0,0,0,45,31,9,5,0,0,47,77,27,13,109,8,224,39,11,5,19,0,73,8,5,0,0,0,12,134,8,6,0,0,142,107,53,26,408,21,609,111,29,15,89,6,247,34,0,0,0,0,34,16,9,0,11,0,37,9,0,0,0,0,16,22,4,0,16,0,41,38,4,3,3,0,50,45,12,4,10,4,78,24,3,0,12,0,39,26,0,0,0,0,28,30,0,4,0,0,35,100,28,22,319,17,480,10,3,0,0,0,16,10,0,0,0,0,9,21,4,0,0,0,25,18,0,0,0,0,19,96,0,0,0,0,97,11,3,0,23,0,40,668,53,29,66,25,854,42,5,3,38,1914,1997,2209,378,235,2654,2091,7572,61,230,123,1415
29799,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,3,0,10,3,26,0,0,0,0
3GBRI,66318,553885,9693,733810,97,503,251,6185,128,7163,87958,2051,3401,5488,695,99593,4036,788,384,1197,56,6449,17221,5484,3373,9092,292,35463,199518,78195,58078,495506,10899,842199,23364,654,3767,547,261,28591,7867,1255,935,4637,117,14811,24914,9456,6638,93906,1533,136452,7193,2572,1139,6856,217,17971,4141,815,389,1175,45,6574,50540,1354,1022,974,348,54227,44868,20412,14248,197051,2910,279489,19918,7522,3340,27498,618,58891,13918,64,405,137,51,14568,2171,703,334,1576,43,4825,1099,168,101,186,10,1571,2237,1027,563,2644,59,6528,25133,2630,1862,936,446,31008,21657,6372,5043,2045,290,35413,8069,1602,1088,4203,143,15104,5006,656,577,1870,74,8181,20024,1306,695,243,349,22621,51490,19967,14761,145977,2394,234585,3713,367,243,368,47,4734,12169,1160,935,395,71,14724,8967,805,636,2048,99,12559,6441,379,291,298,39,7448,22702,479,753,356,220,24503,6424,1556,1058,6744,112,15884,165522,16722,15141,26338,2202,225921,7935,1224,967,11969,126129,148222,723339,158957,120723,1115504,152277,2270807,26450,99605,79896,584727
3RQLD,63263,742465,14434,911659,108,708,326,28194,384,29716,25541,1205,1676,7692,403,36509,3384,673,313,1244,59,5672,17616,4752,3349,9034,334,35085,191184,70645,55598,616696,14621,948741,18941,468,3670,769,335,24180,7089,1053,892,5245,185,14460,25620,8971,6752,115850,2114,159301,4100,1645,749,4964,120,11577,3519,682,299,976,76,5548,17636,703,473,825,144,19781,38067,16390,12182,213305,3765,283708,20954,8281,3824,38534,924,72517,6823,43,240,101,44,7248,1107,400,207,1122,17,2858,602,108,64,194,4,976,3835,1507,890,5213,117,11561,17307,2150,1640,1133,293,22528,19304,5984,4482,2205,282,32261,6035,1132,802,3597,117,11682,3452,518,448,1546,53,6023,3150,430,205,259,52,4092,47865,17914,13690,168331,3179,250975,1751,250,120,317,34,2467,9785,885,772,433,60,11940,5926,768,511,2798,106,10110,2341,191,127,275,18,2947,3303,121,225,87,50,3789,6254,1423,961,6607,193,15438,99077,14251,13779,42540,2084,171729,5736,1298,1074,19551,176390,204052,498673,143332,113303,1454142,210271,2419723,18288,86610,73142,735945
