GCCSA_CODE_2021,UOL_Pe_ex_Da_C11_P,UOL_Pe_ex_Da_C16_M,UOL_Pe_ex_Da_C16_F,UOL_Pe_ex_Da_C16_P,UOL_Pe_ex_Da_C21_M,UOL_Pe_ex_Da_C21_F,UOL_Pe_ex_Da_C21_P,UOL_Portuguese_C11_M,UOL_Portuguese_C11_F,UOL_Portuguese_C11_P,UOL_Portuguese_C16_M,UOL_Portuguese_C16_F,UOL_Portuguese_C16_P,UOL_Portuguese_C21_M,UOL_Portuguese_C21_F,UOL_Portuguese_C21_P,UOL_Punjabi_C11_M,UOL_Punjabi_C11_F,UOL_Punjabi_C11_P,UOL_Punjabi_C16_M,UOL_Punjabi_C16_F,UOL_Punjabi_C16_P,UOL_Punjabi_C21_M,UOL_Punjabi_C21_F,UOL_Punjabi_C21_P,UOL_Russian_C11_M,UOL_Russian_C11_F,UOL_Russian_C11_P,UOL_Russian_C16_M,UOL_Russian_C16_F,UOL_Russian_C16_P,UOL_Russian_C21_M,UOL_Russian_C21_F,UOL_Russian_C21_P,UOL_Serbian_C11_M,UOL_Serbian_C11_F,UOL_Serbian_C11_P,UOL_Serbian_C16_M,UOL_Serbian_C16_F,UOL_Serbian_C16_P,UOL_Serbian_C21_M,UOL_Serbian_C21_F,UOL_Serbian_C21_P,UOL_Sinhalese_C11_M,UOL_Sinhalese_C11_F,UOL_Sinhalese_C11_P,UOL_Sinhalese_C16_M,UOL_Sinhalese_C16_F,UOL_Sinhalese_C16_P,UOL_Sinhalese_C21_M,UOL_Sinhalese_C21_F,UOL_Sinhalese_C21_P,UOL_Spanish_C11_M,UOL_Spanish_C11_F,UOL_Spanish_C11_P,UOL_Spanish_C16_M,UOL_Spanish_C16_F,UOL_Spanish_C16_P,UOL_Spanish_C21_M,UOL_Spanish_C21_F,UOL_Spanish_C21_P,UOL_Tagalog_C11_M,UOL_Tagalog_C11_F,UOL_Tagalog_C11_P,UOL_Tagalog_C16_M,UOL_Tagalog_C16_F,UOL_Tagalog_C16_P,UOL_Tagalog_C21_M,UOL_Tagalog_C21_F,UOL_Tagalog_C21_P,UOL_Tamil_C11_M,UOL_Tamil_C11_F,UOL_Tamil_C11_P,UOL_Tamil_C16_M,UOL_Tamil_C16_F,UOL_Tamil_C16_P,UOL_Tamil_C21_M,UOL_Tamil_C21_F,UOL_Tamil_C21_P,UOL_Thai_C11_M,UOL_Thai_C11_F,UOL_Thai_C11_P,UOL_Thai_C16_M,UOL_Thai_C16_F,UOL_Thai_C16_P,UOL_Thai_C21_M,UOL_Thai_C21_F,UOL_Thai_C21_P,UOL_Turkish_C11_M,UOL_Turkish_C11_F,UOL_Turkish_C11_P,UOL_Turkish_C16_M,UOL_Turkish_C16_F,UOL_Turkish_C16_P,UOL_Turkish_C21_M,UOL_Turkish_C21_F,UOL_Turkish_C21_P,UOL_Urdu_C11_M,UOL_Urdu_C11_F,UOL_Urdu_C11_P,UOL_Urdu_C16_M,UOL_Urdu_C16_F,UOL_Urdu_C16_P,UOL_Urdu_C21_M,UOL_Urdu_C21_F,UOL_Urdu_C21_P,UOL_Viet_C11_M,UOL_Viet_C11_F,UOL_Viet_C11_P,UOL_Viet_C16_M,UOL_Viet_C16_F,UOL_Viet_C16_P,UOL_Viet_C21_M,UOL_Viet_C21_F,UOL_Viet_C21_P,UOL_Other_C11_M,UOL_Other_C11_F,UOL_Other_C11_P,UOL_Other_C16_M,UOL_Other_C16_F,UOL_Other_C16_P,UOL_Other_C21_M,UOL_Other_C21_F,UOL_Other_C21_P,Lang_used_home_NS_C11_M,Lang_used_home_NS_C11_F,Lang_used_home_NS_C11_P,Lang_used_home_NS_C16_M,Lang_used_home_NS_C16_F,Lang_used_home_NS_C16_P,Lang_used_home_NS_C21_M,Lang_used_home_NS_C21_F,Lang_used_home_NS_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
1GSYD,13815,10945,9804,20755,12895,12498,25389,6910,7255,14158,9922,10533,20459,12880,13699,26586,10634,8089,18727,15651,12849,28495,23842,20401,44244,6638,8797,15430,7477,10014,17499,7985,10518,18503,9345,9846,19197,8919,9618,18542,9473,10331,19803,4339,4298,8635,4971,5030,9998,5949,6088,12038,23470,26360,49829,26825,30102,56935,29851,33537,63395,14687,19650,34335,17111,23523,40635,19471,26350,45826,10433,10220,20658,15051,13383,28429,18774,17978,36747,5028,8586,13606,7894,13760,21652,8261,15248,23511,10267,10199,20467,9922,9919,19840,10912,10987,21901,9084,7730,16820,15852,12214,28068,24195,19272,43464,40367,44664,85031,46413,52890,99298,52070,61083,113154,99086,105259,204344,121492,124992,246488,136446,141153,277596,124194,109499,233694,142206,137400,279608,140975,137528,278498,2162218,2229456,4391673,2376771,2447226,4823993,2585238,2645912,5231147
1RNSW,863,703,572,1273,719,658,1379,1039,1072,2115,1192,1315,2507,1744,1913,3656,1505,1291,2798,2607,2308,4917,4956,4241,9200,414,595,1011,497,750,1246,586,960,1547,1532,1499,3025,1439,1494,2938,1506,1587,3089,380,367,743,606,625,1232,773,749,1527,2691,3002,5699,3082,3408,6490,3931,4473,8409,799,1957,2757,1429,3045,4469,2083,3700,5783,454,405,861,682,551,1234,900,784,1685,675,1404,2084,994,2163,3152,1362,3154,4512,925,860,1784,929,824,1753,1006,925,1937,505,401,904,948,665,1613,1888,1261,3147,1145,1228,2372,1587,1908,3496,2121,2598,4716,13706,14641,28350,15794,16804,32596,19944,21024,40963,61776,51918,113698,97177,91496,188669,97436,88355,185789,1239009,1273940,2512950,1301714,1341814,2643535,1392556,1437081,2829637
19499,29,10,4,20,10,12,20,14,11,24,14,19,37,9,14,18,9,7,12,11,4,15,8,9,12,10,18,27,10,8,18,7,6,15,8,5,13,8,0,13,5,4,12,4,3,4,5,0,5,3,4,8,53,49,100,60,43,93,36,28,67,11,13,25,14,17,28,7,5,14,7,0,9,12,5,16,4,6,14,7,17,24,14,21,32,8,8,16,17,9,21,20,6,29,5,5,11,9,5,19,28,14,38,4,8,10,58,43,98,43,38,86,18,20,39,194,180,373,179,146,333,131,131,262,1847,733,2587,2177,1071,3256,2269,1530,3803,7588,5327,12915,7353,4938,12288,6375,4997,11371
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,19,0,0,0,9,3,8,3,10,10,0,0,0,8,3,10,14,31,42,0,0,0,58,57,115,174,240,419,0,0,0
2GMEL,7609,8357,7268,15626,11150,10345,21497,2316,2486,4808,3304,3570,6863,4001,4493,8493,17951,11565,29521,29671,23096,52766,52870,44817,97684,7100,8760,15861,7488,9495,16980,7518,9856,17378,8025,8222,16241,7696,8083,15779,7886,8557,16445,14156,13286,27439,18472,17808,36281,24407,23099,47504,13222,14397,27618,16150,17517,33667,19191,21217,40412,6418,8706,15129,8749,12069,20819,10876,14885,25758,8745,8171,16916,13343,11518,24860,16865,15864,32725,2382,4386,6767,3554,6837,10393,3938,8565,12504,15494,15756,31245,15071,15236,30307,16354,16934,33290,6233,4449,10681,13122,9278,22400,20214,16114,36329,40374,44752,85128,47064,54326,101388,52851,62471,115314,98933,103665,202602,129535,132057,261590,151754,154814,306569,97392,87110,184503,126406,126675,253081,120038,116217,236253,1966501,2033478,3999980,2199598,2285613,4485210,2420718,2497033,4917750
2RVIC,428,418,368,782,471,402,872,158,156,319,198,223,425,324,392,715,877,640,1516,1845,1534,3375,3915,3332,7251,270,358,634,302,374,676,337,473,812,668,650,1319,621,646,1267,667,703,1371,364,342,709,586,549,1131,1034,945,1977,624,730,1360,806,964,1769,1288,1436,2720,478,915,1395,799,1420,2217,1284,1988,3271,284,237,518,444,345,784,742,644,1386,308,547,854,415,854,1266,711,1500,2217,832,792,1623,773,713,1490,781,758,1541,205,157,365,442,348,792,1016,731,1749,707,659,1368,964,991,1953,1613,1827,3440,9392,9918,19311,11316,11627,22950,15087,15041,30127,30820,26737,57556,54311,51605,105918,53274,48728,102000,661409,684310,1345712,704122,729690,1433818,775038,801575,1576613
29499,28,14,8,19,9,14,25,3,3,4,7,4,8,0,7,5,25,8,32,6,16,24,12,7,16,4,9,14,11,12,21,6,3,12,13,4,20,11,0,7,6,7,16,14,9,17,5,3,9,8,9,17,22,13,35,29,30,58,27,27,48,3,9,14,9,8,15,7,3,10,12,9,18,8,6,14,6,3,6,5,15,15,3,7,13,0,8,7,12,13,29,22,12,39,20,14,35,11,4,15,9,5,15,12,4,15,64,40,104,39,52,96,19,21,42,188,182,370,173,164,339,150,127,280,1100,579,1682,1262,716,1974,2238,1385,3624,4674,3631,8310,4329,3241,7572,5170,3915,9089
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,24,3,27,34,0,38,26,0,26,36,6,38
3GBRI,2799,2748,2481,5227,3389,3284,6672,1242,1344,2584,2204,2459,4664,3290,3723,7017,3700,2409,6101,7275,5707,12983,12037,10468,22507,1282,1793,3073,1518,2151,3672,2018,2776,4786,1617,1637,3256,1628,1662,3293,1797,1834,3633,1719,1617,3340,2228,2199,4427,3007,2956,5968,5301,5734,11038,7108,7701,14808,9284,10178,19467,2588,4506,7097,3443,5853,9294,4372,7188,11558,1339,1275,2614,2155,1941,4095,2897,2738,5638,905,1908,2815,1294,2878,4169,1672,3899,5570,521,513,1033,649,548,1197,912,840,1748,1138,927,2064,2146,1720,3864,3186,2845,6033,9259,10089,19349,10631,11948,22575,12268,14333,26607,35153,36638,71784,43884,46053,89935,51726,55289,107012,53012,43722,96741,68961,65384,134342,66781,59266,126051,1019554,1046442,2065996,1117452,1153351,2270807,1242349,1283890,2526238
3RQLD,902,761,707,1474,921,899,1818,1119,1094,2213,1975,1968,3946,3849,4064,7914,1024,779,1799,2803,2192,4998,4560,3794,8352,639,1086,1726,888,1428,2317,1166,1777,2944,699,672,1378,720,744,1465,773,851,1622,481,462,940,721,749,1468,1005,982,1982,2175,2339,4510,2882,3250,6136,4698,5330,10030,1838,3461,5299,2651,5045,7696,3170,5859,9024,459,390,850,798,624,1418,886,809,1690,850,1829,2684,1174,2766,3944,1384,3685,5071,461,396,856,478,376,857,562,477,1038,361,285,642,606,475,1088,905,721,1626,1170,1313,2477,1544,1768,3309,2134,2602,4740,20139,21264,41410,22920,24980,47902,26892,29291,56184,74837,59529,134364,98856,89131,187984,104784,88568,193352,1121234,1132488,2253725,1197426,1222294,2419723,1290035,1325000,2615036
