GCCSA_CODE_2021,C11_0_14_SEO,C11_0_14_UOL_SE_Vw_w,C11_0_14_UOL_SE_Nw_Na,C11_0_14_UOL_SE_P_E_n,C11_0_14_UOL_SE_Tot,C11_0_14_LPE_NS,C11_0_14_Tot,C11_15_24_SEO,C11_15_24_UOL_SE_Vw_w,C11_15_24_UOL_SE_Nw_Na,C11_15_24_UOL_SE_P_E_n,C11_15_24_UOL_SE_Tot,C11_15_24_LPE_NS,C11_15_24_Tot,C11_25_34_SEO,C11_25_34_UOL_SE_Vw_w,C11_25_34_UOL_SE_Nw_Na,C11_25_34_UOL_SE_P_E_n,C11_25_34_UOL_SE_Tot,C11_25_34_LPE_NS,C11_25_34_Tot,C11_35_44_SEO,C11_35_44_UOL_SE_Vw_w,C11_35_44_UOL_SE_Nw_Na,C11_35_44_UOL_SE_P_E_n,C11_35_44_UOL_SE_Tot,C11_35_44_LPE_NS,C11_35_44_Tot,C11_45_54_SEO,C11_45_54_UOL_SE_Vw_w,C11_45_54_UOL_SE_Nw_Na,C11_45_54_UOL_SE_P_E_n,C11_45_54_UOL_SE_Tot,C11_45_54_LPE_NS,C11_45_54_Tot,C11_55_64_SEO,C11_55_64_UOL_SE_Vw_w,C11_55_64_UOL_SE_Nw_Na,C11_55_64_UOL_SE_P_E_n,C11_55_64_UOL_SE_Tot,C11_55_64_LPE_NS,C11_55_64_Tot,C11_65_74_SEO,C11_65_74_UOL_SE_Vw_w,C11_65_74_UOL_SE_Nw_Na,C11_65_74_UOL_SE_P_E_n,C11_65_74_UOL_SE_Tot,C11_65_74_LPE_NS,C11_65_74_Tot,C11_75_84_SEO,C11_75_84_UOL_SE_Vw_w,C11_75_84_UOL_SE_Nw_Na,C11_75_84_UOL_SE_P_E_n,C11_75_84_UOL_SE_Tot,C11_75_84_LPE_NS,C11_75_84_Tot,C11_85_over_SEO,C11_85_over_UOL_SE_Vw_w,C11_85_over_UOL_SE_Nw_Na,C11_85_over_UOL_SE_P_E_n,C11_85_over_UOL_SE_Tot,C11_85_over_LPE_NS,C11_85_over_Tot,C11_Tot_SEO,C11_Tot_UOL_SE_Vw_w,C11_Tot_UOL_SE_Nw_Na,C11_Tot_UOL_SE_P_E_n,C11_Tot_UOL_SE_Tot,C11_Tot_LPE_NS,C11_Tot_Tot,C16_0_14_SEO,C16_0_14_UOL_SE_Vw_w,C16_0_14_UOL_SE_Nw_Na,C16_0_14_UOL_SE_P_E_n,C16_0_14_UOL_SE_Tot,C16_0_14_LPE_NS,C16_0_14_Tot,C16_15_24_SEO,C16_15_24_UOL_SE_Vw_w,C16_15_24_UOL_SE_Nw_Na,C16_15_24_UOL_SE_P_E_n,C16_15_24_UOL_SE_Tot,C16_15_24_LPE_NS,C16_15_24_Tot,C16_25_34_SEO,C16_25_34_UOL_SE_Vw_w,C16_25_34_UOL_SE_Nw_Na,C16_25_34_UOL_SE_P_E_n,C16_25_34_UOL_SE_Tot,C16_25_34_LPE_NS,C16_25_34_Tot,C16_35_44_SEO,C16_35_44_UOL_SE_Vw_w,C16_35_44_UOL_SE_Nw_Na,C16_35_44_UOL_SE_P_E_n,C16_35_44_UOL_SE_Tot,C16_35_44_LPE_NS,C16_35_44_Tot,C16_45_54_SEO,C16_45_54_UOL_SE_Vw_w,C16_45_54_UOL_SE_Nw_Na,C16_45_54_UOL_SE_P_E_n,C16_45_54_UOL_SE_Tot,C16_45_54_LPE_NS,C16_45_54_Tot,C16_55_64_SEO,C16_55_64_UOL_SE_Vw_w,C16_55_64_UOL_SE_Nw_Na,C16_55_64_UOL_SE_P_E_n,C16_55_64_UOL_SE_Tot,C16_55_64_LPE_NS,C16_55_64_Tot,C16_65_74_SEO,C16_65_74_UOL_SE_Vw_w,C16_65_74_UOL_SE_Nw_Na,C16_65_74_UOL_SE_P_E_n,C16_65_74_UOL_SE_Tot,C16_65_74_LPE_NS,C16_65_74_Tot,C16_75_84_SEO,C16_75_84_UOL_SE_Vw_w,C16_75_84_UOL_SE_Nw_Na,C16_75_84_UOL_SE_P_E_n,C16_75_84_UOL_SE_Tot,C16_75_84_LPE_NS,C16_75_84_Tot,C16_85_over_SEO,C16_85_over_UOL_SE_Vw_w,C16_85_over_UOL_SE_Nw_Na,C16_85_over_UOL_SE_P_E_n,C16_85_over_UOL_SE_Tot,C16_85_over_LPE_NS,C16_85_over_Tot,C16_Tot_SEO,C16_Tot_UOL_SE_Vw_w,C16_Tot_UOL_SE_Nw_Na,C16_Tot_UOL_SE_P_E_n,C16_Tot_UOL_SE_Tot,C16_Tot_LPE_NS,C16_Tot_Tot,C21_0_14_SEO,C21_0_14_UOL_SE_Vw_w,C21_0_14_UOL_SE_Nw_Na,C21_0_14_UOL_SE_P_E_n,C21_0_14_UOL_SE_Tot,C21_0_14_LPE_NS,C21_0_14_Tot,C21_15_24_SEO,C21_15_24_UOL_SE_Vw_w,C21_15_24_UOL_SE_Nw_Na,C21_15_24_UOL_SE_P_E_n,C21_15_24_UOL_SE_Tot,C21_15_24_LPE_NS,C21_15_24_Tot,C21_25_34_SEO,C21_25_34_UOL_SE_Vw_w,C21_25_34_UOL_SE_Nw_Na,C21_25_34_UOL_SE_P_E_n,C21_25_34_UOL_SE_Tot,C21_25_34_LPE_NS,C21_25_34_Tot,C21_35_44_SEO,C21_35_44_UOL_SE_Vw_w,C21_35_44_UOL_SE_Nw_Na,C21_35_44_UOL_SE_P_E_n,C21_35_44_UOL_SE_Tot,C21_35_44_LPE_NS,C21_35_44_Tot,C21_45_54_SEO,C21_45_54_UOL_SE_Vw_w,C21_45_54_UOL_SE_Nw_Na,C21_45_54_UOL_SE_P_E_n,C21_45_54_UOL_SE_Tot,C21_45_54_LPE_NS,C21_45_54_Tot,C21_55_64_SEO,C21_55_64_UOL_SE_Vw_w,C21_55_64_UOL_SE_Nw_Na,C21_55_64_UOL_SE_P_E_n,C21_55_64_UOL_SE_To,C21_55_64_LPE_NS,C21_55_64_T,C21_65_74_SEO,C21_65_74_UOL_SE_Vw_w,C21_65_74_UOL_SE_Nw_Na,C21_65_74_UOL_SE_P_E_n,C21_65_74_UOL_SE_Tot,C21_65_74_LPE_NS,C21_65_74_Tot,C21_75_84_SEO,C21_75_84_UOL_SE_Vw_w,C21_75_84_UOL_SE_Nw_Na,C21_75_84_UOL_SE_P_E_n,C21_75_84_UOL_SE_Tot,C21_75_84_LPE_NS,C21_75_84_Tot,C21_85_over_SEO,C21_85_over_UOL_SE_Vw_w,C21_85_over_UOL_SE_Nw_Na,C21_85_over_UOL_SE_P_E_n
1GSYD,567652,180681,48635,5885,235205,40359,843216,359043,182182,10386,1827,194393,29610,583044,367823,247085,18686,2128,267905,41164,676892,393891,199183,27343,1822,228349,31249,653487,365495,161035,40758,1570,203357,26123,594979,308673,106871,38657,1187,146717,20225,475612,194352,57235,32253,882,90370,13413,298137,118899,28311,27027,706,56044,10302,185239,56622,8723,8811,373,17908,6541,81070,2732451,1171308,252564,16376,1440239,218985,4391673,590120,205986,57004,5467,268454,41724,900294,366700,212449,15728,1466,229643,32763,629104,381811,309881,29935,2065,341882,50712,774405,375543,249822,30424,2032,282281,38216,696039,368691,182913,42423,1674,227008,31882,627576,314881,127260,53912,1402,182578,26548,524013,236390,75779,38843,1088,115713,20384,372482,121920,36388,31700,767,68854,13282,204052,60769,11951,13515,384,25851,9402,96019,2816814,1412431,313484,16349,1742263,264918,4823993,603197,252406,50213,13452,316065,43945,963205,388778,212121,7599,444,220164,28893,637826,411929,327268,27537,604,355401,43987,811314,378631,328810,33638,559,363006,36113,777748,391036,206308,42899,522,249735,26405,667167,342264,153024,62040,555,215612,21291,579166,266866,96883,58134,543,155560,17042,439467,153341,44939,36032,451,81418,14762,249517,59207,14077,18169,320
1RNSW,449995,14414,4202,670,19287,18819,488110,279835,13098,1277,198,14578,13570,307984,230076,17471,1630,206,19310,12558,261943,282814,17993,1565,198,19750,13464,316023,321888,16015,1611,194,17816,13859,353565,304653,13407,2113,204,15722,12602,332977,219767,10339,2518,176,13029,9750,242554,133013,7080,2734,132,9953,8290,151249,50146,2540,1126,74,3737,4655,58542,2272190,112356,18776,2058,133185,107573,2512950,434225,18453,5334,629,24416,26620,485265,271371,14395,1778,169,16346,19367,307087,242519,23846,2750,251,26842,21025,290384,259856,22722,1964,235,24923,20146,304920,304821,18168,2042,261,20472,23269,348555,322060,14671,2274,245,17194,24703,363962,266656,11895,2286,219,14403,22174,303232,142969,7824,2718,235,10779,14985,168736,57842,3025,1422,125,4569,8982,71398,2302331,134999,22562,2374,159939,181264,2643535,441804,26346,5792,1518,33653,30079,505534,277356,16395,916,77,17391,20147,314893,269219,33372,3026,142,36534,22779,328523,267141,32023,2968,119,35108,21313,323565,303884,21093,2642,90,23825,20385,348104,341476,15989,2800,123,18918,20573,380961,313928,12504,2885,104,15491,18786,348204,177287,7723,2555,107,10382,14066,201734,64233,3362,1678,76
19499,877,105,72,14,192,111,1181,1425,285,59,4,346,306,2077,1639,445,61,5,511,505,2655,1283,229,44,3,283,537,2102,1185,149,37,4,190,519,1894,1206,102,31,0,132,332,1676,753,49,16,6,66,148,971,163,25,14,0,36,35,240,75,9,8,4,24,24,124,8616,1396,349,34,1774,2525,12915,551,68,35,0,111,79,741,1058,360,71,4,429,392,1876,1291,575,85,0,660,748,2703,981,230,30,4,262,657,1898,1028,140,35,0,177,596,1801,1161,99,31,0,131,425,1721,904,49,12,0,61,232,1195,196,17,13,0,25,59,283,43,3,10,0,15,20,74,7209,1529,319,14,1865,3213,12288,665,55,23,9,85,513,1260,768,150,10,3,162,431,1357,1056,357,49,0,404,731,2187,887,189,24,0,215,753,1859,920,104,22,0,129,629,1678,1104,75,20,5,101,440,1648,794,49,16,5,66,195,1055,206,18,4,0,21,53,277,32,0,4,0
19799,7,0,0,0,0,0,4,3,0,0,0,0,0,3,4,0,0,0,0,0,0,7,0,0,0,0,0,11,3,4,0,0,4,3,11,21,4,0,0,7,0,25,22,7,0,0,7,0,27,20,4,0,0,4,3,25,0,0,0,0,0,0,0,86,20,0,0,26,6,115,29,0,4,0,4,3,39,24,0,0,0,0,6,27,19,6,0,0,6,6,29,23,3,0,0,3,0,31,35,4,3,0,14,4,53,45,4,15,0,23,10,74,76,14,13,0,26,13,110,23,7,6,0,13,9,43,6,3,0,0,4,0,11,277,56,42,0,95,43,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,527503,137259,38230,4999,180493,31191,739180,365897,151995,9233,1762,162987,24056,552944,369358,201167,14848,1983,217996,30606,617961,395181,160558,20556,1607,182720,23339,601244,362161,125301,26816,1422,153536,19633,535331,296691,88156,27393,1092,116640,15507,428836,178835,56104,28672,845,85618,11127,275586,107625,31375,26674,713,58764,9278,175663,49345,8557,8728,274,17560,6327,73237,2652592,960468,201145,14702,1176317,171067,3999980,550483,174810,50402,5063,230279,38933,819696,371761,185108,14394,1287,200787,29828,602382,396776,264044,23529,1954,289534,44035,730347,376246,203235,24651,1717,229600,33233,639085,376278,149121,31524,1494,182139,28897,587314,313943,101569,35816,1162,138543,24415,476899,226734,68131,29334,1027,98489,19060,344288,113599,39523,29159,788,69469,12982,196055,55368,12541,12738,371,25649,8141,89150,2781183,1198086,251545,14866,1464494,239530,4485210,563419,232025,46263,12614,290906,37264,891585,387506,183243,7038,358,190637,25095,603243,439043,288483,21661,522,310659,38984,788689,390380,285559,27897,542,314003,30719,735102,400299,171516,33382,490,205387,23419,629107,348709,120032,42537,489,163050,18216,529975,268135,80759,41138,508,122402,14485,405027,147416,45060,30840,484,76387,11198,234998,58108,16229,17187,372
2RVIC,238258,8286,2535,411,11235,9075,258574,151579,7140,795,101,8032,6351,165968,124607,9130,1028,113,10275,6031,140910,154610,9311,1153,111,10571,6767,171950,173603,8459,1092,120,9667,6858,190128,166491,7438,1032,89,8563,6600,181648,113153,6231,1405,97,7735,5358,126244,67875,4621,1471,106,6200,4508,78580,26850,1686,686,47,2421,2440,31705,1217024,62310,11196,1195,74701,53990,1345712,230783,10943,3296,353,14581,15109,260470,146202,8465,1134,119,9714,10578,166499,130091,13355,2058,139,15558,11348,156997,141165,11496,1462,124,13084,11287,165539,167913,9360,1422,139,10928,13276,192118,176385,7789,1303,129,9222,14125,199728,143684,6654,1315,141,8112,13033,164831,73897,4938,1466,133,6545,8392,88831,31278,2022,727,51,2803,4721,38802,1241404,75024,14189,1332,90543,101866,1433818,240210,15884,3637,946,20468,16052,276727,147875,10428,827,57,11313,9975,169167,149802,20321,2796,102,23220,11955,184984,149476,18148,2451,86,20696,11713,181883,171716,11067,2070,83,13221,11446,196379,193272,8307,1956,93,10360,11849,215485,180021,6806,1647,82,8532,11363,199919,95432,4700,1412,73,6186,8035,109653,34487,2117,958,44
29499,620,105,85,3,192,217,1034,956,234,52,0,288,290,1535,1192,369,62,5,435,368,1994,840,203,28,5,245,340,1418,613,119,29,0,149,239,1009,570,64,15,4,85,91,747,306,27,6,0,33,56,399,74,8,5,0,19,19,111,36,9,5,0,9,4,52,5211,1142,297,25,1457,1636,8310,451,91,80,9,177,119,747,639,262,68,0,337,277,1251,923,372,91,3,464,455,1845,643,143,37,0,177,475,1290,533,101,21,4,126,315,975,524,53,25,3,85,202,814,371,31,9,0,48,65,479,87,8,8,0,17,20,123,24,3,3,0,5,7,42,4202,1072,343,20,1438,1932,7572,552,101,31,10,145,445,1143,617,125,12,0,136,381,1131,840,275,31,3,310,665,1819,709,152,26,0,184,845,1736,653,94,31,0,119,630,1393,617,51,17,0,67,389,1074,380,25,17,0,45,188,613,103,8,3,0,18,27,152,17,0,3,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,7,0,0,0,0,0,7,10,0,0,0,0,0,11,9,0,0,0,0,0,8,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,38,0,4,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,10,0,0,0,0,0,13,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,6,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,4,9,16,0,0,0,0,0,3,3,3,0,0,0,0,9,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
3GBRI,350306,34830,11053,1348,47230,16967,414497,241108,41386,3028,547,44955,13880,299941,233066,52787,4473,623,57885,15557,306506,248061,39036,5074,375,44491,13016,305570,227137,29409,5640,299,35354,10640,273126,190954,18986,5036,221,24248,8352,223556,116006,9888,3561,173,13624,5268,134899,63003,5258,2874,122,8251,4350,75607,25967,1831,1231,58,3119,3205,32291,1695611,233418,41972,3761,279155,91231,2065996,359708,47800,15052,1415,64264,20429,444403,245146,50535,4413,378,55325,16852,317325,240142,72635,7875,522,81026,22059,343231,237704,55667,6579,491,62731,17495,317930,238898,36698,6981,357,44030,16134,299056,199653,24065,7467,268,31805,13333,244788,149475,13588,4690,216,18498,10227,178208,71105,6560,3272,123,9949,6452,87504,29273,2283,1545,68,3905,5182,38350,1771100,309824,57865,3841,371531,128171,2270807,377025,68714,14257,3887,86846,20269,484145,262302,52072,2161,156,54389,15074,331761,265184,81120,6475,202,87795,21099,374070,251742,83509,7888,163,91558,17035,360339,260100,47486,7994,131,55615,13343,329053,224484,29867,9342,106,39317,10002,273801,179913,17930,8298,87,26311,7935,214163,97933,8101,4146,86,12333,5757,116022,33838,2838,2037,52
3RQLD,409938,20513,6527,768,27809,22530,460281,249394,17787,1630,260,19677,17041,286114,233743,23401,2701,266,26365,18631,278742,269635,23225,2369,220,25811,18118,313565,278125,18421,1927,220,20567,17273,315968,246778,12675,1542,154,14368,13663,274816,166068,9205,1502,131,10836,9295,186200,86334,5573,1440,93,7102,7167,100602,30215,1724,626,47,2396,4841,37450,1970222,132517,20266,2164,154945,128554,2253725,403884,26548,7665,975,35192,28384,467468,248058,22120,2081,288,24487,21713,294260,238396,33002,4040,370,37411,25353,301159,252443,29709,2922,319,32944,23300,308694,280195,22931,2646,265,25850,24922,330961,264846,15488,2195,241,17921,22920,305688,211469,10764,1701,205,12676,18303,242447,103252,6710,1487,134,8336,10334,121918,38172,2338,810,61,3215,5751,47130,2040721,169629,25555,2851,198032,180972,2419723,404723,35629,7661,1994,45283,28733,478735,256048,24711,1268,185,26169,21762,303971,249575,43127,3682,217,47027,28349,324954,255950,40826,3731,180,44728,24657,325336,287682,27718,3321,159,31195,24223,343100,295397,18740,3155,124,22023,21610,339019,256068,11842,2622,107,14571,16531,287170,138821,7071,1678,85,8837,10875,158531,44422,2798,1007,47
