GCCSA_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
1GSYD,32567,13955,105729,2995240,1635831,336260,17442,1989531,246383,5231147
1RNSW,5113,8771,78115,2456315,168803,25266,2357,196425,176897,2829637
19499,6,17,49,6417,1003,162,25,1187,3764,11371
19799,0,0,0,0,0,0,0,0,0,0
2GMEL,33792,8125,100021,3003007,1422909,267944,16384,1707237,207503,4917750
2RVIC,3115,4822,42424,1362298,97779,17753,1584,117109,97201,1576613
29499,4,14,29,4485,834,179,15,1027,3575,9089
29799,0,0,0,13,5,0,0,5,27,38
3GBRI,4932,4119,42879,1952518,391639,62592,4867,459094,114628,2526238
3RQLD,3855,5930,54209,2188689,212456,28124,3105,243684,182666,2615036
39499,0,10,44,9972,1085,140,19,1244,3455,14670
39799,0,0,0,32,19,0,0,22,128,183
4GADE,7976,2273,36258,1037870,254406,44881,2947,302234,47191,1387290
4RSAU,622,1023,11053,342820,18782,2905,463,22148,25871,390843
49499,3,0,11,2261,300,34,11,343,770,3377
49799,0,0,0,0,8,0,0,8,5,12
5GPER,6953,4120,40831,1566027,393240,55528,4697,453461,97164,2116647
5RWAU,537,1082,9237,432431,43586,4535,777,48905,53468,534804
59499,0,18,30,4079,497,56,9,562,3411,8055
59799,0,0,0,232,59,3,0,68,219,514
6GHOB,396,385,5631,204029,29043,3091,389,32518,10542,247086
6RTAS,262,616,7361,274855,15556,1994,224,17780,16455,309087
69499,0,0,3,978,70,11,3,86,314,1377
69799,0,0,0,11,0,0,0,0,3,19
7GDAR,199,112,833,93277,30097,3486,399,33982,12647,139902
7RNTE,119,24,326,38314,36256,5514,937,42707,8079,89103
79499,0,0,7,1605,567,70,42,678,1214,3500
79799,0,0,0,63,7,4,0,11,24,99
8ACTE,1364,519,7180,323454,101167,11334,1104,113607,16824,453890
89499,0,0,4,400,76,10,0,83,125,605
89799,0,0,0,0,0,0,0,0,0,0
9OTER,27,3,62,1948,1575,360,30,1970,859,4778
99499,0,0,0,5,3,3,0,5,3,11
99799,0,0,0,0,0,0,0,0,0,0
