GCCSA_CODE_2021,C11_Chr_Tot_0_14,C11_Chr_Tot_15_24,C11_Chr_Tot_25_34,C11_Chr_Tot_35_44,C11_Chr_Tot_45_54,C11_Chr_Tot_55_64,C11_Chr_Tot_65_74,C11_Chr_Tot_75_84,C11_Chr_Tot_85ov,C11_Chr_Tot_Tot,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_Au_Ab_Tr_R_0_14,C11_OR_Au_Ab_Tr_R_15_24,C11_OR_Au_Ab_Tr_R_25_34,C11_OR_Au_Ab_Tr_R_35_44,C11_OR_Au_Ab_Tr_R_45_54,C11_OR_Au_Ab_Tr_R_55_64,C11_OR_Au_Ab_Tr_R_65_74,C11_OR_Au_Ab_Tr_R_75_84,C11_OR_A_Ab_Tr_Re_85ov,C11_OR_Au_Ab_Tr_Re_Tot,C11_OR_Sikhism_0_14,C11_OR_Sikhism_15_24,C11_OR_Sikhism_25_34,C11_OR_Sikhism_35_44,C11_OR_Sikhism_45_54,C11_OR_Sikhism_55_64,C11_OR_Sikhism_65_74,C11_OR_Sikhism_75_84,C11_OR_Sikhism_85ov,C11_OR_Sikhism_Tot,C11_OR_OR_0_14,C11_OR_OR_15_24,C11_OR_OR_25_34,C11_OR_OR_35_44,C11_OR_OR_45_54,C11_OR_OR_55_64,C11_OR_OR_65_74,C11_OR_OR_75_84,C11_OR_OR_85ov,C11_OR_OR_Tot,C11_OR_Tot_0_14,C11_OR_Tot_15_24,C11_OR_Tot_25_34,C11_OR_Tot_35_44,C11_OR_Tot_45_54,C11_OR_Tot_55_64,C11_OR_Tot_65_74,C11_OR_Tot_75_84,C11_OR_Tot_85ov,C11_OR_Tot_Tot,C11_SBOSB_No_RA_0_14,C11_SBOSB_No_RA_15_24,C11_SBOSB_No_RA_25_34,C11_SBOSB_No_RA_35_44,C11_SBOSB_No_RA_45_54,C11_SBOSB_No_RA_55_64,C11_SBOSB_No_RA_65_74,C11_SBOSB_No_RA_75_84,C11_SBOSB_No_RA_85ov,C11_SBOSB_No_RA_Tot,C11_Rel_aff_ns_0_14,C11_Rel_aff_ns_15_24,C11_Rel_aff_ns_25_34,C11_Rel_aff_ns_35_44,C11_Rel_aff_ns_45_54,C11_Rel_aff_ns_55_64,C11_Rel_aff_ns_65_74,C11_Rel_aff_ns_75_84,C11_Rel_aff_ns_85ov,C11_Rel_aff_NS_Tot,C11_Tot_0_14,C11_Tot_15_24,C11_Tot_25_34,C11_Tot_35_44,C11_Tot_45_54,C11_Tot_55_64,C11_Tot_65_74,C11_Tot_75_84,C11_Tot_85ov,C11_Tot_Tot,C16_Buddhism_0_14,C16_Buddhism_15_24,C16_Buddhism_25_34,C16_Buddhism_35_44,C16_Buddhism_45_54,C16_Buddhism_55_64,C16_Buddhism_65_74,C16_Buddhism_75_84,C16_Buddhism_85ov,C16_Buddhism_Tot,C16_Christ_Angl_0_14,C16_Christ_Angl_15_24,C16_Christ_Angl_25_34,C16_Christ_Angl_35_44,C16_Christ_Angl_45_54,C16_Christ_Angl_55_64,C16_Christ_Angl_65_74,C16_Christ_Angl_75_84,C16_Christ_Angl_85ov,C16_Christ_Angl_Tot,C16_C_Assyr_Apo_0_14,C16_C_Assyr_Apo_15_24,C16_C_Assyr_Apo_25_34,C16_C_Assyr_Apo_35_44,C16_C_Assyr_Apo_45_54,C16_C_Assyr_Apo_55_64,C16_C_Assyr_Apo_65_74,C16_C_Assyr_Apo_75_84,C16_C_Assyr_Apo_85ov,C16_C_Assyr_Apo_Tot,C16_C_Baptist_0_14,C16_C_Baptist_15_24,C16_C_Baptist_25_34,C16_C_Baptist_35_44,C16_C_Baptist_45_54,C16_C_Baptist_55_64,C16_C_Baptist_65_74,C16_C_Baptist_75_84,C16_C_Baptist_85ov,C16_C_Baptist_Tot,C16_Christ_Breth_0_14,C16_Christ_Breth_15_24,C16_Christ_Breth_25_34,C16_Christ_Breth_35_44,C16_Christ_Breth_45_54,C16_Christ_Breth_55_64,C16_Christ_Breth_65_74,C16_Christ_Breth_75_84,C16_Christ_Breth_85ov,C16_Christ_Breth_Tot,C16_Ch_Catholic_0_14,C16_Ch_Catholic_15_24,C16_Ch_Catholic_25_34,C16_Ch_Catholic_35_44,C16_Ch_Catholic_45_54,C16_Ch_Catholic_55_64,C16_Ch_Catholic_65_74,C16_Ch_Catholic_75_84,C16_Ch_Catholic_85ov,C16_C_Catholic_Tot,C16_C_Chur_Christ_0_14,C16_C_Chur_Christ_15_24,C16_C_Chur_Christ_25_34,C16_C_Chur_Christ_35_44,C16_C_Chur_Christ_45_54,C16_C_Chur_Christ_55_64,C16_C_Chur_Christ_65_74,C16_C_Chur_Christ_75_84,C16_C_Chur_Christ_85ov,C16_C_Chur_Christ_Tot,C16_C_East_Ortho_0_14,C16_C_East_Ortho_15_24,C16_C_East_Ortho_25_34,C16_C_East_Ortho_35_44,C16_C_East_Ortho_45_54,C16_C_East_Ortho_55_64,C16_C_East_Ortho_65_74,C16_C_East_Ortho_75_84,C16_C_East_Ortho_85ov,C16_C_East_Ortho_Tot,C16_C_Jeh_Wit_0_14,C16_C_Jeh_Wit_15_24,C16_C_Jeh_Wit_25_34,C16_C_Jeh_Wit_35_44,C16_C_Jeh_Wit_45_54,C16_C_Jeh_Wit_55_64,C16_C_Jeh_Wit_65_74,C16_C_Jeh_Wit_75_84,C16_C_Jeh_Wit_85ov,C16_C_Jeh_Wit_Tot
1GSYD,498827,325900,335185,388041,375230,320625,222845,143518,62610,2672775,22336,14461,35808,18440,11448,6501,2797,1246,290,113324,62962,34564,42451,29269,20206,11625,5094,1629,341,208148,6787,3894,4176,5036,4904,5537,3501,2380,1782,38001,66,69,67,55,72,36,9,3,0,371,3745,3094,6605,2501,1430,841,374,175,32,18800,3196,2881,4043,3583,3275,2264,982,366,120,20705,7005,6040,10717,6137,4775,3143,1362,549,149,39877,153980,122888,151908,124495,102599,72001,32335,16118,5559,781877,65091,50930,64063,51171,44625,35310,21978,15154,8925,357248,843216,583044,676892,653487,594979,475612,298137,185239,81070,4391673,22444,23183,34740,31710,29494,25401,11959,5009,2091,186041,84735,54864,53036,74109,85593,83821,75825,44278,24067,580336,2161,1344,1636,1449,1533,1360,836,467,145,10918,10320,7117,8025,8049,8160,8101,5721,2982,1365,59844,819,520,562,372,323,232,177,134,77,3209,245333,154055,156308,166190,165498,136164,102784,60356,26431,1213122,769,450,629,595,571,651,465,262,111,4509,29466,18346,16929,23876,25786,17066,16457,13406,4282,165603,1706,1250,1556,1820,1683,1594,1200,720,276,11812
1RNSW,313846,197868,163098,220053,260611,253434,198706,127480,48555,1783641,1344,645,1775,1122,718,478,216,59,15,6379,2944,1663,2589,1717,991,590,357,92,17,10968,259,130,140,254,254,314,205,96,42,1694,171,107,105,123,115,62,15,0,0,712,600,444,811,381,281,215,89,64,15,2896,975,1021,1316,1628,1605,1181,423,156,37,8338,1746,1572,2229,2138,2002,1459,524,226,58,11942,121819,75033,64776,61004,57784,48751,24126,10667,3738,467695,43381,28560,24319,25934,27334,24824,17463,12372,6063,210262,488110,307984,261943,316023,353565,332977,242554,151249,58542,2512950,2862,2400,3228,3910,3702,3474,1663,357,88,21693,79980,51038,44271,62649,82089,93435,90064,53155,23393,580068,6,5,5,3,9,11,0,3,0,41,6166,3397,3316,3923,4542,5137,4608,2605,1017,34715,820,650,547,385,345,222,158,140,56,3317,126432,77160,64736,71605,86073,82687,67935,39963,14973,631564,260,152,145,162,262,415,389,217,108,2116,3716,2248,2205,3157,3345,2890,2720,1882,589,22746,1762,931,1094,1356,1496,1702,1458,790,292,10874
19499,510,803,1037,887,835,945,616,148,74,5855,11,8,52,14,6,3,3,0,0,94,63,40,85,37,27,4,0,0,0,254,0,5,9,6,6,9,3,0,3,37,0,5,4,0,3,0,0,0,0,9,0,0,8,0,0,0,0,0,0,9,3,16,27,21,13,18,5,0,0,99,3,23,38,23,15,18,5,0,0,118,373,695,719,437,351,261,152,30,7,3027,211,470,657,651,624,409,181,55,35,3289,1181,2077,2655,2102,1894,1676,971,240,124,12915,5,35,55,24,30,30,20,7,0,214,77,100,149,178,197,291,265,61,22,1337,0,0,0,0,0,0,0,0,0,8,7,12,21,8,4,8,13,4,0,84,0,0,0,0,0,0,0,0,0,0,113,205,344,233,248,249,184,52,14,1643,0,0,0,0,0,0,0,0,0,4,0,11,16,16,20,9,3,0,0,80,3,0,5,13,7,3,3,0,0,35
19799,0,0,0,7,6,22,28,23,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,7,0,0,20,0,0,0,0,3,0,3,5,0,13,4,3,0,11,11,25,27,25,0,115,0,0,0,3,0,6,4,5,0,14,9,0,0,8,6,11,17,10,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,10,4,10,10,16,24,37,10,3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,10,0,0,0,0,0,0,0,0,0,0
2GMEL,382723,265836,262326,326939,323032,276220,203346,136067,54518,2231008,14776,10431,31250,11825,5923,3484,1402,573,124,79794,41491,25832,29456,21030,13981,7682,3691,1214,272,144653,8573,4692,5370,5654,5152,6795,3745,2741,1826,44540,63,34,34,68,29,17,8,0,0,244,4261,5810,13099,2408,1079,741,305,133,51,27877,1809,2283,3448,3063,2471,1711,694,295,96,15866,6129,8123,16587,5531,3581,2461,1009,428,147,43989,195129,159478,183695,152848,115744,81750,35007,16392,6383,946429,64951,52977,58828,50210,43570,34596,21575,15169,9040,350905,739180,552944,617961,601244,535331,428836,275586,175663,73237,3999980,24450,25285,31695,29932,25728,19783,8886,3421,1357,170551,38896,28743,25909,38026,53971,53856,52205,31448,16970,340023,566,416,392,365,415,329,150,74,20,2730,11244,7393,7855,8105,7825,6787,5190,3055,1325,58781,444,283,348,204,194,151,125,83,61,1896,196962,131228,130074,141073,152094,122007,92500,59704,24668,1050313,889,630,621,707,842,1024,1072,726,363,6879,32527,20685,18479,27589,32757,20066,20472,17613,4858,195050,1409,999,1335,1577,1456,1392,1127,670,281,10251
2RVIC,138014,90155,71364,101968,126629,127837,97909,63981,25929,843783,603,435,1105,549,283,188,83,22,4,3268,2214,1407,1379,1213,912,414,261,75,13,7886,73,64,47,80,95,130,64,26,10,588,53,30,29,29,25,12,9,0,0,192,272,304,664,146,75,54,13,9,5,1540,426,585,693,768,775,568,215,66,12,4107,759,920,1384,944,879,636,233,69,14,5838,88784,54264,49405,48724,42781,35106,16248,6936,2436,344680,26802,17371,14584,16625,16793,16042,11014,7384,3269,129891,258574,165968,140910,171950,190128,181648,126244,78580,31705,1345712,1549,1401,2037,1933,1836,1534,731,172,38,11237,20625,14370,11337,18221,28199,33993,33989,20211,9316,190261,0,0,0,5,0,4,0,0,0,9,3417,1973,1881,1918,2343,2694,2575,1266,568,18625,425,350,326,202,231,138,90,81,36,1874,64828,39151,32752,37830,45884,43017,34909,19848,7641,325870,512,326,249,332,484,654,734,475,219,3991,1468,938,824,1209,1556,1250,1188,779,227,9444,700,346,422,564,630,686,547,323,147,4360
29499,349,475,602,513,422,409,245,83,40,3137,14,14,36,18,9,0,0,0,0,79,70,40,63,36,15,6,5,0,0,232,0,3,6,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,8,10,0,0,0,0,0,0,23,5,13,19,21,13,4,3,0,0,84,0,24,34,26,14,4,3,0,0,111,317,523,679,369,230,177,74,10,5,2378,270,418,520,424,293,137,66,23,6,2153,1034,1535,1994,1418,1009,747,399,111,52,8310,8,28,51,23,22,16,6,0,0,152,27,35,46,54,61,94,73,19,6,423,0,0,0,0,0,0,0,0,0,3,0,3,13,14,6,6,12,0,0,60,3,0,5,0,0,0,0,0,0,3,86,124,228,136,124,125,84,23,5,946,0,3,0,0,3,0,0,0,0,8,21,6,12,15,12,14,0,0,0,88,0,0,0,3,6,9,0,0,0,12
29799,0,0,4,3,9,8,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,9,7,11,8,5,0,0,38,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,242826,164736,156981,189265,187867,163100,106739,61229,25334,1298083,3974,2955,6988,3402,2154,1187,482,216,46,21390,7086,4565,5556,3685,2191,1230,492,151,30,24992,327,284,300,290,340,365,179,93,46,2220,72,43,37,39,29,18,3,3,0,241,966,1753,3107,652,293,212,90,41,13,7130,1104,1354,1823,1707,1394,890,383,157,42,8866,2144,3147,4965,2398,1715,1121,476,203,60,16237,113843,88169,93157,72593,50841,34470,14628,6141,2236,476076,38120,29402,30052,26574,21619,17524,10221,6913,4344,184772,414497,299941,306506,305570,273126,223556,134899,75607,32291,2065996,6160,6165,8149,8207,6675,5412,2598,833,287,44471,42913,29121,25798,39020,49109,45399,40887,21513,9319,303082,12,0,8,13,11,9,4,0,0,57,10107,6405,6411,6682,6731,5769,4382,2014,845,49340,238,173,157,152,110,112,128,86,64,1208,102508,64768,61124,66975,68711,54674,40212,21225,8367,488563,418,332,271,300,472,519,482,280,126,3195,3721,2632,2531,2942,3387,2659,1994,1339,541,21749,1798,1081,1373,1549,1480,1424,950,571,212,10446
3RQLD,275171,167707,156495,201646,219943,203039,146618,81030,28759,1480413,1365,1025,2332,1199,679,369,147,67,7,7198,2316,1426,2056,1499,882,449,274,75,10,8983,269,228,206,276,320,385,270,163,85,2210,145,87,75,101,64,43,15,3,0,530,359,501,906,235,147,79,41,24,4,2292,1097,1092,1328,1527,1409,1044,419,157,41,8113,1603,1680,2306,1859,1626,1167,470,181,47,10938,127899,78603,78213,70236,57844,41470,20818,8435,2705,486238,48483,32611,32756,32196,30599,24900,16527,10369,5767,234216,460281,286114,278742,313565,315968,274816,186200,100602,37450,2253725,3550,2894,4597,5110,4472,3323,1706,385,91,26136,60538,36729,32998,48656,62667,64950,61977,33294,13162,414975,10,8,5,9,6,8,0,0,0,40,7829,4392,4318,4754,5385,4959,3994,1830,687,38144,475,314,251,198,232,152,119,100,38,1878,110731,64984,62408,67287,74688,65500,50312,26876,9473,532254,816,512,329,518,733,798,805,467,178,5161,1689,1107,1123,1412,1750,1385,1066,727,255,10518,2489,1555,1624,1969,2077,2006,1553,894,300,14467
