GCCSA_CODE_2021,C16_C_Lat_Da_Saint_0_14,C16_C_Lat_Da_Saint_15_24,C16_C_Lat_Da_Saint_25_34,C16_C_Lat_Da_Saint_35_44,C16_C_Lat_Da_Saint_45_54,C16_C_Lat_Da_Saint_55_64,C16_C_Lat_Da_Saint_65_74,C16_C_Lat_Da_Saint_75_84,C16_C_Lat_Da_Saint_85ov,C16_C_Lat_Da_Saint_Tot,C16_C_Luthe_0_14,C16_C_Luthe_15_24,C16_C_Luthe_25_34,C16_C_Luthe_35_44,C16_C_Luthe_45_54,C16_C_Luthe_55_64,C16_C_Luthe_65_74,C16_C_Luthe_75_84,C16_C_Luthe_85ov,C16_C_Luthe_Tot,C16_C_Ori_Orth_0_14,C16_C_Ori_Orth_15_24,C16_C_Ori_Orth_25_34,C16_C_Ori_Orth_35_44,C16_C_Ori_Orth_45_54,C16_C_Ori_Orth_55_64,C16_C_Ori_Orth_65_74,C16_C_Ori_Orth_75_84,C16_C_Ori_Orth_85ov,C16_C_Ori_Orth_Tot,C16_C_Oth_Prot_0_14,C16_C_Oth_Prot_15_24,C16_C_Oth_Prot_25_34,C16_C_Oth_Prot_35_44,C16_C_Oth_Prot_45_54,C16_C_Oth_Prot_55_64,C16_C_Oth_Prot_65_74,C16_C_Oth_Prot_75_84,C16_C_Oth_Prot_85ov,C16_C_Oth_Prot_Tot,C16_C_Pentec_0_14,C16_C_Pentec_15_24,C16_C_Pentec_25_34,C16_C_Pentec_35_44,C16_C_Pentec_45_54,C16_C_Pentec_55_64,C16_C_Pentec_65_74,C16_C_Pentec_75_84,C16_C_Pentec_85ov,C16_C_Pentec_Tot,C16_C_Pres_Ref_0_14,C16_C_Pres_Ref_15_24,C16_C_Pres_Ref_25_34,C16_C_Pres_Ref_35_44,C16_C_Pres_Ref_45_54,C16_C_Pres_Ref_55_64,C16_C_Pres_Ref_65_74,C16_C_Pres_Ref_75_84,C16_C_Pres_Ref_85ov,C16_C_Pres_Ref_Tot,C16_C_Sal_Army_0_14,C16_C_Sal_Army_15_24,C16_C_Sal_Army_25_34,C16_C_Sal_Army_35_44,C16_C_Sal_Army_45_54,C16_C_Sal_Army_55_64,C16_C_Sal_Army_65_74,C16_C_Sal_Army_75_84,C16_C_Sal_Army_85ov,C16_C_Sal_Army_Tot,C16_C_Sev_day_Adv_0_14,C16_C_Sev_day_Adv_15_24,C16_C_Sev_day_Adv_25_34,C16_C_Sev_day_Adv_35_44,C16_C_Sev_day_Adv_45_54,C16_C_Sev_day_Adv_55_64,C16_C_Sev_day_Adv_65_74,C16_C_Sev_day_Adv_75_84,C16_C_Sev_day_Adv_85ov,C16_C_Sev_day_Adv_Tot,C16_C_Unit_Chur_0_14,C16_C_Unit_Chur_15_24,C16_C_Unit_Chur_25_34,C16_C_Unit_Chur_35_44,C16_C_Unit_Chur_45_54,C16_C_Unit_Chur_55_64,C16_C_Unit_Chur_65_74,C16_C_Unit_Chur_75_84,C16_C_Unit_Chur_85ov,C16_C_Unit_Chur_Tot,C16_Chr_Ch_nfd_0_14,C16_Chr_Ch_nfd_15_24,C16_Chr_Ch_nfd_25_34,C16_Chr_Ch_nfd_35_44,C16_Chr_Ch_nfd_45_54,C16_Chr_Ch_nfd_55_64,C16_Chr_Ch_nfd_65_74,C16_Chr_Ch_nfd_75_84,C16_Chr_Ch_nfd_85ov,C16_Chr_Ch_nfd_Tot,C16_Chr_Oth_Ch_0_14,C16_Chr_Oth_Ch_15_24,C16_Chr_Oth_Ch_25_34,C16_Chr_Oth_Ch_35_44,C16_Chr_Oth_Ch_45_54,C16_Chr_Oth_Ch_55_64,C16_Chr_Oth_Ch_65_74,C16_Chr_Oth_Ch_75_84,C16_Chr_Oth_Ch_85ov,C16_Chr_Oth_Ch_Tot,C16_Chr_Tot_0_14,C16_Chr_Tot_15_24,C16_Chr_Tot_25_34,C16_Chr_Tot_35_44,C16_Chr_Tot_45_54,C16_Chr_Tot_55_64,C16_Chr_Tot_65_74,C16_Chr_Tot_75_84,C16_Chr_Tot_85ov,C16_Chr_Tot_Tot,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85ov,C16_OR_AusAborTrade_Tot,C16_OR_Sikh_0_14,C16_OR_Sikh_15_24,C16_OR_Sikh_25_34,C16_OR_Sikh_35_44,C16_OR_Sikh_45_54,C16_OR_Sikh_55_64,C16_OR_Sikh_65_74,C16_OR_Sikh_75_84,C16_OR_Sikh_85ov,C16_OR_Sikh_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_OR_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_OthRel_Tot_0_14,C16_OthRel_Tot_15_24,C16_OthRel_Tot_25_34,C16_OthRel_Tot_35_44,C16_OthRel_Tot_45_54,C16_OthRel_Tot_55_64,C16_OthRel_Tot_65_74,C16_OthRel_Tot_75_84,C16_OthRel_Tot_85ov,C16_OthRel_Tot_Tot,C16_SBOSB_N_RA_0_14,C16_SBOSB_N_RA_15_24,C16_SBOSB_N_RA_25_34,C16_SBOSB_N_RA_35_44,C16_SBOSB_N_RA_45_54,C16_SBOSB_N_RA_55_64,C16_SBOSB_N_RA_65_74,C16_SBOSB_N_RA_75_84,C16_SBOSB_N_RA_85ov,C16_SBOSB_N_RA_Tot
1GSYD,3408,2197,1831,1632,1400,1025,606,249,85,12432,858,580,788,1113,1496,1370,1542,1335,651,9733,5152,3150,3894,3676,3074,3010,2138,1217,361,25670,3667,2998,3244,3097,3514,3130,2081,1151,647,23519,11544,8612,8581,7864,7170,5290,2618,916,222,52818,11246,8124,9071,11791,14385,15253,13129,8011,4289,95294,765,541,535,629,809,956,906,598,242,5994,2181,1481,1513,1557,1586,1289,975,525,247,11359,13706,10771,9408,10768,13421,14310,12557,7742,4468,97147,21743,15139,17868,15774,14328,11923,7014,3210,1209,108215,720,505,522,631,602,627,486,263,134,4486,450304,292032,295936,334992,350946,307174,247515,147814,69311,2496026,35650,19449,50538,33213,14505,9694,4694,1883,523,170158,75794,39452,51149,38993,23592,14318,7191,2359,587,253436,6397,3348,3518,4528,4349,4696,4377,2339,1650,35192,132,83,79,82,74,40,14,3,0,502,5943,3614,8646,4358,1932,1442,669,333,61,26997,3869,2921,4340,3789,3276,2685,1419,622,199,23123,9941,6611,13063,8232,5287,4172,2098,954,264,50625,228711,189575,246580,182683,146835,114289,62918,25343,10038,1206972
1RNSW,934,464,455,460,477,459,390,184,94,3912,1300,853,724,1019,1536,1784,1663,1239,584,10691,308,94,244,201,116,70,51,22,3,1113,1193,673,773,890,1231,1428,1331,844,481,8843,5727,3274,3109,2972,3163,3353,1932,755,206,24501,7662,5332,5144,8044,13592,18090,18103,11479,5329,92785,1191,875,732,945,1238,1614,1423,836,354,9202,2081,1312,1152,1225,1363,1388,1281,947,498,11255,13514,10092,8593,10904,16411,20908,20414,13002,5964,119805,12293,6972,6645,7067,7576,7717,5449,2396,735,56852,447,229,213,316,330,401,367,179,59,2537,265800,165762,144104,177289,225188,243692,219745,130630,54725,1626930,2353,1109,3282,2156,990,720,358,125,24,11120,4107,1905,3169,2348,1232,645,443,130,26,13999,245,118,149,241,228,278,287,80,54,1683,302,153,148,138,137,97,44,8,0,1028,1067,452,1604,686,347,319,150,65,27,4723,726,862,1032,1284,1396,1109,559,192,46,7202,2098,1461,2778,2111,1878,1524,758,272,73,12960,166978,105453,103795,87791,82214,77972,49428,19145,6743,699520
19499,0,58,8,3,0,3,5,0,0,79,3,0,0,0,7,12,4,0,0,32,0,0,14,0,0,5,0,0,0,22,8,7,8,5,9,9,0,3,0,47,4,12,19,6,7,13,12,0,0,76,9,23,14,25,35,58,56,17,3,241,0,0,4,0,0,8,3,4,0,24,8,5,3,6,12,4,5,0,0,42,33,23,30,39,36,51,64,11,0,289,16,48,60,45,41,38,27,8,0,278,3,0,6,0,0,0,4,0,0,9,290,504,701,587,628,769,646,163,39,4328,8,24,59,16,4,0,0,0,0,124,31,34,71,52,15,8,3,0,0,225,0,0,4,4,5,5,0,0,0,22,5,3,0,0,5,3,0,0,0,20,0,4,9,0,0,0,0,0,0,13,3,8,11,10,9,10,3,0,0,58,9,17,20,13,15,16,3,6,0,94,276,767,921,465,423,402,234,40,7,3537
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,7,0,20,0,0,3,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,19,7,12,21,32,41,80,34,5,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,6,10,15,15,11,0,0,92
2GMEL,2596,1751,1432,1220,1127,835,490,222,79,9763,1822,1215,1208,1755,2223,2111,1932,1860,901,15022,3557,1906,2430,2426,1966,1505,957,450,144,15337,2613,2201,2522,2437,2462,2242,1751,995,626,17851,9341,6539,6835,6390,5739,4283,2371,795,239,42543,5874,4906,5123,6317,9308,12892,13118,8092,4413,70047,602,511,445,560,832,1014,993,712,330,6006,1529,1105,1129,1119,1060,851,647,425,214,8083,11647,9329,8231,10788,14960,17146,15724,10467,5848,104137,23697,16118,17834,17600,15702,12459,7894,3666,1376,116346,605,412,481,486,591,523,387,301,158,3949,346816,236374,232689,268747,305525,261467,219123,141381,62886,2075001,28513,13813,42882,25718,8605,5496,2733,941,238,128940,54226,31231,39424,28243,17087,9360,4870,1784,433,186652,8217,4045,4636,5300,4483,5317,5173,2557,1919,41640,57,33,43,35,44,11,5,0,0,227,11168,6537,20057,7069,1830,1834,825,224,64,49602,1829,1887,3181,2846,2471,1814,964,366,106,15470,13055,8456,23281,9949,4339,3663,1794,585,171,65296,276158,229127,283722,214546,170550,128463,70567,26684,11289,1411107
2RVIC,410,231,201,229,249,264,200,106,36,1930,2083,1090,1035,1291,1787,1985,1766,1229,587,12858,135,53,135,88,44,22,14,4,0,485,473,291,297,359,516,625,655,359,271,3826,2231,1411,1119,1252,1418,1486,1147,479,132,10670,2783,2297,1874,2995,6538,10116,10671,6465,3140,46868,552,330,268,408,577,765,734,444,186,4264,434,282,251,302,315,300,337,204,86,2504,9108,6687,5051,7675,12749,17325,17112,11721,5863,93304,6393,3710,3438,3603,4186,4000,2944,1241,425,29943,124,84,84,96,149,133,139,79,25,923,116706,73916,61543,78566,107848,119454,109741,65316,28915,762004,1238,611,2001,1154,407,297,148,36,14,5905,2845,1759,1895,1608,1074,528,298,100,19,10126,63,52,63,71,83,109,120,33,8,602,57,24,20,24,24,24,6,0,0,179,760,259,1314,480,143,122,50,17,3,3142,408,459,600,710,746,570,281,71,22,3877,1224,746,1932,1211,910,721,339,86,27,7197,113553,71862,70845,64200,60702,55940,35119,12540,4329,489102
29499,7,10,0,3,5,0,0,0,0,23,0,0,3,5,5,5,3,0,0,26,0,0,0,0,0,0,0,0,0,7,0,6,8,0,9,0,7,0,0,31,22,9,11,5,11,3,0,4,0,73,10,4,18,5,16,27,25,9,0,119,0,0,5,0,6,0,0,0,0,12,8,3,8,0,4,0,0,0,0,18,12,3,16,15,14,41,14,11,3,123,30,29,28,25,17,14,8,7,0,151,0,0,0,0,0,0,0,0,0,0,230,240,399,292,293,335,243,74,19,2130,11,16,50,15,0,0,4,0,0,95,74,54,60,30,19,0,5,0,0,251,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,4,7,5,0,0,0,0,0,0,21,0,4,7,6,4,5,0,0,0,31,5,13,15,9,4,5,0,0,0,55,269,537,748,386,277,209,137,24,8,2584
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7
3GBRI,3984,2287,1876,1675,1356,1053,599,257,82,13178,4181,2592,2185,3032,3426,3278,2700,1656,749,23805,575,274,346,389,206,113,47,19,8,1975,2181,1608,1563,1625,2066,1860,1253,672,299,13120,8046,5234,5357,4780,4456,3868,2296,862,246,35144,6319,4582,4742,6798,9443,11027,9660,5095,2436,60100,675,489,442,627,858,937,804,518,223,5581,1929,1286,1135,1191,1087,932,697,423,167,8842,14706,10445,8859,12635,15550,15659,14505,7547,3413,103332,16312,10420,10596,9637,9029,6948,4242,1752,629,69564,1092,764,611,795,797,737,583,348,141,5856,221701,144491,135382,160818,178276,156984,126432,66191,27865,1218140,7085,3801,10097,6472,2933,1804,871,349,83,33492,10152,5785,7198,5229,2887,1587,711,227,53,33830,327,252,269,307,333,324,246,90,50,2201,64,38,38,44,56,30,8,3,0,273,2563,1819,5361,1546,477,402,207,61,18,12457,1094,1272,1677,1688,1449,983,485,185,44,8881,3726,3128,7079,3271,1978,1417,697,245,64,21610,158409,124654,140133,104346,79298,54965,30530,10744,4100,707183
3RQLD,2038,1016,933,1053,760,747,476,210,75,7320,5724,3107,2953,3709,4613,4775,4036,2683,943,32540,208,167,171,171,88,64,61,17,5,955,1493,971,891,1152,1648,1869,1548,829,390,10795,9329,5298,4690,4848,4784,4256,2674,1022,304,37213,6384,4355,4433,7155,12249,16304,15381,8423,3498,78182,930,608,528,775,927,1140,1093,586,234,6804,1739,924,922,1054,1115,1063,954,545,249,8569,18715,11833,10731,15240,20426,22014,20245,11062,4248,134509,17562,9835,9661,9481,9609,8369,5686,2380,833,73406,694,454,354,533,620,620,525,314,104,4216,249395,148162,139322,169966,204379,200976,172523,92257,34985,1411958,2536,1590,3722,2391,1050,694,292,101,27,12411,3017,1619,2346,1900,1066,567,327,112,31,10987,270,183,195,248,272,371,373,174,99,2179,337,135,132,124,117,73,42,8,5,966,1056,605,2190,619,207,171,77,34,4,4966,994,1004,1267,1399,1378,1040,555,174,49,7872,2392,1751,3595,2134,1706,1286,675,214,54,13800,163100,106568,112413,94223,83220,65976,41084,15372,5230,687182
