GCCSA_CODE_2021,C16_Rel_NS_0_14,C16_Rel_NS_15_24,C16_Rel_NS_25_34,C16_Rel_NS_35_44,C16_Rel_NS_45_54,C16_Rel_NS_55_64,C16_Rel_NS_65_74,C16_Rel_NS_75_84,C16_Rel_NS_85ov,C16_Rel_NS_Tot,C16_Tot_0_14,C16_Tot_15_24,C16_Tot_25_34,C16_Tot_35_44,C16_Tot_45_54,C16_Tot_55_64,C16_Tot_65_74,C16_Tot_75_84,C16_Tot_85ov,C16_Tot_Tot,C21_Buddhism_0_14,C21_Buddhism_15_24,C21_Buddhism_25_34,C21_Buddhism_35_44,C21_Buddhism_45_54,C21_Buddhism_55_64,C21_Buddhism_65_74,C21_Buddhism_75_84,C21_Buddhism_85ov,C21_Buddhism_Tot,C21_Christ_Angli_0_14,C21_Christ_Angl_15_24,C21_Christ_Angl_25_34,C21_Christ_Angl_35_44,C21_Christ_Angl_45_54,C21_Christ_Angl_55_64,C21_Christ_Angl_65_74,C21_Christ_Angl_75_84,C21_Christ_Anglic_85ov,C21_Christ_Anglic_Tot,C21_Chr_Ass_Apo_0_14,C21_Chr_Ass_Apo_15_24,C21_Chr_Ass_Apo_25_34,C21_Chr_Ass_Apo_35_44,C21_Chr_Ass_Apo_45_54,C21_Chr_Ass_Apo_55_64,C21_Chr_Ass_Apo_65_74,C21_Chr_Ass_Apo_75_84,C21_Chr_Ass_Apo_85ov,C21_Chr_Ass_Apo_Tot,C21_Chr_Bapt_0_14,C21_Chr_Bapt_15_24,C21_Chr_Bapt_25_34,C21_Chr_Bapt_35_44,C21_Chr_Bapt_45_54,C21_Chr_Bapt_55_64,C21_Chr_Bapt_65_74,C21_Chr_Bapt_75_84,C21_Chr_Bapt_85ov,C21_Chr_Bapt_Tot,C21_Chr_Breth_0_14,C21_Chr_Bret_15_24,C21_Chr_Bret_25_34,C21_Chr_Bret_35_44,C21_Chr_Bret_45_54,C21_Chr_Bret_55_64,C21_Chr_Bret_65_74,C21_Chr_Bret_75_84,C21_Chr_Breth_85ov,C21_Chr_Bret_Tot,C21_Chr_Cath_0_14,C21_Chr_Cath_15_24,C21_Chr_Cath_25_34,C21_Chr_Cath_35_44,C21_Chr_Cath_45_54,C21_Chr_Cath_55_64,C21_Chr_Cath_65_74,C21_Chr_Cath_75_84,C21_Chr_Catho_85ov,C21_Chr_Catho_Tot,C21_C_Chur_Christ_0_14,C21_C_Chur_Christ_15_24,C21_C_Chur_Christ_25_34,C21_C_Chur_Christ_35_44,C21_C_Chur_Christ_45_54,C21_C_Chur_Christ_55_64,C21_C_Chur_Christ_65_74,C21_C_Chur_Christ_75_84,C21_C_Chur_Christ_85ov,C21_C_Chur_Christ_Tot,C21_C_East_Ortho_0_14,C21_C_East_Ortho_15_24,C21_C_East_Ortho_25_34,C21_C_East_Ortho_35_44,C21_C_East_Ortho_45_54,C21_C_East_Ortho_55_64,C21_C_East_Ortho_65_74,C21_C_East_Ortho_75_84,C21_C_East_Ortho_85ov,C21_C_East_Ortho_Tot,C21_C_Jeh_Wit_0_14,C21_C_Jeh_Wit_15_24,C21_C_Jeh_Wit_25_34,C21_C_Jeh_Wit_35_44,C21_C_Jeh_Wit_45_54,C21_C_Jeh_Wit_55_64,C21_C_Jeh_Wit_65_74,C21_C_Jeh_Wit_75_84,C21_C_Jeh_Wit_85ov,C21_C_Jeh_Wit_Tot,C21_C_La_Da_Sai_0_14,C21_C_La_Da_Sa_15_24,C21_C_La_Da_Sa_25_34,C21_C_La_Da_Sa_35_44,C21_C_La_Da_Sa_45_54,C21_C_La_Da_Sa_55_64,C21_C_La_Da_Sa_65_74,C21_C_La_Da_Sa_75_84,C21_C_Lat_Da_Sa_85ov,C21_C_Lat_Da_Sa_Tot,C21_C_Luthe_0_14,C21_C_Luthe_15_24,C21_C_Luthe_25_34,C21_C_Luthe_35_44,C21_C_Luthe_45_54,C21_C_Luthe_55_64,C21_C_Luthe_65_74,C21_C_Luthe_75_84,C21_C_Luthe_85ov,C21_C_Luthe_Tot,C21_C_Ori_Orth_0_14,C21_C_Ori_Orth_15_24,C21_C_Ori_Orth_25_34,C21_C_Ori_Orth_35_44,C21_C_Ori_Orth_45_54,C21_C_Ori_Orth_55_64,C21_C_Ori_Orth_65_74,C21_C_Ori_Orth_75_84,C21_C_Ori_Orth_85ov,C21_C_Ori_Ort_Tot,C21_C_Oth_Pro_0_14,C21_C_Oth_Pro_15_24,C21_C_Oth_Pro_25_34,C21_C_Oth_Pro_35_44,C21_C_Oth_Pro_45_54,C21_C_Oth_Pro_55_64,C21_C_Oth_Pro_65_74,C21_C_Oth_Pro_75_84,C21_C_Oth_Pro_85ov,C21_C_Oth_Pro_Tot,C21_C_Pent_0_14,C21_C_Pent_15_24,C21_C_Pent_25_34,C21_C_Pent_35_44,C21_C_Pent_45_54,C21_C_Pent_55_64,C21_C_Pent_65_74,C21_C_Pent_75_84,C21_C_Pent_85ov,C21_C_Pent_Tot,C21_C_Pres_Ref_0_14,C21_C_Pres_Ref_15_24,C21_C_Pres_Ref_25_34,C21_C_Pres_Ref_35_44,C21_C_Pres_Ref_45_54,C21_C_Pres_Ref_55_64,C21_C_Pres_Ref_65_74,C21_C_Pres_Ref_75_84,C21_C_Pres_Ref_85ov,C21_C_Pres_Ref_Tot,C21_C_Sal_Army_0_14,C21_C_Sal_Army_15_24,C21_C_Sal_Army_25_34,C21_C_Sal_Army_35_44,C21_C_Sal_Army_45_54,C21_C_Sal_Army_55_64,C21_C_Sal_Army_65_74,C21_C_Sal_Army_75_84,C21_C_Sal_Army_85ov,C21_C_Sal_Army_Tot,C21_C_Sev_day_Adv_0_14,C21_C_Sev_day_Adv_15_24,C21_C_Sev_day_Adv_25_34,C21_C_Sev_day_Adv_35_44,C21_C_Sev_day_Adv_45_54,C21_C_Sev_day_Adv_55_64,C21_C_Sev_day_Adv_65_74,C21_C_Sev_day_Adv_75_84,C21_C_Sev_day_Adv_85ov,C21_C_Sev_day_Adv_Tot,C21_Chr_Unit_Ch_0_14,C21_Chr_Unit_Ch_15_24,C21_Chr_Unit_Ch_25_34,C21_Chr_Unit_Ch_35_44,C21_Chr_Unit_Ch_45_54,C21_Chr_Unit_Ch_55_64,C21_Chr_Unit_Ch_65_74,C21_Chr_Unit_Ch_75_84,C21_Chr_Unit_Ch_85ov,C21_Chr_Unit_Ch_Tot
1GSYD,71049,55447,78885,61682,52575,44263,31730,18345,11564,425540,900294,629104,774405,696039,627576,524013,372482,204052,96019,4823993,20628,20159,32947,36262,31730,29605,19607,6865,2744,200547,59371,42167,35226,51326,73392,74147,71643,50121,21383,478777,3136,1791,2032,2164,1881,1996,1364,633,214,15202,10086,6360,7426,8555,8220,8395,6842,3676,1385,60935,872,573,594,496,322,317,196,142,80,3586,227233,148812,146943,159039,164840,148888,115864,70552,28806,1210979,546,363,440,465,499,548,512,295,95,3751,28466,20871,17754,20671,29235,21836,17226,15301,6029,177380,1501,1261,1477,1934,1880,1658,1401,841,342,12295,2931,1880,1698,1450,1354,1107,712,295,105,11523,547,440,478,766,1187,1299,1297,1309,591,7919,6161,3378,3838,4721,3333,3263,2584,1508,500,29283,3813,2767,3713,3495,3464,3389,2470,1321,631,25064,9905,6803,6915,7271,6583,5568,3347,1165,346,47907,9405,6167,7005,9030,11659,13068,12103,8218,3615,80273,452,330,268,380,609,720,765,600,259,4380,2066,1406,1518,1553,1532,1377,1108,657,285,11496,9286,7124,6288,8040,10380,12298,12074,8663,3828,77979
1RNSW,40809,28882,29880,29073,33111,35652,30555,18006,9659,255630,485265,307087,290384,304920,348555,363962,303232,168736,71398,2643535,2178,1737,3242,4226,3958,3416,2525,683,120,22096,50501,34995,28663,42494,66127,82671,90270,60782,24126,480630,3,4,9,6,12,13,5,0,0,53,5112,2898,2859,3590,4011,4807,4976,3245,1108,32594,803,642,659,429,345,319,162,141,59,3565,106710,65998,56631,64141,76996,86918,75039,45781,17325,595539,167,79,112,157,163,304,364,262,94,1700,3591,2566,2241,2871,3723,3387,3212,2128,815,24539,1521,983,903,1450,1475,1680,1717,988,342,11060,651,370,344,423,439,423,379,246,88,3360,856,658,551,779,1223,1653,1694,1255,567,9238,424,154,232,307,172,111,81,28,9,1513,1601,807,1205,1125,1207,1479,1576,977,523,10504,5324,2595,2519,3090,2820,3248,2723,1072,259,23652,4777,3414,3352,4958,9136,14218,16713,11666,4830,73072,597,472,372,522,872,1269,1376,864,332,6673,1880,1248,1047,1230,1325,1439,1474,1061,508,11209,7530,5953,4818,7380,11308,17492,19448,14000,6048,93978
19499,116,481,863,733,679,494,286,63,26,3744,741,1876,2703,1898,1801,1721,1195,283,74,12288,11,9,35,21,14,25,10,7,0,134,43,38,69,100,157,227,189,50,10,898,0,0,0,0,0,0,0,0,0,0,6,7,9,13,12,15,20,3,0,92,0,0,0,0,0,0,0,0,0,0,131,109,188,194,170,192,168,59,7,1214,0,0,0,0,0,0,0,0,0,7,9,5,12,24,15,9,13,10,0,96,0,0,3,3,7,6,4,0,0,30,0,3,4,0,4,0,0,0,0,15,6,5,3,0,0,4,8,3,0,28,0,0,3,4,0,0,0,0,0,9,3,0,4,0,0,4,0,0,0,18,0,5,18,7,11,16,14,3,0,70,0,5,11,9,14,49,37,8,4,138,0,0,3,7,7,6,7,3,0,26,0,4,4,3,3,11,0,0,0,30,5,7,12,16,20,52,46,14,0,175
19799,8,6,3,7,7,15,19,5,0,60,39,27,29,31,53,74,110,43,11,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,68260,54052,72018,56659,50993,43342,31142,18701,10848,406019,819696,602382,730347,639085,587314,476899,344288,196055,89150,4485210,24152,22105,32694,35656,29590,24079,15208,5135,1833,190454,23383,18978,15971,24011,40672,46346,48296,35997,16244,269899,782,513,488,524,466,494,276,114,49,3707,11695,7104,7881,8825,8393,7434,5881,3781,1465,62450,488,263,361,294,158,188,128,79,51,2012,173424,122065,118628,129697,145125,135526,103433,66556,29651,1024099,964,581,667,783,808,907,1074,798,318,6893,30055,23480,19328,22525,35950,26521,20213,20109,7901,206077,1288,1056,1162,1599,1690,1477,1342,842,361,10818,2428,1651,1375,1180,1149,910,582,273,88,9632,1219,883,775,1234,1819,1996,1696,1697,873,12194,4366,2233,2499,3180,2152,1841,1275,653,190,18389,2704,1984,2692,2727,2491,2340,1929,1234,699,18801,9204,5751,6351,6809,5759,4728,3122,1236,293,43251,4652,3203,3860,4614,6305,8969,10785,7963,3705,54050,421,291,236,366,570,770,851,684,357,4543,1428,1040,1135,1149,1046,963,767,455,239,8228,7216,5701,5023,7225,10670,14192,15269,11742,5536,82574
2RVIC,23293,16153,16671,16790,19261,21138,18334,10549,5453,147645,260470,166499,156997,165539,192118,199728,164831,88831,38802,1433818,1510,1281,2684,2732,2267,1891,1189,313,47,13911,11382,8637,6856,11118,20172,29129,34788,23174,9519,154785,0,5,6,0,0,0,0,0,0,13,3371,1988,1898,2166,2236,2679,2922,1713,587,19554,503,360,377,251,187,222,98,92,53,2152,54861,33470,28599,33543,41501,45930,40378,23723,8900,310909,410,246,160,275,349,537,718,493,199,3397,1478,1012,957,1126,1720,1675,1442,905,336,10639,636,400,355,624,608,775,708,429,158,4688,338,184,195,243,235,241,227,107,37,1801,1428,825,720,947,1368,1868,1841,1298,587,10887,198,66,125,166,45,33,16,13,0,668,476,301,343,413,471,643,732,453,276,4107,2173,1296,1208,1287,1388,1556,1494,660,146,11209,1723,1182,1201,1662,3533,6847,9281,6480,2767,34677,213,166,117,193,341,583,696,455,194,2959,428,257,320,315,346,336,353,230,109,2692,4674,3656,2693,4703,8272,14038,17246,12644,5529,73454
29499,157,351,524,530,354,247,89,19,8,2289,747,1251,1845,1290,975,814,479,123,42,7572,9,12,44,19,16,14,8,3,0,128,21,11,15,40,56,83,74,17,4,322,0,0,0,0,0,0,0,0,0,0,0,10,10,3,12,4,5,3,0,46,0,0,0,0,0,0,0,0,0,0,61,80,129,149,136,122,75,20,7,772,3,0,0,3,6,0,0,0,0,12,9,11,11,13,14,9,5,0,0,74,5,0,3,4,0,0,0,0,0,17,3,14,0,4,0,0,0,0,0,22,0,4,0,0,0,5,6,0,0,16,0,0,0,0,0,0,0,0,0,10,7,0,3,6,5,3,8,0,0,30,0,5,9,0,3,3,5,3,0,30,7,3,10,7,8,20,9,7,5,68,9,0,4,3,0,0,4,0,0,21,0,0,0,0,0,0,0,0,0,3,23,8,12,11,12,30,26,6,0,129
29799,0,0,0,0,0,0,0,0,0,3,4,0,0,4,13,9,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,36842,29052,34927,29280,26676,22300,16123,8817,5866,209875,444403,317325,343231,317930,299056,244788,178208,87504,38350,2270807,5466,5121,7871,9377,7759,6110,4261,1328,391,47687,26151,19860,14805,25157,40480,41579,40933,26886,10001,245852,12,6,10,10,10,12,3,0,0,55,9879,5985,5885,7067,6844,6192,5083,2800,918,50659,225,179,151,143,127,100,104,87,32,1143,88639,58044,50347,62396,67432,59903,46901,26597,9931,470193,437,288,238,351,430,495,497,356,123,3210,3826,2755,2621,3073,3472,3276,2341,1694,630,23694,1642,1046,1215,1615,1555,1548,1272,741,295,10928,3672,2449,1809,1716,1472,1114,775,331,101,13446,3003,1881,1438,2345,2932,2994,2759,1854,750,19961,882,387,372,608,363,192,104,37,3,2945,2280,1409,1498,1838,1804,1901,1547,959,383,13618,7870,4503,4579,5125,4197,3853,2862,1127,312,34429,4878,3340,3366,4736,7170,8573,8988,5590,2247,48885,444,311,233,400,611,767,758,569,238,4329,1784,1193,1071,1207,1164,976,864,508,223,8996,8983,6609,5067,8498,12045,13494,14142,9472,3414,81735
3RQLD,43199,31505,34972,32715,34806,32495,25463,13311,6620,255079,467468,294260,301159,308694,330961,305688,242447,121918,47130,2419723,2807,2209,3840,5351,4794,3601,2401,756,126,25881,36248,24720,19107,30927,48980,58300,62023,39962,14000,334268,14,3,4,4,0,8,6,0,0,41,6452,3739,3609,4428,4782,5115,4617,2572,783,36093,454,305,261,206,204,192,126,125,40,1921,88880,53466,48623,58889,67874,69861,57966,33001,11204,489758,636,402,329,449,572,689,843,571,197,4688,1624,1177,1148,1471,1910,1747,1326,867,364,11635,1956,1318,1283,1790,1995,2168,1872,1133,346,13867,1605,949,769,912,773,725,593,287,87,6713,3951,2407,1946,2804,3736,4486,4129,2914,1117,27492,318,243,166,234,134,87,54,34,11,1284,1306,892,900,1121,1469,1822,1730,1078,407,10710,8017,4523,4082,4538,4537,4350,3406,1523,344,35329,4080,2509,2735,4214,7830,11933,14181,8744,3288,59506,360,296,209,378,634,861,1001,643,236,4619,1430,862,835,1005,1058,1076,997,674,283,8220,10467,7077,5737,9618,14474,19109,20027,13077,4653,104249
