GCCSA_CODE_2021,Pre_sch_C11_M,Pre_sch_C11_F,Pre_sch_C11_P,Pre_sch_C16_M,Pre_sch_C16_F,Pre_sch_C16_P,Pre_sch_C21_M,Pre_sch_C21_F,Pre_sch_C21_P,Prim_Govt_C11_M,Prim_Govt_C11_F,Prim_Govt_C11_P,Prim_Govt_C16_M,Prim_Govt_C16_F,Prim_Govt_C16_P,Prim_Govt_C21_M,Prim_Govt_C21_F,Prim_Govt_C21_P,Prim_Cath_C11_M,Prim_Cath_C11_F,Prim_Cath_C11_P,Prim_Cath_C16_M,Prim_Cath_C16_F,Prim_Cath_C16_P,Prim_Cath_C21_M,Prim_Cath_C21_F,Prim_Cath_C21_P,Pri_Oth_No_Gov_C11_M,Pri_Oth_No_Gov_C11_F,Pri_Oth_No_Gov_C11_P,Pri_Oth_No_Gov_C16_M,Pri_Oth_No_Gov_C16_F,Pri_Oth_No_Gov_C16_P,Pri_Oth_No_Gov_C21_M,Pri_Oth_No_Gov_C21_F,Pri_Oth_No_Gov_C21_P,Primary_Tot_Prim_C11_M,Primary_Tot_Prim_C11_F,Primary_Tot_Prim_C11_P,Primary_Tot_Prim_C16_M,Primary_Tot_Prim_C16_F,Primary_Tot_Prim_C16_P,Primary_Tot_Prim_C21_M,Primary_Tot_Prim_C21_F,Primary_Tot_Prim_C21_P,Sec_Govern_C11_M,Sec_Govern_C11_F,Sec_Govern_C11_P,Sec_Govern_C16_M,Sec_Govern_C16_F,Sec_Govern_C16_P,Sec_Govern_C21_M,Sec_Govern_C21_F,Sec_Govern_C21_P,Sec_Catholic_C11_M,Sec_Catholic_C11_F,Sec_Catholic_C11_P,Sec_Catholic_C16_M,Sec_Catholic_C16_F,Sec_Catholic_C16_P,Sec_Catholic_C21_M,Sec_Catholic_C21_F,Sec_Catholic_C21_P,Sec_Oth_Non_Gov_C11_M,Sec_Oth_Non_Gov_C11_F,Sec_Oth_Non_Gov_C11_P,Sec_Oth_Non_Gov_C16_M,Sec_Oth_Non_Gov_C16_F,Sec_Oth_Non_Gov_C16_P,Sec_Oth_Non_Gov_C21_M,Sec_Oth_Non_Gov_C21_F,Sec_Oth_Non_Gov_C21_P,Sec_Tot_Sec_C11_M,Sec_Tot_Sec_C11_F,Sec_Tot_Sec_C11_P,Sec_Tot_Sec_C16_M,Sec_Tot_Sec_C16_F,Sec_Tot_Sec_C16_P,Sec_Tot_Sec_C21_M,Sec_Tot_Sec_C21_F,Sec_Tot_Sec_C21_P,Tert_Voc_TPTP_FTS_15_24_C11_M,Tert_Voc_TPTP_FTS_15_24_C11_F,Tert_Voc_TPTP_FTS_15_24_C11_P,Tert_Voc_TPTP_FTS_15_24_C16_M,Tert_Voc_TPTP_FTS_15_24_C16_F,Tert_Voc_TPTP_FTS_15_24_C16_P,Tert_Voc_TPTP_FTS_15_24_C21_M,Tert_Voc_TPTP_FTS_15_24_C21_F,Tert_Voc_TPTP_FTS_15_24_C21_P,Tert_Voc_TPTP_FTS_25ove_C11_M,Tert_Voc_TPTP_FTS_25ove_C11_F,Tert_Voc_TPTP_FTS_25ove_C11_P,Tert_Voc_TPTP_FTS_25ove_C16_M,Tert_Voc_TPTP_FTS_25ove_C16_F,Tert_Voc_TPTP_FTS_25ove_C16_P,Tert_Voc_TPTP_FTS_25ove_C21_M,Tert_Voc_TPTP_FTS_25ove_C21_F,Tert_Voc_TPTP_FTS_25ove_C21_P,Tert_Voc_TPTP_PTS_15_24_C11_M,Tert_Voc_TPTP_PTS_15_24_C11_F,Tert_Voc_TPTP_PTS_15_24_C11_P,Tert_Voc_TPTP_PTS_15_24_C16_M,Tert_Voc_TPTP_PTS_15_24_C16_F,Tert_Voc_TPTP_PTS_15_24_C16_P,Tert_Voc_TPTP_PTS_15_24_C21_M,Tert_Voc_TPTP_PTS_15_24_C21_F,Tert_Voc_TPTP_PTS_15_24_C21_P,Tert_Voc_TPTP_PTS_25ov_C11_M,Tert_Voc_TPTP_PTS_25ov_C11_F,Tert_Voc_TPTP_PTS_25ov_C11_P,Tert_Voc_TPTP_PTS_25ov_C16_M,Tert_Voc_TPTP_PTS_25ov_C16_F,Tert_Voc_TPTP_PTS_25ov_C16_P,Tert_Voc_TPTP_PTS_25ov_C21_M,Tert_Voc_TPTP_PTS_25ov_C21_F,Tert_Voc_TPTP_PTS_25ov_C21_P,Tert_Voc_F_Pt_stu_st_ns_C11_M,Tert_Voc_F_Pt_stu_st_ns_C11_F,Tert_Voc_F_Pt_stu_st_ns_C11_P,Tert_Voc_F_Pt_stu_st_ns_C16_M,Tert_Voc_F_Pt_stu_st_ns_C16_F,Tert_Voc_F_Pt_stu_st_ns_C16_P,Tert_Voc_F_Pt_stu_st_ns_C21_M,Tert_Voc_F_Pt_stu_st_ns_C21_F,Tert_Voc_F_Pt_stu_st_ns_C21_P,Tert_Voc_Tot_C11_M,Tert_Voc_Tot_C11_F,Tert_Voc_Tot_C11_P,Tert_Voc_Tot_C16_M,Tert_Voc_Tot_C16_F,Tert_Voc_Tot_C16_P,Tert_Voc_Tot_C21_M,Tert_Voc_Tot_C21_F,Tert_Voc_Tot_C21_P,Tert_U_Ft_s_15_24_C11_M,Tert_U_Ft_s_15_24_C11_F,Tert_U_Ft_s_15_24_C11_P,Tert_U_Ft_s_15_24_C16_M,Tert_U_Ft_s_15_24_C16_F,Tert_U_Ft_s_15_24_C16_P,Tert_U_Ft_s_15_24_C21_M,Tert_U_Ft_s_15_24_C21_F,Tert_U_Ft_s_15_24_C21_P,Tert_U_Ft_s_25over_C11_M,Tert_U_Ft_s_25over_C11_F,Tert_U_Ft_s_25over_C11_P,Tert_U_Ft_s_25over_C16_M,Tert_U_Ft_s_25over_C16_F,Tert_U_Ft_s_25over_C16_P,Tert_U_Ft_s_25over_C21_M,Tert_U_Ft_s_25over_C21_F,Tert_U_Ft_s_25over_C21_P,Tert_U_Pt_s_15_24_C11_M,Tert_U_Pt_s_15_24_C11_F,Tert_U_Pt_s_15_24_C11_P,Tert_U_Pt_s_15_24_C16_M,Tert_U_Pt_s_15_24_C16_F,Tert_U_Pt_s_15_24_C16_P,Tert_U_Pt_s_15_24_C21_M,Tert_U_Pt_s_15_24_C21_F,Tert_U_Pt_s_15_24_C21_P,Tert_U_Pt_s_25over_C11_M,Tert_U_Pt_s_25over_C11_F,Tert_U_Pt_s_25over_C11_P,Tert_U_Pt_s_25over_C16_M,Tert_U_Pt_s_25over_C16_F,Tert_U_Pt_s_25over_C16_P,Tert_U_Pt_s_25over_C21_M,Tert_U_Pt_s_25over_C21_F,Tert_U_Pt_s_25over_C21_P,Tert_U_F_Pt_s_s_ns_C11_M,Tert_U_F_Pt_s_s_ns_C11_F,Tert_U_F_Pt_s_s_ns_C11_P,Tert_U_F_Pt_s_s_ns_C16_M,Tert_U_F_Pt_s_s_ns_C16_F,Tert_U_F_Pt_s_s_ns_C16_P,Tert_U_F_Pt_s_s_ns_C21_M,Tert_U_F_Pt_s_s_ns_C21_F,Tert_U_F_Pt_s_s_ns_C21_P,Tert_U_Tot_C11_M,Tert_U_Tot_C11_F,Tert_U_Tot_C11_P,Tert_U_Tot_C16_M,Tert_U_Tot_C16_F,Tert_U_Tot_C16_P,Tert_U_Tot_C21_M,Tert_U_Tot_C21_F,Tert_U_Tot_C21_P,Tert_Tot_Tert_C11_M,Tert_Tot_Tert_C11_F,Tert_Tot_Tert_C11_P,Tert_Tot_Tert_C16_M,Tert_Tot_Tert_C16_F,Tert_Tot_Tert_C16_P,Tert_Tot_Tert_C21_M,Tert_Tot_Tert_C21_F,Tert_Tot_Tert_C21_P,Ot_ty_Ed_Ins_Ft_st_C11_M,Ot_ty_Ed_Ins_Ft_st_C11_F
1GSYD,41157,37792,78951,43887,40030,83913,56934,51574,108505,117653,109826,227479,137582,128646,266229,150726,140417,291148,36784,35909,72695,38895,38494,77390,40549,40154,80701,21912,20600,42516,24636,23183,47819,27791,27113,54908,176347,166335,342686,201118,190319,391435,219467,208040,427508,80333,78421,158755,83703,81892,165596,94406,89467,183872,37398,36164,73556,40858,39204,80065,42924,42894,85818,25895,25051,50945,29661,28474,58132,34821,34157,68980,143634,139627,283262,154229,149573,303793,172448,166776,339220,10463,10010,20468,7697,7951,15648,9559,9686,19240,6647,11346,17991,7428,12324,19754,11936,17456,29388,16855,8394,25244,14391,6890,21283,19137,9556,28695,16328,23974,40308,13563,21649,35207,23107,36785,59890,736,634,1375,442,444,890,269,258,523,51033,54354,105388,43518,49265,92778,64012,73730,137739,56482,66905,123384,76334,86118,162456,71182,82998,154180,17708,19606,37319,27126,29391,56520,25190,29773,54966,6819,7920,14737,9113,10022,19135,9758,11134,20889,22440,29923,52365,22261,32359,54624,22946,35031,57980,748,826,1569,577,709,1290,354,363,711,104197,125180,229378,135420,158603,294021,129427,159300,288727,155222,179537,334762,178938,207860,386803,193824,233457,427287,6241,7299
1RNSW,24670,22911,47578,25155,22923,48072,30481,28137,58613,74204,70094,144304,77720,73319,151036,79607,74002,153604,21925,21074,42999,22552,22134,44691,23640,23113,46751,9803,9178,18993,10135,9621,19755,11579,11352,22934,105943,100351,206291,110404,105077,215483,114962,108600,223560,57027,55154,112186,52579,50972,103551,54329,52044,106376,17317,18500,35817,18454,19153,37603,19687,20644,40330,9954,10417,20368,10749,11004,21759,12709,13170,25881,84297,84072,168373,81777,81130,162911,86799,85947,172748,3983,4497,8480,2924,3746,6670,3582,4148,7731,2178,4657,6837,1971,4248,6221,2923,5298,8228,11917,6914,18830,9491,6284,15776,12888,8435,21326,10047,17338,27375,7617,14271,21889,11405,20588,31991,410,367,782,285,263,546,196,172,371,28537,33772,62306,22293,28812,51103,30997,38637,69642,13558,19610,33171,15063,20087,35155,13472,21043,34515,5088,7248,12326,6442,8860,15299,6071,9604,15674,2121,3205,5328,2398,3877,6272,2752,4705,7462,7613,14427,22044,8149,16444,24596,9002,19186,28189,141,197,339,128,187,321,89,123,212,28518,44685,73211,32189,49455,81645,31386,54665,86050,57056,78461,135516,54479,78268,132748,62475,93395,155871,1281,1589
19499,37,39,76,34,17,53,37,31,72,155,138,295,81,104,184,109,126,237,19,14,33,13,9,20,14,12,30,25,17,39,19,19,35,20,17,36,197,174,367,112,136,245,146,161,310,121,118,238,64,34,97,73,93,167,16,13,29,7,8,18,15,15,34,16,14,29,12,18,29,19,8,29,157,145,299,77,55,136,107,124,229,37,39,75,20,23,41,13,16,31,21,31,57,14,25,43,11,34,46,29,34,64,26,13,47,16,20,31,38,71,104,28,50,81,38,54,96,4,0,7,6,0,6,0,0,0,130,175,306,100,120,215,84,123,205,99,135,230,103,126,233,37,60,96,60,60,121,66,74,134,25,50,74,10,11,29,7,11,18,10,7,17,44,65,111,26,44,69,23,44,67,0,7,8,0,8,3,0,0,3,207,281,490,202,256,465,97,158,254,342,456,793,306,379,678,176,286,459,24,32
19799,0,0,0,0,0,0,0,0,0,3,0,3,5,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,8,16,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,0,6,6,0,0,0,0,0
2GMEL,35130,32767,67899,37936,35106,73038,56282,51519,107797,102782,94543,197321,123037,114097,237129,141710,131630,273337,34173,33848,68017,37712,37066,74781,38323,37359,75677,18156,18839,36999,20571,21288,41860,23235,24209,47445,155114,147224,302338,181326,172452,353774,203585,193470,397053,70724,66524,137244,77297,72619,149906,91638,84687,176329,28680,29928,58607,31439,32605,64047,34133,35108,69238,27561,28687,56249,29567,30529,60097,33871,34888,68761,126966,125137,252102,138299,135752,274053,159876,154900,314772,13587,11922,25506,10866,9962,20828,12149,10599,22751,6623,8360,14974,7296,10431,17728,12069,16200,28269,13024,6123,19146,10745,4961,15706,15090,6786,21868,11960,16074,28041,11248,14651,25906,19840,28317,48159,640,453,1093,384,308,689,244,180,427,45833,42934,88766,40536,40320,80855,59398,62084,121479,55605,66416,122026,78263,89365,167625,67849,81917,149764,16697,19441,36139,26771,30166,56937,25968,32252,58221,4576,6493,11065,6370,8022,14391,8032,9725,17755,16845,26326,43168,18240,28814,47053,21438,35462,56898,634,621,1252,477,638,1112,297,328,629,94351,119293,213651,130119,157004,287128,123581,159688,283275,140182,162229,302415,170660,197326,367981,183288,222060,405351,6406,7162
2RVIC,11430,10420,21850,11421,10464,21880,16484,15148,31630,38424,36025,74447,39750,36852,76603,42089,38836,80935,12587,12543,25132,14144,13842,27983,15580,15556,31139,4412,4416,8826,5111,5046,10161,5459,5261,10722,55422,52985,108407,59000,55743,114745,63191,59707,122899,28654,27748,56400,26190,24967,51159,27651,26335,53982,11423,12190,23609,12199,12748,24946,13219,14087,27305,6588,6609,13199,6926,6926,13846,7954,7968,15923,46660,46547,93211,45314,44636,89954,48855,48421,97279,2584,2934,5512,2146,2424,4573,2226,2694,4928,994,2108,3103,939,2059,3002,1709,3313,5027,4983,3136,8114,4010,2444,6455,5935,3518,9450,4375,7560,11931,3150,5286,8432,5286,8822,14108,181,137,317,114,113,229,119,92,216,13119,15871,28986,10353,12332,22687,15284,18438,33727,5991,9616,15606,6993,10430,17423,6490,10675,17158,1780,3397,5177,2462,4195,6663,2905,5233,8131,704,1306,2007,921,1661,2579,1063,1958,3025,3085,6473,9555,3255,7474,10728,4119,9863,13984,80,82,161,54,112,169,54,86,140,11641,20873,32509,13688,23869,37558,14637,27812,42445,24751,36745,61501,24042,36204,60250,29961,46304,76267,1409,1428
29499,39,33,72,30,26,51,45,31,78,113,112,229,65,80,142,137,129,266,9,12,20,9,11,15,10,10,20,14,12,23,13,9,18,9,11,18,137,137,272,76,102,178,155,154,303,63,61,124,44,52,100,63,78,137,3,9,9,3,3,8,6,4,17,7,11,17,18,11,24,3,14,14,74,79,153,68,68,137,73,97,172,23,33,61,22,25,46,12,26,36,23,26,49,11,24,31,6,29,37,27,22,51,6,4,15,13,4,20,18,21,41,20,27,43,24,27,52,4,5,3,0,3,3,4,0,3,95,113,203,58,79,140,54,92,146,71,122,193,83,127,210,39,50,90,53,59,115,41,45,89,23,41,69,9,9,15,10,11,19,5,20,21,20,51,68,15,34,44,22,42,64,0,0,0,0,0,3,0,0,0,157,237,392,148,214,365,91,152,244,242,347,594,206,296,505,148,246,391,24,30
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,13153,12328,25487,14974,13781,28758,23450,21511,44957,63261,58833,122099,69852,65540,135388,76730,73285,150019,17837,17183,35019,18310,17894,36199,19770,19025,38796,11006,11141,22148,11595,11626,23219,13011,12612,25626,92104,87158,179269,99757,95059,194815,109686,105114,214799,35326,33519,68845,41983,39767,81750,52873,49767,102637,13286,12904,26185,16738,15768,32501,19886,18426,38314,13892,14262,28155,15461,15366,30825,17580,18148,35728,62510,60684,123190,74181,70897,145078,90490,86479,176965,4289,4512,8803,3968,4543,8508,4481,4581,9057,2479,3990,6473,3165,5950,9114,4819,7866,12689,4928,3718,8646,4053,3356,7416,5806,4748,10553,5957,10055,16007,5414,9607,15020,9405,16284,25693,251,213,462,131,165,297,97,101,198,17904,22489,40390,16734,23617,40356,24610,33577,58186,25559,33210,58768,32109,39252,71364,28850,37443,66295,8503,10592,19098,11896,14254,26154,11994,16045,28046,2632,3741,6377,3328,4566,7894,4541,6178,10719,9386,14245,23630,10668,16710,27379,12409,21199,33604,223,248,479,159,235,402,90,113,205,46302,62044,108348,58165,75021,133188,57887,80985,138872,64206,84530,148737,74906,98639,173547,82604,114677,197281,2555,2758
3RQLD,13012,12079,25087,14429,13421,27848,20586,18923,39504,70738,65522,136258,73080,67809,140892,73015,68613,141632,19274,18391,37665,18693,18932,37620,20573,20118,40690,13269,12980,26244,13602,13317,26917,14070,14056,28125,103278,96900,200177,105371,100053,205432,107826,102963,210789,43315,41862,85174,48359,45933,94292,54726,51905,106627,12767,12991,25758,15578,14987,30563,17037,17626,34666,11965,12310,24274,14097,13981,28079,17108,16723,33831,68044,67161,135207,78032,74903,152936,88981,86372,175353,2595,2766,5363,2353,2933,5288,3470,3186,6656,1459,3325,4787,1999,4413,6412,3420,5438,8855,5229,4569,9795,4367,4058,8420,6038,4949,10991,5880,12424,18306,5167,10859,16025,8415,16643,25058,224,226,447,170,179,352,116,124,239,15391,23314,38704,14057,22445,36499,21460,30340,51796,10646,16960,27604,13841,20079,33923,11842,20378,32223,4584,7884,12467,6185,10032,16219,6529,11629,18153,1904,3322,5227,2235,3985,6215,2753,4813,7572,6348,12816,19170,7390,15652,23051,8330,18200,26533,141,190,338,127,196,323,78,103,184,23629,41181,64799,29780,49950,79732,29537,55129,84667,39018,64490,103508,43841,72393,116234,51070,85581,136652,1545,1888
