GCCSA_CODE_2021,C21_SH_Tot_NPGH_6_mor,C21_SH_Tot_Tot,C21_SDRTHT_0b_s_a_b_NPGH_2,C21_SDRTHT_0b_s_a_b_NPGH_3,C21_SDRTHT_0b_s_a_b_NPGH_4,C21_SDRTHT_0b_s_a_b_NPGH_5,C21_SDRTHT_0b_s_a_b_NPGH_6mor,C21_SDRTHT_0b_s_a_b_Tot,C21_SDRTHT_1b_NPGH_2,C21_SDRTHT_1b_NPGH_3,C21_SDRTHT_1b_NPGH_4,C21_SDRTHT_1b_NPGH_5,C21_SDRTHT_1b_NPGH_6_mor,C21_SDRTHT_1b_Tot,C21_SDRTHT_2b_NPGH_2,C21_SDRTHT_2b_NPGH_3,C21_SDRTHT_2b_NPGH_4,C21_SDRTHT_2b_NPGH_5,C21_SDRTHT_2b_NPGH_6_mor,C21_SDRTHT_2b_Tot,C21_SDRTHT_3b_NPGH_2,C21_SDRTHT_3b_NPGH_3,C21_SDRTHT_3b_NPGH_4,C21_SDRTHT_3b_NPGH_5,C21_SDRTHT_3b_NPGH_6_mor,C21_SDRTHT_3b_Tot,C21_SDRTHT_4mb_NPGH_2,C21_SDRTHT_4mb_NPGH_3,C21_SDRTHT_4mb_NPGH_4,C21_SDRTHT_4mb_NPGH_5,C21_SDRTHT_4mb_NPGH_6_mor,C21_SDRTHT_4mb_Tot,C21_SDRTHT_NB_NS_NPGH_2,C21_SDRTHT_NB_NS_NPGH_3,C21_SDRTHT_NB_NS_NPGH_4,C21_SDRTHT_NB_NS_NPGH_5,C21_SDRTHT_NB_NS_NPGH_6_mor,C21_SDRTHT_NB_NS_Tot,C21_SDRTHT_Tot_NPGH_2,C21_SDRTHT_Tot_NPGH_3,C21_SDRTHT_Tot_NPGH_4,C21_SDRTHT_Tot_NPGH_5,C21_SDRTHT_Tot_NPGH_6_mor,C21_SDRTHT_Tot_Tot,C21_F_a_0b_s_a_b_NPGH_2,C21_F_a_0b_s_a_b_NPGH_3,C21_F_a_0b_s_a_b_NPGH_4,C21_F_a_0b_s_a_b_NPGH_5,C21_F_a_0b_s_a_b_NPGH_6_mor,C21_F_a_0b_s_a_b_Tot,C21_F_a_1b_NPGH_2,C21_F_a_1b_NPGH_3,C21_F_a_1b_NPGH_4,C21_F_a_1b_NPGH_5,C21_F_a_1b_NPGH_6_mor,C21_F_a_1b_Tot,C21_F_a_2b_NPGH_2,C21_F_a_2b_NPGH_3,C21_F_a_2b_NPGH_4,C21_F_a_2b_NPGH_5,C21_F_a_2b_NPGH_6_mor,C21_F_a_2b_Tot,C21_F_a_3b_NPGH_2,C21_F_a_3b_NPGH_3,C21_F_a_3b_NPGH_4,C21_F_a_3b_NPGH_5,C21_F_a_3b_NPGH_6_mor,C21_F_a_3b_Tot,C21_F_a_4mb_NPGH_2,C21_F_a_4mb_NPGH_3,C21_F_a_4mb_NPGH_4,C21_F_a_4mb_NPGH_5,C21_F_a_4mb_NPGH_6_mor,C21_F_a_4mb_Tot,C21_F_a_NB_NS_NPGH_2,C21_F_a_NB_NS_NPGH_3,C21_F_a_NB_NS_NPGH_4,C21_F_a_NB_NS_NPGH_5,C21_F_a_NB_NS_NPGH_6_mor,C21_F_a_NB_NS_Tot,C21_F_a_Tot_NPGH_2,C21_F_a_Tot_NPGH_3,C21_F_a_Tot_NPGH_4,C21_F_a_Tot_NPGH_5,C21_F_a_Tot_NPGH_6_mor,C21_F_a_Tot_Tot,C21_OD_0b_s_a_b_NPGH_2,C21_OD_0b_s_a_b_NPGH_3,C21_OD_0b_s_a_b_NPGH_4,C21_OD_0b_s_a_b_NPGH_5,C21_OD_0b_s_a_b_NPGH_6_mor,C21_OD_0b_s_a_b_Tot,C21_OD_1b_NPGH_2,C21_OD_1b_NPGH_3,C21_OD_1b_NPGH_4,C21_OD_1b_NPGH_5,C21_OD_1b_NPGH_6_mor,C21_OD_1b_Tot,C21_OD_2b_NPGH_2,C21_OD_2b_NPGH_3,C21_OD_2b_NPGH_4,C21_OD_2b_NPGH_5,C21_OD_2b_NPGH_6_mor,C21_OD_2b_Tot,C21_OD_3b_NPGH_2,C21_OD_3b_NPGH_3,C21_OD_3b_NPGH_4,C21_OD_3b_NPGH_5,C21_OD_3b_NPGH_6_mor,C21_OD_3b_Tot,C21_OD_4mb_NPGH_2,C21_OD_4mb_NPGH_3,C21_OD_4mb_NPGH_4,C21_OD_4mb_NPGH_5,C21_OD_4mb_NPGH_6_mor,C21_OD_4mb_Tot,C21_OD_NB_NS_NPGH_2,C21_OD_NB_NS_NPGH_3,C21_OD_NB_NS_NPGH_4,C21_OD_NB_NS_NPGH_5,C21_OD_NB_NS_NPGH_6_mor,C21_OD_NB_NS_Tot,C21_OD_Tot_NPGH_2,C21_OD_Tot_NPGH_3,C21_OD_Tot_NPGH_4,C21_OD_Tot_NPGH_5,C21_OD_Tot_NPGH_6_mor,C21_OD_Tot_Tot,C21_DS_NS_NPGH_2,C21_DS_NS_NPGH_3,C21_DS_NS_NPGH_4,C21_DS_NS_NPGH_5,C21_DS_NS_NPGH_6_mor,C21_DS_NS_Tot,C21_Tot_NPGH_2,C21_Tot_NPGH_3,C21_Tot_NPGH_4,C21_Tot_NPGH_5,C21_Tot_NPGH_6_mor,C21_Tot_Tot
1GSYD,697,22612,16,5,0,0,0,23,169,13,5,4,4,192,2409,196,35,8,0,2656,2412,1952,322,66,36,4785,503,491,984,301,134,2418,98,41,16,12,11,180,5609,2704,1370,388,187,10256,211,21,9,3,0,244,2255,123,29,7,4,2408,24372,3533,1396,362,114,29775,2713,4180,902,364,170,8322,207,200,306,103,62,882,515,192,120,30,18,874,30269,8247,2760,866,367,42512,8,0,0,0,0,8,52,3,0,0,0,56,367,38,7,0,0,414,97,143,19,6,0,281,21,27,38,16,4,105,23,12,0,3,4,37,573,221,69,23,10,898,183,49,33,9,7,280,51324,15275,6376,2310,1269,76558
1RNSW,297,25547,4,0,0,0,0,4,102,4,0,0,0,105,1900,106,4,0,0,2009,1371,729,115,16,3,2241,107,103,99,27,14,353,85,11,3,0,6,104,3574,948,223,47,27,4813,16,0,0,0,0,17,196,8,3,0,0,209,2454,165,27,5,0,2652,451,429,47,12,6,946,57,34,44,12,9,152,71,13,0,0,0,85,3245,641,127,28,20,4064,22,6,0,0,0,26,58,3,0,0,0,63,214,10,3,0,0,223,63,18,4,4,0,85,21,7,11,4,10,51,35,0,0,0,5,35,407,43,14,7,17,494,121,26,10,7,4,162,26531,5605,1933,659,360,35087
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,859,35527,21,6,5,0,0,31,173,21,6,0,0,203,5539,456,92,15,6,6118,3621,3675,583,114,56,8044,513,579,1188,364,148,2793,186,79,35,15,8,317,10047,4817,1911,511,214,17497,67,0,0,0,0,64,1211,52,8,0,0,1274,15311,1319,370,63,9,17079,1359,2034,269,67,21,3747,95,93,181,36,14,422,271,78,15,8,3,377,18312,3571,845,175,53,22969,4,0,0,0,0,7,21,0,4,0,0,25,182,3,4,0,0,193,64,99,10,0,0,178,15,23,25,9,3,70,10,0,0,0,0,9,294,133,42,16,8,483,88,19,8,3,0,123,49582,16363,7100,2429,1134,76606
2RVIC,251,15545,0,0,0,0,0,0,75,0,0,0,0,82,820,50,9,0,0,882,370,163,30,3,0,567,47,18,36,16,9,126,31,0,8,0,0,40,1350,244,81,17,7,1700,5,0,0,0,0,5,39,3,0,0,0,35,240,27,5,0,0,274,69,24,4,0,0,93,11,0,0,0,7,18,6,0,4,0,0,4,355,56,12,5,7,435,9,0,0,0,0,13,27,4,4,0,0,33,60,4,0,0,0,67,31,12,0,0,0,41,7,3,17,0,0,28,3,0,0,0,0,3,142,26,17,0,0,186,59,11,3,4,3,79,13437,2818,1083,342,263,17950
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,328,22940,3,0,0,0,0,3,82,7,0,0,0,95,1323,70,5,0,0,1398,2471,1175,172,38,11,3870,207,167,151,32,17,569,89,31,15,0,0,135,4173,1451,343,73,28,6080,27,5,0,0,0,33,535,20,3,0,0,553,8948,583,101,15,0,9654,1035,1263,147,36,7,2492,70,74,82,29,8,255,153,30,13,0,0,199,10768,1975,347,80,15,13185,0,0,0,0,0,4,17,0,0,0,0,20,64,0,0,0,0,60,7,0,0,0,0,12,7,0,5,0,0,11,7,0,0,0,0,8,107,10,5,0,0,120,74,28,5,5,0,110,30508,7991,2669,891,373,42431
3RQLD,225,24198,19,0,3,0,0,24,90,4,3,0,0,93,2230,122,10,0,0,2365,2195,786,106,24,8,3113,224,125,96,13,14,472,129,29,8,0,4,167,4878,1069,225,41,17,6235,24,3,0,0,0,30,256,3,0,0,0,267,4543,357,78,8,3,4994,859,563,95,20,5,1538,63,48,54,7,13,181,127,21,3,0,0,161,5871,1007,230,42,22,7167,43,0,0,0,0,42,57,5,0,0,0,64,108,8,3,0,0,124,30,15,0,3,0,48,23,8,3,0,0,31,42,4,5,0,0,48,297,40,11,5,9,357,142,27,9,3,7,179,29465,6050,1871,488,271,38146
